#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
655981,24567069,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Geomyces destructans).,other,-,-,-,-,20181203,-
655981,36285256,VC83_02172,VC83_02172,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285257,VC83_02173,VC83_02173,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285258,VC83_02174,VC83_02174,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285259,VC83_02175,VC83_02175,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285260,VC83_02176,VC83_02176,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285261,VC83_02177,VC83_02177,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285262,VC83_02178,VC83_02178,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285263,VC83_02179,VC83_02179,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285264,VC83_02180,VC83_02180,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285265,VC83_02181,VC83_02181,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285266,VC83_02182,VC83_02182,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285267,CHS2_1,VC83_02183,-,-,Unknown,-,Chitin synthase 2,protein-coding,-,-,-,Chitin synthase 2,20200909,-
655981,36285268,VC83_02184,VC83_02184,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285269,VC83_02185,VC83_02185,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285270,VC83_02186,VC83_02186,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285271,VC83_02187,VC83_02187,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285272,VC83_02188,VC83_02188,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285273,VC83_02189,VC83_02189,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285274,MRPL44_1,VC83_02190,-,-,Unknown,-,YmL44,protein-coding,-,-,-,YmL44,20200909,-
655981,36285275,VC83_02191,VC83_02191,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285276,PPE1_1,VC83_02192,-,-,Unknown,-,Protein with carboxyl methyl esterase activity,protein-coding,-,-,-,Protein with carboxyl methyl esterase activity,20200909,-
655981,36285277,VC83_02193,VC83_02193,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285278,VC83_02194,VC83_02194,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285279,VC83_02195,VC83_02195,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285280,VC83_02196,VC83_02196,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285281,VC83_02197,VC83_02197,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285282,SPT3,VC83_02198,-,-,Unknown,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20200909,-
655981,36285283,PPM1,VC83_02199,-,-,Unknown,-,carboxy methyl transferase for protein phosphatase 2A,protein-coding,-,-,-,carboxy methyl transferase for protein phosphatase 2A,20200909,-
655981,36285284,VC83_02200,VC83_02200,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285285,VC83_02201,VC83_02201,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285286,VC83_02202,VC83_02202,-,-,Unknown,-,Type I Iterative Polyketide synthase (PKS),protein-coding,-,-,-,Type I Iterative Polyketide synthase (PKS),20200909,-
655981,36285287,VC83_02203,VC83_02203,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285288,VC83_02204,VC83_02204,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285289,VC83_02205,VC83_02205,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285290,VC83_02206,VC83_02206,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285291,VC83_02207,VC83_02207,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285292,VC83_02208,VC83_02208,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285293,VC83_02210,VC83_02210,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285294,DIA4,VC83_02211,-,-,Unknown,-,"Serine--tRNA ligase, mitochondrial",protein-coding,-,-,-,"Serine--tRNA ligase, mitochondrial",20200909,-
655981,36285295,VC83_02212,VC83_02212,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285296,VC83_02213,VC83_02213,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285297,NAM9,VC83_02214,-,-,Unknown,-,mitochondrial 37S ribosomal protein nam9,protein-coding,-,-,-,mitochondrial 37S ribosomal protein nam9,20200909,-
655981,36285298,VC83_02215,VC83_02215,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285299,VC83_02216,VC83_02216,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285300,VC83_02217,VC83_02217,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285301,VC83_02218,VC83_02218,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285302,VC83_02219,VC83_02219,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285303,MCM3,VC83_02220,-,-,Unknown,-,MCM DNA helicase complex subunit,protein-coding,-,-,-,MCM DNA helicase complex subunit,20200909,-
655981,36285304,HIS5_1,VC83_02221,-,-,Unknown,-,histidinol-phosphate transaminase,protein-coding,-,-,-,histidinol-phosphate transaminase,20200909,-
655981,36285305,HIS5_2,VC83_02222,-,-,Unknown,-,histidinol-phosphate transaminase,protein-coding,-,-,-,histidinol-phosphate transaminase,20200909,-
655981,36285306,VC83_02223,VC83_02223,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285307,EXO70,VC83_02224,-,-,Unknown,-,exocyst complex component,protein-coding,-,-,-,exocyst complex component,20200909,-
655981,36285308,VC83_02225,VC83_02225,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285309,VC83_02226,VC83_02226,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285310,VC83_02227,VC83_02227,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285311,VC83_02228,VC83_02228,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285312,VC83_02229,VC83_02229,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285313,VC83_02230,VC83_02230,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285314,VC83_02231,VC83_02231,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285315,DPH5,VC83_02232,-,-,Unknown,-,diphthine synthase,protein-coding,-,-,-,diphthine synthase,20200909,-
655981,36285316,VC83_02233,VC83_02233,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285317,VC83_02234,VC83_02234,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285318,VC83_02235,VC83_02235,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285319,VC83_02236,VC83_02236,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285320,VC83_02237,VC83_02237,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285321,VC83_02238,VC83_02238,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285322,VC83_02239,VC83_02239,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285323,VC83_02240,VC83_02240,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285324,VC83_02241,VC83_02241,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285325,VC83_02242,VC83_02242,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285326,VC83_02243,VC83_02243,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285327,VC83_02244,VC83_02244,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285328,CDC3,VC83_02245,-,-,Unknown,-,septin,protein-coding,-,-,-,septin,20200909,-
655981,36285329,VC83_02246,VC83_02246,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285330,VC83_02247,VC83_02247,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285331,VC83_02248,VC83_02248,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285332,VC83_02249,VC83_02249,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285333,VC83_02250,VC83_02250,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285334,TOP2,VC83_02251,-,-,Unknown,-,DNA topoisomerase 2,protein-coding,-,-,-,DNA topoisomerase 2,20200909,-
655981,36285335,VC83_02252,VC83_02252,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285336,VC83_02253,VC83_02253,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285337,VC83_02254,VC83_02254,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285338,VC83_02255,VC83_02255,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285339,VC83_02256,VC83_02256,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285340,VC83_02257,VC83_02257,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285341,VC83_02258,VC83_02258,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285342,VC83_02259,VC83_02259,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285343,VC83_02260,VC83_02260,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285344,GPI8,VC83_02261,-,-,Unknown,-,glycosylphosphatidylinositol anchor biosynthesis,protein-coding,-,-,-,glycosylphosphatidylinositol anchor biosynthesis,20200909,-
655981,36285345,VC83_02262,VC83_02262,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285346,NCS1,VC83_02263,-,-,Unknown,-,Neuronal calcium sensor 1,protein-coding,-,-,-,Neuronal calcium sensor 1,20200909,-
655981,36285347,VC83_02264,VC83_02264,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285348,VC83_02265,VC83_02265,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285349,VC83_02266,VC83_02266,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285350,VC83_02267,VC83_02267,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285351,VC83_02268,VC83_02268,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285352,VC83_02269,VC83_02269,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285353,VC83_02270,VC83_02270,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285354,VC83_02271,VC83_02271,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285355,VC83_02272,VC83_02272,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285356,VC83_02273,VC83_02273,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285357,VC83_02274,VC83_02274,-,-,Unknown,-,tRNA,tRNA,-,-,-,-,20200909,-
655981,36285358,VC83_02275,VC83_02275,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285359,VC83_02276,VC83_02276,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285360,SEN1,VC83_02277,-,-,Unknown,-,DEAD-box type RNA helicase,protein-coding,-,-,-,DEAD-box type RNA helicase,20200909,-
655981,36285361,VC83_02278,VC83_02278,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285362,VC83_02279,VC83_02279,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285363,CHS5,VC83_02280,-,-,Unknown,-,Chitin biosynthesis protein chs5,protein-coding,-,-,-,Chitin biosynthesis protein chs5,20200909,-
655981,36285364,VC83_02281,VC83_02281,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285365,TIF11,VC83_02282,-,-,Unknown,-,Translation initiation factor 1A,protein-coding,-,-,-,Translation initiation factor 1A,20200909,-
655981,36285366,VC83_02283,VC83_02283,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285367,MRS2_1,VC83_02284,-,-,Unknown,-,magnesium ion transporter,protein-coding,-,-,-,magnesium ion transporter,20200909,-
655981,36285368,MRS2_2,VC83_02285,-,-,Unknown,-,magnesium ion transporter,protein-coding,-,-,-,magnesium ion transporter,20200909,-
655981,36285369,PLS1,VC83_02286,-,-,Unknown,-,phospholipid scramblase 1,protein-coding,-,-,-,phospholipid scramblase 1,20200909,-
655981,36285370,VC83_02287,VC83_02287,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285371,VC83_02288,VC83_02288,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285372,EGD2,VC83_02289,-,-,Unknown,-,GAL4 enhancer protein,protein-coding,-,-,-,GAL4 enhancer protein,20200909,-
655981,36285373,ATP7,VC83_02290,-,-,Unknown,-,ATP synthase d subunit,protein-coding,-,-,-,ATP synthase d subunit,20200909,-
655981,36285374,VC83_02291,VC83_02291,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285375,VC83_02292,VC83_02292,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285376,VC83_02293,VC83_02293,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285377,VC83_02294,VC83_02294,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285378,VC83_02295,VC83_02295,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285379,VC83_02296,VC83_02296,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285380,VC83_02297,VC83_02297,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285381,VC83_02298,VC83_02298,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285382,VC83_02299,VC83_02299,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285383,VC83_02300,VC83_02300,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285384,VC83_02301,VC83_02301,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285385,VC83_02302,VC83_02302,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285386,VC83_02303,VC83_02303,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285387,VC83_02304,VC83_02304,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285388,GNA1,VC83_02305,-,-,Unknown,-,Glucosamine-phosphate N-acetyltransferase-like protein,protein-coding,-,-,-,Glucosamine-phosphate N-acetyltransferase-like protein,20200909,-
655981,36285389,VC83_02306,VC83_02306,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285390,VC83_02307,VC83_02307,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285391,TEF1_1,VC83_02308,-,-,Unknown,-,translation elongation factor EF-1 alpha,protein-coding,-,-,-,translation elongation factor EF-1 alpha,20200909,-
655981,36285392,VC83_02309,VC83_02309,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285393,VC83_02310,VC83_02310,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285394,VC83_02311,VC83_02311,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285395,VC83_02312,VC83_02312,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285396,VC83_02313,VC83_02313,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285397,VC83_02314,VC83_02314,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285398,VC83_02315,VC83_02315,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285399,RPS4,VC83_02316,-,-,Unknown,-,40S ribosomal protein S4,protein-coding,-,-,-,40S ribosomal protein S4,20200909,-
655981,36285400,ADE1,VC83_02317,-,-,Unknown,-,Bifunctional purine biosynthetic protein ade1,protein-coding,-,-,-,Bifunctional purine biosynthetic protein ade1,20200909,-
655981,36285401,VC83_02318,VC83_02318,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285402,VC83_02319,VC83_02319,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285403,VC83_02320,VC83_02320,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285404,SSS1,VC83_02321,-,-,Unknown,-,Sec61p translocation complex subunit,protein-coding,-,-,-,Sec61p translocation complex subunit,20200909,-
655981,36285405,VC83_02322,VC83_02322,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285406,VC83_02323,VC83_02323,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285407,VC83_02324,VC83_02324,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285408,COQ4,VC83_02325,-,-,Unknown,-,Ubiquinone biosynthesis protein,protein-coding,-,-,-,Ubiquinone biosynthesis protein,20200909,-
655981,36285409,VC83_02326,VC83_02326,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285410,VC83_02327,VC83_02327,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285411,VC83_02328,VC83_02328,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285412,VC83_02329,VC83_02329,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285413,VC83_02330,VC83_02330,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285414,SHY1,VC83_02331,-,-,Unknown,-,surf-like protein,protein-coding,-,-,-,surf-like protein,20200909,-
655981,36285415,VC83_02332,VC83_02332,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285416,VC83_02333,VC83_02333,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285417,VC83_02334,VC83_02334,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285418,RAC1,VC83_02335,-,-,Unknown,-,Rho GTPase,protein-coding,-,-,-,Rho GTPase,20200909,-
655981,36285419,VC83_02336,VC83_02336,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285420,SRB8,VC83_02337,-,-,Unknown,-,RNA polymerase II mediator complex subunit,protein-coding,-,-,-,RNA polymerase II mediator complex subunit,20200909,-
655981,36285421,VC83_02338,VC83_02338,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285422,SUI1,VC83_02339,-,-,Unknown,-,Eukaryotic translation initiation factor eIF-1,protein-coding,-,-,-,Eukaryotic translation initiation factor eIF-1,20200909,-
655981,36285423,VC83_02340,VC83_02340,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285424,VC83_02341,VC83_02341,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285425,VC83_02342,VC83_02342,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285426,VC83_02343,VC83_02343,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285427,VC83_02344,VC83_02344,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285428,APC5,VC83_02345,-,-,Unknown,-,anaphase promoting complex subunit 5,protein-coding,-,-,-,anaphase promoting complex subunit 5,20200909,-
655981,36285429,COX13,VC83_02346,-,-,Unknown,-,Cytochrome c oxidase subunit 6A,protein-coding,-,-,-,Cytochrome c oxidase subunit 6A,20200909,-
655981,36285430,APN2,VC83_02347,-,-,Unknown,-,Class II abasic (AP) endonuclease,protein-coding,-,-,-,Class II abasic (AP) endonuclease,20200909,-
655981,36285431,VC83_02348,VC83_02348,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285432,VC83_02349,VC83_02349,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285433,VC83_02350,VC83_02350,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285434,SLA2,VC83_02351,-,-,Unknown,-,sla2 Src like adaptor 2,protein-coding,-,-,-,sla2 Src like adaptor 2,20200909,-
655981,36285435,VC83_02352,VC83_02352,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285436,REV3,VC83_02353,-,-,Unknown,-,DNA polymerase zeta,protein-coding,-,-,-,DNA polymerase zeta,20200909,-
655981,36285437,SLU7,VC83_02354,-,-,Unknown,-,mRNA splicing protein,protein-coding,-,-,-,mRNA splicing protein,20200909,-
655981,36285438,RPS9,VC83_02355,-,-,Unknown,-,40S ribosomal protein S9,protein-coding,-,-,-,40S ribosomal protein S9,20200909,-
655981,36285439,RPL21A,VC83_02356,-,-,Unknown,-,ribosomal protein L21A,protein-coding,-,-,-,ribosomal protein L21A,20200909,-
655981,36285440,SEC2,VC83_02357,-,-,Unknown,-,rab guanine nucleotide exchange factor S2,protein-coding,-,-,-,rab guanine nucleotide exchange factor S2,20200909,-
655981,36285441,SNX3,VC83_02358,-,-,Unknown,-,Sorting nexin,protein-coding,-,-,-,Sorting nexin,20200909,-
655981,36285442,VC83_02359,VC83_02359,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285443,VC83_02360,VC83_02360,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285444,PRP21,VC83_02361,-,-,Unknown,-,SF3a splicing factor complex subunit,protein-coding,-,-,-,SF3a splicing factor complex subunit,20200909,-
655981,36285445,VC83_02362,VC83_02362,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285446,VC83_02363,VC83_02363,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285447,ERF2,VC83_02364,-,-,Unknown,-,Eukaryotic peptide chain release factor GTP-binding subunit,protein-coding,-,-,-,Eukaryotic peptide chain release factor GTP-binding subunit,20200909,-
655981,36285448,VC83_02365,VC83_02365,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285449,VC83_02366,VC83_02366,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285450,VC83_02367,VC83_02367,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285451,VC83_02368,VC83_02368,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285452,SED5,VC83_02369,-,-,Unknown,-,cis-Golgi t-SNARE syntaxin,protein-coding,-,-,-,cis-Golgi t-SNARE syntaxin,20200909,-
655981,36285453,VC83_02370,VC83_02370,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285454,VC83_02371,VC83_02371,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285455,VC83_02372,VC83_02372,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36285456,VC83_02373,VC83_02373,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
