#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2126724,54990335,HOT02_gp002,HOT02_gp002,phiSABS2_2,-,-,-,HNH homing endonuclease,protein-coding,-,-,-,HNH homing endonuclease,20200910,-
2126724,54990515,HOT02_gp182,HOT02_gp182,phiSABS2_182,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990516,HOT02_gp183,HOT02_gp183,phiSABS2_183,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990517,HOT02_gp184,HOT02_gp184,phiSABS2_184,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990518,HOT02_gp185,HOT02_gp185,phiSABS2_185,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990519,HOT02_gp186,HOT02_gp186,phiSABS2_186,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990520,HOT02_gp187,HOT02_gp187,phiSABS2_187,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990521,HOT02_gp188,HOT02_gp188,phiSABS2_188,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990522,HOT02_gp189,HOT02_gp189,phiSABS2_189,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990523,HOT02_gp190,HOT02_gp190,phiSABS2_190,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990524,HOT02_gp191,HOT02_gp191,phiSABS2_191,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990525,HOT02_gp192,HOT02_gp192,phiSABS2_192,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990526,HOT02_gp193,HOT02_gp193,phiSABS2_193,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990527,HOT02_gp194,HOT02_gp194,phiSABS2_194,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990528,HOT02_gp195,HOT02_gp195,phiSABS2_195,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990529,HOT02_gp196,HOT02_gp196,phiSABS2_196,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990530,HOT02_gp197,HOT02_gp197,phiSABS2_197,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990531,HOT02_gp198,HOT02_gp198,phiSABS2_198,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2126724,54990532,HOT02_gp199,HOT02_gp199,phiSABS2_199,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990533,HOT02_gp200,HOT02_gp200,phiSABS2_200,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990534,HOT02_gp201,HOT02_gp201,phiSABS2_201,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990535,HOT02_gp202,HOT02_gp202,phiSABS2_202,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990536,HOT02_gp203,HOT02_gp203,phiSABS2_203,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990537,HOT02_gp204,HOT02_gp204,phiSABS2_204,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990538,HOT02_gp205,HOT02_gp205,phiSABS2_205,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990539,HOT02_gp206,HOT02_gp206,phiSABS2_206,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990540,HOT02_gp207,HOT02_gp207,phiSABS2_207,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990541,HOT02_gp208,HOT02_gp208,phiSABS2_208,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990542,HOT02_gp209,HOT02_gp209,phiSABS2_209,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990543,HOT02_gp210,HOT02_gp210,phiSABS2_210,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990544,HOT02_gp001,HOT02_gp001,phiSABS2_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,55153883,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200601,-
