#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2594798,55636404,GKQ38_RS00005,GKQ38_RS00005,GKQ38_00005,-,-,-,S-layer protein,protein-coding,-,-,-,S-layer protein,20210522,-
2594798,55636564,GKQ38_RS00805,GKQ38_RS00805,GKQ38_00805,-,-,-,DUF853 family protein,protein-coding,-,-,-,DUF853 family protein,20210522,-
2594798,55636565,GKQ38_RS00810,GKQ38_RS00810,GKQ38_00810,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636566,GKQ38_RS00815,GKQ38_RS00815,GKQ38_00815,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636567,GKQ38_RS00820,GKQ38_RS00820,GKQ38_00820,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636568,GKQ38_RS00825,GKQ38_RS00825,GKQ38_00825,-,-,-,winged helix DNA-binding protein,protein-coding,-,-,-,winged helix DNA-binding protein,20210522,-
2594798,55636569,GKQ38_RS00830,GKQ38_RS00830,GKQ38_00830,-,-,-,ATP-binding protein,protein-coding,-,-,-,ATP-binding protein,20200624,-
2594798,55636570,GKQ38_RS00835,GKQ38_RS00835,GKQ38_00835,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2594798,55636571,GKQ38_RS00840,GKQ38_RS00840,GKQ38_00840,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636572,GKQ38_RS00845,GKQ38_RS00845,GKQ38_00845,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636573,GKQ38_RS00850,GKQ38_RS00850,GKQ38_00850,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2594798,55636574,GKQ38_RS00855,GKQ38_RS00855,GKQ38_00855,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636575,GKQ38_RS00860,GKQ38_RS00860,GKQ38_00860,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2594798,55636576,GKQ38_RS00865,GKQ38_RS00865,GKQ38_00865,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636577,GKQ38_RS00870,GKQ38_RS00870,GKQ38_00870,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636578,GKQ38_RS00875,GKQ38_RS00875,GKQ38_00875,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636579,GKQ38_RS00880,GKQ38_RS00880,GKQ38_00880,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2594798,55636580,GKQ38_RS00885,GKQ38_RS00885,GKQ38_00885,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636581,GKQ38_RS00890,GKQ38_RS00890,GKQ38_00890,-,-,-,restriction endonuclease,protein-coding,-,-,-,restriction endonuclease,20210522,-
2594798,55636582,GKQ38_RS00895,GKQ38_RS00895,GKQ38_00895,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636583,GKQ38_RS00900,GKQ38_RS00900,GKQ38_00900,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636584,GKQ38_RS00905,GKQ38_RS00905,GKQ38_00905,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636585,GKQ38_RS00910,GKQ38_RS00910,GKQ38_00910,-,-,-,glutathione S-transferase N-terminal domain-containing protein,protein-coding,-,-,-,glutathione S-transferase N-terminal domain-containing protein,20210522,-
2594798,55636586,GKQ38_RS00915,GKQ38_RS00915,GKQ38_00915,-,-,-,NUDIX domain-containing protein,protein-coding,-,-,-,NUDIX domain-containing protein,20210522,-
2594798,55636587,GKQ38_RS00920,GKQ38_RS00920,GKQ38_00920,-,-,-,GTP-binding protein,protein-coding,-,-,-,GTP-binding protein,20210522,-
2594798,55636588,GKQ38_RS00925,GKQ38_RS00925,GKQ38_00925,-,-,-,DUF2073 domain-containing protein,protein-coding,-,-,-,DUF2073 domain-containing protein,20210522,-
2594798,55636589,GKQ38_RS00930,GKQ38_RS00930,GKQ38_00930,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2594798,55636590,GKQ38_RS00935,GKQ38_RS00935,GKQ38_00935,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636591,GKQ38_RS00940,GKQ38_RS00940,GKQ38_00940,-,-,-,amphi-Trp domain-containing protein,protein-coding,-,-,-,amphi-Trp domain-containing protein,20210522,-
2594798,55636592,GKQ38_RS00945,GKQ38_RS00945,GKQ38_00945,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636593,GKQ38_RS00950,GKQ38_RS00950,GKQ38_00950,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636594,GKQ38_RS00955,GKQ38_RS00955,GKQ38_00955,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636595,GKQ38_RS00960,GKQ38_RS00960,GKQ38_00960,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636596,GKQ38_RS00965,GKQ38_RS00965,GKQ38_00965,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636597,GKQ38_RS00970,GKQ38_RS00970,GKQ38_00970,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2594798,55636598,GKQ38_RS00975,GKQ38_RS00975,GKQ38_00975,-,-,-,-,tRNA,-,-,-,-,20200624,-
2594798,55636599,GKQ38_RS00980,GKQ38_RS00980,GKQ38_00980,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636600,GKQ38_RS00985,GKQ38_RS00985,GKQ38_00985,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636601,tfb,GKQ38_RS00990,GKQ38_00990,-,-,-,transcription initiation factor IIB,protein-coding,-,-,-,transcription initiation factor IIB,20210522,-
2594798,55636602,GKQ38_RS00995,GKQ38_RS00995,GKQ38_00995,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636603,GKQ38_RS01000,GKQ38_RS01000,GKQ38_01000,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636604,GKQ38_RS01005,GKQ38_RS01005,GKQ38_01005,-,-,-,ZIP family metal transporter,protein-coding,-,-,-,ZIP family metal transporter,20210522,-
2594798,55636605,GKQ38_RS01010,GKQ38_RS01010,GKQ38_01010,-,-,-,HD domain-containing protein,protein-coding,-,-,-,HD domain-containing protein,20210522,-
2594798,55636606,GKQ38_RS01015,GKQ38_RS01015,GKQ38_01015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636607,GKQ38_RS01020,GKQ38_RS01020,GKQ38_01020,-,-,-,-,tRNA,-,-,-,-,20200624,-
2594798,55636608,GKQ38_RS01025,GKQ38_RS01025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636609,GKQ38_RS01030,GKQ38_RS01030,GKQ38_01025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636610,ptsP,GKQ38_RS01035,GKQ38_01030,-,-,-,phosphoenolpyruvate--protein phosphotransferase,protein-coding,-,-,-,phosphoenolpyruvate--protein phosphotransferase,20210522,-
2594798,55636611,GKQ38_RS01040,GKQ38_RS01040,GKQ38_01035,-,-,-,HPr family phosphocarrier protein,protein-coding,-,-,-,HPr family phosphocarrier protein,20210522,-
2594798,55636612,GKQ38_RS01045,GKQ38_RS01045,GKQ38_01040,-,-,-,PTS sugar transporter subunit IIA,protein-coding,-,-,-,PTS sugar transporter subunit IIA,20210522,-
2594798,55636613,GKQ38_RS01050,GKQ38_RS01050,GKQ38_01045,-,-,-,PTS transporter subunit EIIC,protein-coding,-,-,-,PTS transporter subunit EIIC,20210522,-
2594798,55636614,GKQ38_RS01055,GKQ38_RS01055,GKQ38_01050,-,-,-,hexose kinase,protein-coding,-,-,-,hexose kinase,20210522,-
2594798,55636615,GKQ38_RS01060,GKQ38_RS01060,GKQ38_01055,-,-,-,PTS sugar transporter subunit IIC,protein-coding,-,-,-,PTS sugar transporter subunit IIC,20210522,-
2594798,55636616,GKQ38_RS01065,GKQ38_RS01065,GKQ38_01060,-,-,-,HAD-IA family hydrolase,protein-coding,-,-,-,HAD-IA family hydrolase,20210522,-
2594798,55636617,GKQ38_RS01070,GKQ38_RS01070,GKQ38_01065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2594798,55636618,GKQ38_RS01075,GKQ38_RS01075,GKQ38_01070,-,-,-,-,tRNA,-,-,-,-,20200624,-
2594798,55636619,GKQ38_RS01080,GKQ38_RS01080,GKQ38_01075,-,-,-,phosphatase PAP2 family protein,protein-coding,-,-,-,phosphatase PAP2 family protein,20210522,-
2594798,55636620,GKQ38_RS01085,GKQ38_RS01085,GKQ38_01080,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636621,GKQ38_RS01090,GKQ38_RS01090,GKQ38_01085,-,-,-,methionine adenosyltransferase,protein-coding,-,-,-,methionine adenosyltransferase,20210522,-
2594798,55636622,GKQ38_RS01095,GKQ38_RS01095,GKQ38_01090,-,-,-,methyltransferase domain-containing protein,protein-coding,-,-,-,methyltransferase domain-containing protein,20210522,-
2594798,55636623,GKQ38_RS01100,GKQ38_RS01100,GKQ38_01095,-,-,-,PH domain-containing protein,protein-coding,-,-,-,PH domain-containing protein,20210522,-
2594798,55636624,GKQ38_RS01105,GKQ38_RS01105,GKQ38_01100,-,-,-,alpha/beta hydrolase,protein-coding,-,-,-,alpha/beta hydrolase,20210522,-
2594798,55636625,GKQ38_RS01110,GKQ38_RS01110,GKQ38_01105,-,-,-,VOC family protein,protein-coding,-,-,-,VOC family protein,20210522,-
2594798,55636626,GKQ38_RS01115,GKQ38_RS01115,GKQ38_01110,-,-,-,winged helix-turn-helix transcriptional regulator,protein-coding,-,-,-,winged helix-turn-helix transcriptional regulator,20210522,-
2594798,55636627,GKQ38_RS01120,GKQ38_RS01120,GKQ38_01115,-,-,-,uracil-DNA glycosylase,protein-coding,-,-,-,uracil-DNA glycosylase,20210522,-
2594798,55636628,GKQ38_RS01125,GKQ38_RS01125,GKQ38_01120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636629,GKQ38_RS01130,GKQ38_RS01130,GKQ38_01125,-,-,-,NOL1/NOP2/sun family putative RNA methylase,protein-coding,-,-,-,NOL1/NOP2/sun family putative RNA methylase,20210522,-
2594798,55636630,GKQ38_RS01135,GKQ38_RS01135,GKQ38_01130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636631,GKQ38_RS01140,GKQ38_RS01140,GKQ38_01135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636632,rrf,GKQ38_RS01145,GKQ38_01140,-,-,-,-,rRNA,-,-,-,-,20200624,-
2594798,55636633,GKQ38_RS01150,GKQ38_RS01150,GKQ38_01145,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636634,GKQ38_RS01155,GKQ38_RS01155,GKQ38_01150,-,-,-,NUDIX domain-containing protein,protein-coding,-,-,-,NUDIX domain-containing protein,20210522,-
2594798,55636635,GKQ38_RS01160,GKQ38_RS01160,GKQ38_01155,-,-,-,M48 family metalloprotease,protein-coding,-,-,-,M48 family metalloprotease,20210522,-
2594798,55636636,GKQ38_RS01165,GKQ38_RS01165,GKQ38_01160,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636637,GKQ38_RS01170,GKQ38_RS01170,GKQ38_01165,-,-,-,NTP transferase domain-containing protein,protein-coding,-,-,-,NTP transferase domain-containing protein,20210522,-
2594798,55636638,dinB,GKQ38_RS01175,GKQ38_01170,-,-,-,DNA polymerase IV,protein-coding,-,-,-,DNA polymerase IV,20210522,-
2594798,55636639,GKQ38_RS01180,GKQ38_RS01180,GKQ38_01175,-,-,-,TIGR00269 family protein,protein-coding,-,-,-,TIGR00269 family protein,20200624,-
2594798,55636640,GKQ38_RS01185,GKQ38_RS01185,GKQ38_01180,-,-,-,HAD-IA family hydrolase,protein-coding,-,-,-,HAD-IA family hydrolase,20210522,-
2594798,55636641,GKQ38_RS01190,GKQ38_RS01190,GKQ38_01185,-,-,-,HAD-IA family hydrolase,protein-coding,-,-,-,HAD-IA family hydrolase,20210522,-
2594798,55636642,GKQ38_RS01195,GKQ38_RS01195,GKQ38_01190,-,-,-,universal stress protein,protein-coding,-,-,-,universal stress protein,20210522,-
2594798,55636643,GKQ38_RS01200,GKQ38_RS01200,GKQ38_01195,-,-,-,-,tRNA,-,-,-,-,20200624,-
2594798,55636644,GKQ38_RS01205,GKQ38_RS01205,GKQ38_01200,-,-,-,winged helix-turn-helix transcriptional regulator,protein-coding,-,-,-,winged helix-turn-helix transcriptional regulator,20210522,-
2594798,55636645,GKQ38_RS01210,GKQ38_RS01210,GKQ38_01205,-,-,-,NFYB/HAP3 family transcription factor subunit,protein-coding,-,-,-,NFYB/HAP3 family transcription factor subunit,20210522,-
2594798,55636646,GKQ38_RS01215,GKQ38_RS01215,GKQ38_01210,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636647,GKQ38_RS01220,GKQ38_RS01220,GKQ38_01215,-,-,-,TRAM domain-containing protein,protein-coding,-,-,-,TRAM domain-containing protein,20210522,-
2594798,55636648,GKQ38_RS01225,GKQ38_RS01225,GKQ38_01220,-,-,-,HIT domain-containing protein,protein-coding,-,-,-,HIT domain-containing protein,20210522,-
2594798,55636649,GKQ38_RS01230,GKQ38_RS01230,GKQ38_01225,-,-,-,isoleucine--tRNA ligase,protein-coding,-,-,-,isoleucine--tRNA ligase,20210522,-
2594798,55636650,GKQ38_RS01235,GKQ38_RS01235,GKQ38_01230,-,-,-,DHH family phosphoesterase,protein-coding,-,-,-,DHH family phosphoesterase,20210522,-
2594798,55636651,GKQ38_RS01240,GKQ38_RS01240,GKQ38_01235,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636652,GKQ38_RS01245,GKQ38_RS01245,GKQ38_01240,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636653,GKQ38_RS01250,GKQ38_RS01250,GKQ38_01245,-,-,-,cysteine--tRNA ligase,protein-coding,-,-,-,cysteine--tRNA ligase,20210522,-
2594798,55636654,GKQ38_RS01255,GKQ38_RS01255,GKQ38_01250,-,-,-,2-phosphosulfolactate phosphatase,protein-coding,-,-,-,2-phosphosulfolactate phosphatase,20210522,-
2594798,55636655,GKQ38_RS01260,GKQ38_RS01260,GKQ38_01255,-,-,-,NUDIX domain-containing protein,protein-coding,-,-,-,NUDIX domain-containing protein,20210522,-
2594798,55636656,GKQ38_RS01265,GKQ38_RS01265,GKQ38_01260,-,-,-,NUDIX domain-containing protein,protein-coding,-,-,-,NUDIX domain-containing protein,20210522,-
2594798,55636657,GKQ38_RS01270,GKQ38_RS01270,GKQ38_01265,-,-,-,NUDIX domain-containing protein,protein-coding,-,-,-,NUDIX domain-containing protein,20210522,-
2594798,55636658,GKQ38_RS01275,GKQ38_RS01275,GKQ38_01270,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636659,GKQ38_RS01280,GKQ38_RS01280,GKQ38_01275,-,-,-,DUF1405 domain-containing protein,protein-coding,-,-,-,DUF1405 domain-containing protein,20210522,-
2594798,55636660,GKQ38_RS01285,GKQ38_RS01285,GKQ38_01280,-,-,-,acyltransferase,protein-coding,-,-,-,acyltransferase,20210522,-
2594798,55636661,GKQ38_RS01290,GKQ38_RS01290,GKQ38_01285,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636662,GKQ38_RS01295,GKQ38_RS01295,GKQ38_01290,-,-,-,-,tRNA,-,-,-,-,20200624,-
2594798,55636663,GKQ38_RS01300,GKQ38_RS01300,GKQ38_01295,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2594798,55636664,GKQ38_RS01305,GKQ38_RS01305,GKQ38_01300,-,-,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20210522,-
2594798,55636665,ffs,GKQ38_RS01310,GKQ38_01305,-,-,-,-,ncRNA,-,-,-,-,20200624,-
2594798,55636666,GKQ38_RS01315,GKQ38_RS01315,GKQ38_01310,-,-,-,TraB/GumN family protein,protein-coding,-,-,-,TraB/GumN family protein,20210522,-
2594798,55636667,GKQ38_RS01320,GKQ38_RS01320,GKQ38_01315,-,-,-,DUF2797 domain-containing protein,protein-coding,-,-,-,DUF2797 domain-containing protein,20210522,-
2594798,55636668,GKQ38_RS01325,GKQ38_RS01325,GKQ38_01320,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2594798,55636669,GKQ38_RS01330,GKQ38_RS01330,GKQ38_01325,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636670,GKQ38_RS01335,GKQ38_RS01335,GKQ38_01330,-,-,-,DUF87 domain-containing protein,protein-coding,-,-,-,DUF87 domain-containing protein,20210522,-
2594798,55636671,GKQ38_RS01340,GKQ38_RS01340,GKQ38_01335,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636672,GKQ38_RS01345,GKQ38_RS01345,GKQ38_01340,-,-,-,DEAD/DEAH box helicase family protein,protein-coding,-,-,-,DEAD/DEAH box helicase family protein,20210522,-
2594798,55636673,GKQ38_RS01350,GKQ38_RS01350,GKQ38_01345,-,-,-,DUF460 domain-containing protein,protein-coding,-,-,-,DUF460 domain-containing protein,20210522,-
2594798,55636674,GKQ38_RS01355,GKQ38_RS01355,GKQ38_01350,-,-,-,archaeosortase/exosortase family protein,protein-coding,-,-,-,archaeosortase/exosortase family protein,20210522,-
2594798,55636675,GKQ38_RS01360,GKQ38_RS01360,GKQ38_01355,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636676,GKQ38_RS01365,GKQ38_RS01365,GKQ38_01360,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636677,GKQ38_RS01370,GKQ38_RS01370,GKQ38_01365,-,-,-,SUMF1/EgtB/PvdO family nonheme iron enzyme,protein-coding,-,-,-,SUMF1/EgtB/PvdO family nonheme iron enzyme,20210522,-
2594798,55636678,GKQ38_RS01375,GKQ38_RS01375,GKQ38_01370,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636679,avd,GKQ38_RS01380,GKQ38_01375,-,-,-,diversity-generating retroelement protein Avd,protein-coding,-,-,-,diversity-generating retroelement protein Avd,20200624,-
2594798,55636680,GKQ38_RS01385,GKQ38_RS01385,GKQ38_01380,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636681,GKQ38_RS01390,GKQ38_RS01390,GKQ38_01385,-,-,-,RNA-dependent DNA polymerase,protein-coding,-,-,-,RNA-dependent DNA polymerase,20210522,-
2594798,55636682,GKQ38_RS01395,GKQ38_RS01395,GKQ38_01390,-,-,-,50S ribosomal protein L18a,protein-coding,-,-,-,50S ribosomal protein L18a,20210522,-
2594798,55636683,pfdA,GKQ38_RS01400,GKQ38_01395,-,-,-,prefoldin subunit alpha,protein-coding,-,-,-,prefoldin subunit alpha,20210522,-
2594798,55636684,GKQ38_RS01405,GKQ38_RS01405,GKQ38_01400,-,-,-,signal recognition particle receptor subunit alpha,protein-coding,-,-,-,signal recognition particle receptor subunit alpha,20210522,-
2594798,55636685,GKQ38_RS01410,GKQ38_RS01410,GKQ38_01405,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636686,GKQ38_RS01415,GKQ38_RS01415,GKQ38_01410,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636687,GKQ38_RS01420,GKQ38_RS01420,GKQ38_01415,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636688,GKQ38_RS01425,GKQ38_RS01425,GKQ38_01420,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636689,GKQ38_RS01430,GKQ38_RS01430,GKQ38_01425,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636690,ffh,GKQ38_RS01435,GKQ38_01430,-,-,-,signal recognition particle protein,protein-coding,-,-,-,signal recognition particle protein,20210522,-
2594798,55636691,GKQ38_RS01440,GKQ38_RS01440,GKQ38_01435,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636692,GKQ38_RS01445,GKQ38_RS01445,GKQ38_01440,-,-,-,YfcE family phosphodiesterase,protein-coding,-,-,-,YfcE family phosphodiesterase,20210522,-
2594798,55636693,GKQ38_RS01450,GKQ38_RS01450,GKQ38_01445,-,-,-,tRNA pseudouridine(54/55) synthase Pus10,protein-coding,-,-,-,tRNA pseudouridine(54/55) synthase Pus10,20210522,-
2594798,55636694,GKQ38_RS01455,GKQ38_RS01455,GKQ38_01450,-,-,-,50S ribosomal protein L21e,protein-coding,-,-,-,50S ribosomal protein L21e,20210522,-
2594798,55636695,GKQ38_RS01460,GKQ38_RS01460,GKQ38_01455,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2594798,55636696,GKQ38_RS01465,GKQ38_RS01465,GKQ38_01460,-,-,-,DUF655 domain-containing protein,protein-coding,-,-,-,DUF655 domain-containing protein,20210522,-
2594798,55636697,rsmA,GKQ38_RS01470,GKQ38_01465,-,-,-,ribosomal RNA small subunit methyltransferase A,protein-coding,-,-,-,ribosomal RNA small subunit methyltransferase A,20210522,-
2594798,55636698,GKQ38_RS01475,GKQ38_RS01475,GKQ38_01470,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636699,GKQ38_RS01480,GKQ38_RS01480,GKQ38_01475,-,-,-,CTP synthase,protein-coding,-,-,-,CTP synthase,20210522,-
2594798,55636700,GKQ38_RS01485,GKQ38_RS01485,GKQ38_01480,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20210522,-
2594798,55636701,GKQ38_RS01490,GKQ38_RS01490,GKQ38_01485,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636702,GKQ38_RS01495,GKQ38_RS01495,GKQ38_01490,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636703,GKQ38_RS01500,GKQ38_RS01500,GKQ38_01495,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636704,GKQ38_RS01505,GKQ38_RS01505,GKQ38_01500,-,-,-,RNA methyltransferase,protein-coding,-,-,-,RNA methyltransferase,20210522,-
2594798,55636705,GKQ38_RS01510,GKQ38_RS01510,GKQ38_01505,-,-,-,DUF1512 family protein,protein-coding,-,-,-,DUF1512 family protein,20210522,-
2594798,55636706,GKQ38_RS01515,GKQ38_RS01515,GKQ38_01510,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636707,GKQ38_RS01520,GKQ38_RS01520,GKQ38_01515,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636708,GKQ38_RS01525,GKQ38_RS01525,GKQ38_01520,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2594798,55636709,GKQ38_RS01530,GKQ38_RS01530,GKQ38_01525,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636710,GKQ38_RS01535,GKQ38_RS01535,GKQ38_01530,-,-,-,proline--tRNA ligase,protein-coding,-,-,-,proline--tRNA ligase,20210522,-
2594798,55636711,GKQ38_RS01540,GKQ38_RS01540,GKQ38_01535,-,-,-,zinc ribbon domain-containing protein,protein-coding,-,-,-,zinc ribbon domain-containing protein,20210522,-
2594798,55636712,GKQ38_RS01545,GKQ38_RS01545,GKQ38_01540,-,-,-,proline--tRNA ligase,protein-coding,-,-,-,proline--tRNA ligase,20210522,-
2594798,55636713,GKQ38_RS01550,GKQ38_RS01550,GKQ38_01545,-,-,-,amidohydrolase family protein,protein-coding,-,-,-,amidohydrolase family protein,20210522,-
2594798,55636714,GKQ38_RS01555,GKQ38_RS01555,GKQ38_01550,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636715,GKQ38_RS01560,GKQ38_RS01560,GKQ38_01555,-,-,-,DEAD/DEAH box helicase,protein-coding,-,-,-,DEAD/DEAH box helicase,20210522,-
2594798,55636716,GKQ38_RS01565,GKQ38_RS01565,GKQ38_01560,-,-,-,aminopeptidase,protein-coding,-,-,-,aminopeptidase,20200624,-
2594798,55636717,GKQ38_RS01570,GKQ38_RS01570,GKQ38_01565,-,-,-,M20/M25/M40 family metallo-hydrolase,protein-coding,-,-,-,M20/M25/M40 family metallo-hydrolase,20210522,-
2594798,55636718,GKQ38_RS01575,GKQ38_RS01575,GKQ38_01570,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636719,GKQ38_RS01580,GKQ38_RS01580,GKQ38_01575,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636720,GKQ38_RS01585,GKQ38_RS01585,GKQ38_01580,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636721,psmB,GKQ38_RS01590,GKQ38_01585,-,-,-,archaeal proteasome endopeptidase complex subunit beta,protein-coding,-,-,-,archaeal proteasome endopeptidase complex subunit beta,20210522,-
2594798,55636722,GKQ38_RS01595,GKQ38_RS01595,GKQ38_01590,-,-,-,beta-CASP ribonuclease aCPSF1,protein-coding,-,-,-,beta-CASP ribonuclease aCPSF1,20210522,-
2594798,55636723,GKQ38_RS01600,GKQ38_RS01600,GKQ38_01595,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636724,GKQ38_RS01605,GKQ38_RS01605,GKQ38_01600,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2594798,55636725,GKQ38_RS01610,GKQ38_RS01610,GKQ38_01605,-,-,-,NAD(P)H-binding protein,protein-coding,-,-,-,NAD(P)H-binding protein,20210522,-
2594798,55636726,GKQ38_RS01615,GKQ38_RS01615,GKQ38_01610,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636727,GKQ38_RS01620,GKQ38_RS01620,GKQ38_01615,-,-,-,tRNA-binding protein,protein-coding,-,-,-,tRNA-binding protein,20210522,-
2594798,55636728,GKQ38_RS01625,GKQ38_RS01625,GKQ38_01620,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
