#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
134537,58747553,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Burkholderia fungorum.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20200824,-
134537,61178271,A8H39_RS02065,A8H39_RS02065,A8H39_02060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61178272,A8H39_RS02070,A8H39_RS02070,A8H39_02065,-,-,-,DUF4123 domain-containing protein,protein-coding,-,-,-,DUF4123 domain-containing protein,20201228,-
134537,61178273,A8H39_RS02075,A8H39_RS02075,A8H39_02070,-,-,-,PAAR domain-containing protein,protein-coding,-,-,-,PAAR domain-containing protein,20201228,-
134537,61178274,A8H39_RS02080,A8H39_RS02080,A8H39_02075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61178275,A8H39_RS02085,A8H39_RS02085,A8H39_02080,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61178276,A8H39_RS02090,A8H39_RS02090,A8H39_02085,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61178277,A8H39_RS02095,A8H39_RS02095,A8H39_02090,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61178278,A8H39_RS02100,A8H39_RS02100,A8H39_02095,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61178279,A8H39_RS02105,A8H39_RS02105,A8H39_02100,-,-,-,NADAR family protein,protein-coding,-,-,-,NADAR family protein,20201228,-
134537,61178280,A8H39_RS02110,A8H39_RS02110,A8H39_02105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201228,-
134537,61178281,A8H39_RS02115,A8H39_RS02115,A8H39_02110,-,-,-,phosphoadenosine phosphosulfate sulfotransferase,protein-coding,-,-,-,phosphoadenosine phosphosulfate sulfotransferase,20210424,-
134537,61178282,A8H39_RS02120,A8H39_RS02120,A8H39_02115,-,-,-,site-specific DNA-methyltransferase,protein-coding,-,-,-,site-specific DNA-methyltransferase,20201228,-
134537,61178283,A8H39_RS02125,A8H39_RS02125,A8H39_02120,-,-,-,phosphoadenosine phosphosulfate reductase family protein,protein-coding,-,-,-,phosphoadenosine phosphosulfate reductase family protein,20201228,-
134537,61178284,A8H39_RS02130,A8H39_RS02130,A8H39_02125,-,-,-,DNA cytosine methyltransferase,protein-coding,-,-,-,DNA cytosine methyltransferase,20210417,-
134537,61178285,A8H39_RS02135,A8H39_RS02135,A8H39_02130,-,-,-,Nramp family divalent metal transporter,protein-coding,-,-,-,Nramp family divalent metal transporter,20210417,-
134537,61178286,A8H39_RS02140,A8H39_RS02140,A8H39_02135,-,-,-,DUF305 domain-containing protein,protein-coding,-,-,-,DUF305 domain-containing protein,20210424,-
134537,61178287,A8H39_RS02145,A8H39_RS02145,A8H39_02140,-,-,-,permease,protein-coding,-,-,-,permease,20210424,-
134537,61178288,A8H39_RS02150,A8H39_RS02150,A8H39_02145,-,-,-,pseudo,pseudo,-,-,-,-,20201226,-
134537,61178289,A8H39_RS02155,A8H39_RS02155,A8H39_02150,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201230,-
134537,61178290,A8H39_RS02160,A8H39_RS02160,A8H39_02155,-,-,-,class I SAM-dependent methyltransferase,protein-coding,-,-,-,class I SAM-dependent methyltransferase,20201228,-
134537,61178291,ccsB,A8H39_RS02165,A8H39_02160,-,-,-,c-type cytochrome biogenesis protein CcsB,protein-coding,-,-,-,c-type cytochrome biogenesis protein CcsB,20201230,-
134537,61178292,A8H39_RS02170,A8H39_RS02170,A8H39_02165,-,-,-,cytochrome c biogenesis protein ResB,protein-coding,-,-,-,cytochrome c biogenesis protein ResB,20210424,-
134537,61178293,A8H39_RS02175,A8H39_RS02175,A8H39_02170,-,-,-,TlpA family protein disulfide reductase,protein-coding,-,-,-,TlpA family protein disulfide reductase,20201228,-
134537,61178294,A8H39_RS02180,A8H39_RS02180,A8H39_02175,-,-,-,disulfide bond formation protein DsbD,protein-coding,-,-,-,disulfide bond formation protein DsbD,20210424,-
134537,61178295,A8H39_RS02185,A8H39_RS02185,A8H39_02180,-,-,-,thioredoxin family protein,protein-coding,-,-,-,thioredoxin family protein,20210424,-
134537,61178296,A8H39_RS02190,A8H39_RS02190,A8H39_02185,-,-,-,TlpA family protein disulfide reductase,protein-coding,-,-,-,TlpA family protein disulfide reductase,20201230,-
134537,61178297,A8H39_RS02195,A8H39_RS02195,A8H39_02190,-,-,-,multicopper oxidase family protein,protein-coding,-,-,-,multicopper oxidase family protein,20201230,-
134537,61178298,A8H39_RS02200,A8H39_RS02200,A8H39_02195,-,-,-,pseudo,pseudo,-,-,-,-,20201226,-
134537,61178299,cueR,A8H39_RS02210,A8H39_02205,-,-,-,Cu(I)-responsive transcriptional regulator,protein-coding,-,-,-,Cu(I)-responsive transcriptional regulator,20201230,-
134537,61178300,A8H39_RS02220,A8H39_RS02220,A8H39_02215,-,-,-,molybdopterin-dependent oxidoreductase,protein-coding,-,-,-,molybdopterin-dependent oxidoreductase,20201230,-
134537,61178301,A8H39_RS02225,A8H39_RS02225,A8H39_02220,-,-,-,cytochrome b/b6 domain-containing protein,protein-coding,-,-,-,cytochrome b/b6 domain-containing protein,20201230,-
134537,61178302,A8H39_RS02230,A8H39_RS02230,A8H39_02225,-,-,-,tyrosine-type recombinase/integrase,protein-coding,-,-,-,tyrosine-type recombinase/integrase,20210116,-
134537,61178303,A8H39_RS02235,A8H39_RS02235,A8H39_02230,-,-,-,DNA-binding protein,protein-coding,-,-,-,DNA-binding protein,20210424,-
134537,61178304,A8H39_RS02240,A8H39_RS02240,A8H39_02235,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201230,-
134537,61178305,A8H39_RS02245,A8H39_RS02245,A8H39_02240,-,-,-,SET domain-containing protein-lysine N-methyltransferase,protein-coding,-,-,-,SET domain-containing protein-lysine N-methyltransferase,20210424,-
134537,61178306,A8H39_RS02250,A8H39_RS02250,A8H39_02245,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201230,-
134537,61178307,A8H39_RS02255,A8H39_RS02255,A8H39_02250,-,-,-,DUF3800 domain-containing protein,protein-coding,-,-,-,DUF3800 domain-containing protein,20210424,-
134537,61178308,A8H39_RS02260,A8H39_RS02260,A8H39_02255,-,-,-,Tn3 family transposase,protein-coding,-,-,-,Tn3 family transposase,20210424,-
134537,61178309,A8H39_RS02265,A8H39_RS02265,A8H39_02260,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61178310,A8H39_RS02275,A8H39_RS02275,A8H39_02270,-,-,-,c-type cytochrome,protein-coding,-,-,-,c-type cytochrome,20210424,-
134537,61178311,A8H39_RS02280,A8H39_RS02280,A8H39_02275,-,-,-,c-type cytochrome,protein-coding,-,-,-,c-type cytochrome,20210424,-
134537,61178312,A8H39_RS02285,A8H39_RS02285,A8H39_02280,-,-,-,substrate-binding domain-containing protein,protein-coding,-,-,-,substrate-binding domain-containing protein,20210417,-
134537,61178313,A8H39_RS02290,A8H39_RS02290,A8H39_02285,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201230,-
134537,61178314,A8H39_RS02295,A8H39_RS02295,A8H39_02290,-,-,-,extracellular solute-binding protein,protein-coding,-,-,-,extracellular solute-binding protein,20201230,-
134537,61178315,A8H39_RS02300,A8H39_RS02300,A8H39_02295,-,-,-,TlpA family protein disulfide reductase,protein-coding,-,-,-,TlpA family protein disulfide reductase,20210424,-
134537,61178316,A8H39_RS02305,A8H39_RS02305,A8H39_02300,-,-,-,DsrE family protein,protein-coding,-,-,-,DsrE family protein,20210129,-
134537,61178317,A8H39_RS02310,A8H39_RS02310,A8H39_02305,-,-,-,thioredoxin fold domain-containing protein,protein-coding,-,-,-,thioredoxin fold domain-containing protein,20210129,-
134537,61178318,A8H39_RS02315,A8H39_RS02315,A8H39_02310,-,-,-,sulfite exporter TauE/SafE family protein,protein-coding,-,-,-,sulfite exporter TauE/SafE family protein,20210424,-
134537,61178319,A8H39_RS02320,A8H39_RS02320,A8H39_02315,-,-,-,MBL fold metallo-hydrolase,protein-coding,-,-,-,MBL fold metallo-hydrolase,20201230,-
134537,61178320,A8H39_RS02325,A8H39_RS02325,A8H39_02320,-,-,-,NAD(P)/FAD-dependent oxidoreductase,protein-coding,-,-,-,NAD(P)/FAD-dependent oxidoreductase,20201228,-
134537,61178321,A8H39_RS02330,A8H39_RS02330,A8H39_02325,-,-,-,DUF2244 domain-containing protein,protein-coding,-,-,-,DUF2244 domain-containing protein,20210424,-
134537,61178322,ctaD,A8H39_RS02335,A8H39_02330,-,-,-,cytochrome c oxidase subunit I,protein-coding,-,-,-,cytochrome c oxidase subunit I,20201230,-
134537,61178323,A8H39_RS02340,A8H39_RS02340,A8H39_02335,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
134537,61178324,A8H39_RS02345,A8H39_RS02345,A8H39_02340,-,-,-,YeeE/YedE family protein,protein-coding,-,-,-,YeeE/YedE family protein,20201230,-
134537,61178325,A8H39_RS02350,A8H39_RS02350,A8H39_02345,-,-,-,YeeE/YedE family protein,protein-coding,-,-,-,YeeE/YedE family protein,20201230,-
134537,61178326,A8H39_RS02355,A8H39_RS02355,A8H39_02350,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
134537,61178327,A8H39_RS02360,A8H39_RS02360,A8H39_02355,-,-,-,substrate-binding domain-containing protein,protein-coding,-,-,-,substrate-binding domain-containing protein,20210424,-
134537,61178328,A8H39_RS02365,A8H39_RS02365,A8H39_02360,-,-,-,DsrE family protein,protein-coding,-,-,-,DsrE family protein,20210424,-
134537,61178329,A8H39_RS02370,A8H39_RS02370,A8H39_02365,-,-,-,ferredoxin--NADP reductase,protein-coding,-,-,-,ferredoxin--NADP reductase,20201230,-
134537,61178330,A8H39_RS02375,A8H39_RS02375,A8H39_02370,-,-,-,c-type cytochrome,protein-coding,-,-,-,c-type cytochrome,20210424,-
134537,61178331,A8H39_RS02380,A8H39_RS02380,A8H39_02375,-,-,-,c-type cytochrome,protein-coding,-,-,-,c-type cytochrome,20210417,-
134537,61178332,A8H39_RS02385,A8H39_RS02385,A8H39_02380,-,-,-,cbb3-type cytochrome c oxidase subunit I,protein-coding,-,-,-,cbb3-type cytochrome c oxidase subunit I,20210424,-
134537,61178333,A8H39_RS02390,A8H39_RS02390,A8H39_02385,-,-,-,cbb3-type cytochrome c oxidase subunit II,protein-coding,-,-,-,cbb3-type cytochrome c oxidase subunit II,20210417,-
134537,61178334,A8H39_RS02395,A8H39_RS02395,A8H39_02390,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201230,-
134537,61178335,A8H39_RS02400,A8H39_RS02400,A8H39_02395,-,-,-,substrate-binding domain-containing protein,protein-coding,-,-,-,substrate-binding domain-containing protein,20201230,-
134537,61178336,A8H39_RS02405,A8H39_RS02405,A8H39_02400,-,-,-,LysR family transcriptional regulator,protein-coding,-,-,-,LysR family transcriptional regulator,20210424,-
134537,61178337,A8H39_RS02410,A8H39_RS02410,A8H39_02405,-,-,-,pseudo,pseudo,-,-,-,-,20201226,-
134537,61178338,A8H39_RS02415,A8H39_RS02415,A8H39_02410,-,-,-,uracil-DNA glycosylase,protein-coding,-,-,-,uracil-DNA glycosylase,20210129,-
134537,61178339,A8H39_RS02420,A8H39_RS02420,A8H39_02415,-,-,-,pseudo,pseudo,-,-,-,-,20201226,-
134537,61178340,A8H39_RS02425,A8H39_RS02425,A8H39_02420,-,-,-,chloride channel protein,protein-coding,-,-,-,chloride channel protein,20201228,-
134537,61178341,ctaD,A8H39_RS02430,A8H39_02425,-,-,-,cytochrome c oxidase subunit I,protein-coding,-,-,-,cytochrome c oxidase subunit I,20201230,-
134537,61178342,A8H39_RS02435,A8H39_RS02435,A8H39_02430,-,-,-,DUF2244 domain-containing protein,protein-coding,-,-,-,DUF2244 domain-containing protein,20210424,-
134537,61178343,A8H39_RS02440,A8H39_RS02440,A8H39_02435,-,-,-,malate dehydrogenase,protein-coding,-,-,-,malate dehydrogenase,20201230,-
134537,61178344,A8H39_RS02445,A8H39_RS02445,A8H39_02440,-,-,-,TDT family transporter,protein-coding,-,-,-,TDT family transporter,20201230,-
134537,61178345,A8H39_RS02450,A8H39_RS02450,A8H39_02445,-,-,-,pseudo,pseudo,-,-,-,-,20201226,-
134537,61178346,A8H39_RS02455,A8H39_RS02455,A8H39_02450,-,-,-,DUF190 domain-containing protein,protein-coding,-,-,-,DUF190 domain-containing protein,20201228,-
134537,61178347,crcB,A8H39_RS02460,A8H39_02455,-,-,-,fluoride efflux transporter CrcB,protein-coding,-,-,-,fluoride efflux transporter CrcB,20210424,-
134537,61178348,A8H39_RS02465,A8H39_RS02465,A8H39_02460,-,-,-,DUF190 domain-containing protein,protein-coding,-,-,-,DUF190 domain-containing protein,20201226,-
134537,61178349,A8H39_RS02470,A8H39_RS02470,A8H39_02465,-,-,-,voltage-gated chloride channel family protein,protein-coding,-,-,-,voltage-gated chloride channel family protein,20201230,-
134537,61178350,A8H39_RS02475,A8H39_RS02475,A8H39_02470,-,-,-,sorbosone dehydrogenase family protein,protein-coding,-,-,-,sorbosone dehydrogenase family protein,20201230,-
134537,61178351,A8H39_RS02480,A8H39_RS02480,A8H39_02475,-,-,-,pseudo,pseudo,-,-,-,-,20201226,-
134537,61178352,A8H39_RS02485,A8H39_RS02485,A8H39_02480,-,-,-,VOC family protein,protein-coding,-,-,-,VOC family protein,20201230,-
134537,61178353,A8H39_RS02490,A8H39_RS02490,A8H39_02485,-,-,-,SMP-30/gluconolactonase/LRE family protein,protein-coding,-,-,-,SMP-30/gluconolactonase/LRE family protein,20201230,-
134537,61178354,A8H39_RS02495,A8H39_RS02495,A8H39_02490,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
134537,61178355,A8H39_RS02500,A8H39_RS02500,A8H39_02495,-,-,-,DoxX family protein,protein-coding,-,-,-,DoxX family protein,20210327,-
134537,61178356,A8H39_RS02505,A8H39_RS02505,A8H39_02500,-,-,-,GMC family oxidoreductase,protein-coding,-,-,-,GMC family oxidoreductase,20201230,-
134537,61178357,A8H39_RS02510,A8H39_RS02510,A8H39_02505,-,-,-,SDR family oxidoreductase,protein-coding,-,-,-,SDR family oxidoreductase,20201230,-
134537,61178358,A8H39_RS02515,A8H39_RS02515,A8H39_02510,-,-,-,glycoside hydrolase family 15 protein,protein-coding,-,-,-,glycoside hydrolase family 15 protein,20201230,-
134537,61178359,A8H39_RS02520,A8H39_RS02520,A8H39_02515,-,-,-,SDR family oxidoreductase,protein-coding,-,-,-,SDR family oxidoreductase,20210424,-
134537,61178360,A8H39_RS02525,A8H39_RS02525,A8H39_02520,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
134537,61178361,A8H39_RS02530,A8H39_RS02530,A8H39_02525,-,-,-,cbb3-type cytochrome c oxidase subunit I,protein-coding,-,-,-,cbb3-type cytochrome c oxidase subunit I,20210417,-
134537,61178362,A8H39_RS02535,A8H39_RS02535,A8H39_02530,-,-,-,cytochrome c oxidase subunit 3,protein-coding,-,-,-,cytochrome c oxidase subunit 3,20210424,-
134537,61178363,A8H39_RS02540,A8H39_RS02540,A8H39_02535,-,-,-,cytochrome C oxidase subunit IV family protein,protein-coding,-,-,-,cytochrome C oxidase subunit IV family protein,20210424,-
134537,61178364,A8H39_RS02545,A8H39_RS02545,A8H39_02540,-,-,-,pseudo,pseudo,-,-,-,-,20201226,-
134537,61178365,A8H39_RS02550,A8H39_RS02550,A8H39_02545,-,-,-,pseudo,pseudo,-,-,-,-,20201226,-
134537,61178366,A8H39_RS02555,A8H39_RS02555,A8H39_02550,-,-,-,glycine zipper family protein,protein-coding,-,-,-,glycine zipper family protein,20201230,-
134537,61178367,A8H39_RS02560,A8H39_RS02560,A8H39_02555,-,-,-,YfdX family protein,protein-coding,-,-,-,YfdX family protein,20210424,-
134537,61178368,A8H39_RS02565,A8H39_RS02565,A8H39_02560,-,-,-,pseudo,pseudo,-,-,-,-,20201226,-
134537,61178369,A8H39_RS02570,A8H39_RS02570,A8H39_02565,-,-,-,VIT family protein,protein-coding,-,-,-,VIT family protein,20201230,-
134537,61178370,A8H39_RS02575,A8H39_RS02575,A8H39_02570,-,-,-,cytochrome b,protein-coding,-,-,-,cytochrome b,20201228,-
134537,61178371,A8H39_RS02585,A8H39_RS02585,A8H39_02580,-,-,-,IS21-like element helper ATPase IstB,protein-coding,-,-,-,IS21-like element helper ATPase IstB,20210424,-
134537,61178372,A8H39_RS02590,A8H39_RS02590,A8H39_02585,-,-,-,IS21 family transposase,protein-coding,-,-,-,IS21 family transposase,20210424,-
134537,61178373,A8H39_RS02600,A8H39_RS02600,A8H39_02595,-,-,-,class I SAM-dependent methyltransferase,protein-coding,-,-,-,class I SAM-dependent methyltransferase,20210424,-
134537,61178374,A8H39_RS02605,A8H39_RS02605,A8H39_02600,-,-,-,pseudo,pseudo,-,-,-,-,20201226,-
134537,61178375,A8H39_RS02610,A8H39_RS02610,A8H39_02605,-,-,-,DUF305 domain-containing protein,protein-coding,-,-,-,DUF305 domain-containing protein,20210424,-
134537,61178376,A8H39_RS02615,A8H39_RS02615,A8H39_02610,-,-,-,permease,protein-coding,-,-,-,permease,20201230,-
134537,61178377,A8H39_RS02620,A8H39_RS02620,A8H39_02615,-,-,-,beta-propeller fold lactonase family protein,protein-coding,-,-,-,beta-propeller fold lactonase family protein,20201230,-
134537,61178378,A8H39_RS02625,A8H39_RS02625,A8H39_02620,-,-,-,heavy-metal-associated domain-containing protein,protein-coding,-,-,-,heavy-metal-associated domain-containing protein,20201230,-
134537,61178379,A8H39_RS02630,A8H39_RS02630,A8H39_02625,-,-,-,heavy metal sensor histidine kinase,protein-coding,-,-,-,heavy metal sensor histidine kinase,20210424,-
134537,61178380,A8H39_RS02635,A8H39_RS02635,A8H39_02630,-,-,-,heavy metal response regulator transcription factor,protein-coding,-,-,-,heavy metal response regulator transcription factor,20201230,-
134537,61178381,A8H39_RS02645,A8H39_RS02645,A8H39_02640,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201230,-
134537,61178382,A8H39_RS02650,A8H39_RS02650,A8H39_02645,-,-,-,TolC family protein,protein-coding,-,-,-,TolC family protein,20201230,-
134537,61178383,A8H39_RS02655,A8H39_RS02655,A8H39_02650,-,-,-,copper oxidase,protein-coding,-,-,-,copper oxidase,20210424,-
134537,61178384,A8H39_RS02660,A8H39_RS02660,A8H39_02655,-,-,-,copper-binding protein,protein-coding,-,-,-,copper-binding protein,20210424,-
134537,61178385,A8H39_RS02665,A8H39_RS02665,A8H39_02660,-,-,-,pseudo,pseudo,-,-,-,-,20201226,-
134537,61178386,A8H39_RS02670,A8H39_RS02670,A8H39_02665,-,-,-,IS21 family transposase,protein-coding,-,-,-,IS21 family transposase,20201228,-
134537,61178387,A8H39_RS02675,A8H39_RS02675,A8H39_02670,-,-,-,IS21-like element IS408 family helper ATPase IstB,protein-coding,-,-,-,IS21-like element IS408 family helper ATPase IstB,20201228,-
134537,61178388,A8H39_RS02680,A8H39_RS02680,A8H39_02675,-,-,-,copper resistance protein CopC,protein-coding,-,-,-,copper resistance protein CopC,20201228,-
134537,61178389,A8H39_RS02685,A8H39_RS02685,A8H39_02680,-,-,-,CopD family protein,protein-coding,-,-,-,CopD family protein,20201228,-
134537,61178390,A8H39_RS02690,A8H39_RS02690,A8H39_02685,-,-,-,DUF4148 domain-containing protein,protein-coding,-,-,-,DUF4148 domain-containing protein,20210424,-
134537,61178391,A8H39_RS02695,A8H39_RS02695,A8H39_02690,-,-,-,pseudo,pseudo,-,-,-,-,20201226,-
134537,61178392,A8H39_RS02700,A8H39_RS02700,A8H39_02695,-,-,-,DUF4148 domain-containing protein,protein-coding,-,-,-,DUF4148 domain-containing protein,20210424,-
134537,61178393,A8H39_RS02705,A8H39_RS02705,A8H39_02700,-,-,-,pseudo,pseudo,-,-,-,-,20201226,-
134537,61178394,A8H39_RS02710,A8H39_RS02710,A8H39_02705,-,-,-,winged helix-turn-helix transcriptional regulator,protein-coding,-,-,-,winged helix-turn-helix transcriptional regulator,20210424,-
134537,61178395,A8H39_RS02715,A8H39_RS02715,A8H39_02710,-,-,-,YeeE/YedE family protein,protein-coding,-,-,-,YeeE/YedE family protein,20201230,-
134537,61178396,A8H39_RS02720,A8H39_RS02720,A8H39_02715,-,-,-,YeeE/YedE family protein,protein-coding,-,-,-,YeeE/YedE family protein,20210424,-
134537,61178397,A8H39_RS02725,A8H39_RS02725,A8H39_02720,-,-,-,DUF4148 domain-containing protein,protein-coding,-,-,-,DUF4148 domain-containing protein,20210424,-
134537,61178398,A8H39_RS02730,A8H39_RS02730,A8H39_02725,-,-,-,cytochrome b,protein-coding,-,-,-,cytochrome b,20201230,-
134537,61178399,A8H39_RS02735,A8H39_RS02735,A8H39_02730,-,-,-,PepSY domain-containing protein,protein-coding,-,-,-,PepSY domain-containing protein,20210424,-
134537,61178400,A8H39_RS02740,A8H39_RS02740,A8H39_02735,-,-,-,response regulator,protein-coding,-,-,-,response regulator,20201230,-
134537,61178401,A8H39_RS02745,A8H39_RS02745,A8H39_02740,-,-,-,two-component sensor histidine kinase,protein-coding,-,-,-,two-component sensor histidine kinase,20201230,-
134537,61178402,A8H39_RS02750,A8H39_RS02750,A8H39_02745,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61178403,phoU,A8H39_RS02755,A8H39_02750,-,-,-,phosphate signaling complex protein PhoU,protein-coding,-,-,-,phosphate signaling complex protein PhoU,20210424,-
134537,61178404,A8H39_RS02760,A8H39_RS02760,A8H39_02755,-,-,-,MFS transporter,protein-coding,-,-,-,MFS transporter,20201227,-
134537,61178405,A8H39_RS02765,A8H39_RS02765,A8H39_02760,-,-,-,efflux RND transporter permease subunit,protein-coding,-,-,-,efflux RND transporter permease subunit,20201230,-
134537,61178406,A8H39_RS02770,A8H39_RS02770,A8H39_02765,-,-,-,efflux RND transporter periplasmic adaptor subunit,protein-coding,-,-,-,efflux RND transporter periplasmic adaptor subunit,20201230,-
134537,61178407,A8H39_RS02775,A8H39_RS02775,A8H39_02770,-,-,-,TolC family protein,protein-coding,-,-,-,TolC family protein,20210116,-
134537,61178408,A8H39_RS02780,A8H39_RS02780,A8H39_02775,-,-,-,response regulator,protein-coding,-,-,-,response regulator,20201230,-
134537,61178409,A8H39_RS02785,A8H39_RS02785,A8H39_02780,-,-,-,two-component sensor histidine kinase,protein-coding,-,-,-,two-component sensor histidine kinase,20201230,-
134537,61178410,A8H39_RS02790,A8H39_RS02790,A8H39_02785,-,-,-,pseudo,pseudo,-,-,-,-,20201226,-
134537,61178411,arsH,A8H39_RS02795,A8H39_02790,-,-,-,pseudo,pseudo,-,-,-,-,20201226,-
134537,61178412,A8H39_RS02800,A8H39_RS02800,A8H39_02795,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201227,-
134537,61178413,A8H39_RS02805,A8H39_RS02805,A8H39_02800,-,-,-,YfdX family protein,protein-coding,-,-,-,YfdX family protein,20210424,-
134537,61178414,petA,A8H39_RS02810,A8H39_02805,-,-,-,ubiquinol-cytochrome c reductase iron-sulfur subunit,protein-coding,-,-,-,ubiquinol-cytochrome c reductase iron-sulfur subunit,20201227,-
134537,61178415,A8H39_RS02815,A8H39_RS02815,A8H39_02810,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201230,-
134537,61178416,A8H39_RS02820,A8H39_RS02820,A8H39_02815,-,-,-,tyrosine-type recombinase/integrase,protein-coding,-,-,-,tyrosine-type recombinase/integrase,20210424,-
134537,61178417,A8H39_RS02825,A8H39_RS02825,A8H39_02820,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201230,-
134537,61178418,A8H39_RS02830,A8H39_RS02830,A8H39_02825,-,-,-,DUF4935 domain-containing protein,protein-coding,-,-,-,DUF4935 domain-containing protein,20201230,-
134537,61178419,A8H39_RS02835,A8H39_RS02835,A8H39_02830,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201230,-
134537,61178420,A8H39_RS02840,A8H39_RS02840,A8H39_02835,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201230,-
134537,61178421,A8H39_RS02845,A8H39_RS02845,A8H39_02840,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201230,-
134537,61178422,A8H39_RS02850,A8H39_RS02850,A8H39_02845,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201230,-
134537,61178423,A8H39_RS02855,A8H39_RS02855,A8H39_02850,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201230,-
134537,61178424,A8H39_RS02860,A8H39_RS02860,A8H39_02855,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201230,-
134537,61178425,A8H39_RS02865,A8H39_RS02865,A8H39_02860,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
134537,61178426,A8H39_RS02875,A8H39_RS02875,A8H39_02870,-,-,-,TatD family hydrolase,protein-coding,-,-,-,TatD family hydrolase,20210424,-
134537,61178427,A8H39_RS02880,A8H39_RS02880,A8H39_02875,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201230,-
134537,61178428,A8H39_RS02890,A8H39_RS02890,A8H39_02885,-,-,-,NTPase KAP,protein-coding,-,-,-,NTPase KAP,20210424,-
134537,61178429,A8H39_RS02895,A8H39_RS02895,A8H39_02890,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61178430,A8H39_RS02900,A8H39_RS02900,A8H39_02895,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201230,-
134537,61178431,A8H39_RS02905,A8H39_RS02905,A8H39_02900,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201230,-
134537,61178432,A8H39_RS02910,A8H39_RS02910,A8H39_02905,-,-,-,pseudo,pseudo,-,-,-,-,20201226,-
134537,61178433,A8H39_RS02915,A8H39_RS02915,A8H39_02910,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201230,-
134537,61178434,A8H39_RS02920,A8H39_RS02920,A8H39_02915,-,-,-,tyrosine-type recombinase/integrase,protein-coding,-,-,-,tyrosine-type recombinase/integrase,20210424,-
134537,61178435,A8H39_RS02925,A8H39_RS02925,A8H39_02920,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201230,-
134537,61178436,A8H39_RS02930,A8H39_RS02930,A8H39_02925,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
134537,61178437,A8H39_RS02935,A8H39_RS02935,A8H39_02930,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201230,-
134537,61178438,A8H39_RS02940,A8H39_RS02940,A8H39_02935,-,-,-,pseudo,pseudo,-,-,-,-,20201226,-
134537,61178439,A8H39_RS02945,A8H39_RS02945,A8H39_02940,-,-,-,error-prone DNA polymerase,protein-coding,-,-,-,error-prone DNA polymerase,20201230,-
134537,61178440,A8H39_RS02950,A8H39_RS02950,A8H39_02945,-,-,-,DNA polymerase Y family protein,protein-coding,-,-,-,DNA polymerase Y family protein,20201227,-
