#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2576882,65056533,KMC02_gp002,KMC02_gp002,EcNP1_gp003,-,-,-,putative immunity to superinfection membrane protein,protein-coding,-,-,-,putative immunity to superinfection membrane protein,20210608,-
2576882,65056705,KMC02_gp174,KMC02_gp174,EcNP1_gp175,-,-,-,putative polynucleotide 5'-kinase and 3'-phosphatase,protein-coding,-,-,-,putative polynucleotide 5'-kinase and 3'-phosphatase,20210608,-
2576882,65056706,KMC02_gp175,KMC02_gp175,EcNP1_gp176,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056707,KMC02_gp176,KMC02_gp176,EcNP1_gp177,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056708,KMC02_gp177,KMC02_gp177,EcNP1_gp178,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056709,KMC02_gp178,KMC02_gp178,EcNP1_gp179,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056710,KMC02_gp179,KMC02_gp179,EcNP1_gp180,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056711,KMC02_gp180,KMC02_gp180,EcNP1_gp181,-,-,-,RNA ligase A,protein-coding,-,-,-,RNA ligase A,20210608,-
2576882,65056712,KMC02_gp181,KMC02_gp181,EcNP1_gp182,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20210608,-
2576882,65056713,KMC02_gp182,KMC02_gp182,EcNP1_gp183,-,-,-,ribonucleotide-diphosphate reductase subunit beta,protein-coding,-,-,-,ribonucleotide-diphosphate reductase subunit beta,20210608,-
2576882,65056714,KMC02_gp183,KMC02_gp183,EcNP1_gp184,-,-,-,putative ribonucleotide reductase A subunit,protein-coding,-,-,-,putative ribonucleotide reductase A subunit,20210608,-
2576882,65056715,KMC02_gp184,KMC02_gp184,EcNP1_gp185,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056716,KMC02_gp185,KMC02_gp185,EcNP1_gp186,-,-,-,dTMP thymidylate synthase,protein-coding,-,-,-,dTMP thymidylate synthase,20210608,-
2576882,65056717,KMC02_gp186,KMC02_gp186,EcNP1_gp187,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056718,KMC02_gp187,KMC02_gp187,EcNP1_gp188,-,-,-,putative dihydrofolate reductase,protein-coding,-,-,-,putative dihydrofolate reductase,20210608,-
2576882,65056719,KMC02_gp188,KMC02_gp188,EcNP1_gp189,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056720,KMC02_gp189,KMC02_gp189,EcNP1_gp190,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056721,KMC02_gp190,KMC02_gp190,EcNP1_gp191,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056722,KMC02_gp191,KMC02_gp191,EcNP1_gp192,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056723,KMC02_gp192,KMC02_gp192,EcNP1_gp193,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056724,KMC02_gp193,KMC02_gp193,EcNP1_gp194,-,-,-,single-stranded DNA binding protein,protein-coding,-,-,-,single-stranded DNA binding protein,20210608,-
2576882,65056725,KMC02_gp194,KMC02_gp194,EcNP1_gp195,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056726,KMC02_gp195,KMC02_gp195,EcNP1_gp196,-,-,-,late promoter transcription accessory protein,protein-coding,-,-,-,late promoter transcription accessory protein,20210608,-
2576882,65056727,KMC02_gp196,KMC02_gp196,EcNP1_gp197,-,-,-,double-stranded DNA binding protein,protein-coding,-,-,-,double-stranded DNA binding protein,20210612,-
2576882,65056728,KMC02_gp197,KMC02_gp197,EcNP1_gp198,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056729,KMC02_gp198,KMC02_gp198,EcNP1_gp199,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20210608,-
2576882,65056730,KMC02_gp199,KMC02_gp199,EcNP1_gp200,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056731,KMC02_gp200,KMC02_gp200,EcNP1_gp201,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056732,KMC02_gp201,KMC02_gp201,EcNP1_gp202,-,-,-,tail fibers protein,protein-coding,-,-,-,tail fibers protein,20210608,-
2576882,65056733,KMC02_gp202,KMC02_gp202,EcNP1_gp203,-,-,-,putative tail fiber adhesin,protein-coding,-,-,-,putative tail fiber adhesin,20210608,-
2576882,65056734,KMC02_gp203,KMC02_gp203,EcNP1_gp204,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20210608,-
2576882,65056735,KMC02_gp204,KMC02_gp204,EcNP1_gp205,-,-,-,anti-sigma 70 protein,protein-coding,-,-,-,anti-sigma 70 protein,20210608,-
2576882,65056736,KMC02_gp205,KMC02_gp205,EcNP1_gp206,-,-,-,anti-sigma factor,protein-coding,-,-,-,anti-sigma factor,20210608,-
2576882,65056737,KMC02_gp206,KMC02_gp206,EcNP1_gp207,-,-,-,inhibitor of MrcBC restriction endonuclease,protein-coding,-,-,-,inhibitor of MrcBC restriction endonuclease,20210608,-
2576882,65056738,KMC02_gp207,KMC02_gp207,EcNP1_gp208,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056739,KMC02_gp208,KMC02_gp208,EcNP1_gp209,-,-,-,panti-restriction nuclease,protein-coding,-,-,-,panti-restriction nuclease,20210608,-
2576882,65056740,KMC02_gp209,KMC02_gp209,EcNP1_gp210,-,-,-,anti-restriction nuclease,protein-coding,-,-,-,anti-restriction nuclease,20210608,-
2576882,65056741,KMC02_gp210,KMC02_gp210,EcNP1_gp211,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056742,KMC02_gp211,KMC02_gp211,EcNP1_gp212,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056743,KMC02_gp212,KMC02_gp212,EcNP1_gp213,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056744,KMC02_gp213,KMC02_gp213,EcNP1_gp214,-,-,-,DNA topoisomerase,protein-coding,-,-,-,DNA topoisomerase,20210608,-
2576882,65056745,KMC02_gp214,KMC02_gp214,EcNP1_gp215,-,-,-,nuclear disruption protein,protein-coding,-,-,-,nuclear disruption protein,20210608,-
2576882,65056746,KMC02_gp215,KMC02_gp215,EcNP1_gp216,-,-,-,"naphthalene 1,2-dioxygenase",protein-coding,-,-,-,"naphthalene 1,2-dioxygenase",20210608,-
2576882,65056747,KMC02_gp216,KMC02_gp216,EcNP1_gp217,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056748,KMC02_gp217,KMC02_gp217,EcNP1_gp218,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056749,KMC02_gp218,KMC02_gp218,EcNP1_gp219,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056750,KMC02_gp219,KMC02_gp219,EcNP1_gp220,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20210608,-
2576882,65056751,KMC02_gp220,KMC02_gp220,EcNP1_gp221,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056752,KMC02_gp221,KMC02_gp221,EcNP1_gp222,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056753,KMC02_gp222,KMC02_gp222,EcNP1_gp223,-,-,-,rIIB protector from prophage-induced early lysis,protein-coding,-,-,-,rIIB protector from prophage-induced early lysis,20210608,-
2576882,65056754,KMC02_gp223,KMC02_gp223,EcNP1_gp224,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056755,KMC02_gp224,KMC02_gp224,EcNP1_gp225,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056756,KMC02_gp225,KMC02_gp225,EcNP1_gp226,-,-,-,DNA topoisomerase subunit DNA-dependent ATPase,protein-coding,-,-,-,DNA topoisomerase subunit DNA-dependent ATPase,20210609,-
2576882,65056757,KMC02_gp226,KMC02_gp226,EcNP1_gp227,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056758,KMC02_gp227,KMC02_gp227,EcNP1_gp228,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056759,KMC02_gp228,KMC02_gp228,EcNP1_gp229,-,-,-,zinc ribbon domain-containing protein,protein-coding,-,-,-,zinc ribbon domain-containing protein,20210608,-
2576882,65056760,KMC02_gp229,KMC02_gp229,EcNP1_gp230,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056761,KMC02_gp230,KMC02_gp230,EcNP1_gp231,-,-,-,putative modifier of suppressor tRNAs,protein-coding,-,-,-,putative modifier of suppressor tRNAs,20210608,-
2576882,65056762,KMC02_gp231,KMC02_gp231,EcNP1_gp232,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056763,KMC02_gp232,KMC02_gp232,EcNP1_gp233,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056764,KMC02_gp233,KMC02_gp233,EcNP1_gp234,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056765,KMC02_gp234,KMC02_gp234,EcNP1_gp235,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056766,KMC02_gp235,KMC02_gp235,EcNP1_gp236,-,-,-,exonuclease A,protein-coding,-,-,-,exonuclease A,20210608,-
2576882,65056767,KMC02_gp236,KMC02_gp236,EcNP1_gp237,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056768,KMC02_gp237,KMC02_gp237,EcNP1_gp238,-,-,-,dextranase,protein-coding,-,-,-,dextranase,20210608,-
2576882,65056769,KMC02_gp238,KMC02_gp238,EcNP1_gp239,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
2576882,65056770,KMC02_gp239,KMC02_gp239,EcNP1_gp240,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056771,KMC02_gp240,KMC02_gp240,EcNP1_gp241,-,-,-,anti-termination protein,protein-coding,-,-,-,anti-termination protein,20210608,-
2576882,65056772,KMC02_gp241,KMC02_gp241,EcNP1_gp242,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056773,KMC02_gp242,KMC02_gp242,EcNP1_gp243,-,-,-,ADP-ribosylase,protein-coding,-,-,-,ADP-ribosylase,20210608,-
2576882,65056774,KMC02_gp243,KMC02_gp243,EcNP1_gp244,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056775,KMC02_gp244,KMC02_gp244,EcNP1_gp245,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056776,KMC02_gp245,KMC02_gp245,EcNP1_gp246,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056777,KMC02_gp246,KMC02_gp246,EcNP1_gp247,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056778,KMC02_gp247,KMC02_gp247,EcNP1_gp248,-,-,-,Mrh,protein-coding,-,-,-,Mrh,20210608,-
2576882,65056779,KMC02_gp248,KMC02_gp248,EcNP1_gp249,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056780,KMC02_gp249,KMC02_gp249,EcNP1_gp250,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056781,KMC02_gp250,KMC02_gp250,EcNP1_gp251,-,-,-,head decoration protein,protein-coding,-,-,-,head decoration protein,20210608,-
2576882,65056782,KMC02_gp251,KMC02_gp251,EcNP1_gp252,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
2576882,65056783,KMC02_gp252,KMC02_gp252,EcNP1_gp253,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056784,KMC02_gp253,KMC02_gp253,EcNP1_gp254,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210608,-
2576882,65056785,KMC02_gp254,KMC02_gp254,EcNP1_gp255,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056786,KMC02_gp255,KMC02_gp255,EcNP1_gp256,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056787,KMC02_gp256,KMC02_gp256,EcNP1_gp257,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056788,KMC02_gp257,KMC02_gp257,EcNP1_gp258,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056789,KMC02_gp258,KMC02_gp258,EcNP1_gp259,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056790,KMC02_gp259,KMC02_gp259,EcNP1_gp260,-,-,-,DNA primase helicase,protein-coding,-,-,-,DNA primase helicase,20210608,-
2576882,65056791,KMC02_gp260,KMC02_gp260,EcNP1_gp261,-,-,-,head vertex assembly chaperone,protein-coding,-,-,-,head vertex assembly chaperone,20210608,-
2576882,65056792,KMC02_gp001,KMC02_gp001,EcNP1_gp002,-,-,-,dCMP hydroxymethylase,protein-coding,-,-,-,dCMP hydroxymethylase,20210608,-
2576882,65243137,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Escherichia phage NP1).,other,-,-,-,-,20210609,-
