#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
5741,3974679,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Giardia duodenalis; Giardia lamblia; Lamblia intestinalis).,other,-,-,-,-,20201024,-
5741,5699282,GL50803_007520,GL50803_007520,GL50803_7520,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5699283,GL50803_007522,GL50803_007522,GL50803_7522,-,1,-,Eukaryotic initiation factor 5C,protein-coding,-,-,-,Eukaryotic initiation factor 5C,20201210,-
5741,5699285,GL50803_0087149,GL50803_0087149,GL50803_87149,-,1,-,putative Spindle pole protein,protein-coding,-,-,-,putative Spindle pole protein,20201210,-
5741,5699286,GL50803_0016435,GL50803_0016435,GL50803_16435,-,1,-,Ankyrin repeat protein 1,protein-coding,-,-,-,Ankyrin repeat protein 1,20201210,-
5741,5699287,GL50803_0016436,GL50803_0016436,GL50803_16436,-,1,-,"Kinase, Uni1",protein-coding,-,-,-,"Kinase, Uni1",20201210,-
5741,5699289,GL50803_003598,GL50803_003598,GL50803_3598,-,1,-,Nup53/35/40-type RNA recognition motif-containing protein,protein-coding,-,-,-,Nup53/35/40-type RNA recognition motif-containing protein,20210424,-
5741,5699292,GL50803_0093800,GL50803_0093800,GL50803_93800,-,1,-,Ankyrin repeat protein 1,protein-coding,-,-,-,Ankyrin repeat protein 1,20210424,-
5741,5699294,GL50803_0014637,GL50803_0014637,GL50803_14637,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5699295,GL50803_008102,GL50803_008102,GL50803_8102,-,1,-,ARID2 AT-rich interaction domain,protein-coding,-,-,-,ARID2 AT-rich interaction domain,20201210,-
5741,5699298,GL50803_0017258,GL50803_0017258,GL50803_17258,-,1,-,adenylate kinase,protein-coding,-,-,-,adenylate kinase,20201210,-
5741,5699300,GL50803_0014636,GL50803_0014636,GL50803_14636,-,1,-,Ankyrin repeat protein 1,protein-coding,-,-,-,Ankyrin repeat protein 1,20210424,-
5741,5699301,GL50803_0017260,GL50803_0017260,GL50803_17260,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5699302,GL50803_0014633,GL50803_0014633,GL50803_14633,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5699303,GL50803_0017261,GL50803_0017261,GL50803_17261,-,1,-,Eukaryotic initiation factor 4E,protein-coding,-,-,-,Eukaryotic initiation factor 4E,20201210,-
5741,5699304,GL50803_0017262,GL50803_0017262,GL50803_17262,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5699306,GL50803_0017263,GL50803_0017263,GL50803_17263,-,1,-,Histone acetyltransferase MYST1,protein-coding,-,-,-,Histone acetyltransferase MYST1,20201210,-
5741,5699307,GL50803_00104139,GL50803_00104139,GL50803_104139,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
5741,5699309,GL50803_0015062,GL50803_0015062,GL50803_15062,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5699310,GL50803_0017264,GL50803_0017264,GL50803_17264,-,1,-,Kinesin like protein,protein-coding,-,-,-,Kinesin like protein,20201210,-
5741,5699313,GL50803_0015063,GL50803_0015063,GL50803_15063,-,1,-,Long chain fatty acid CoA ligase 5,protein-coding,-,-,-,Long chain fatty acid CoA ligase 5,20210424,-
5741,5699315,GL50803_0015064,GL50803_0015064,GL50803_15064,-,1,-,"Kinase, NEK",protein-coding,-,-,-,"Kinase, NEK",20210424,-
5741,5699317,GL50803_009848,GL50803_009848,GL50803_9848,-,1,-,Dynein light chain LC8,protein-coding,-,-,-,Dynein light chain LC8,20201210,-
5741,5699318,GL50803_009850,GL50803_009850,GL50803_9850,-,1,-,RING finger domain-containing protein,protein-coding,-,-,-,RING finger domain-containing protein,20201210,-
5741,5699319,GL50803_009851,GL50803_009851,GL50803_9851,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5699320,GL50803_0016804B,GL50803_0016804B,GL50803_17265,-,1,-,Outer-arm dynein gamma,protein-coding,-,-,-,Outer-arm dynein gamma,20210424,-
5741,5699322,GL50803_0017266,GL50803_0017266,GL50803_17266,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5699325,GL50803_009861,GL50803_009861,GL50803_9861,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5699328,GL50803_00117437,GL50803_00117437,GL50803_117437,-,1,-,Ankyrin repeat protein 1,protein-coding,-,-,-,Ankyrin repeat protein 1,20201210,-
5741,5699334,GL50803_0010568,GL50803_0010568,GL50803_10568,-,1,-,U3-containing 90S pre-ribosomal complex subunit,protein-coding,-,-,-,U3-containing 90S pre-ribosomal complex subunit,20201210,-
5741,5699335,GL50803_0010569,GL50803_0010569,GL50803_10569,-,1,-,KRI1-like family protein,protein-coding,-,-,-,KRI1-like family protein,20201210,-
5741,5699336,GL50803_0015248,GL50803_0015248,GL50803_15248,-,1,-,Rab-GTPase-TBC domain-containing protein,protein-coding,-,-,-,Rab-GTPase-TBC domain-containing protein,20201210,-
5741,5699337,GL50803_0010577,GL50803_0010577,GL50803_10577,-,1,-,Nop domain-containing protein,protein-coding,-,-,-,Nop domain-containing protein,20201210,-
5741,5699339,GL50803_0023439,GL50803_0023439,GL50803_23439,-,1,-,TM2 domain-containing protein,protein-coding,-,-,-,TM2 domain-containing protein,20201210,-
5741,5699340,GL50803_0033513,GL50803_0033513,GL50803_33513,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5699341,GL50803_00112258,GL50803_00112258,GL50803_112258,-,1,-,Sec7 family protein,protein-coding,-,-,-,Sec7 family protein,20201210,-
5741,5699343,GL50803_0013720,GL50803_0013720,GL50803_13720,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5699344,GL50803_0023447,GL50803_0023447,GL50803_23447,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5699345,GL50803_00103202,GL50803_00103202,GL50803_103202,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5699346,GL50803_007829,GL50803_007829,GL50803_7829,-,1,-,Coiled-coil protein,protein-coding,-,-,-,Coiled-coil protein,20201210,-
5741,5699347,GL50803_0087202,GL50803_0087202,GL50803_87202,-,1,-,putative TPR repeat family protein,protein-coding,-,-,-,putative TPR repeat family protein,20210417,-
5741,5699348,GL50803_00117436,GL50803_00117436,GL50803_117436,-,1,-,Ankyrin repeat protein 1,protein-coding,-,-,-,Ankyrin repeat protein 1,20201210,-
5741,5699351,GL50803_0010570,GL50803_0010570,GL50803_10570,-,1,-,Peptidyl-prolyl cis-trans isomerase,protein-coding,-,-,-,Peptidyl-prolyl cis-trans isomerase,20201210,-
5741,5699353,GL50803_0010572,GL50803_0010572,GL50803_10572,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5699354,GL50803_0010573,GL50803_0010573,GL50803_10573,-,1,-,Ankyrin repeat protein 1,protein-coding,-,-,-,Ankyrin repeat protein 1,20201210,-
5741,5699355,GL50803_0015247,GL50803_0015247,GL50803_15247,-,1,-,Glucose regulated protein 94 / Heat shock protein 90,protein-coding,-,-,-,Glucose regulated protein 94 / Heat shock protein 90,20201210,-
5741,5699356,GL50803_007825,GL50803_007825,GL50803_7825,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5699357,GL50803_0087205,GL50803_0087205,GL50803_87205,-,1,-,DNA repair and recombination protein Rhp26p,protein-coding,-,-,-,DNA repair and recombination protein Rhp26p,20210417,-
5741,5699358,GL50803_0087208,GL50803_0087208,GL50803_87208,-,1,-,putative tRNA pseudouridine synthase 10,protein-coding,-,-,-,putative tRNA pseudouridine synthase 10,20201210,-
5741,5699360,GL50803_0050390,GL50803_0050390,GL50803_10562,-,1,-,pseudo,pseudo,-,-,-,-,20201210,-
5741,5699361,GL50803_0017273,GL50803_0017273,GL50803_17273,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5699363,GL50803_0017325,GL50803_0017325,GL50803_17325,-,1,-,putative Pumilio-family RNA-binding protein,protein-coding,-,-,-,putative Pumilio-family RNA-binding protein,20201210,-
5741,5699364,GL50803_0017326,GL50803_0017326,GL50803_17326,-,1,-,Na+ driven multidrug efflux pump,protein-coding,-,-,-,Na+ driven multidrug efflux pump,20201210,-
5741,5699366,GL50803_0017327,GL50803_0017327,GL50803_17327,-,1,-,Xaa-Pro dipeptidase,protein-coding,-,-,-,Xaa-Pro dipeptidase,20201210,-
5741,5699368,GL50803_0017328,GL50803_0017328,GL50803_17328,-,1,-,High cysteine membrane protein Group 2,protein-coding,-,-,-,High cysteine membrane protein Group 2,20201210,-
5741,5699369,GL50803_0017329,GL50803_0017329,GL50803_17329,-,1,-,RING-type zinc-finger domain-containing protein,protein-coding,-,-,-,RING-type zinc-finger domain-containing protein,20201210,-
5741,5699370,GL50803_0010196,GL50803_0010196,GL50803_10196,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5699372,GL50803_0037578,GL50803_0037578,GL50803_37578,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5699374,GL50803_0010193,GL50803_0010193,GL50803_10193,-,1,-,putative WD-repeat membrane protein,protein-coding,-,-,-,putative WD-repeat membrane protein,20201210,-
5741,5699376,GL50803_0010192,GL50803_0010192,GL50803_10192,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5699378,GL50803_0010190,GL50803_0010190,GL50803_10190,-,1,-,NLI interacting factor-like phosphatase,protein-coding,-,-,-,NLI interacting factor-like phosphatase,20201210,-
5741,5699380,GL50803_0017330,GL50803_0017330,GL50803_17330,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5699381,GL50803_0087261,GL50803_0087261,GL50803_87261,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5699383,GL50803_00103175,GL50803_00103175,GL50803_103175,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5699384,GL50803_0010182,GL50803_0010182,GL50803_10182,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5699385,GL50803_0010181,GL50803_0010181,GL50803_10181,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5699387,GL50803_0015139,GL50803_0015139,GL50803_15139,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5699388,GL50803_0017332,GL50803_0017332,GL50803_17332,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5699391,GL50803_004652,GL50803_004652,GL50803_4652,-,1,-,Ribosomal protein S16,protein-coding,-,-,-,Ribosomal protein S16,20201210,-
5741,5699392,GL50803_004653,GL50803_004653,GL50803_4653,-,1,-,Serpin 1,protein-coding,-,-,-,Serpin 1,20201210,-
5741,5699393,GL50803_0017333,GL50803_0017333,GL50803_17333,-,1,-,Kinesin-2,protein-coding,-,-,-,Kinesin-2,20201210,-
5741,5699396,GL50803_004657,GL50803_004657,GL50803_4657,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5699397,GL50803_0017334,GL50803_0017334,GL50803_17334,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5699399,GL50803_0017335,GL50803_0017335,GL50803_17335,-,1,-,"Kinase, CMGC SRPK",protein-coding,-,-,-,"Kinase, CMGC SRPK",20201210,-
5741,5699401,GL50803_003994,GL50803_003994,GL50803_3994,-,1,-,Ubiquitin fusion degradation protein 1,protein-coding,-,-,-,Ubiquitin fusion degradation protein 1,20201210,-
5741,5699402,GL50803_003993,GL50803_003993,GL50803_3993,-,1,-,putative Polyadenylate-binding protein,protein-coding,-,-,-,putative Polyadenylate-binding protein,20201210,-
5741,5699405,GL50803_0017337,GL50803_0017337,GL50803_17337,-,1,-,Ribosomal protein P1B,protein-coding,-,-,-,Ribosomal protein P1B,20201210,-
5741,5699407,GL50803_00103540,GL50803_00103540,GL50803_103540,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5699408,GL50803_0027813,GL50803_0027813,GL50803_27813,-,1,-,Ankyrin repeat protein 1,protein-coding,-,-,-,Ankyrin repeat protein 1,20201210,-
5741,5699411,GL50803_006317,GL50803_006317,GL50803_6317,-,1,-,Ubiquitin carboxyl-terminal hydrolase,protein-coding,-,-,-,Ubiquitin carboxyl-terminal hydrolase,20201210,-
5741,5699413,GL50803_0014168,GL50803_0014168,GL50803_14168,-,1,-,putative Amino acid transporter system N2,protein-coding,-,-,-,putative Amino acid transporter system N2,20210424,-
5741,5699415,GL50803_0023420,GL50803_0023420,GL50803_23420,-,1,-,Diphosphomevalonate decarboxylase,protein-coding,-,-,-,Diphosphomevalonate decarboxylase,20201210,-
5741,5699417,GL50803_0037488,GL50803_0037488,GL50803_37488,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5699418,GL50803_0017340,GL50803_0017340,GL50803_17340,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5699419,GL50803_005710,GL50803_005710,GL50803_5710,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5699420,GL50803_0014014,GL50803_0014014,GL50803_14014,-,1,-,Kinase,protein-coding,-,-,-,Kinase,20201210,-
5741,5699422,GL50803_0094117,GL50803_0094117,GL50803_94117,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5699423,GL50803_0013133,GL50803_0013133,GL50803_13133,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5699424,GL50803_0017342,GL50803_0017342,GL50803_17342,-,1,-,Major Facilitator Superfamily protein,protein-coding,-,-,-,Major Facilitator Superfamily protein,20201210,-
5741,5699426,GL50803_0014068,GL50803_0014068,GL50803_14068,-,1,-,Sybindin-like family protein,protein-coding,-,-,-,Sybindin-like family protein,20210424,-
5741,5699428,GL50803_005938,GL50803_005938,GL50803_5938,-,1,-,Myb 1-like protein,protein-coding,-,-,-,Myb 1-like protein,20201210,-
5741,5699429,GL50803_005939,GL50803_005939,GL50803_5939,-,1,-,Ceramide synthetase,protein-coding,-,-,-,Ceramide synthetase,20201210,-
5741,5699431,GL50803_0014069,GL50803_0014069,GL50803_14069,-,1,-,C2HC-type zinc-finger domain-containing protein,protein-coding,-,-,-,C2HC-type zinc-finger domain-containing protein,20201210,-
5741,5699433,GL50803_005942,GL50803_005942,GL50803_5942,-,1,-,putative Polyadenylate-binding protein,protein-coding,-,-,-,putative Polyadenylate-binding protein,20201210,-
5741,5699434,GL50803_0014070,GL50803_0014070,GL50803_14070,-,1,-,Kinesin family protein GiKIN22,protein-coding,-,-,-,Kinesin family protein GiKIN22,20201210,-
5741,5699435,GL50803_0014071,GL50803_0014071,GL50803_14071,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5699436,GL50803_0017345,GL50803_0017345,GL50803_17345,-,1,-,Coatomer zeta subunit,protein-coding,-,-,-,Coatomer zeta subunit,20201210,-
5741,5699437,GL50803_005947,GL50803_005947,GL50803_5947,-,1,-,Ribosomal protein L35a,protein-coding,-,-,-,Ribosomal protein L35a,20201210,-
5741,5699438,GL50803_005949,GL50803_005949,GL50803_5949,-,1,-,Tetratricopeptide repeat protein,protein-coding,-,-,-,Tetratricopeptide repeat protein,20201210,-
5741,5699440,GL50803_005950,GL50803_005950,GL50803_5950,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5699441,GL50803_0094143,GL50803_0094143,GL50803_94143,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5699443,GL50803_004063,GL50803_004063,GL50803_4063,-,1,-,Nuclear LIM interactor-interacting factor 1,protein-coding,-,-,-,Nuclear LIM interactor-interacting factor 1,20201210,-
5741,5699445,GL50803_004064,GL50803_004064,GL50803_4064,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5699446,GL50803_0013528,GL50803_0013528,GL50803_13528,-,1,-,Sec1 family protein,protein-coding,-,-,-,Sec1 family protein,20201210,-
5741,5699447,GL50803_0017347,GL50803_0017347,GL50803_17347,-,1,-,Regulatory subunit of cAMP-dependent protein kinase,protein-coding,-,-,-,Regulatory subunit of cAMP-dependent protein kinase,20201210,-
5741,5699448,GL50803_0017348,GL50803_0017348,GL50803_17348,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5699449,GL50803_00112210,GL50803_00112210,GL50803_112210,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5699450,GL50803_008528,GL50803_008528,GL50803_8528,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5699456,GL50803_00d112208,GL50803_00d112208,GL50803_112208,-,1,-,VSP with INR,protein-coding,-,-,-,VSP with INR,20201210,-
5741,5699458,GL50803_0013288,GL50803_0013288,GL50803_13288,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5699459,GL50803_0016773,GL50803_0016773,GL50803_16773,-,4,-,Sec1 family protein,protein-coding,-,-,-,Sec1 family protein,20210424,-
5741,5699460,GL50803_00103935,GL50803_00103935,GL50803_103935,-,4,-,DNA repair protein RAD52,protein-coding,-,-,-,DNA repair protein RAD52,20201210,-
5741,5699461,GL50803_002897,GL50803_002897,GL50803_2897,-,4,-,Furin/Protein converstase 2,protein-coding,-,-,-,Furin/Protein converstase 2,20201210,-
5741,5699463,GL50803_002825,GL50803_002825,GL50803_2825,-,4,-,Ribosomal protein L7Ae,protein-coding,-,-,-,Ribosomal protein L7Ae,20201210,-
5741,5699464,GL50803_002824,GL50803_002824,GL50803_2824,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5699465,GL50803_0013143,GL50803_0013143,GL50803_13143,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5699466,GL50803_0016570,GL50803_0016570,GL50803_16570,-,4,-,"Ser/Thr protein phosphatase 2B catalytic subunit, alpha isoform",protein-coding,-,-,-,"Ser/Thr protein phosphatase 2B catalytic subunit, alpha isoform",20201210,-
5741,5699467,GL50803_0016569,GL50803_0016569,GL50803_16569,-,4,-,"Transcriptional regulator, Sir2 family",protein-coding,-,-,-,"Transcriptional regulator, Sir2 family",20201210,-
5741,5699468,GL50803_0029304,GL50803_0029304,GL50803_29304,-,4,-,Cathepsin B,protein-coding,-,-,-,Cathepsin B,20201210,-
5741,5699469,GL50803_002486,GL50803_002486,GL50803_2486,-,4,-,putative Cytosine deaminase,protein-coding,-,-,-,putative Cytosine deaminase,20201210,-
5741,5699470,GL50803_0016774,GL50803_0016774,GL50803_16774,-,4,-,Trichohyalin,protein-coding,-,-,-,Trichohyalin,20201210,-
5741,5699473,GL50803_0010765,GL50803_0010765,GL50803_10765,-,4,-,DNA replication licensing factor MCM7,protein-coding,-,-,-,DNA replication licensing factor MCM7,20210424,-
5741,5699474,GL50803_0016568,GL50803_0016568,GL50803_16568,-,4,-,putative Transcription factor,protein-coding,-,-,-,putative Transcription factor,20201210,-
5741,5699476,GL50803_0010773,GL50803_0010773,GL50803_10773,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5699477,GL50803_0029307,GL50803_0029307,GL50803_29307,-,4,-,UTP-glucose-1-phosphate uridylyltransferase,protein-coding,-,-,-,UTP-glucose-1-phosphate uridylyltransferase,20201210,-
5741,5699479,GL50803_0010755,GL50803_0010755,GL50803_10755,-,4,-,Splicing factor 3A subunit 2,protein-coding,-,-,-,Splicing factor 3A subunit 2,20201210,-
5741,5699480,GL50803_0010756,GL50803_0010756,GL50803_10756,-,4,-,Membrane protein,protein-coding,-,-,-,Membrane protein,20201210,-
5741,5699481,GL50803_0015279,GL50803_0015279,GL50803_15279,-,4,-,Spo11 Type II DNA topoisomerase VI subunit A,protein-coding,-,-,-,Spo11 Type II DNA topoisomerase VI subunit A,20210424,-
5741,5699482,GL50803_0010760,GL50803_0010760,GL50803_10760,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5699483,GL50803_0015280,GL50803_0015280,GL50803_15280,-,4,-,tRNA (Guanine-1)-methyltransferase,protein-coding,-,-,-,tRNA (Guanine-1)-methyltransferase,20210417,-
5741,5699484,GL50803_0010762,GL50803_0010762,GL50803_10762,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5699485,GL50803_003211,GL50803_003211,GL50803_3211,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5699486,GL50803_0010775,GL50803_0010775,GL50803_10775,-,4,-,DNA-directed DNA polymerase,protein-coding,-,-,-,DNA-directed DNA polymerase,20201210,-
5741,5699488,GL50803_00t0036,GL50803_00t0036,GL50803_t0036,-,4,-,tRNA,tRNA,-,-,-,-,20201210,-
5741,5699489,GL50803_0010778,GL50803_0010778,GL50803_10778,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5699494,GL50803_003209,GL50803_003209,GL50803_3209,-,4,-,Proteasome subunit beta type 2,protein-coding,-,-,-,Proteasome subunit beta type 2,20201210,-
5741,5699495,GL50803_0016567,GL50803_0016567,GL50803_16567,-,4,-,Protein phosphatase PP2A regulatory subunit A,protein-coding,-,-,-,Protein phosphatase PP2A regulatory subunit A,20210424,-
5741,5699496,GL50803_0010780,GL50803_0010780,GL50803_10780,-,4,-,Ribosomal protein S27,protein-coding,-,-,-,Ribosomal protein S27,20210417,-
5741,5699497,GL50803_0015284,GL50803_0015284,GL50803_15284,-,4,-,Phosphate-starvation-inducible E,protein-coding,-,-,-,Phosphate-starvation-inducible E,20201210,-
5741,5699500,GL50803_0010783,GL50803_0010783,GL50803_10783,-,4,-,3-mercaptopyruvate sulfurtransferase/Thiosulfate sulfurtransferase,protein-coding,-,-,-,3-mercaptopyruvate sulfurtransferase/Thiosulfate sulfurtransferase,20210424,-
5741,5699502,GL50803_00114042,GL50803_00114042,GL50803_114042,-,4,-,High cysteine membrane protein Group 4,protein-coding,-,-,-,High cysteine membrane protein Group 4,20201210,-
5741,5699503,GL50803_00114043,GL50803_00114043,GL50803_114043,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5699504,GL50803_00114044,GL50803_00114044,GL50803_114044,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5699507,GL50803_003421,GL50803_003421,GL50803_3421,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5699508,GL50803_003419,GL50803_003419,GL50803_3419,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5699509,GL50803_00101943,GL50803_00101943,GL50803_101943,-,4,-,putative GINS complex protein,protein-coding,-,-,-,putative GINS complex protein,20201210,-
5741,5699510,GL50803_003417,GL50803_003417,GL50803_3417,-,4,-,Preimplantation protein 3,protein-coding,-,-,-,Preimplantation protein 3,20201210,-
5741,5699511,GL50803_0091911,GL50803_0091911,GL50803_91911,-,4,-,Translation initiation factor eIF-2B alpha subunit,protein-coding,-,-,-,Translation initiation factor eIF-2B alpha subunit,20201210,-
5741,5699512,GL50803_001376,GL50803_001376,GL50803_1376,-,4,-,Mge1,protein-coding,-,-,-,Mge1,20201210,-
5741,5699514,GL50803_003590,GL50803_003590,GL50803_3590,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5699515,GL50803_003589,GL50803_003589,GL50803_3589,-,4,-,Ribosome biogenesis protein Brix,protein-coding,-,-,-,Ribosome biogenesis protein Brix,20201210,-
5741,5699516,GL50803_0091919,GL50803_0091919,GL50803_91919,-,4,-,TCP-1 chaperonin subunit alpha,protein-coding,-,-,-,TCP-1 chaperonin subunit alpha,20201210,-
5741,5699518,GL50803_0016998,GL50803_0016998,GL50803_16998,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5699519,GL50803_0016999,GL50803_0016999,GL50803_16999,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5699520,GL50803_0017000,GL50803_0017000,GL50803_17000,-,4,-,Peptidyl-prolyl cis-trans isomerase B,protein-coding,-,-,-,Peptidyl-prolyl cis-trans isomerase B,20201210,-
5741,5699522,GL50803_002605,GL50803_002605,GL50803_2605,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5699524,GL50803_0031998,GL50803_0031998,GL50803_31998,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5699525,GL50803_0017003,GL50803_0017003,GL50803_17003,-,4,-,Zinc finger domain,protein-coding,-,-,-,Zinc finger domain,20210424,-
5741,5699526,GL50803_002155,GL50803_002155,GL50803_2155,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5699528,GL50803_0091934,GL50803_0091934,GL50803_91934,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5699529,GL50803_0017005,GL50803_0017005,GL50803_17005,-,4,-,Protein 21.6,protein-coding,-,-,-,Protein 21.6,20201210,-
5741,5699530,GL50803_0013438,GL50803_0013438,GL50803_13438,-,4,-,Ankyrin repeat protein 1,protein-coding,-,-,-,Ankyrin repeat protein 1,20201210,-
5741,5699531,GL50803_003763,GL50803_003763,GL50803_3763,-,4,-,Protein 21.4,protein-coding,-,-,-,Protein 21.4,20201210,-
5741,5699533,GL50803_003762,GL50803_003762,GL50803_3762,-,4,-,Ankyrin repeat protein 1,protein-coding,-,-,-,Ankyrin repeat protein 1,20201210,-
5741,5699534,GL50803_0013437,GL50803_0013437,GL50803_13437,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5699535,GL50803_003760,GL50803_003760,GL50803_3760,-,4,-,Ankyrin repeat protein 1,protein-coding,-,-,-,Ankyrin repeat protein 1,20201210,-
5741,5699537,GL50803_0017006,GL50803_0017006,GL50803_17006,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
5741,5699540,GL50803_005375,GL50803_005375,GL50803_5375,-,4,-,"Kinase, NEK",protein-coding,-,-,-,"Kinase, NEK",20201210,-
5741,5699542,GL50803_005374,GL50803_005374,GL50803_5374,-,4,-,Tubulin specific chaperone B,protein-coding,-,-,-,Tubulin specific chaperone B,20201210,-
5741,5699543,GL50803_00137606,GL50803_00137606,GL50803_137606,-,4,-,VSP,protein-coding,-,-,-,VSP,20210424,-
5741,5699544,GL50803_00114065,GL50803_00114065,GL50803_114065,-,4,-,pseudo,pseudo,-,-,-,-,20201210,-
5741,5699545,GL50803_00112009,GL50803_00112009,GL50803_112009,-,4,-,pVSP,pseudo,-,-,-,-,20201210,-
5741,5699546,GL50803_0010552,GL50803_0010552,GL50803_10552,-,4,-,putative ephrin-receptor like protein,protein-coding,-,-,-,putative ephrin-receptor like protein,20210424,-
