#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
329381,9712743,rIIA,RB16p002,-,-,-,-,rIIA protector from prophage-induced early lysis,protein-coding,-,-,-,rIIA protector from prophage-induced early lysis,20200909,-
329381,9712947,17,RB16p206,-,-,-,-,"gp17 terminase subunit, nuclease and ATPase",protein-coding,-,-,-,"gp17 terminase subunit, nuclease and ATPase",20200909,-
329381,9712948,18,RB16p207,-,-,-,-,gp18 tail sheath protein,protein-coding,-,-,-,gp18 tail sheath protein,20200926,-
329381,9712949,19,RB16p208,-,-,-,-,gp19 tail tube protein,protein-coding,-,-,-,gp19 tail tube protein,20200909,-
329381,9712950,20,RB16p209,-,-,-,-,gp20 portal vertex protein,protein-coding,-,-,-,gp20 portal vertex protein,20200909,-
329381,9712951,67,RB16p210,-,-,-,-,gp67 prohead core protein,protein-coding,-,-,-,gp67 prohead core protein,20200909,-
329381,9712952,68,RB16p211,-,-,-,-,gp68 prohead core protein,protein-coding,-,-,-,gp68 prohead core protein,20200909,-
329381,9712953,21,RB16p212,-,-,-,-,gp21 prohead core and protease,protein-coding,-,-,-,gp21 prohead core and protease,20200909,-
329381,9712954,22,RB16p213,-,-,-,-,gp22 prohead core protein,protein-coding,-,-,-,gp22 prohead core protein,20200909,-
329381,9712955,23,RB16p214,-,-,-,-,gp23 major capsid protein,protein-coding,-,-,-,gp23 major capsid protein,20200909,-
329381,9712956,RB16p215,RB16p215,-,-,-,-,"putative Seg-like homing endonuclease, GIY-YIG family",protein-coding,-,-,-,"putative Seg-like homing endonuclease, GIY-YIG family",20200909,-
329381,9712957,24,RB16p216,-,-,-,-,gp24 capsid vertex protein,protein-coding,-,-,-,gp24 capsid vertex protein,20200909,-
329381,9712958,uvsY,RB16p217,-,-,-,-,"UvsY recombination, repair and ssDNA binding protein",protein-coding,-,-,-,"UvsY recombination, repair and ssDNA binding protein",20200926,-
329381,9712959,uvsY.-2,RB16p218,-,-,-,-,UvsY.-2 conserved hypothetical protein,protein-coding,-,-,-,UvsY.-2 conserved hypothetical protein,20200926,-
329381,9712960,uvsW.1,RB16p219,-,-,-,-,UvsW.1 conserved hypothetical protein,protein-coding,-,-,-,UvsW.1 conserved hypothetical protein,20200909,-
329381,9712961,uvsW,RB16p220,-,-,-,-,UvsW RNA- and DNA-helicase,protein-coding,-,-,-,UvsW RNA- and DNA-helicase,20200926,-
329381,9712962,inh,RB16p221,-,-,-,-,Inh minor capsid protein inhibitor of 21 protease,protein-coding,-,-,-,Inh minor capsid protein inhibitor of 21 protease,20200909,-
329381,9712963,RB16p222,RB16p222,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712964,RB16p223,RB16p223,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
329381,9712965,hoc,RB16p224,-,-,-,-,Hoc large outer capsid protein,protein-coding,-,-,-,Hoc large outer capsid protein,20200909,-
329381,9712966,RB16p225,RB16p225,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712967,RB16p226,RB16p226,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712968,RB16p227,RB16p227,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712969,RB16p228,RB16p228,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
329381,9712970,RB16p229,RB16p229,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712971,RB16p230,RB16p230,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712972,RB16p231,RB16p231,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712973,RB16p232,RB16p232,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712974,srd,RB16p233,-,-,-,-,Srd postulated decoy of host sigma70 or sigmaS,protein-coding,-,-,-,Srd postulated decoy of host sigma70 or sigmaS,20200909,-
329381,9712975,rnlB,RB16p234,-,-,-,-,RnlB RNA ligase 2,protein-coding,-,-,-,RnlB RNA ligase 2,20200926,-
329381,9712976,RB16p235,RB16p235,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
329381,9712977,RB16p236,RB16p236,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712978,RB16p237,RB16p237,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712979,RB16p238,RB16p238,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712980,RB16p239,RB16p239,-,-,-,-,putative nicotinate phosphoribosyltransferase,protein-coding,-,-,-,putative nicotinate phosphoribosyltransferase,20200926,-
329381,9712981,RB16p240,RB16p240,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712982,dam,RB16p241,-,-,-,-,Dam DNA adenine methylase,protein-coding,-,-,-,Dam DNA adenine methylase,20200926,-
329381,9712983,nrdC,RB16p242,-,-,-,-,NrdC thioredoxin,protein-coding,-,-,-,NrdC thioredoxin,20200909,-
329381,9712984,RB16p243,RB16p243,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
329381,9712985,nrdD,RB16p244,-,-,-,-,NrdD anaerobic ribonucleotide reductase subunit,protein-coding,-,-,-,NrdD anaerobic ribonucleotide reductase subunit,20200926,-
329381,9712986,RB16p245,RB16p245,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712987,RB16p246,RB16p246,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712988,RB16p247,RB16p247,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712989,RB16p248,RB16p248,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712990,RB16p249,RB16p249,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712991,nrdG,RB16p250,-,-,-,-,NrdG anaerobic nucleotide reductase subunit,protein-coding,-,-,-,NrdG anaerobic nucleotide reductase subunit,20200926,-
329381,9712992,RB16p251,RB16p251,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712993,RB16p252,RB16p252,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712994,nrdH,RB16p253,-,-,-,-,NrdH glutaredoxin,protein-coding,-,-,-,NrdH glutaredoxin,20210129,-
329381,9712995,55.2,RB16p254,-,-,-,-,gp55.2 conserved hypothetical protein,protein-coding,-,-,-,gp55.2 conserved hypothetical protein,20200909,-
329381,9712996,RB16p255,RB16p255,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712997,34,RB16p256,-,-,-,-,gp34 long tail fiber proximal subunit,protein-coding,-,-,-,gp34 long tail fiber proximal subunit,20200909,-
329381,9712998,35,RB16p257,-,-,-,-,gp35 hinge connector of long tail fiber proximal connector,protein-coding,-,-,-,gp35 hinge connector of long tail fiber proximal connector,20200926,-
329381,9712999,36,RB16p258,-,-,-,-,gp36 small distal tail fiber subunit,protein-coding,-,-,-,gp36 small distal tail fiber subunit,20200926,-
329381,9713000,37,RB16p259,-,-,-,-,gp37 large distal tail fiber subunit,protein-coding,-,-,-,gp37 large distal tail fiber subunit,20200926,-
329381,9713001,38,RB16p260,-,-,-,-,gp38 distal long tail fiber assembly catalyst,protein-coding,-,-,-,gp38 distal long tail fiber assembly catalyst,20200909,-
329381,9713002,t,RB16p261,-,-,-,-,T holin lysis mediator,protein-coding,-,-,-,T holin lysis mediator,20200909,-
329381,9713003,RB16p262,RB16p262,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9713004,RB16p263,RB16p263,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9713005,RB16p264,RB16p264,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
329381,9713006,RB16p265,RB16p265,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9713007,RB16p266,RB16p266,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9713008,RB16p267,RB16p267,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9713009,RB16p268,RB16p268,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9713010,ndd,RB16p269,-,-,-,-,Ndd nuclear disruption protein,protein-coding,-,-,-,Ndd nuclear disruption protein,20200909,-
329381,9713011,RB16p270,RB16p270,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9713012,RB16t02,RB16t02,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
329381,9713013,RB16p077,RB16p077,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9713014,rIIB,RB16p001,-,-,-,-,rIIB protector from prophage-induced early lysis,protein-coding,-,-,-,rIIB protector from prophage-induced early lysis,20200909,-
329381,9715166,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Enterobacteria phage RB16).,other,-,-,-,-,20200513,-
