#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1675607,26613184,CPT_Matisse2,CPT_Matisse2,-,-,-,-,rIIA protein,protein-coding,-,-,-,rIIA protein,20200910,-
1675607,26613376,CPT_Matisse193,CPT_Matisse193,-,-,-,-,dNMP kinase,protein-coding,-,-,-,dNMP kinase,20200910,-
1675607,26613377,CPT_Matisse194,CPT_Matisse194,-,-,-,-,tail completion and sheath stabilizer protein,protein-coding,-,-,-,tail completion and sheath stabilizer protein,20200910,-
1675607,26613378,CPT_Matisse195,CPT_Matisse195,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613379,CPT_Matisse196,CPT_Matisse196,-,-,-,-,DNA end protector protein,protein-coding,-,-,-,DNA end protector protein,20200910,-
1675607,26613380,CPT_Matisse197,CPT_Matisse197,-,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20200910,-
1675607,26613381,CPT_Matisse198,CPT_Matisse198,-,-,-,-,baseplate wedge protein,protein-coding,-,-,-,baseplate wedge protein,20200910,-
1675607,26613382,CPT_Matisse199,CPT_Matisse199,-,-,-,-,tail-associated lysozyme,protein-coding,-,-,-,tail-associated lysozyme,20210424,-
1675607,26613383,CPT_Matisse200,CPT_Matisse200,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613384,CPT_Matisse201,CPT_Matisse201,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20200910,-
1675607,26613385,CPT_Matisse202,CPT_Matisse202,-,-,-,-,baseplate wedge initiator,protein-coding,-,-,-,baseplate wedge initiator,20200910,-
1675607,26613386,CPT_Matisse203,CPT_Matisse203,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20200910,-
1675607,26613387,CPT_Matisse204,CPT_Matisse204,-,-,-,-,baseplate wedge tail fiber connector,protein-coding,-,-,-,baseplate wedge tail fiber connector,20200910,-
1675607,26613388,CPT_Matisse205,CPT_Matisse205,-,-,-,-,baseplate wedge subunit and tail pin,protein-coding,-,-,-,baseplate wedge subunit and tail pin,20200910,-
1675607,26613389,CPT_Matisse206,CPT_Matisse206,-,-,-,-,baseplate wedge subunit and tail pin,protein-coding,-,-,-,baseplate wedge subunit and tail pin,20200910,-
1675607,26613390,CPT_Matisse207,CPT_Matisse207,-,-,-,-,short tail fiber protein,protein-coding,-,-,-,short tail fiber protein,20200910,-
1675607,26613391,CPT_Matisse208,CPT_Matisse208,-,-,-,-,whisker protein,protein-coding,-,-,-,whisker protein,20200910,-
1675607,26613392,CPT_Matisse209,CPT_Matisse209,-,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20200910,-
1675607,26613393,CPT_Matisse210,CPT_Matisse210,-,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20200910,-
1675607,26613394,CPT_Matisse211,CPT_Matisse211,-,-,-,-,tail sheath stabilizer and completion protein,protein-coding,-,-,-,tail sheath stabilizer and completion protein,20200910,-
1675607,26613395,CPT_Matisse212,CPT_Matisse212,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200910,-
1675607,26613396,CPT_Matisse213,CPT_Matisse213,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200910,-
1675607,26613397,CPT_Matisse214,CPT_Matisse214,-,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20200910,-
1675607,26613398,CPT_Matisse215,CPT_Matisse215,-,-,-,-,tail tube protein,protein-coding,-,-,-,tail tube protein,20200910,-
1675607,26613399,CPT_Matisse216,CPT_Matisse216,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200910,-
1675607,26613400,CPT_Matisse217,CPT_Matisse217,-,-,-,-,prohead core protein,protein-coding,-,-,-,prohead core protein,20200910,-
1675607,26613401,CPT_Matisse218,CPT_Matisse218,-,-,-,-,prohead core protein,protein-coding,-,-,-,prohead core protein,20200910,-
1675607,26613402,CPT_Matisse219,CPT_Matisse219,-,-,-,-,prohead core scaffold protein and protease,protein-coding,-,-,-,prohead core scaffold protein and protease,20200910,-
1675607,26613403,CPT_Matisse220,CPT_Matisse220,-,-,-,-,prohead core scaffold protein,protein-coding,-,-,-,prohead core scaffold protein,20200910,-
1675607,26613404,CPT_Matisse221,CPT_Matisse221,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200910,-
1675607,26613405,CPT_Matisse222,CPT_Matisse222,-,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20200910,-
1675607,26613406,CPT_Matisse223,CPT_Matisse223,-,-,-,-,vertex protein,protein-coding,-,-,-,vertex protein,20200910,-
1675607,26613407,CPT_Matisse224,CPT_Matisse224,-,-,-,-,ssDNA-binding protein,protein-coding,-,-,-,ssDNA-binding protein,20210123,-
1675607,26613408,CPT_Matisse225,CPT_Matisse225,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613409,CPT_Matisse226,CPT_Matisse226,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613410,CPT_Matisse227,CPT_Matisse227,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20200910,-
1675607,26613411,CPT_Matisse228,CPT_Matisse228,-,-,-,-,helicase,protein-coding,-,-,-,helicase,20200910,-
1675607,26613412,CPT_Matisse229,CPT_Matisse229,-,-,-,-,inhibitor of prohead protease,protein-coding,-,-,-,inhibitor of prohead protease,20200910,-
1675607,26613413,CPT_Matisse230,CPT_Matisse230,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613414,CPT_Matisse231,CPT_Matisse231,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1675607,26613415,CPT_Matisse232,CPT_Matisse232,-,-,-,-,outer capsid protein,protein-coding,-,-,-,outer capsid protein,20200910,-
1675607,26613416,CPT_Matisse233,CPT_Matisse233,-,-,-,-,outer capsid protein,protein-coding,-,-,-,outer capsid protein,20200910,-
1675607,26613417,CPT_Matisse234,CPT_Matisse234,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613418,CPT_Matisse235,CPT_Matisse235,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1675607,26613419,CPT_Matisse236,CPT_Matisse236,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613420,CPT_Matisse237,CPT_Matisse237,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613421,CPT_Matisse238,CPT_Matisse238,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613422,CPT_Matisse239,CPT_Matisse239,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613423,CPT_Matisse240,CPT_Matisse240,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613424,CPT_Matisse241,CPT_Matisse241,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613425,CPT_Matisse242,CPT_Matisse242,-,-,-,-,decoy of host sigma factor,protein-coding,-,-,-,decoy of host sigma factor,20200910,-
1675607,26613426,CPT_Matisse243,CPT_Matisse243,-,-,-,-,RNA ligase,protein-coding,-,-,-,RNA ligase,20200910,-
1675607,26613427,CPT_Matisse244,CPT_Matisse244,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613428,CPT_Matisse245,CPT_Matisse245,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613429,CPT_Matisse246,CPT_Matisse246,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613430,CPT_Matisse247,CPT_Matisse247,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613431,CPT_Matisse248,CPT_Matisse248,-,-,-,-,nicotinate phosphoribosyl transferase,protein-coding,-,-,-,nicotinate phosphoribosyl transferase,20200910,-
1675607,26613432,CPT_Matisse249,CPT_Matisse249,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613433,CPT_Matisse250,CPT_Matisse250,-,-,-,-,DNA adenine methyltransferase,protein-coding,-,-,-,DNA adenine methyltransferase,20200910,-
1675607,26613434,CPT_Matisse251,CPT_Matisse251,-,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210123,-
1675607,26613435,CPT_Matisse252,CPT_Matisse252,-,-,-,-,recombination endonuclease,protein-coding,-,-,-,recombination endonuclease,20200910,-
1675607,26613436,CPT_Matisse253,CPT_Matisse253,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613437,CPT_Matisse254,CPT_Matisse254,-,-,-,-,ribonucleotide reductase subunit,protein-coding,-,-,-,ribonucleotide reductase subunit,20200910,-
1675607,26613438,CPT_Matisse255,CPT_Matisse255,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613439,CPT_Matisse256,CPT_Matisse256,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613440,CPT_Matisse257,CPT_Matisse257,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613441,CPT_Matisse258,CPT_Matisse258,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613442,CPT_Matisse259,CPT_Matisse259,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613443,CPT_Matisse260,CPT_Matisse260,-,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20200910,-
1675607,26613444,CPT_Matisse261,CPT_Matisse261,-,-,-,-,ribonucleotide reductase,protein-coding,-,-,-,ribonucleotide reductase,20200910,-
1675607,26613445,CPT_Matisse262,CPT_Matisse262,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613446,CPT_Matisse263,CPT_Matisse263,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613447,CPT_Matisse264,CPT_Matisse264,-,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20200910,-
1675607,26613448,CPT_Matisse265,CPT_Matisse265,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613449,CPT_Matisse266,CPT_Matisse266,-,-,-,-,long tail fiber proximal subunit,protein-coding,-,-,-,long tail fiber proximal subunit,20200910,-
1675607,26613450,CPT_Matisse267,CPT_Matisse267,-,-,-,-,hinge connector of long tail fiber proximal connector,protein-coding,-,-,-,hinge connector of long tail fiber proximal connector,20200910,-
1675607,26613451,CPT_Matisse268,CPT_Matisse268,-,-,-,-,hinge connector of long tail fiber distal connector,protein-coding,-,-,-,hinge connector of long tail fiber distal connector,20200910,-
1675607,26613452,CPT_Matisse269,CPT_Matisse269,-,-,-,-,L-shaped tail fiber protein,protein-coding,-,-,-,L-shaped tail fiber protein,20200910,-
1675607,26613453,CPT_Matisse270,CPT_Matisse270,-,-,-,-,distal long tail fiber assembly catalyst,protein-coding,-,-,-,distal long tail fiber assembly catalyst,20200910,-
1675607,26613454,CPT_Matisse271,CPT_Matisse271,-,-,-,-,holin,protein-coding,-,-,-,holin,20200910,-
1675607,26613455,CPT_Matisse272,CPT_Matisse272,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613456,CPT_Matisse273,CPT_Matisse273,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613457,CPT_Matisse274,CPT_Matisse274,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613458,CPT_Matisse275,CPT_Matisse275,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613459,CPT_Matisse276,CPT_Matisse276,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613460,CPT_Matisse277,CPT_Matisse277,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613461,CPT_Matisse278,CPT_Matisse278,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613462,CPT_Matisse279,CPT_Matisse279,-,-,-,-,nucleoid disruption protein,protein-coding,-,-,-,nucleoid disruption protein,20200910,-
1675607,26613463,CPT_Matisse280,CPT_Matisse280,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613464,CPT_Matisse1,CPT_Matisse1,-,-,-,-,rIIB protein,protein-coding,-,-,-,rIIB protein,20200910,-
1675607,26680887,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
