#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1852625,29066965,kpv477_002,kpv477_002,-,-,-,-,putative rIIA protein,protein-coding,-,-,-,putative rIIA protein,20200629,-
1852625,29067172,kpv477_192,kpv477_192,-,-,-,-,putative DNA primase-helicase subunit,protein-coding,-,-,-,putative DNA primase-helicase subunit,20200629,-
1852625,29067173,kpv477_193,kpv477_193,-,-,-,-,putative head outer capsid protein,protein-coding,-,-,-,putative head outer capsid protein,20200629,-
1852625,29067174,kpv477_194,kpv477_194,-,-,-,-,putative inhibitor of prohead protease,protein-coding,-,-,-,putative inhibitor of prohead protease,20200629,-
1852625,29067175,kpv477_195,kpv477_195,-,-,-,-,putative helicase,protein-coding,-,-,-,putative helicase,20200629,-
1852625,29067176,kpv477_196,kpv477_196,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067177,kpv477_197,kpv477_197,-,-,-,-,UvsY.2 family protein,protein-coding,-,-,-,UvsY.2 family protein,20201221,-
1852625,29067178,kpv477_198,kpv477_198,-,-,-,-,recombination mediator protein UvsY,protein-coding,-,-,-,recombination mediator protein UvsY,20210424,-
1852625,29067179,kpv477_200,kpv477_200,-,-,-,-,putative baseplate hub subunit,protein-coding,-,-,-,putative baseplate hub subunit,20200629,-
1852625,29067180,kpv477_199,kpv477_199,-,-,-,-,GPW/gp25 family protein,protein-coding,-,-,-,GPW/gp25 family protein,20201221,-
1852625,29067181,kpv477_201,kpv477_201,-,-,-,-,putative baseplate hub assembly catalyst,protein-coding,-,-,-,putative baseplate hub assembly catalyst,20200629,-
1852625,29067182,kpv477_202,kpv477_202,-,-,-,-,putative baseplate hub subunit,protein-coding,-,-,-,putative baseplate hub subunit,20200629,-
1852625,29067183,kpv477_203,kpv477_203,-,-,-,-,putative baseplate hub distal subunit,protein-coding,-,-,-,putative baseplate hub distal subunit,20200629,-
1852625,29067184,kpv477_204,kpv477_204,-,-,-,-,putative baseplate hub subunit tape measure protein,protein-coding,-,-,-,putative baseplate hub subunit tape measure protein,20200629,-
1852625,29067185,kpv477_205,kpv477_205,-,-,-,-,baseplate tail-tube junction protein,protein-coding,-,-,-,baseplate tail-tube junction protein,20201221,-
1852625,29067186,kpv477_206,kpv477_206,-,-,-,-,baseplate subunit,protein-coding,-,-,-,baseplate subunit,20201221,-
1852625,29067187,kpv477_207,kpv477_207,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
1852625,29067188,kpv477_208,kpv477_208,-,-,-,-,putative ADP-ribosyltransferase,protein-coding,-,-,-,putative ADP-ribosyltransferase,20200629,-
1852625,29067189,kpv477_209,kpv477_209,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067190,kpv477_210,kpv477_210,-,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20201221,-
1852625,29067191,kpv477_211,kpv477_211,-,-,-,-,DUF3045 domain-containing protein,protein-coding,-,-,-,DUF3045 domain-containing protein,20201221,-
1852625,29067192,kpv477_212,kpv477_212,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067193,kpv477_213,kpv477_213,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067194,kpv477_214,kpv477_214,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067195,kpv477_215,kpv477_215,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067196,kpv477_216,kpv477_216,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
1852625,29067197,kpv477_217,kpv477_217,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067198,kpv477_218,kpv477_218,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067199,kpv477_219,kpv477_219,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067200,kpv477_220,kpv477_220,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067201,kpv477_221,kpv477_221,-,-,-,-,putative lysis inhibition accessory protein,protein-coding,-,-,-,putative lysis inhibition accessory protein,20200629,-
1852625,29067202,kpv477_222,kpv477_222,-,-,-,-,putative head assembly chaperone protein,protein-coding,-,-,-,putative head assembly chaperone protein,20200629,-
1852625,29067203,kpv477_223,kpv477_223,-,-,-,-,DUF2693 domain-containing protein,protein-coding,-,-,-,DUF2693 domain-containing protein,20210424,-
1852625,29067204,kpv477_224,kpv477_224,-,-,-,-,deoxycytidylate deaminase,protein-coding,-,-,-,deoxycytidylate deaminase,20201221,-
1852625,29067205,kpv477_225,kpv477_225,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067206,kpv477_226,kpv477_226,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067207,kpv477_227,kpv477_227,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067208,kpv477_228,kpv477_228,-,-,-,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20201221,-
1852625,29067209,kpv477_229,kpv477_229,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067210,kpv477_230,kpv477_230,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067211,kpv477_231,kpv477_231,-,-,-,-,putative o-spanin,protein-coding,-,-,-,putative o-spanin,20200629,-
1852625,29067212,kpv477_232,kpv477_232,-,-,-,-,putative i-spanin,protein-coding,-,-,-,putative i-spanin,20200629,-
1852625,29067213,kpv477_233,kpv477_233,-,-,-,-,putative inhibitor of host transcription,protein-coding,-,-,-,putative inhibitor of host transcription,20200801,-
1852625,29067214,kpv477_234,kpv477_234,-,-,-,-,putative RNA ligase A,protein-coding,-,-,-,putative RNA ligase A,20200629,-
1852625,29067215,kpv477_235,kpv477_235,-,-,-,-,putative endonuclease II,protein-coding,-,-,-,putative endonuclease II,20200629,-
1852625,29067216,kpv477_236,kpv477_236,-,-,-,-,ribonucleotide-diphosphate reductase subunit beta,protein-coding,-,-,-,ribonucleotide-diphosphate reductase subunit beta,20210424,-
1852625,29067217,kpv477_237,kpv477_237,-,-,-,-,putative ribonucleoside-diphosphate reductase subunit alpha,protein-coding,-,-,-,putative ribonucleoside-diphosphate reductase subunit alpha,20200629,-
1852625,29067218,kpv477_238,kpv477_238,-,-,-,-,GIY-YIG nuclease family protein,protein-coding,-,-,-,GIY-YIG nuclease family protein,20201221,-
1852625,29067219,kpv477_239,kpv477_239,-,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20201221,-
1852625,29067220,kpv477_240,kpv477_240,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067221,kpv477_241,kpv477_241,-,-,-,-,dihydrofolate reductase,protein-coding,-,-,-,dihydrofolate reductase,20201221,-
1852625,29067222,kpv477_242,kpv477_242,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067223,kpv477_243,kpv477_243,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067224,kpv477_244,kpv477_244,-,-,-,-,single-stranded DNA-binding protein,protein-coding,-,-,-,single-stranded DNA-binding protein,20201221,-
1852625,29067225,kpv477_245,kpv477_245,-,-,-,-,helicase loading protein,protein-coding,-,-,-,helicase loading protein,20201221,-
1852625,29067226,kpv477_246,kpv477_246,-,-,-,-,putative late promoter transcription accessory protein,protein-coding,-,-,-,putative late promoter transcription accessory protein,20200801,-
1852625,29067227,kpv477_247,kpv477_247,-,-,-,-,double-stranded DNA-binding protein,protein-coding,-,-,-,double-stranded DNA-binding protein,20201221,-
1852625,29067228,kpv477_248,kpv477_248,-,-,-,-,RnaseH,protein-coding,-,-,-,RnaseH,20201221,-
1852625,29067229,kpv477_249,kpv477_249,-,-,-,-,putative long tail fiber proximal subunit,protein-coding,-,-,-,putative long tail fiber proximal subunit,20200629,-
1852625,29067230,kpv477_250,kpv477_250,-,-,-,-,putative hinge connector of long tail fiber proximal connector,protein-coding,-,-,-,putative hinge connector of long tail fiber proximal connector,20200926,-
1852625,29067231,kpv477_251,kpv477_251,-,-,-,-,putative hinge connector of long tail fiber distal connector,protein-coding,-,-,-,putative hinge connector of long tail fiber distal connector,20200629,-
1852625,29067232,kpv477_252,kpv477_252,-,-,-,-,putative L-shaped tail fiber protein,protein-coding,-,-,-,putative L-shaped tail fiber protein,20200629,-
1852625,29067233,kpv477_253,kpv477_253,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067234,kpv477_254,kpv477_254,-,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20200629,-
1852625,29067235,kpv477_255,kpv477_255,-,-,-,-,putative anti-sigma factor A,protein-coding,-,-,-,putative anti-sigma factor A,20210424,-
1852625,29067236,kpv477_256,kpv477_256,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067237,kpv477_257,kpv477_257,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067238,kpv477_258,kpv477_258,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067239,kpv477_259,kpv477_259,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067240,kpv477_260,kpv477_260,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067241,kpv477_261,kpv477_261,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067242,kpv477_262,kpv477_262,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067243,kpv477_263,kpv477_263,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067244,kpv477_264,kpv477_264,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067245,kpv477_265,kpv477_265,-,-,-,-,putative activator of middle period transcription,protein-coding,-,-,-,putative activator of middle period transcription,20200629,-
1852625,29067246,kpv477_266,kpv477_266,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067247,kpv477_267,kpv477_267,-,-,-,-,DNA topoisomerase,protein-coding,-,-,-,DNA topoisomerase,20201221,-
1852625,29067248,kpv477_268,kpv477_268,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067249,kpv477_269,kpv477_269,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067250,kpv477_270,kpv477_270,-,-,-,-,"naphthalene 1,2-dioxygenase",protein-coding,-,-,-,"naphthalene 1,2-dioxygenase",20201221,-
1852625,29067251,kpv477_271,kpv477_271,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067252,kpv477_272,kpv477_272,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067253,kpv477_273,kpv477_273,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067254,kpv477_274,kpv477_274,-,-,-,-,putative endonuclease IV,protein-coding,-,-,-,putative endonuclease IV,20200629,-
1852625,29067255,kpv477_275,kpv477_275,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067256,kpv477_029,kpv477_029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29139940,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
