#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1141141,13997821,D862_gp229,D862_gp229,ACG-C40_0045,-,-,-,immunity to superinfection membrane protein,protein-coding,-,-,-,immunity to superinfection membrane protein,20210129,-
1141141,13998004,D862_gp099,D862_gp099,ACG-C40_0175,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1141141,13998005,D862_gp098,D862_gp098,ACG-C40_0176,-,-,-,head outer capsid protein,protein-coding,-,-,-,head outer capsid protein,20200629,-
1141141,13998006,D862_gp097,D862_gp097,ACG-C40_0177,-,-,-,head outer capsid protein,protein-coding,-,-,-,head outer capsid protein,20200629,-
1141141,13998007,D862_gp096,D862_gp096,ACG-C40_0178,-,-,-,inhibitor of prohead protease,protein-coding,-,-,-,inhibitor of prohead protease,20210123,-
1141141,13998008,D862_gp095,D862_gp095,ACG-C40_0179,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20200629,-
1141141,13998009,D862_gp094,D862_gp094,ACG-C40_0180,-,-,-,RNA-DNA and DNA-DNA helicase,protein-coding,-,-,-,RNA-DNA and DNA-DNA helicase,20200629,-
1141141,13998010,D862_gp093,D862_gp093,ACG-C40_0181,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20200629,-
1141141,13998011,D862_gp092,D862_gp092,ACG-C40_0182,-,-,-,RNA-DNA and DNA-DNA helicase,protein-coding,-,-,-,RNA-DNA and DNA-DNA helicase,20200629,-
1141141,13998012,D862_gp091,D862_gp091,ACG-C40_0183,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13998013,D862_gp090,D862_gp090,ACG-C40_0184,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13998014,D862_gp089,D862_gp089,ACG-C40_0185,-,-,-,"recombination, repair and ssDNA binding protein",protein-coding,-,-,-,"recombination, repair and ssDNA binding protein",20210129,-
1141141,13998015,D862_gp088,D862_gp088,ACG-C40_0186,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20200629,-
1141141,13998016,D862_gp087,D862_gp087,ACG-C40_0187,-,-,-,baseplate hub,protein-coding,-,-,-,baseplate hub,20200629,-
1141141,13998017,D862_gp086,D862_gp086,ACG-C40_0188,-,-,-,baseplate hub assembly protein,protein-coding,-,-,-,baseplate hub assembly protein,20200629,-
1141141,13998018,D862_gp085,D862_gp085,ACG-C40_0189,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20200629,-
1141141,13998019,D862_gp084,D862_gp084,ACG-C40_0190,-,-,-,baseplate hub distal subunit,protein-coding,-,-,-,baseplate hub distal subunit,20200629,-
1141141,13998020,D862_gp083,D862_gp083,ACG-C40_0191,-,-,-,baseplate hub subunit tail length determinator,protein-coding,-,-,-,baseplate hub subunit tail length determinator,20200629,-
1141141,13998021,D862_gp082,D862_gp082,ACG-C40_0192,-,-,-,baseplate tail tube cap,protein-coding,-,-,-,baseplate tail tube cap,20200629,-
1141141,13998022,D862_gp081,D862_gp081,ACG-C40_0193,-,-,-,baseplate tail tube initiator,protein-coding,-,-,-,baseplate tail tube initiator,20200629,-
1141141,13998023,D862_gp080,D862_gp080,ACG-C40_0194,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13998024,D862_gp079,D862_gp079,ACG-C40_0195,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13998025,D862_gp078,D862_gp078,ACG-C40_0196,-,-,-,RNA polymerase ADP-ribosylase,protein-coding,-,-,-,RNA polymerase ADP-ribosylase,20200629,-
1141141,13998026,D862_gp077,D862_gp077,ACG-C40_0197,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13998027,D862_gp076,D862_gp076,ACG-C40_0198,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20200629,-
1141141,13998028,D862_gp075,D862_gp075,ACG-C40_0199,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13998029,D862_gp074,D862_gp074,ACG-C40_0200,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13998030,D862_gp073,D862_gp073,ACG-C40_0201,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13998031,D862_gp072,D862_gp072,ACG-C40_0202,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13998032,D862_gp071,D862_gp071,ACG-C40_0203,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13998033,D862_gp070,D862_gp070,ACG-C40_0204,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13998034,D862_gp069,D862_gp069,ACG-C40_0205,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13998035,D862_gp068,D862_gp068,ACG-C40_0206,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13998036,D862_gp067,D862_gp067,ACG-C40_0207,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13998037,D862_gp277,D862_gp277,ACG-C40_0208a,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13998038,D862_gp065,D862_gp065,ACG-C40_0209,-,-,-,head assembly cochaperone with GroEL,protein-coding,-,-,-,head assembly cochaperone with GroEL,20210212,-
1141141,13998039,D862_gp064,D862_gp064,ACG-C40_0210,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13998040,D862_gp063,D862_gp063,ACG-C40_0211,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13998041,D862_gp062,D862_gp062,ACG-C40_0212,-,-,-,dCMP deaminase,protein-coding,-,-,-,dCMP deaminase,20200629,-
1141141,13998042,D862_gp061,D862_gp061,ACG-C40_0213,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13998043,D862_gp060,D862_gp060,ACG-C40_0214,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13998044,D862_gp059,D862_gp059,ACG-C40_0215,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13998045,D862_gp058,D862_gp058,ACG-C40_0216,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13998046,D862_gp057,D862_gp057,ACG-C40_0217,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13998047,D862_gp056,D862_gp056,ACG-C40_0218,-,-,-,polynucleotide 5'-kinase and 3'-phosphatase,protein-coding,-,-,-,polynucleotide 5'-kinase and 3'-phosphatase,20200629,-
1141141,13998048,D862_gp055,D862_gp055,ACG-C40_0219,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13998049,D862_gp054,D862_gp054,ACG-C40_0220,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13998050,D862_gp053,D862_gp053,ACG-C40_0221,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13998051,D862_gp052,D862_gp052,ACG-C40_0222,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13998052,D862_gp051,D862_gp051,ACG-C40_0223,-,-,-,inhibitor of host transcription,protein-coding,-,-,-,inhibitor of host transcription,20200629,-
1141141,13998053,D862_gp050,D862_gp050,ACG-C40_0224,-,-,-,RNA ligase 1 and tail fiber attachment catalyst,protein-coding,-,-,-,RNA ligase 1 and tail fiber attachment catalyst,20200629,-
1141141,13998054,D862_gp049,D862_gp049,ACG-C40_0225,-,-,-,endonuclease II,protein-coding,-,-,-,endonuclease II,20200629,-
1141141,13998055,D862_gp048,D862_gp048,ACG-C40_0226,-,-,-,aerobic NDP reductase small subunit,protein-coding,-,-,-,aerobic NDP reductase small subunit,20200629,-
1141141,13998056,D862_gp047,D862_gp047,ACG-C40_0227,-,-,-,ribonucleoside-diphosphate reductase subunit alpha,protein-coding,-,-,-,ribonucleoside-diphosphate reductase subunit alpha,20200629,-
1141141,13998057,D862_gp046,D862_gp046,ACG-C40_0228,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13998058,D862_gp045,D862_gp045,ACG-C40_0229,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13998059,D862_gp044,D862_gp044,ACG-C40_0230,-,-,-,dTMP thymidylate synthase,protein-coding,-,-,-,dTMP thymidylate synthase,20210417,-
1141141,13998060,D862_gp043,D862_gp043,ACG-C40_0231,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20200629,-
1141141,13998061,D862_gp042,D862_gp042,ACG-C40_0232,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20210417,-
1141141,13998062,D862_gp041,D862_gp041,ACG-C40_0233,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13998063,D862_gp040,D862_gp040,ACG-C40_0234,-,-,-,dihydrofolate reductase,protein-coding,-,-,-,dihydrofolate reductase,20200905,-
1141141,13998064,D862_gp039,D862_gp039,ACG-C40_0235,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13998065,D862_gp038,D862_gp038,ACG-C40_0236,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13998066,D862_gp276,D862_gp276,ACG-C40_0237a,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13998067,D862_gp036,D862_gp036,ACG-C40_0238,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13998068,D862_gp035,D862_gp035,ACG-C40_0239,-,-,-,single-stranded DNA binding protein,protein-coding,-,-,-,single-stranded DNA binding protein,20200629,-
1141141,13998069,D862_gp034,D862_gp034,ACG-C40_0240,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20200629,-
1141141,13998070,D862_gp033,D862_gp033,ACG-C40_0241,-,-,-,loader of DNA helicase,protein-coding,-,-,-,loader of DNA helicase,20200629,-
1141141,13998071,D862_gp032,D862_gp032,ACG-C40_0242,-,-,-,late promoter transcription accessory protein,protein-coding,-,-,-,late promoter transcription accessory protein,20201003,-
1141141,13998072,D862_gp031,D862_gp031,ACG-C40_0243,-,-,-,dsDNA binding protein,protein-coding,-,-,-,dsDNA binding protein,20200629,-
1141141,13998073,D862_gp030,D862_gp030,ACG-C40_0244,-,-,-,ribonuclease RNaseH,protein-coding,-,-,-,ribonuclease RNaseH,20200629,-
1141141,13998074,D862_gp029,D862_gp029,ACG-C40_0245,-,-,-,long tail fiber proximal subunit,protein-coding,-,-,-,long tail fiber proximal subunit,20200629,-
1141141,13998075,D862_gp028,D862_gp028,ACG-C40_0246,-,-,-,hinge connector of long tail fiber proximal connector,protein-coding,-,-,-,hinge connector of long tail fiber proximal connector,20200629,-
1141141,13998076,D862_gp027,D862_gp027,ACG-C40_0247,-,-,-,hinge connector of long tail fiber distal connector,protein-coding,-,-,-,hinge connector of long tail fiber distal connector,20200629,-
1141141,13998077,D862_gp026,D862_gp026,ACG-C40_0248,-,-,-,long tail fiber distal subunit,protein-coding,-,-,-,long tail fiber distal subunit,20200629,-
1141141,13998078,D862_gp025,D862_gp025,ACG-C40_0249,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13998079,D862_gp024,D862_gp024,ACG-C40_0250,-,-,-,holin lysis mediator t,protein-coding,-,-,-,holin lysis mediator t,20200629,-
1141141,13998080,D862_gp023,D862_gp023,ACG-C40_0251,-,-,-,anti-sigma 70 protein,protein-coding,-,-,-,anti-sigma 70 protein,20210212,-
1141141,13998081,D862_gp022,D862_gp022,ACG-C40_0252,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13998082,D862_gp021,D862_gp021,ACG-C40_0253,-,-,-,inhibitor of MrcBC restriction endonuclease,protein-coding,-,-,-,inhibitor of MrcBC restriction endonuclease,20200629,-
1141141,13998083,D862_gp020,D862_gp020,ACG-C40_0254,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13998084,D862_gp019,D862_gp019,ACG-C40_0255,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13998085,D862_gp018,D862_gp018,ACG-C40_0256,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13998086,D862_gp017,D862_gp017,ACG-C40_0257,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13998087,D862_gp016,D862_gp016,ACG-C40_0258,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13998088,D862_gp015,D862_gp015,ACG-C40_0259,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13998089,D862_gp014,D862_gp014,ACG-C40_0260,-,-,-,activator of middle period transcription,protein-coding,-,-,-,activator of middle period transcription,20200629,-
1141141,13998090,D862_gp013,D862_gp013,ACG-C40_0261,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13998091,D862_gp012,D862_gp012,ACG-C40_0262,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13998092,D862_gp011,D862_gp011,ACG-C40_0263,-,-,-,DNA topoisomerase II medium subunit,protein-coding,-,-,-,DNA topoisomerase II medium subunit,20200629,-
1141141,13998093,D862_gp275,D862_gp275,ACG-C40_0264a,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13998094,D862_gp274,D862_gp274,ACG-C40_0265a,-,-,-,activator of host PrrC lysyl-tRNA endonuclease,protein-coding,-,-,-,activator of host PrrC lysyl-tRNA endonuclease,20200629,-
1141141,13998095,D862_gp008,D862_gp008,ACG-C40_0266,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13998096,D862_gp007,D862_gp007,ACG-C40_0267,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13998097,D862_gp006,D862_gp006,ACG-C40_0268,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13998098,D862_gp005,D862_gp005,ACG-C40_0269,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13998099,D862_gp004,D862_gp004,ACG-C40_0270,-,-,-,DNA endonuclease IV,protein-coding,-,-,-,DNA endonuclease IV,20200629,-
1141141,13998100,D862_gp003,D862_gp003,ACG-C40_0271,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13998101,D862_gp002,D862_gp002,ACG-C40_0272,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13998102,D862_gp001,D862_gp001,ACG-C40_0273,-,-,-,protector from prophage-induced early lysis rIIB,protein-coding,-,-,-,protector from prophage-induced early lysis rIIB,20210417,-
1141141,13998103,D862_gt003,D862_gt003,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1141141,13998104,D862_gt002,D862_gt002,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1141141,13998105,D862_gt004,D862_gt004,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1141141,13998106,D862_gt005,D862_gt005,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1141141,13998107,D862_gt006,D862_gt006,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1141141,13998108,D862_gt007,D862_gt007,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1141141,13998109,D862_gt008,D862_gt008,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1141141,13998110,D862_gt009,D862_gt009,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1141141,13998111,D862_gt010,D862_gt010,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1141141,13998112,D862_gp141,D862_gp141,ACG-C40_0133,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,14007736,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Enterobacteria phage vB_EcoM_ACG-C40).,other,-,-,-,-,20200513,-
