#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
10245,2828243,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (vaccinia virus VV).,other,-,-,-,-,20200711,-
10245,3707707,A52R,VACWR178,-,-,-,-,Toll/IL-receptor-like protein,protein-coding,-,-,-,Toll/IL-receptor-like protein,20180815,-
10245,3707708,D11L,VACWR116,-,-,-,-,temporal expression: late,protein-coding,-,-,-,"ATPase, nucleoside triphosphate phosphohydrolase-I, NPH-I",20180815,-
10245,3707709,A48R,VACWR174,-,-,-,-,temporal expression: early,protein-coding,-,-,-,thymidylate kinase,20180815,-
10245,3707710,A53R,VACWR179,-,-,-,-,secreted TNF-receptor-like protein,protein-coding,-,-,-,secreted TNF-receptor-like protein,20180815,-
10245,3707711,VACWR037,VACWR037,-,-,-,-,putative monoglyceride lipase,protein-coding,-,-,-,putative monoglyceride lipase,20180815,-
10245,4557754,F14.5L,VACWR053.5,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10245,4557755,VACWR069.5,VACWR069.5,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10245,4557756,A30.5L,VACWR153.5,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10245,4557757,VACWR181.5,VACWR181.5,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
10245,4557758,VACWR204.5,VACWR204.5,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
