#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1493514,24171180,AAJ61_gp002,AAJ61_gp002,Syn7803US103_2,-,-,-,base plate wedge component,protein-coding,-,-,-,base plate wedge component,20201221,-
1493514,24171351,AAJ61_gp173,AAJ61_gp173,Syn7803US103_173,-,-,-,ribonucleotide reductase subunit A,protein-coding,-,-,-,ribonucleotide reductase subunit A,20201221,-
1493514,24171352,AAJ61_gp174,AAJ61_gp174,Syn7803US103_174,-,-,-,ribonucleotide reductase subunit B,protein-coding,-,-,-,ribonucleotide reductase subunit B,20201221,-
1493514,24171353,AAJ61_gp175,AAJ61_gp175,Syn7803US103_175,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171354,AAJ61_gp176,AAJ61_gp176,Syn7803US103_176,-,-,-,2OG-Fe(II) oxygenase family like protein,protein-coding,-,-,-,2OG-Fe(II) oxygenase family like protein,20201221,-
1493514,24171355,AAJ61_gp177,AAJ61_gp177,Syn7803US103_177,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171356,AAJ61_gp178,AAJ61_gp178,Syn7803US103_178,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171357,AAJ61_gp179,AAJ61_gp179,Syn7803US103_179,-,-,-,transaldolase-like protein,protein-coding,-,-,-,transaldolase-like protein,20201221,-
1493514,24171358,AAJ61_gp180,AAJ61_gp180,Syn7803US103_180,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171359,AAJ61_gp181,AAJ61_gp181,Syn7803US103_181,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171360,AAJ61_gp182,AAJ61_gp182,Syn7803US103_182,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171361,AAJ61_gp183,AAJ61_gp183,Syn7803US103_183,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171362,AAJ61_gp184,AAJ61_gp184,Syn7803US103_184,-,-,-,tail fiber-like protein,protein-coding,-,-,-,tail fiber-like protein,20201221,-
1493514,24171363,AAJ61_gp185,AAJ61_gp185,Syn7803US103_185,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171364,AAJ61_gp186,AAJ61_gp186,Syn7803US103_186,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171365,AAJ61_gp187,AAJ61_gp187,Syn7803US103_187,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201221,-
1493514,24171366,AAJ61_gp188,AAJ61_gp188,Syn7803US103_188,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171367,AAJ61_gp189,AAJ61_gp189,Syn7803US103_189,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171368,AAJ61_gp190,AAJ61_gp190,Syn7803US103_190,-,-,-,exosporium leader peptide,protein-coding,-,-,-,exosporium leader peptide,20201221,-
1493514,24171369,AAJ61_gp191,AAJ61_gp191,Syn7803US103_191,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171370,AAJ61_gp192,AAJ61_gp192,Syn7803US103_192,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171371,AAJ61_gp193,AAJ61_gp193,Syn7803US103_193,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171372,AAJ61_gp194,AAJ61_gp194,Syn7803US103_194,-,-,-,plasmid stability protein,protein-coding,-,-,-,plasmid stability protein,20201221,-
1493514,24171373,AAJ61_gp195,AAJ61_gp195,Syn7803US103_195,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171374,AAJ61_gp196,AAJ61_gp196,Syn7803US103_196,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171375,AAJ61_gp197,AAJ61_gp197,Syn7803US103_197,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171376,AAJ61_gp198,AAJ61_gp198,Syn7803US103_198,-,-,-,OMP1 protein,protein-coding,-,-,-,OMP1 protein,20201221,-
1493514,24171377,AAJ61_gp199,AAJ61_gp199,Syn7803US103_199,-,-,-,high light inducible protein,protein-coding,-,-,-,high light inducible protein,20201221,-
1493514,24171378,AAJ61_gp200,AAJ61_gp200,Syn7803US103_200,-,-,-,ferredoxin,protein-coding,-,-,-,ferredoxin,20201221,-
1493514,24171379,AAJ61_gp201,AAJ61_gp201,Syn7803US103_201,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171380,AAJ61_gp202,AAJ61_gp202,Syn7803US103_202,-,-,-,high light inducible protein,protein-coding,-,-,-,high light inducible protein,20201221,-
1493514,24171381,AAJ61_gp203,AAJ61_gp203,Syn7803US103_203,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171382,AAJ61_gp204,AAJ61_gp204,Syn7803US103_204,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171383,AAJ61_gp205,AAJ61_gp205,Syn7803US103_205,-,-,-,photosystem II D1 protein,protein-coding,-,-,-,photosystem II D1 protein,20201221,-
1493514,24171384,AAJ61_gp206,AAJ61_gp206,Syn7803US103_206,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171385,AAJ61_gp207,AAJ61_gp207,Syn7803US103_207,-,-,-,photosystem II D2 protein,protein-coding,-,-,-,photosystem II D2 protein,20201221,-
1493514,24171386,AAJ61_gp208,AAJ61_gp208,Syn7803US103_208,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171387,AAJ61_gp209,AAJ61_gp209,Syn7803US103_209,-,-,-,phosphoribosylaminoimidazole-succinocarboxamide synthase,protein-coding,-,-,-,phosphoribosylaminoimidazole-succinocarboxamide synthase,20201221,-
1493514,24171388,AAJ61_gp210,AAJ61_gp210,Syn7803US103_210,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171389,AAJ61_gp211,AAJ61_gp211,Syn7803US103_211,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171390,AAJ61_gp212,AAJ61_gp212,Syn7803US103_212,-,-,-,phosphoribosylaminoimidazole synthetase,protein-coding,-,-,-,phosphoribosylaminoimidazole synthetase,20201221,-
1493514,24171391,AAJ61_gp213,AAJ61_gp213,Syn7803US103_213,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20201221,-
1493514,24171392,AAJ61_gp214,AAJ61_gp214,Syn7803US103_214,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171393,AAJ61_gp215,AAJ61_gp215,Syn7803US103_215,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171394,AAJ61_gp216,AAJ61_gp216,Syn7803US103_216,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171395,AAJ61_gp217,AAJ61_gp217,Syn7803US103_217,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171396,AAJ61_gp218,AAJ61_gp218,Syn7803US103_218,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171397,AAJ61_gp219,AAJ61_gp219,Syn7803US103_219,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171398,AAJ61_gp220,AAJ61_gp220,Syn7803US103_220,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171399,AAJ61_gp221,AAJ61_gp221,Syn7803US103_221,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171400,AAJ61_gp222,AAJ61_gp222,Syn7803US103_222,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171401,AAJ61_gp223,AAJ61_gp223,Syn7803US103_223,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171402,AAJ61_gp224,AAJ61_gp224,Syn7803US103_224,-,-,-,thymidylate synthetase,protein-coding,-,-,-,thymidylate synthetase,20201221,-
1493514,24171403,AAJ61_gp225,AAJ61_gp225,Syn7803US103_225,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171404,AAJ61_gp226,AAJ61_gp226,Syn7803US103_226,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171405,AAJ61_gp227,AAJ61_gp227,Syn7803US103_227,-,-,-,P-starvation inducible protein,protein-coding,-,-,-,P-starvation inducible protein,20201221,-
1493514,24171406,AAJ61_gp228,AAJ61_gp228,Syn7803US103_228,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
1493514,24171407,AAJ61_gp229,AAJ61_gp229,Syn7803US103_229,-,-,-,late promoter transcription protein,protein-coding,-,-,-,late promoter transcription protein,20201221,-
1493514,24171408,AAJ61_gp230,AAJ61_gp230,Syn7803US103_230,-,-,-,DUF1825 domain-containing protein,protein-coding,-,-,-,DUF1825 domain-containing protein,20201221,-
1493514,24171409,AAJ61_gp001,AAJ61_gp001,Syn7803US103_1,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20201221,-
1493514,24265295,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Synechococcus phage Syn7803US103).,other,-,-,-,-,20200513,-
