#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
4781,36395056,PHALS_00001,PHALS_00001,-,-,Unknown,-,"Component of synaptic membrane glycine-, glutamate-and thienylcyclohexylpiperidine-binding glycoprotein (43kDa)",protein-coding,-,-,-,"Component of synaptic membrane glycine-, glutamate-and thienylcyclohexylpiperidine-binding glycoprotein (43kDa)",20201008,-
4781,36398936,PHALS_03881,PHALS_03881,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36398937,PHALS_03882,PHALS_03882,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36398938,PHALS_03883,PHALS_03883,-,-,Unknown,-,"FOG: Transposon-encoded proteins with TYA, reverse transcriptase, integrase domains in various combinations",protein-coding,-,-,-,"FOG: Transposon-encoded proteins with TYA, reverse transcriptase, integrase domains in various combinations",20201008,-
4781,36398939,PHALS_03884,PHALS_03884,-,-,Unknown,-,ac099402_4 22 kda kafirin cluster ty3-gypsy type,protein-coding,-,-,-,ac099402_4 22 kda kafirin cluster ty3-gypsy type,20201008,-
4781,36398940,PHALS_03885,PHALS_03885,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36398941,PHALS_03886,PHALS_03886,-,-,Unknown,-,Predicted nucleic acid binding protein,protein-coding,-,-,-,Predicted nucleic acid binding protein,20201008,-
4781,36398942,PHALS_03887,PHALS_03887,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36398943,PHALS_03888,PHALS_03888,-,-,Unknown,-,beta-partial,protein-coding,-,-,-,beta-partial,20201008,-
4781,36398944,PHALS_03889,PHALS_03889,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36398945,PHALS_03890,PHALS_03890,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36398946,PHALS_03891,PHALS_03891,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36398947,PHALS_03892,PHALS_03892,-,-,Unknown,-,Predicted phosphatase,protein-coding,-,-,-,Predicted phosphatase,20201008,-
4781,36398948,PHALS_03893,PHALS_03893,-,-,Unknown,-,"Zinc finger, RING/FYVE/PHD-type",protein-coding,-,-,-,"Zinc finger, RING/FYVE/PHD-type",20201008,-
4781,36398949,PHALS_03894,PHALS_03894,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36398950,PHALS_03895,PHALS_03895,-,-,Unknown,-,sulfite mitochondrial-like isoform x1,protein-coding,-,-,-,sulfite mitochondrial-like isoform x1,20201008,-
4781,36398951,PHALS_03896,PHALS_03896,-,-,Unknown,-,u3 small nucleolar rna-associated,protein-coding,-,-,-,u3 small nucleolar rna-associated,20201008,-
4781,36398952,PHALS_03897,PHALS_03897,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36398953,PHALS_03898,PHALS_03898,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36398954,PHALS_03899,PHALS_03899,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36398955,PHALS_03900,PHALS_03900,-,-,Unknown,-,"Zinc finger, SWIM-type",protein-coding,-,-,-,"Zinc finger, SWIM-type",20201008,-
4781,36398956,PHALS_03901,PHALS_03901,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36398957,PHALS_03902,PHALS_03902,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36398958,PHALS_03903,PHALS_03903,-,-,Unknown,-,sec1 family transporter sly1,protein-coding,-,-,-,sec1 family transporter sly1,20201008,-
4781,36398959,PHALS_03904,PHALS_03904,-,-,Unknown,-,translation initiation factor if-2,protein-coding,-,-,-,translation initiation factor if-2,20201008,-
4781,36398960,PHALS_03905,PHALS_03905,-,-,Unknown,-,mitochondrial carnitine acylcarnitine carrier,protein-coding,-,-,-,mitochondrial carnitine acylcarnitine carrier,20201008,-
4781,36398961,PHALS_03906,PHALS_03906,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36398962,PHALS_03907,PHALS_03907,-,-,Unknown,-,RxLR-like protein,protein-coding,-,-,-,RxLR-like protein,20201008,-
4781,36398963,PHALS_03908,PHALS_03908,-,-,Unknown,-,FOG: RCC1 domain,protein-coding,-,-,-,FOG: RCC1 domain,20201008,-
4781,36398964,PHALS_03909,PHALS_03909,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36398965,PHALS_03910,PHALS_03910,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36398966,PHALS_03911,PHALS_03911,-,-,Unknown,-,Predicted Zn-finger protein,protein-coding,-,-,-,Predicted Zn-finger protein,20201008,-
4781,36398967,PHALS_03912,PHALS_03912,-,-,Unknown,-,pleckstrin homology domain-containing partial,protein-coding,-,-,-,pleckstrin homology domain-containing partial,20201008,-
4781,36398968,PHALS_03913,PHALS_03913,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36398969,PHALS_03914,PHALS_03914,-,-,Unknown,-,Myb-like domain,protein-coding,-,-,-,Myb-like domain,20201008,-
4781,36398970,PHALS_03915,PHALS_03915,-,-,Unknown,-,s-formylglutathione hydrolase,protein-coding,-,-,-,s-formylglutathione hydrolase,20201008,-
4781,36398971,PHALS_03916,PHALS_03916,-,-,Unknown,-,phospholipid sterol acyl transferase 1,protein-coding,-,-,-,phospholipid sterol acyl transferase 1,20201008,-
4781,36398972,PHALS_03917,PHALS_03917,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36398973,PHALS_03918,PHALS_03918,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36398974,PHALS_03919,PHALS_03919,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36398975,PHALS_03920,PHALS_03920,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36398976,PHALS_03921,PHALS_03921,-,-,Unknown,-,3-isopropylmalate dehydrogenase,protein-coding,-,-,-,3-isopropylmalate dehydrogenase,20201008,-
4781,36398977,PHALS_03922,PHALS_03922,-,-,Unknown,-,adenylate kinase isoenzyme 6-like,protein-coding,-,-,-,adenylate kinase isoenzyme 6-like,20201008,-
4781,36398978,PHALS_03923,PHALS_03923,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36398979,PHALS_03924,PHALS_03924,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36398980,PHALS_03925,PHALS_03925,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36398981,PHALS_03926,PHALS_03926,-,-,Unknown,-,serine protease family,protein-coding,-,-,-,serine protease family,20201008,-
4781,36398982,PHALS_03927,PHALS_03927,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36398983,PHALS_03928,PHALS_03928,-,-,Unknown,-,"Uncharacterized conserved protein, contains GRAM domain",protein-coding,-,-,-,"Uncharacterized conserved protein, contains GRAM domain",20201008,-
4781,36398984,PHALS_03929,PHALS_03929,-,-,Unknown,-,aspartate-trna ligase,protein-coding,-,-,-,aspartate-trna ligase,20201008,-
4781,36398985,PHALS_03930,PHALS_03930,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36398986,PHALS_03931,PHALS_03931,-,-,Unknown,-,tubby-like protein,protein-coding,-,-,-,tubby-like protein,20201008,-
4781,36398987,PHALS_03932,PHALS_03932,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36398988,PHALS_03933,PHALS_03933,-,-,Unknown,-,peptide deformylase,protein-coding,-,-,-,peptide deformylase,20201008,-
4781,36398989,PHALS_03934,PHALS_03934,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36398990,PHALS_03935,PHALS_03935,-,-,Unknown,-,camk cdpk protein kinase,protein-coding,-,-,-,camk cdpk protein kinase,20201008,-
4781,36398991,PHALS_03936,PHALS_03936,-,-,Unknown,-,lyr motif-containing protein 4,protein-coding,-,-,-,lyr motif-containing protein 4,20201008,-
4781,36398992,PHALS_03937,PHALS_03937,-,-,Unknown,-,RxLR-like protein,protein-coding,-,-,-,RxLR-like protein,20201008,-
4781,36398993,PHALS_03938,PHALS_03938,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36398994,PHALS_03939,PHALS_03939,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36398995,PHALS_03940,PHALS_03940,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36398996,PHALS_03941,PHALS_03941,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36398997,PHALS_03942,PHALS_03942,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36398998,PHALS_03943,PHALS_03943,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36398999,PHALS_03944,PHALS_03944,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36399000,PHALS_03945,PHALS_03945,-,-,Unknown,-,"FOG: Transposon-encoded proteins with TYA, reverse transcriptase, integrase domains in various combinations",protein-coding,-,-,-,"FOG: Transposon-encoded proteins with TYA, reverse transcriptase, integrase domains in various combinations",20201008,-
4781,36399001,PHALS_03946,PHALS_03946,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36399002,PHALS_03947,PHALS_03947,-,-,Unknown,-,"Collagens (type IV and type XIII), and related proteins",protein-coding,-,-,-,"Collagens (type IV and type XIII), and related proteins",20201008,-
4781,36399003,PHALS_03948,PHALS_03948,-,-,Unknown,-,hypothetical protein F444_20559,protein-coding,-,-,-,hypothetical protein F444_20559,20201008,-
4781,36399004,PHALS_03949,PHALS_03949,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36399005,PHALS_03950,PHALS_03950,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36399006,PHALS_03951,PHALS_03951,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36399007,PHALS_03952,PHALS_03952,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36399008,PHALS_03953,PHALS_03953,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36399009,PHALS_03954,PHALS_03954,-,-,Unknown,-,atp-binding cassette superfamily,protein-coding,-,-,-,atp-binding cassette superfamily,20201008,-
4781,36399010,PHALS_03955,PHALS_03955,-,-,Unknown,-,mismatch repair endonuclease,protein-coding,-,-,-,mismatch repair endonuclease,20201008,-
4781,36399011,PHALS_03956,PHALS_03956,-,-,Unknown,-,sec14 cytosolic factor,protein-coding,-,-,-,sec14 cytosolic factor,20201008,-
4781,36399012,PHALS_03957,PHALS_03957,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36399013,PHALS_03958,PHALS_03958,-,-,Unknown,-,Isochorismatase-like,protein-coding,-,-,-,Isochorismatase-like,20201008,-
4781,36399014,PHALS_03959,PHALS_03959,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36399015,PHALS_03960,PHALS_03960,-,-,Unknown,-,E3 ubiquitin protein ligase,protein-coding,-,-,-,E3 ubiquitin protein ligase,20201008,-
4781,36399016,PHALS_03961,PHALS_03961,-,-,Unknown,-,RxLR-like protein,protein-coding,-,-,-,RxLR-like protein,20201008,-
4781,36399017,PHALS_03962,PHALS_03962,-,-,Unknown,-,HAD-like domain,protein-coding,-,-,-,HAD-like domain,20201008,-
4781,36399018,PHALS_03963,PHALS_03963,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36399019,PHALS_03964,PHALS_03964,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201008,-
4781,36399020,PHALS_03965,PHALS_03965,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36399021,PHALS_03966,PHALS_03966,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36399022,PHALS_03967,PHALS_03967,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36399023,PHALS_03968,PHALS_03968,-,-,Unknown,-,n-alpha-acetyltransferase 40,protein-coding,-,-,-,n-alpha-acetyltransferase 40,20201008,-
4781,36399024,PHALS_03969,PHALS_03969,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36399025,PHALS_03970,PHALS_03970,-,-,Unknown,-,LMBR1-like membrane protein,protein-coding,-,-,-,LMBR1-like membrane protein,20201008,-
4781,36399026,PHALS_03971,PHALS_03971,-,-,Unknown,-,Mannose-binding lectin,protein-coding,-,-,-,Mannose-binding lectin,20201008,-
4781,36399027,PHALS_03972,PHALS_03972,-,-,Unknown,-,Mannose-binding lectin,protein-coding,-,-,-,Mannose-binding lectin,20201008,-
4781,36399028,PHALS_03973,PHALS_03973,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36399029,PHALS_03974,PHALS_03974,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36399030,PHALS_03975,PHALS_03975,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36399031,PHALS_03976,PHALS_03976,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36399032,PHALS_03977,PHALS_03977,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36399033,PHALS_03978,PHALS_03978,-,-,Unknown,-,inorganic phosphate,protein-coding,-,-,-,inorganic phosphate,20201008,-
4781,36399034,PHALS_03979,PHALS_03979,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36399035,PHALS_03980,PHALS_03980,-,-,Unknown,-,dna-binding 42 kda,protein-coding,-,-,-,dna-binding 42 kda,20201008,-
4781,36399036,PHALS_03981,PHALS_03981,-,-,Unknown,-,hypothetical protein F443_18240,protein-coding,-,-,-,hypothetical protein F443_18240,20201008,-
4781,36399037,PHALS_03982,PHALS_03982,-,-,Unknown,-,pescadillo-like protein,protein-coding,-,-,-,pescadillo-like protein,20201008,-
4781,36399038,PHALS_03983,PHALS_03983,-,-,Unknown,-,atp-dependent rna,protein-coding,-,-,-,atp-dependent rna,20201008,-
4781,36399039,PHALS_03984,PHALS_03984,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36399040,PHALS_03985,PHALS_03985,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36399041,PHALS_03986,PHALS_03986,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36399042,PHALS_03987,PHALS_03987,-,-,Unknown,-,40s ribosomal protein s20,protein-coding,-,-,-,40s ribosomal protein s20,20201008,-
4781,36399043,PHALS_03988,PHALS_03988,-,-,Unknown,-,gamma-glutamyl hydrolase a,protein-coding,-,-,-,gamma-glutamyl hydrolase a,20201008,-
4781,36399044,PHALS_03989,PHALS_03989,-,-,Unknown,-,Glucose-repressible alcohol dehydrogenase transcriptional effector CCR4 and related proteins,protein-coding,-,-,-,Glucose-repressible alcohol dehydrogenase transcriptional effector CCR4 and related proteins,20201008,-
4781,36399045,PHALS_03990,PHALS_03990,-,-,Unknown,-,Endonuclease/exonuclease/phosphatase,protein-coding,-,-,-,Endonuclease/exonuclease/phosphatase,20201008,-
4781,36399046,PHALS_03991,PHALS_03991,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201008,-
4781,36399047,PHALS_03992,PHALS_03992,-,-,Unknown,-,hypothetical protein F441_11081,protein-coding,-,-,-,hypothetical protein F441_11081,20201008,-
4781,36399048,PHALS_03993,PHALS_03993,-,-,Unknown,-,Putative fluoride ion transporter CrcB,protein-coding,-,-,-,Putative fluoride ion transporter CrcB,20201008,-
4781,36399049,PHALS_03994,PHALS_03994,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36399050,PHALS_03995,PHALS_03995,-,-,Unknown,-,Guanine nucleotide-binding protein,protein-coding,-,-,-,Guanine nucleotide-binding protein,20201008,-
4781,36399051,PHALS_03996,PHALS_03996,-,-,Unknown,-,rna-binding motif x-linked 2,protein-coding,-,-,-,rna-binding motif x-linked 2,20201008,-
4781,36399052,PHALS_03997,PHALS_03997,-,-,Unknown,-,hypothetical protein PPTG_13176,protein-coding,-,-,-,hypothetical protein PPTG_13176,20201008,-
4781,36399053,PHALS_03998,PHALS_03998,-,-,Unknown,-,zinc finger family protein,protein-coding,-,-,-,zinc finger family protein,20201008,-
4781,36399054,PHALS_03999,PHALS_03999,-,-,Unknown,-,hypothetical protein F444_12625,protein-coding,-,-,-,hypothetical protein F444_12625,20201008,-
4781,36399055,PHALS_04000,PHALS_04000,-,-,Unknown,-,callose synthase 5,protein-coding,-,-,-,callose synthase 5,20201008,-
4781,36399056,PHALS_04001,PHALS_04001,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36399057,PHALS_04002,PHALS_04002,-,-,Unknown,-,60s ribosomal protein l18a,protein-coding,-,-,-,60s ribosomal protein l18a,20201008,-
4781,36399058,PHALS_04003,PHALS_04003,-,-,Unknown,-,tkl protein kinase,protein-coding,-,-,-,tkl protein kinase,20201008,-
4781,36399059,PHALS_04004,PHALS_04004,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36399060,PHALS_04005,PHALS_04005,-,-,Unknown,-,"Zuotin and related molecular chaperones (DnaJ superfamily), contains DNA-binding domains",protein-coding,-,-,-,"Zuotin and related molecular chaperones (DnaJ superfamily), contains DNA-binding domains",20201008,-
4781,36399061,PHALS_04006,PHALS_04006,-,-,Unknown,-,transportin-like protein,protein-coding,-,-,-,transportin-like protein,20201008,-
4781,36399062,PHALS_04007,PHALS_04007,-,-,Unknown,-,nucleotide-binding protein 1,protein-coding,-,-,-,nucleotide-binding protein 1,20201008,-
4781,36399063,PHALS_04008,PHALS_04008,-,-,Unknown,-,protein phosphatase,protein-coding,-,-,-,protein phosphatase,20201008,-
4781,36399064,PHALS_04009,PHALS_04009,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36399065,PHALS_04010,PHALS_04010,-,-,Unknown,-,n-terminal xaa-pro-lys n-methyltransferase 1 isoform x1,protein-coding,-,-,-,n-terminal xaa-pro-lys n-methyltransferase 1 isoform x1,20201008,-
4781,36399066,PHALS_04011,PHALS_04011,-,-,Unknown,-,dead deah box helicase,protein-coding,-,-,-,dead deah box helicase,20201008,-
4781,36399067,PHALS_04012,PHALS_04012,-,-,Unknown,-,sulfate permease family,protein-coding,-,-,-,sulfate permease family,20201008,-
4781,36399068,PHALS_04013,PHALS_04013,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36399069,PHALS_04014,PHALS_04014,-,-,Unknown,-,Presenilin,protein-coding,-,-,-,Presenilin,20201008,-
4781,36399070,PHALS_04015,PHALS_04015,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201008,-
4781,36399071,PHALS_04016,PHALS_04016,-,-,Unknown,-,RxLR-like protein,protein-coding,-,-,-,RxLR-like protein,20201008,-
4781,36399072,PHALS_04017,PHALS_04017,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36399073,PHALS_04018,PHALS_04018,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36399074,PHALS_04019,PHALS_04019,-,-,Unknown,-,40s ribosomal protein s30,protein-coding,-,-,-,40s ribosomal protein s30,20201008,-
4781,36399075,PHALS_04020,PHALS_04020,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36399076,PHALS_04021,PHALS_04021,-,-,Unknown,-,hypothetical protein F443_11319,protein-coding,-,-,-,hypothetical protein F443_11319,20201008,-
4781,36399077,PHALS_04022,PHALS_04022,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36399078,PHALS_04023,PHALS_04023,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36399079,PHALS_04024,PHALS_04024,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36399080,PHALS_04025,PHALS_04025,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36399081,PHALS_04026,PHALS_04026,-,-,Unknown,-,mitoferrin-like protein,protein-coding,-,-,-,mitoferrin-like protein,20201008,-
4781,36399082,PHALS_04027,PHALS_04027,-,-,Unknown,-,hypothetical protein L916_17454,protein-coding,-,-,-,hypothetical protein L916_17454,20201008,-
4781,36399083,PHALS_04028,PHALS_04028,-,-,Unknown,-,RxLR-like protein,protein-coding,-,-,-,RxLR-like protein,20201008,-
4781,36399084,PHALS_04029,PHALS_04029,-,-,Unknown,-,Predicted phosphoglycerate mutase,protein-coding,-,-,-,Predicted phosphoglycerate mutase,20201008,-
4781,36399085,PHALS_04030,PHALS_04030,-,-,Unknown,-,trna (adenine-n-)-methyltransferase non-catalytic subunit,protein-coding,-,-,-,trna (adenine-n-)-methyltransferase non-catalytic subunit,20201008,-
4781,36399086,PHALS_04031,PHALS_04031,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36399087,PHALS_04032,PHALS_04032,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36399088,PHALS_04033,PHALS_04033,-,-,Unknown,-,PDZ domain,protein-coding,-,-,-,PDZ domain,20201008,-
4781,36399089,PHALS_04034,PHALS_04034,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36399090,PHALS_04035,PHALS_04035,-,-,Unknown,-,F-box domain,protein-coding,-,-,-,F-box domain,20201008,-
4781,36399091,PHALS_04036,PHALS_04036,-,-,Unknown,-,hypothetical protein PPTG_03276,protein-coding,-,-,-,hypothetical protein PPTG_03276,20201008,-
4781,36399092,PHALS_04037,PHALS_04037,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36399093,PHALS_04038,PHALS_04038,-,-,Unknown,-,chord family protein,protein-coding,-,-,-,chord family protein,20201008,-
4781,36399094,PHALS_04039,PHALS_04039,-,-,Unknown,-,alcohol dehydrogenase,protein-coding,-,-,-,alcohol dehydrogenase,20201008,-
4781,36399095,PHALS_04040,PHALS_04040,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36399096,PHALS_04041,PHALS_04041,-,-,Unknown,-,myosin-like protein,protein-coding,-,-,-,myosin-like protein,20201008,-
4781,36399097,PHALS_04042,PHALS_04042,-,-,Unknown,-,malonyl-decarboxylase,protein-coding,-,-,-,malonyl-decarboxylase,20201008,-
4781,36399098,PHALS_04043,PHALS_04043,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36399099,PHALS_04044,PHALS_04044,-,-,Unknown,-,Predicted membrane protein,protein-coding,-,-,-,Predicted membrane protein,20201008,-
4781,36399100,PHALS_04045,PHALS_04045,-,-,Unknown,-,tkl protein kinase,protein-coding,-,-,-,tkl protein kinase,20201008,-
4781,36399101,PHALS_04046,PHALS_04046,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36399102,PHALS_04047,PHALS_04047,-,-,Unknown,-,"Amino acid transporter, transmembrane",protein-coding,-,-,-,"Amino acid transporter, transmembrane",20201008,-
4781,36399103,PHALS_04048,PHALS_04048,-,-,Unknown,-,Extracellular protein SEL-1 and related proteins,protein-coding,-,-,-,Extracellular protein SEL-1 and related proteins,20201008,-
4781,36399104,PHALS_04049,PHALS_04049,-,-,Unknown,-,mrna capping enzyme family protein,protein-coding,-,-,-,mrna capping enzyme family protein,20201008,-
4781,36399105,PHALS_04050,PHALS_04050,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36399106,PHALS_04051,PHALS_04051,-,-,Unknown,-,Molecular co-chaperone STI1,protein-coding,-,-,-,Molecular co-chaperone STI1,20201008,-
4781,36399107,PHALS_04052,PHALS_04052,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36399108,PHALS_04053,PHALS_04053,-,-,Unknown,-,phenylalanine-trna beta subunit,protein-coding,-,-,-,phenylalanine-trna beta subunit,20201008,-
4781,36399109,PHALS_04054,PHALS_04054,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36399110,PHALS_04055,PHALS_04055,-,-,Unknown,-,beta-ketoacyl-acyl-carrier-protein synthase ii,protein-coding,-,-,-,beta-ketoacyl-acyl-carrier-protein synthase ii,20201008,-
4781,36399111,PHALS_04056,PHALS_04056,-,-,Unknown,-,alpha-,protein-coding,-,-,-,alpha-,20201008,-
4781,36399112,PHALS_04057,PHALS_04057,-,-,Unknown,-,caib baif family protein,protein-coding,-,-,-,caib baif family protein,20201008,-
4781,36399113,PHALS_04058,PHALS_04058,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36399114,PHALS_04059,PHALS_04059,-,-,Unknown,-,e3 ubiquitin-protein ligase ring1-like isoform x3,protein-coding,-,-,-,e3 ubiquitin-protein ligase ring1-like isoform x3,20201008,-
4781,36399115,PHALS_04060,PHALS_04060,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36399116,PHALS_04061,PHALS_04061,-,-,Unknown,-,S-M checkpoint control protein CID1 and related nucleotidyltransferases,protein-coding,-,-,-,S-M checkpoint control protein CID1 and related nucleotidyltransferases,20201008,-
