#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
29519,3293299,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Borrelia garinii; Borrelia genomic group 20047.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20210405,-
29519,39513362,DB281_RS05080,DB281_RS05080,DB281_05080,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
29519,39513364,DB281_RS04945,DB281_RS04945,DB281_04945,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,39513365,DB281_RS04835,DB281_RS04835,DB281_04835,-,-,-,DUF792 family protein,protein-coding,-,-,-,DUF792 family protein,20210423,-
29519,39513366,DB281_RS04935,DB281_RS04935,DB281_04935,-,-,-,site-specific integrase,protein-coding,-,-,-,site-specific integrase,20210423,-
29519,39513367,DB281_RS04875,DB281_RS04875,DB281_04875,-,-,-,"holin, BlyB family",protein-coding,-,-,-,"holin, BlyB family",20210423,-
29519,39513368,DB281_RS04825,DB281_RS04825,DB281_04825,-,-,-,DUF1322 family protein,protein-coding,-,-,-,DUF1322 family protein,20210423,-
29519,39513369,DB281_RS04970,DB281_RS04970,DB281_04970,-,-,-,DUF228 domain-containing protein,protein-coding,-,-,-,DUF228 domain-containing protein,20210423,-
29519,39513370,DB281_RS04925,DB281_RS04925,DB281_04925,-,-,-,DUF244 domain-containing protein,protein-coding,-,-,-,DUF244 domain-containing protein,20210423,-
29519,39513371,DB281_RS04985,DB281_RS04985,DB281_04985,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,39513372,DB281_RS04940,DB281_RS04940,DB281_04940,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,39513373,DB281_RS04845,DB281_RS04845,DB281_04845,-,-,-,DUF777 family protein,protein-coding,-,-,-,DUF777 family protein,20210423,-
29519,39513374,DB281_RS04915,DB281_RS04915,DB281_04915,-,-,-,chromosome replication/partitioning protein,protein-coding,-,-,-,chromosome replication/partitioning protein,20210423,-
29519,39513375,DB281_RS04990,DB281_RS04990,DB281_04990,-,-,-,DUF3890 domain-containing protein,protein-coding,-,-,-,DUF3890 domain-containing protein,20210423,-
29519,39513376,DB281_RS04865,DB281_RS04865,DB281_04865,-,-,-,DUF685 domain-containing protein,protein-coding,-,-,-,DUF685 domain-containing protein,20210423,-
29519,39513377,DB281_RS04910,DB281_RS04910,DB281_04910,-,-,-,ParA family protein,protein-coding,-,-,-,ParA family protein,20210423,-
29519,39513378,DB281_RS04975,DB281_RS04975,DB281_04975,-,-,-,DUF228 domain-containing protein,protein-coding,-,-,-,DUF228 domain-containing protein,20210423,-
29519,39513379,DB281_RS04905,DB281_RS04905,DB281_04905,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
29519,39513380,DB281_RS04900,DB281_RS04900,DB281_04900,-,-,-,ERF family protein,protein-coding,-,-,-,ERF family protein,20210423,-
29519,39513381,DB281_RS04920,DB281_RS04920,DB281_04920,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
29519,39513382,DB281_RS04855,DB281_RS04855,DB281_04855,-,-,-,DUF276 domain-containing protein,protein-coding,-,-,-,DUF276 domain-containing protein,20210423,-
29519,39513383,DB281_RS04840,DB281_RS04840,DB281_04840,-,-,-,DUF693 family protein,protein-coding,-,-,-,DUF693 family protein,20210423,-
29519,39513384,DB281_RS04880,DB281_RS04880,DB281_04880,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
29519,39513385,DB281_RS04860,DB281_RS04860,DB281_04860,-,-,-,DUF735 family protein,protein-coding,-,-,-,DUF735 family protein,20210423,-
29519,39513386,DB281_RS04890,DB281_RS04890,DB281_04890,-,-,-,Bdr family protein,protein-coding,-,-,-,Bdr family protein,20210422,-
29519,39513387,DB281_RS04870,DB281_RS04870,DB281_04870,-,-,-,BlyA family holin,protein-coding,-,-,-,BlyA family holin,20210423,-
29519,39513388,DB281_RS04965,DB281_RS04965,DB281_04965,-,-,-,DUF1357 family protein,protein-coding,-,-,-,DUF1357 family protein,20210423,-
29519,39513389,DB281_RS04895,DB281_RS04895,DB281_04895,-,-,-,Mlp family lipoprotein,protein-coding,-,-,-,Mlp family lipoprotein,20210423,-
29519,39513390,DB281_RS04955,DB281_RS04955,DB281_04955,-,-,-,PBSX family phage terminase large subunit,protein-coding,-,-,-,PBSX family phage terminase large subunit,20210423,-
29519,39513391,DB281_RS04995,DB281_RS04995,DB281_04995,-,-,-,DUF1506 family protein,protein-coding,-,-,-,DUF1506 family protein,20210423,-
29519,39513392,DB281_RS05000,DB281_RS05000,DB281_05000,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,39513393,DB281_RS05015,DB281_RS05015,DB281_05015,-,-,-,DUF1463 family protein,protein-coding,-,-,-,DUF1463 family protein,20210423,-
29519,39513394,DB281_RS05010,DB281_RS05010,DB281_05010,-,-,-,DUF787 family protein,protein-coding,-,-,-,DUF787 family protein,20210423,-
29519,39513395,DB281_RS05005,DB281_RS05005,DB281_05005,-,-,-,DUF764 family protein,protein-coding,-,-,-,DUF764 family protein,20210423,-
29519,39513396,DB281_RS04960,DB281_RS04960,DB281_04960,-,-,-,DUF1073 domain-containing protein,protein-coding,-,-,-,DUF1073 domain-containing protein,20210423,-
29519,39513397,DB281_RS04885,DB281_RS04885,DB281_04885,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
29519,39513398,DB281_RS04930,DB281_RS04930,DB281_04930,-,-,-,DUF261 domain-containing protein,protein-coding,-,-,-,DUF261 domain-containing protein,20210423,-
29519,39513399,DB281_RS04830,DB281_RS04830,DB281_04830,-,-,-,DUF759 family protein,protein-coding,-,-,-,DUF759 family protein,20210423,-
29519,39513400,DB281_RS04820,DB281_RS04820,DB281_04820,-,-,-,DUF1473 family protein,protein-coding,-,-,-,DUF1473 family protein,20210423,-
29519,39513401,DB281_RS04950,DB281_RS04950,DB281_04950,-,-,-,DUF603 domain-containing protein,protein-coding,-,-,-,DUF603 domain-containing protein,20210423,-
29519,39513402,DB281_RS04980,DB281_RS04980,DB281_04980,-,-,-,DUF228 domain-containing protein,protein-coding,-,-,-,DUF228 domain-containing protein,20210423,-
29519,39513403,DB281_RS04850,DB281_RS04850,DB281_04850,-,-,-,DUF2634 domain-containing protein,protein-coding,-,-,-,DUF2634 domain-containing protein,20210423,-
29519,39513404,DB281_RS04675,DB281_RS04675,DB281_04675,-,-,-,chromosome replication/partitioning protein,protein-coding,-,-,-,chromosome replication/partitioning protein,20210423,-
29519,39513405,DB281_RS04735,DB281_RS04735,DB281_04735,-,-,-,P52 family lipoprotein,protein-coding,-,-,-,P52 family lipoprotein,20210529,-
29519,39513407,DB281_RS04705,DB281_RS04705,DB281_04705,-,-,-,blasticidin S-acetyltransferase,protein-coding,-,-,-,blasticidin S-acetyltransferase,20210423,-
29519,39513409,DB281_RS04750,DB281_RS04750,DB281_04750,-,-,-,variable large family protein,protein-coding,-,-,-,variable large family protein,20210423,-
29519,39513411,DB281_RS04795,DB281_RS04795,DB281_04795,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,39513412,DB281_RS04700,DB281_RS04700,DB281_04700,-,-,-,virulence associated lipoprotein,protein-coding,-,-,-,virulence associated lipoprotein,20210423,-
29519,39513413,DB281_RS04805,DB281_RS04805,DB281_04805,-,-,-,pseudo,pseudo,-,-,-,-,20210422,-
29519,39513414,DB281_RS04725,DB281_RS04725,DB281_04725,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,39513415,DB281_RS04810,DB281_RS04810,DB281_04810,-,-,-,pseudo,pseudo,-,-,-,-,20210422,-
29519,39513417,DB281_RS04650,DB281_RS04650,DB281_04650,-,-,-,pseudo,pseudo,-,-,-,-,20210422,-
29519,39513418,DB281_RS04765,DB281_RS04765,DB281_04765,-,-,-,DUF5425 family lipoprotein,protein-coding,-,-,-,DUF5425 family lipoprotein,20210422,-
29519,39513419,DB281_RS04730,DB281_RS04730,DB281_04730,-,-,-,S2/P23 family protein,protein-coding,-,-,-,S2/P23 family protein,20210422,-
29519,39513420,DB281_RS04710,DB281_RS04710,DB281_04710,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,39513421,DB281_RS04815,DB281_RS04815,DB281_04815,-,-,-,pseudo,pseudo,-,-,-,-,20210422,-
29519,39513422,DB281_RS04745,DB281_RS04745,DB281_04745,-,-,-,variable large family protein,protein-coding,-,-,-,variable large family protein,20210423,-
29519,39513423,DB281_RS04635,DB281_RS04635,DB281_04635,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,39513424,DB281_RS04715,DB281_RS04715,DB281_04715,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,39513426,DB281_RS04645,DB281_RS04645,-,-,-,-,P52 family lipoprotein,protein-coding,-,-,-,P52 family lipoprotein,20210422,-
29519,39513427,DB281_RS04685,DB281_RS04685,DB281_04685,-,-,-,DUF226 domain-containing protein,protein-coding,-,-,-,DUF226 domain-containing protein,20210423,-
29519,39513429,DB281_RS04800,DB281_RS04800,DB281_04800,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,39513430,DB281_RS04740,DB281_RS04740,DB281_04740,-,-,-,pseudo,pseudo,-,-,-,-,20210422,-
29519,39513431,DB281_RS04785,DB281_RS04785,DB281_04785,-,-,-,pseudo,pseudo,-,-,-,-,20210422,-
29519,39513432,DB281_RS04720,DB281_RS04720,DB281_04720,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,39513434,DB281_RS04660,DB281_RS04660,DB281_04660,-,-,-,pseudo,pseudo,-,-,-,-,20210422,-
29519,39513436,DB281_RS04640,DB281_RS04640,DB281_04640,-,-,-,pseudo,pseudo,-,-,-,-,20210422,-
29519,39513437,DB281_RS04690,DB281_RS04690,DB281_04690,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
29519,39513438,DB281_RS04680,DB281_RS04680,DB281_04680,-,-,-,ParA family protein,protein-coding,-,-,-,ParA family protein,20210423,-
29519,39513440,DB281_RS04670,DB281_RS04670,DB281_04670,-,-,-,pseudo,pseudo,-,-,-,-,20210422,-
29519,39513441,DB281_RS04615,DB281_RS04615,DB281_04615,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
29519,39513442,DB281_RS04605,DB281_RS04605,DB281_04605,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,39513443,DB281_RS04420,DB281_RS04420,DB281_04420,-,-,-,DUF1322 family protein,protein-coding,-,-,-,DUF1322 family protein,20210423,-
29519,39513444,DB281_RS04430,DB281_RS04430,DB281_04430,-,-,-,DUF1463 family protein,protein-coding,-,-,-,DUF1463 family protein,20210423,-
29519,39513445,DB281_RS04295,DB281_RS04295,DB281_04295,-,-,-,OMS28 family porin,protein-coding,-,-,-,OMS28 family porin,20210423,-
29519,39513446,DB281_RS04415,DB281_RS04415,DB281_04415,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,39513447,DB281_RS04555,DB281_RS04555,DB281_04555,-,-,-,peptide transporter,protein-coding,-,-,-,peptide transporter,20210423,-
29519,39513448,DB281_RS04595,DB281_RS04595,DB281_04595,-,-,-,DUF2634 domain-containing protein,protein-coding,-,-,-,DUF2634 domain-containing protein,20210423,-
29519,39513449,DB281_RS04545,DB281_RS04545,DB281_04545,-,-,-,ParA family protein,protein-coding,-,-,-,ParA family protein,20210423,-
29519,39513450,dbpB,DB281_RS04525,DB281_04525,-,-,-,decorin-binding protein DbpB,protein-coding,-,-,-,decorin-binding protein DbpB,20210423,-
29519,39513451,DB281_RS04485,DB281_RS04485,DB281_04485,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,39513452,DB281_RS04385,DB281_RS04385,DB281_04385,-,-,-,DUF777 family protein,protein-coding,-,-,-,DUF777 family protein,20210423,-
29519,39513453,DB281_RS04360,DB281_RS04360,DB281_04360,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
29519,39513454,DB281_RS04300,DB281_RS04300,DB281_04300,-,-,-,pseudo,pseudo,-,-,-,-,20210422,-
29519,39513455,DB281_RS04460,DB281_RS04460,DB281_04460,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,39513456,DB281_RS04520,DB281_RS04520,DB281_04520,-,-,-,pseudo,pseudo,-,-,-,-,20210422,-
29519,39513457,DB281_RS04535,DB281_RS04535,DB281_04535,-,-,-,pseudo,pseudo,-,-,-,-,20210422,-
29519,39513458,DB281_RS04585,DB281_RS04585,DB281_04585,-,-,-,DUF735 family protein,protein-coding,-,-,-,DUF735 family protein,20210423,-
29519,39513459,DB281_RS04445,DB281_RS04445,DB281_04445,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,39513460,DB281_RS04450,DB281_RS04450,DB281_04450,-,-,-,DUF1506 family protein,protein-coding,-,-,-,DUF1506 family protein,20210423,-
29519,39513461,DB281_RS04600,DB281_RS04600,DB281_04600,-,-,-,BBA07 family lipoprotein,protein-coding,-,-,-,BBA07 family lipoprotein,20210422,-
29519,39513462,DB281_RS04335,DB281_RS04335,DB281_04335,-,-,-,complement regulator-acquiring protein,protein-coding,-,-,-,complement regulator-acquiring protein,20210423,-
29519,39513463,DB281_RS04505,DB281_RS04505,DB281_04505,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,39513464,DB281_RS04345,DB281_RS04345,DB281_04345,-,-,-,complement regulator-acquiring protein,protein-coding,-,-,-,complement regulator-acquiring protein,20210422,-
29519,39513465,DB281_RS04575,DB281_RS04575,DB281_04575,-,-,-,BlyA family holin,protein-coding,-,-,-,BlyA family holin,20210423,-
29519,39513466,DB281_RS04305,DB281_RS04305,DB281_04305,-,-,-,complement regulator-acquiring protein,protein-coding,-,-,-,complement regulator-acquiring protein,20210423,-
29519,39513467,DB281_RS04515,DB281_RS04515,DB281_04515,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
29519,39513468,DB281_RS04620,DB281_RS04620,DB281_04620,-,-,-,pseudo,pseudo,-,-,-,-,20210422,-
29519,39513469,DB281_RS04380,DB281_RS04380,DB281_04380,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,39513470,DB281_RS04610,DB281_RS04610,DB281_04610,-,-,-,S2/P23 family protein,protein-coding,-,-,-,S2/P23 family protein,20210423,-
29519,39513471,DB281_RS04540,DB281_RS04540,DB281_04540,-,-,-,chromosome replication/partitioning protein,protein-coding,-,-,-,chromosome replication/partitioning protein,20210423,-
29519,39513472,DB281_RS04490,DB281_RS04490,DB281_04490,-,-,-,peptide ABC transporter substrate-binding protein,protein-coding,-,-,-,peptide ABC transporter substrate-binding protein,20210423,-
29519,39513473,DB281_RS04310,DB281_RS04310,DB281_04310,-,-,-,complement regulator-acquiring protein,protein-coding,-,-,-,complement regulator-acquiring protein,20210422,-
29519,39513474,DB281_RS04630,DB281_RS04630,-,-,-,-,pseudo,pseudo,-,-,-,-,20210422,-
29519,39513475,DB281_RS04625,DB281_RS04625,DB281_04625,-,-,-,virulence associated lipoprotein,protein-coding,-,-,-,virulence associated lipoprotein,20210423,-
29519,39513476,DB281_RS04440,DB281_RS04440,DB281_04440,-,-,-,DUF764 family protein,protein-coding,-,-,-,DUF764 family protein,20210423,-
29519,39513477,DB281_RS04390,DB281_RS04390,DB281_04390,-,-,-,DUF693 family protein,protein-coding,-,-,-,DUF693 family protein,20210423,-
29519,39513479,DB281_RS04495,DB281_RS04495,DB281_04495,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,39513481,DB281_RS04435,DB281_RS04435,DB281_04435,-,-,-,DUF787 family protein,protein-coding,-,-,-,DUF787 family protein,20210423,-
29519,39513482,DB281_RS04425,DB281_RS04425,DB281_04425,-,-,-,DUF1473 family protein,protein-coding,-,-,-,DUF1473 family protein,20210423,-
29519,39513484,DB281_RS04320,DB281_RS04320,DB281_04320,-,-,-,complement regulator-acquiring protein,protein-coding,-,-,-,complement regulator-acquiring protein,20210423,-
29519,39513485,DB281_RS04315,DB281_RS04315,DB281_04315,-,-,-,complement regulator-acquiring protein,protein-coding,-,-,-,complement regulator-acquiring protein,20210423,-
29519,39513486,DB281_RS04565,DB281_RS04565,DB281_04565,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
29519,39513487,DB281_RS04470,DB281_RS04470,DB281_04470,-,-,-,DUF1357 family protein,protein-coding,-,-,-,DUF1357 family protein,20210423,-
29519,39513488,DB281_RS04350,DB281_RS04350,DB281_04350,-,-,-,complement regulator-acquiring protein,protein-coding,-,-,-,complement regulator-acquiring protein,20210423,-
29519,39513489,DB281_RS04340,DB281_RS04340,DB281_04340,-,-,-,complement regulator-acquiring protein,protein-coding,-,-,-,complement regulator-acquiring protein,20210422,-
29519,39513491,DB281_RS04455,DB281_RS04455,DB281_04455,-,-,-,DUF3890 domain-containing protein,protein-coding,-,-,-,DUF3890 domain-containing protein,20210423,-
29519,39513492,DB281_RS04330,DB281_RS04330,DB281_04330,-,-,-,complement regulator-acquiring protein,protein-coding,-,-,-,complement regulator-acquiring protein,20210423,-
29519,39513493,DB281_RS04570,DB281_RS04570,DB281_04570,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
29519,39513494,DB281_RS04510,DB281_RS04510,DB281_04510,-,-,-,PBSX family phage terminase large subunit,protein-coding,-,-,-,PBSX family phage terminase large subunit,20210423,-
29519,39513495,DB281_RS04355,DB281_RS04355,DB281_04355,-,-,-,Lp6.6 family lipoprotein,protein-coding,-,-,-,Lp6.6 family lipoprotein,20210422,-
29519,39513496,DB281_RS04370,DB281_RS04370,DB281_04370,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,39513497,dbpA,DB281_RS04530,DB281_04530,-,-,-,decorin-binding protein DbpA,protein-coding,-,-,-,decorin-binding protein DbpA,20210423,-
29519,39513498,DB281_RS04590,DB281_RS04590,DB281_04590,-,-,-,pseudo,pseudo,-,-,-,-,20210422,-
29519,39513499,DB281_RS04480,DB281_RS04480,DB281_04480,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,39513500,DB281_RS04475,DB281_RS04475,DB281_04475,-,-,-,DUF1073 domain-containing protein,protein-coding,-,-,-,DUF1073 domain-containing protein,20210423,-
29519,39513501,DB281_RS04550,DB281_RS04550,DB281_04550,-,-,-,DUF226 domain-containing protein,protein-coding,-,-,-,DUF226 domain-containing protein,20210423,-
29519,39513502,DB281_RS04580,DB281_RS04580,DB281_04580,-,-,-,pseudo,pseudo,-,-,-,-,20210422,-
29519,39513503,DB281_RS04400,DB281_RS04400,DB281_04400,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,39513504,DB281_RS04290,DB281_RS04290,DB281_04290,-,-,-,FAD-dependent thymidylate synthase,protein-coding,-,-,-,FAD-dependent thymidylate synthase,20210423,-
29519,39513505,DB281_RS04465,DB281_RS04465,DB281_04465,-,-,-,DUF228 domain-containing protein,protein-coding,-,-,-,DUF228 domain-containing protein,20210423,-
29519,39513506,DB281_RS04410,DB281_RS04410,DB281_04410,-,-,-,DUF792 family protein,protein-coding,-,-,-,DUF792 family protein,20210423,-
29519,39513507,ospA,DB281_RS04560,DB281_04560,-,-,-,outer surface lipoprotein OspA,protein-coding,-,-,-,outer surface lipoprotein OspA,20210423,-
29519,39513508,DB281_RS04395,DB281_RS04395,DB281_04395,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,39513509,DB281_RS04405,DB281_RS04405,DB281_04405,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,64198142,DB281_RS00005,DB281_RS00005,DB281_00005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,64198143,DB281_RS00010,DB281_RS00010,DB281_00010,-,-,-,glycoside hydrolase family 3 protein,protein-coding,-,-,-,glycoside hydrolase family 3 protein,20210423,-
29519,64198144,DB281_RS00015,DB281_RS00015,DB281_00015,-,-,-,UTP--glucose-1-phosphate uridylyltransferase,protein-coding,-,-,-,UTP--glucose-1-phosphate uridylyltransferase,20210423,-
29519,64198145,DB281_RS00020,DB281_RS00020,DB281_00020,-,-,-,phosphoglucomutase,protein-coding,-,-,-,phosphoglucomutase,20210423,-
29519,64198146,trpS,DB281_RS00025,DB281_00025,-,-,-,tryptophan--tRNA ligase,protein-coding,-,-,-,tryptophan--tRNA ligase,20210423,-
29519,64198147,DB281_RS00030,DB281_RS00030,DB281_00030,-,-,-,AI-2E family transporter,protein-coding,-,-,-,AI-2E family transporter,20210423,-
29519,64198148,DB281_RS00035,DB281_RS00035,DB281_00035,-,-,-,haloacid dehalogenase-like hydrolase,protein-coding,-,-,-,haloacid dehalogenase-like hydrolase,20210422,-
29519,64198149,DB281_RS00040,DB281_RS00040,DB281_00040,-,-,-,diadenylate cyclase CdaA,protein-coding,-,-,-,diadenylate cyclase CdaA,20210423,-
29519,64198150,DB281_RS00045,DB281_RS00045,DB281_00045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,64198151,acpS,DB281_RS00050,DB281_00050,-,-,-,holo-ACP synthase,protein-coding,-,-,-,holo-ACP synthase,20210423,-
29519,64198152,DB281_RS00055,DB281_RS00055,DB281_00055,-,-,-,DUF2225 domain-containing protein,protein-coding,-,-,-,DUF2225 domain-containing protein,20210423,-
29519,64198153,truA,DB281_RS00060,DB281_00060,-,-,-,tRNA pseudouridine(38-40) synthase TruA,protein-coding,-,-,-,tRNA pseudouridine(38-40) synthase TruA,20210423,-
29519,64198154,DB281_RS00065,DB281_RS00065,DB281_00065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
29519,64198155,priA,DB281_RS00070,DB281_00070,-,-,-,primosomal protein N',protein-coding,-,-,-,primosomal protein N',20210423,-
29519,64198156,udk,DB281_RS00075,DB281_00075,-,-,-,uridine kinase,protein-coding,-,-,-,uridine kinase,20210423,-
29519,64198157,DB281_RS00080,DB281_RS00080,DB281_00080,-,-,-,rhodanese-like domain-containing protein,protein-coding,-,-,-,rhodanese-like domain-containing protein,20210423,-
29519,64198158,DB281_RS00085,DB281_RS00085,DB281_00085,-,-,-,YitT family protein,protein-coding,-,-,-,YitT family protein,20210423,-
29519,64198159,DB281_RS00090,DB281_RS00090,DB281_00090,-,-,-,RluA family pseudouridine synthase,protein-coding,-,-,-,RluA family pseudouridine synthase,20210423,-
29519,64198160,DB281_RS00095,DB281_RS00095,DB281_00095,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,64198161,DB281_RS00100,DB281_RS00100,DB281_00100,-,-,-,diphosphate--fructose-6-phosphate 1-phosphotransferase,protein-coding,-,-,-,diphosphate--fructose-6-phosphate 1-phosphotransferase,20210423,-
29519,64198162,queA,DB281_RS00105,DB281_00105,-,-,-,tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA,protein-coding,-,-,-,tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA,20210423,-
29519,64198163,ruvB,DB281_RS00110,DB281_00110,-,-,-,Holliday junction branch migration DNA helicase RuvB,protein-coding,-,-,-,Holliday junction branch migration DNA helicase RuvB,20210423,-
29519,64198164,ruvA,DB281_RS00115,DB281_00115,-,-,-,Holliday junction branch migration protein RuvA,protein-coding,-,-,-,Holliday junction branch migration protein RuvA,20210423,-
29519,64198165,DB281_RS00120,DB281_RS00120,DB281_00120,-,-,-,sorbosone dehydrogenase family protein,protein-coding,-,-,-,sorbosone dehydrogenase family protein,20210423,-
29519,64198166,DB281_RS00125,DB281_RS00125,DB281_00125,-,-,-,YebC/PmpR family DNA-binding transcriptional regulator,protein-coding,-,-,-,YebC/PmpR family DNA-binding transcriptional regulator,20210423,-
29519,64198167,DB281_RS00130,DB281_RS00130,DB281_00130,-,-,-,"bifunctional 5,10-methylenetetrahydrofolate dehydrogenase/5,10-methenyltetrahydrofolate cyclohydrolase",protein-coding,-,-,-,"bifunctional 5,10-methylenetetrahydrofolate dehydrogenase/5,10-methenyltetrahydrofolate cyclohydrolase",20210423,-
29519,64198168,DB281_RS00135,DB281_RS00135,DB281_00135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
29519,64198169,DB281_RS00140,DB281_RS00140,DB281_00140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,64198170,DB281_RS00145,DB281_RS00145,DB281_00145,-,-,-,DUF188 domain-containing protein,protein-coding,-,-,-,DUF188 domain-containing protein,20210423,-
29519,64198171,lepB,DB281_RS00150,DB281_00150,-,-,-,signal peptidase I,protein-coding,-,-,-,signal peptidase I,20210423,-
29519,64198172,lepB,DB281_RS00155,DB281_00155,-,-,-,signal peptidase I,protein-coding,-,-,-,signal peptidase I,20210423,-
29519,64198173,DB281_RS00160,DB281_RS00160,DB281_00160,-,-,-,SUMF1/EgtB/PvdO family nonheme iron enzyme,protein-coding,-,-,-,SUMF1/EgtB/PvdO family nonheme iron enzyme,20210423,-
29519,64198174,smpB,DB281_RS00165,DB281_00165,-,-,-,SsrA-binding protein SmpB,protein-coding,-,-,-,SsrA-binding protein SmpB,20210423,-
29519,64198175,DB281_RS00170,DB281_RS00170,DB281_00170,-,-,-,P13 family porin,protein-coding,-,-,-,P13 family porin,20210423,-
29519,64198176,DB281_RS00175,DB281_RS00175,DB281_00175,-,-,-,DNA topoisomerase IV subunit A,protein-coding,-,-,-,DNA topoisomerase IV subunit A,20210423,-
29519,64198177,DB281_RS00180,DB281_RS00180,DB281_00180,-,-,-,type IIA DNA topoisomerase subunit B,protein-coding,-,-,-,type IIA DNA topoisomerase subunit B,20210423,-
29519,64198178,DB281_RS00185,DB281_RS00185,DB281_00185,-,-,-,1-acylglycerol-3-phosphate O-acyltransferase,protein-coding,-,-,-,1-acylglycerol-3-phosphate O-acyltransferase,20210423,-
29519,64198179,DB281_RS00190,DB281_RS00190,DB281_00190,-,-,-,pallilysin-related adhesin,protein-coding,-,-,-,pallilysin-related adhesin,20210422,-
29519,64198180,DB281_RS00195,DB281_RS00195,DB281_00195,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,64198181,DB281_RS00200,DB281_RS00200,DB281_00200,-,-,-,protein-glutamate O-methyltransferase,protein-coding,-,-,-,protein-glutamate O-methyltransferase,20210423,-
29519,64198182,phoU,DB281_RS00205,DB281_00205,-,-,-,phosphate signaling complex protein PhoU,protein-coding,-,-,-,phosphate signaling complex protein PhoU,20210423,-
29519,64198183,DB281_RS00210,DB281_RS00210,DB281_00210,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,64198184,DB281_RS00215,DB281_RS00215,DB281_00215,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,64198185,DB281_RS00220,DB281_RS00220,DB281_00220,-,-,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20210423,-
