#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1285382,40102548,FDJ58_gp002,FDJ58_gp002,SIOphi_00010,-,-,-,RNA polymerase,protein-coding,-,-,-,RNA polymerase,20200629,-
1285382,40102723,nrdF,FDJ58_gp177,SIOphi_00885,-,-,-,ribonucleotide-diphosphate reductase subunit beta,protein-coding,-,-,-,ribonucleotide-diphosphate reductase subunit beta,20200629,-
1285382,40102724,FDJ58_gp178,FDJ58_gp178,SIOphi_00890,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102725,FDJ58_gp179,FDJ58_gp179,SIOphi_00895,-,-,-,ribonucleotide-diphosphate reductase subunit alpha,protein-coding,-,-,-,ribonucleotide-diphosphate reductase subunit alpha,20200629,-
1285382,40102726,nrdI,FDJ58_gp180,SIOphi_00900,-,-,-,ribonucleotide reductase stimulatory protein,protein-coding,-,-,-,ribonucleotide reductase stimulatory protein,20200629,-
1285382,40102727,FDJ58_gp181,FDJ58_gp181,SIOphi_00905,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102728,FDJ58_gp182,FDJ58_gp182,SIOphi_00910,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102729,FDJ58_gp183,FDJ58_gp183,SIOphi_00915,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102730,FDJ58_gp184,FDJ58_gp184,SIOphi_00920,-,-,-,deoxyuridine 5'-triphosphate nucleotidohydrolase,protein-coding,-,-,-,deoxyuridine 5'-triphosphate nucleotidohydrolase,20200629,-
1285382,40102731,dnaG,FDJ58_gp185,SIOphi_00925,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20200629,-
1285382,40102732,FDJ58_gp186,FDJ58_gp186,SIOphi_00930,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102733,FDJ58_gp187,FDJ58_gp187,SIOphi_00935,-,-,-,recombination endonuclease,protein-coding,-,-,-,recombination endonuclease,20200629,-
1285382,40102734,FDJ58_gp188,FDJ58_gp188,SIOphi_00940,-,-,-,metallophosphoesterase,protein-coding,-,-,-,metallophosphoesterase,20201221,-
1285382,40102735,FDJ58_gp189,FDJ58_gp189,SIOphi_00945,-,-,-,helicase DnaB-like,protein-coding,-,-,-,helicase DnaB-like,20200629,-
1285382,40102736,FDJ58_gp190,FDJ58_gp190,SIOphi_00950,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102737,FDJ58_gp191,FDJ58_gp191,SIOphi_00955,-,-,-,putative helicase,protein-coding,-,-,-,putative helicase,20200629,-
1285382,40102738,FDJ58_gp192,FDJ58_gp192,SIOphi_00960,-,-,-,KID repeat family protein,protein-coding,-,-,-,KID repeat family protein,20200629,-
1285382,40102739,FDJ58_gp193,FDJ58_gp193,SIOphi_00965,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102740,FDJ58_gp194,FDJ58_gp194,SIOphi_00970,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102741,FDJ58_gp195,FDJ58_gp195,SIOphi_00975,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102742,FDJ58_gp196,FDJ58_gp196,SIOphi_00980,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102743,FDJ58_gp197,FDJ58_gp197,SIOphi_00985,-,-,-,baseplate J-like protein,protein-coding,-,-,-,baseplate J-like protein,20200629,-
1285382,40102744,FDJ58_gp198,FDJ58_gp198,SIOphi_00990,-,-,-,DUF2634 domain-containing protein,protein-coding,-,-,-,DUF2634 domain-containing protein,20201221,-
1285382,40102745,FDJ58_gp199,FDJ58_gp199,SIOphi_00995,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102746,FDJ58_gp200,FDJ58_gp200,SIOphi_01000,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102747,FDJ58_gp201,FDJ58_gp201,SIOphi_01005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102748,FDJ58_gp202,FDJ58_gp202,SIOphi_01010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102749,FDJ58_gp203,FDJ58_gp203,SIOphi_01015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102750,FDJ58_gp204,FDJ58_gp204,SIOphi_01020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102751,FDJ58_gp205,FDJ58_gp205,SIOphi_01025,-,-,-,secreted cell wall DL-endopeptidase,protein-coding,-,-,-,secreted cell wall DL-endopeptidase,20200629,-
1285382,40102752,FDJ58_gp206,FDJ58_gp206,SIOphi_01030,-,-,-,endo-beta-N-acetylglucosaminidase LytB,protein-coding,-,-,-,endo-beta-N-acetylglucosaminidase LytB,20200629,-
1285382,40102753,FDJ58_gp001,FDJ58_gp001,SIOphi_00005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40120146,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Bacillus phage SIO-phi).,other,-,-,-,-,20200513,-
