#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
444859,10327389,gp33,SSM1_240,-,-,-,-,late promoter transcription accessory protein,protein-coding,-,-,-,late promoter transcription accessory protein,20200909,-
444859,10327601,SSM1_023,SSM1_023,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327602,gp5,SSM1_022,-,-,-,-,baseplate hub + tail lysozyme,protein-coding,-,-,-,baseplate hub + tail lysozyme,20200909,-
444859,10327603,SSM1_020,SSM1_020,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
444859,10327604,cpeT,SSM1_019,-,-,-,-,antenna protein,protein-coding,-,-,-,antenna protein,20200909,-
444859,10327605,SSM1_018,SSM1_018,-,-,-,-,CP12,protein-coding,-,-,-,CP12,20200909,-
444859,10327606,SSM1_017,SSM1_017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327607,SSM1_016,SSM1_016,-,-,-,-,lysozyme murein,protein-coding,-,-,-,lysozyme murein,20200909,-
444859,10327608,SSM1_015,SSM1_015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327609,gp51,SSM1_014,-,-,-,-,gp51,protein-coding,-,-,-,gp51,20200909,-
444859,10327610,gp26,SSM1_013,-,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20200909,-
444859,10327611,SSM1_012,SSM1_012,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327612,gp4,SSM1_010,-,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20200909,-
444859,10327613,gp48,SSM1_011,-,-,-,-,baseplate tail tube cap,protein-coding,-,-,-,baseplate tail tube cap,20200909,-
444859,10327614,gp53,SSM1_009,-,-,-,-,base plate wedge component,protein-coding,-,-,-,base plate wedge component,20200909,-
444859,10327615,SSM1_008,SSM1_008,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327616,SSM1_007,SSM1_007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327617,gp7,SSM1_006,-,-,-,-,gp7,protein-coding,-,-,-,gp7,20200909,-
444859,10327618,SSM1_005,SSM1_005,-,-,-,-,cAMP phosphodiesterase,protein-coding,-,-,-,cAMP phosphodiesterase,20200909,-
444859,10327619,SSM1_004,SSM1_004,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327620,gp32,SSM1_003,-,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20200909,-
444859,10327621,SSM1_002,SSM1_002,-,-,-,-,DUF1825 domain-containing protein,protein-coding,-,-,-,DUF1825 domain-containing protein,20200909,-
444859,10327622,SSM1_229,SSM1_229,-,-,-,-,DUF680 domain-containing protein,protein-coding,-,-,-,DUF680 domain-containing protein,20200909,-
444859,10327623,SSM1_211,SSM1_211,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327624,SSM1_021,SSM1_021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327625,SSM1_027,SSM1_027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327626,SSM1_030,SSM1_030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327627,SSM1_032,SSM1_032,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
444859,10327628,SSM1_033,SSM1_033,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10359316,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Cyanophage 6501-1).,other,-,-,-,-,20200629,-
