#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1885242,55600956,HWB00_gp002,HWB00_gp002,B_002,-,-,-,rIIA,protein-coding,-,-,-,rIIA,20200620,-
1885242,55601147,HWB00_gp193,HWB00_gp193,B_193,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601148,HWB00_gp194,HWB00_gp194,B_194,-,-,-,DNA end protector protein,protein-coding,-,-,-,DNA end protector protein,20210327,-
1885242,55601149,HWB00_gp195,HWB00_gp195,B_195,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20210424,-
1885242,55601150,HWB00_gp196,HWB00_gp196,B_196,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210116,-
1885242,55601151,HWB00_gp197,HWB00_gp197,B_197,-,-,-,baseplate hub subunit and tail lysozyme,protein-coding,-,-,-,baseplate hub subunit and tail lysozyme,20210424,-
1885242,55601152,HWB00_gp198,HWB00_gp198,B_198,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601153,HWB00_gp199,HWB00_gp199,B_199,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210424,-
1885242,55601154,HWB00_gp200,HWB00_gp200,B_200,-,-,-,baseplate wedge initiator,protein-coding,-,-,-,baseplate wedge initiator,20210424,-
1885242,55601155,HWB00_gp201,HWB00_gp201,B_201,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210424,-
1885242,55601156,HWB00_gp202,HWB00_gp202,B_202,-,-,-,baseplate wedge tail fiber connector,protein-coding,-,-,-,baseplate wedge tail fiber connector,20210327,-
1885242,55601157,HWB00_gp203,HWB00_gp203,B_203,-,-,-,baseplate wedge subunit and tail pin,protein-coding,-,-,-,baseplate wedge subunit and tail pin,20210424,-
1885242,55601158,HWB00_gp204,HWB00_gp204,B_204,-,-,-,baseplate wedge subunit and tail pin,protein-coding,-,-,-,baseplate wedge subunit and tail pin,20210327,-
1885242,55601159,HWB00_gp205,HWB00_gp205,B_205,-,-,-,short tail fiber protein,protein-coding,-,-,-,short tail fiber protein,20210424,-
1885242,55601160,HWB00_gp206,HWB00_gp206,B_206,-,-,-,fibritin neck whisker protein,protein-coding,-,-,-,fibritin neck whisker protein,20210424,-
1885242,55601161,HWB00_gp207,HWB00_gp207,B_207,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20210424,-
1885242,55601162,HWB00_gp208,HWB00_gp208,B_208,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20210327,-
1885242,55601163,HWB00_gp209,HWB00_gp209,B_209,-,-,-,tail sheath stabilizer and completion protein,protein-coding,-,-,-,tail sheath stabilizer and completion protein,20210424,-
1885242,55601164,HWB00_gp210,HWB00_gp210,B_210,-,-,-,small terminase subunit,protein-coding,-,-,-,small terminase subunit,20210116,-
1885242,55601165,HWB00_gp211,HWB00_gp211,B_211,-,-,-,large terminase subunit,protein-coding,-,-,-,large terminase subunit,20210116,-
1885242,55601166,HWB00_gp212,HWB00_gp212,B_212,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20210424,-
1885242,55601167,HWB00_gp213,HWB00_gp213,B_213,-,-,-,tail tube protein,protein-coding,-,-,-,tail tube protein,20210116,-
1885242,55601168,HWB00_gp214,HWB00_gp214,B_214,-,-,-,portal vertex protein,protein-coding,-,-,-,portal vertex protein,20210116,-
1885242,55601169,HWB00_gp215,HWB00_gp215,B_215,-,-,-,prohead core protein,protein-coding,-,-,-,prohead core protein,20210116,-
1885242,55601170,HWB00_gp216,HWB00_gp216,B_216,-,-,-,prohead core protein,protein-coding,-,-,-,prohead core protein,20210327,-
1885242,55601171,HWB00_gp217,HWB00_gp217,B_217,-,-,-,prohead core and protease,protein-coding,-,-,-,prohead core and protease,20210116,-
1885242,55601172,HWB00_gp218,HWB00_gp218,B_218,-,-,-,prohead core scaffold protein,protein-coding,-,-,-,prohead core scaffold protein,20210327,-
1885242,55601173,HWB00_gp219,HWB00_gp219,B_219,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210424,-
1885242,55601174,HWB00_gp220,HWB00_gp220,B_220,-,-,-,capsid vertex protein,protein-coding,-,-,-,capsid vertex protein,20210424,-
1885242,55601175,HWB00_gp221,HWB00_gp221,B_221,-,-,-,"recombination, repair and ssDNA binding protein",protein-coding,-,-,-,"recombination, repair and ssDNA binding protein",20210116,-
1885242,55601176,HWB00_gp222,HWB00_gp222,B_222,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
1885242,55601177,HWB00_gp223,HWB00_gp223,B_223,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601178,HWB00_gp224,HWB00_gp224,B_224,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
1885242,55601179,HWB00_gp225,HWB00_gp225,B_225,-,-,-,helicase,protein-coding,-,-,-,helicase,20210424,-
1885242,55601180,HWB00_gp226,HWB00_gp226,B_226,-,-,-,minor capsid protein inhibitor of protease,protein-coding,-,-,-,minor capsid protein inhibitor of protease,20200620,-
1885242,55601181,HWB00_gp227,HWB00_gp227,B_227,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601182,HWB00_gp228,HWB00_gp228,B_228,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
1885242,55601183,HWB00_gp229,HWB00_gp229,B_229,-,-,-,capsid decoration protein,protein-coding,-,-,-,capsid decoration protein,20200620,-
1885242,55601184,HWB00_gp230,HWB00_gp230,B_230,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601185,HWB00_gp231,HWB00_gp231,B_231,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
1885242,55601186,HWB00_gp232,HWB00_gp232,B_232,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1885242,55601187,HWB00_gp233,HWB00_gp233,B_233,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601188,HWB00_gp234,HWB00_gp234,B_234,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601189,HWB00_gp235,HWB00_gp235,B_235,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601190,HWB00_gp236,HWB00_gp236,B_236,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601191,HWB00_gp237,HWB00_gp237,B_237,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601192,HWB00_gp238,HWB00_gp238,B_238,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601193,HWB00_gp239,HWB00_gp239,B_239,-,-,-,postulated decoy of host sigma70 or sigmaS,protein-coding,-,-,-,postulated decoy of host sigma70 or sigmaS,20200620,-
1885242,55601194,HWB00_gp240,HWB00_gp240,B_240,-,-,-,RNA ligase,protein-coding,-,-,-,RNA ligase,20210424,-
1885242,55601195,HWB00_gp241,HWB00_gp241,B_241,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1885242,55601196,HWB00_gp242,HWB00_gp242,B_242,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601197,HWB00_gp243,HWB00_gp243,B_243,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601198,HWB00_gp244,HWB00_gp244,B_244,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601199,HWB00_gp245,HWB00_gp245,B_245,-,-,-,putative nicotinate phosphoribosyltransferase,protein-coding,-,-,-,putative nicotinate phosphoribosyltransferase,20210116,-
1885242,55601200,HWB00_gp246,HWB00_gp246,B_246,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601201,HWB00_gp247,HWB00_gp247,B_247,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210424,-
1885242,55601202,HWB00_gp248,HWB00_gp248,B_248,-,-,-,DNA adenine methyltransferase,protein-coding,-,-,-,DNA adenine methyltransferase,20210424,-
1885242,55601203,HWB00_gp249,HWB00_gp249,B_249,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210406,-
1885242,55601204,HWB00_gp250,HWB00_gp250,B_250,-,-,-,recombination endonuclease,protein-coding,-,-,-,recombination endonuclease,20210424,-
1885242,55601205,HWB00_gp251,HWB00_gp251,B_251,-,-,-,NTP reductase large subunit,protein-coding,-,-,-,NTP reductase large subunit,20210424,-
1885242,55601206,HWB00_gp252,HWB00_gp252,B_252,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601207,HWB00_gp253,HWB00_gp253,B_253,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601208,HWB00_gp254,HWB00_gp254,B_254,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601209,HWB00_gp255,HWB00_gp255,B_255,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601210,HWB00_gp256,HWB00_gp256,B_256,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601211,HWB00_gp257,HWB00_gp257,B_257,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601212,HWB00_gp258,HWB00_gp258,B_258,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601213,HWB00_gp259,HWB00_gp259,B_259,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20200620,-
1885242,55601214,HWB00_gp260,HWB00_gp260,B_261,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601215,HWB00_gp261,HWB00_gp261,B_262,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1885242,55601216,HWB00_gp262,HWB00_gp262,B_263,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601217,HWB00_gp263,HWB00_gp263,B_264,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20210129,-
1885242,55601218,HWB00_gp264,HWB00_gp264,B_265,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
1885242,55601219,HWB00_gp265,HWB00_gp265,B_266,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601220,HWB00_gp266,HWB00_gp266,B_267,-,-,-,long tail fiber proximal subunit,protein-coding,-,-,-,long tail fiber proximal subunit,20210424,-
1885242,55601221,HWB00_gp267,HWB00_gp267,B_268,-,-,-,hinge connector of long tail fiber proximal connector,protein-coding,-,-,-,hinge connector of long tail fiber proximal connector,20210424,-
1885242,55601222,HWB00_gp268,HWB00_gp268,B_269,-,-,-,hinge connector of long tail fiber proximal connector,protein-coding,-,-,-,hinge connector of long tail fiber proximal connector,20210424,-
1885242,55601223,HWB00_gp269,HWB00_gp269,B_270,-,-,-,L-shaped tail fiber protein,protein-coding,-,-,-,L-shaped tail fiber protein,20210424,-
1885242,55601224,HWB00_gp270,HWB00_gp270,B_271,-,-,-,distal long tail fiber assembly catalyst,protein-coding,-,-,-,distal long tail fiber assembly catalyst,20210424,-
1885242,55601225,HWB00_gp271,HWB00_gp271,B_272,-,-,-,holin,protein-coding,-,-,-,holin,20210424,-
1885242,55601226,HWB00_gp272,HWB00_gp272,B_273,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601227,HWB00_gp273,HWB00_gp273,B_274,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601228,HWB00_gp274,HWB00_gp274,B_275,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1885242,55601229,HWB00_gp275,HWB00_gp275,B_276,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601230,HWB00_gp276,HWB00_gp276,B_277,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601231,HWB00_gp277,HWB00_gp277,B_278,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601232,HWB00_gp278,HWB00_gp278,B_279,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601233,HWB00_gp279,HWB00_gp279,B_280,-,-,-,Ndd,protein-coding,-,-,-,Ndd,20210116,-
1885242,55601234,HWB00_gp280,HWB00_gp280,B_281,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601235,HWB00_gp001,HWB00_gp001,B_001,-,-,-,rIIB,protein-coding,-,-,-,rIIB,20200620,-
1885242,55635662,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200622,-
