#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1654717,65066632,KMC40_gp179,KMC40_gp179,-,-,-,-,queuosine biosynthesis QueD,protein-coding,-,-,-,queuosine biosynthesis QueD,20210607,-
1654717,65066831,KMC40_gp028,KMC40_gp028,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066832,KMC40_gp027,KMC40_gp027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066833,KMC40_gp026,KMC40_gp026,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066834,KMC40_gp025,KMC40_gp025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066835,KMC40_gp024,KMC40_gp024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066836,yfdR,KMC40_gp023,-,-,-,-,putative HD superfamily hydrolase,protein-coding,-,-,-,putative HD superfamily hydrolase,20210607,-
1654717,65066837,KMC40_gp021,KMC40_gp021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066838,KMC40_gp020,KMC40_gp020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066839,KMC40_gp019,KMC40_gp019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066840,KMC40_gp018,KMC40_gp018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066841,KMC40_gp017,KMC40_gp017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066842,KMC40_gt018,KMC40_gt018,-,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
1654717,65066843,KMC40_gp015,KMC40_gp015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066844,nrdA,KMC40_gp014,-,-,-,-,ribonucleotide reductase of class Ia (aerobic) alpha subunit,protein-coding,-,-,-,ribonucleotide reductase of class Ia (aerobic) alpha subunit,20210607,-
1654717,65066845,KMC40_gp011,KMC40_gp011,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066846,KMC40_gp010,KMC40_gp010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066847,KMC40_gp009,KMC40_gp009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066848,KMC40_gp008,KMC40_gp008,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066849,KMC40_gp007,KMC40_gp007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066850,KMC40_gp006,KMC40_gp006,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066851,KMC40_gp005,KMC40_gp005,-,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20210607,-
1654717,65066852,KMC40_gp004,KMC40_gp004,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066853,KMC40_gp001,KMC40_gp001,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65242395,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
