#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
696472,10020984,OtV2_027,OtV2_027,-,-,-,-,putative TPR domain-containing protein,protein-coding,-,-,-,putative TPR domain-containing protein,20201220,-
696472,10021187,OtV2_205,OtV2_205,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021188,OtV2_206,OtV2_206,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201220,-
696472,10021189,OtV2_207,OtV2_207,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20201220,-
696472,10021190,OtV2_208,OtV2_208,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021191,OtV2_209,OtV2_209,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021192,OtV2_210,OtV2_210,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201220,-
696472,10021193,OtV2_211,OtV2_211,-,-,-,-,DNA topoisomerase II,protein-coding,-,-,-,DNA topoisomerase II,20201220,-
696472,10021194,OtV2_212,OtV2_212,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021195,OtV2_213,OtV2_213,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021196,OtV2_214,OtV2_214,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021197,OtV2_215,OtV2_215,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021198,OtV2_216,OtV2_216,-,-,-,-,glycosyl transferase group 1,protein-coding,-,-,-,glycosyl transferase group 1,20201220,-
696472,10021199,OtV2_217,OtV2_217,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021200,OtV2_218,OtV2_218,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021201,OtV2_219,OtV2_219,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021202,OtV2_220,OtV2_220,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021203,OtV2_221,OtV2_221,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021204,OtV2_222,OtV2_222,-,-,-,-,high affinity phosphate transporter,protein-coding,-,-,-,high affinity phosphate transporter,20201220,-
696472,10021205,OtV2_223,OtV2_223,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021206,OtV2_224,OtV2_224,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021207,OtV2_225,OtV2_225,-,-,-,-,unnamed protein product [Ostreococcus tauri],protein-coding,-,-,-,unnamed protein product [Ostreococcus tauri],20201220,-
696472,10021208,OtV2_226,OtV2_226,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021209,OtV2_227,OtV2_227,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021210,OtV2_228,OtV2_228,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021211,OtV2_229,OtV2_229,-,-,-,-,predicted protein Ostreococcus,protein-coding,-,-,-,predicted protein Ostreococcus,20201220,-
696472,10021212,OtV2_230,OtV2_230,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021213,OtV2_231,OtV2_231,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021214,OtV2_232,OtV2_232,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021215,OtV2_233,OtV2_233,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021216,OtV2_234,OtV2_234,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021217,OtV2_235,OtV2_235,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021218,OtV2_236,OtV2_236,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021219,OtV2_237,OtV2_237,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021220,OtV2_001,OtV2_001,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10024205,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
