#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2163889,65112030,KNT85_gp002,KNT85_gp002,-,-,-,-,rIIA lysis inhibitor,protein-coding,-,-,-,rIIA lysis inhibitor,20210607,-
2163889,65112219,KNT85_gp191,KNT85_gp191,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112220,KNT85_gp192,KNT85_gp192,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112221,KNT85_gp193,KNT85_gp193,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112222,KNT85_gp194,KNT85_gp194,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112223,KNT85_gp195,KNT85_gp195,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112224,KNT85_gp196,KNT85_gp196,-,-,-,-,RNA polymerase subunit sigma,protein-coding,-,-,-,RNA polymerase subunit sigma,20210609,-
2163889,65112225,KNT85_gp197,KNT85_gp197,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112226,KNT85_gp198,KNT85_gp198,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
2163889,65112227,KNT85_gp199,KNT85_gp199,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112228,KNT85_gp200,KNT85_gp200,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112229,KNT85_gp201,KNT85_gp201,-,-,-,-,alpha-glucosyl-transferase,protein-coding,-,-,-,alpha-glucosyl-transferase,20210607,-
2163889,65112230,KNT85_gp202,KNT85_gp202,-,-,-,-,recombination-related endonuclease,protein-coding,-,-,-,recombination-related endonuclease,20210607,-
2163889,65112231,KNT85_gp203,KNT85_gp203,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112232,KNT85_gp204,KNT85_gp204,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112233,KNT85_gp205,KNT85_gp205,-,-,-,-,recombination endonuclease subunit,protein-coding,-,-,-,recombination endonuclease subunit,20210607,-
2163889,65112234,KNT85_gp206,KNT85_gp206,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112235,KNT85_gp207,KNT85_gp207,-,-,-,-,RNA polymerase binding protein,protein-coding,-,-,-,RNA polymerase binding protein,20210607,-
2163889,65112236,KNT85_gp208,KNT85_gp208,-,-,-,-,sliding clamp DNA polymerase accessory protein,protein-coding,-,-,-,sliding clamp DNA polymerase accessory protein,20210607,-
2163889,65112237,KNT85_gp209,KNT85_gp209,-,-,-,-,replication factor C small subunit phage DNA polymerase clamp loader subunit,protein-coding,-,-,-,replication factor C small subunit phage DNA polymerase clamp loader subunit,20210607,-
2163889,65112238,KNT85_gp210,KNT85_gp210,-,-,-,-,putative clamp-loader subunit,protein-coding,-,-,-,putative clamp-loader subunit,20210607,-
2163889,65112239,KNT85_gp211,KNT85_gp211,-,-,-,-,translation repressor of early genes,protein-coding,-,-,-,translation repressor of early genes,20210612,-
2163889,65112240,KNT85_gp212,KNT85_gp212,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210607,-
2163889,65112241,KNT85_gp213,KNT85_gp213,-,-,-,-,immunity protein,protein-coding,-,-,-,immunity protein,20210607,-
2163889,65112242,KNT85_gp214,KNT85_gp214,-,-,-,-,immunity to superinfection membrane protein,protein-coding,-,-,-,immunity to superinfection membrane protein,20210607,-
2163889,65112243,KNT85_gp215,KNT85_gp215,-,-,-,-,deoxycytidylate 5-hydroxymethyltransferase,protein-coding,-,-,-,deoxycytidylate 5-hydroxymethyltransferase,20210607,-
2163889,65112244,KNT85_gp216,KNT85_gp216,-,-,-,-,beta-glucosyl-HMC-alpha-glucosyl-transferase,protein-coding,-,-,-,beta-glucosyl-HMC-alpha-glucosyl-transferase,20210607,-
2163889,65112245,KNT85_gp217,KNT85_gp217,-,-,-,-,RecA-like recombination protein,protein-coding,-,-,-,RecA-like recombination protein,20210607,-
2163889,65112246,KNT85_gp218,KNT85_gp218,-,-,-,-,putative head vertex assembly chaperone,protein-coding,-,-,-,putative head vertex assembly chaperone,20210607,-
2163889,65112247,KNT85_gp219,KNT85_gp219,-,-,-,-,replication and recombination DNA helicase,protein-coding,-,-,-,replication and recombination DNA helicase,20210607,-
2163889,65112248,KNT85_gp220,KNT85_gp220,-,-,-,-,discriminator of mRNA degradation,protein-coding,-,-,-,discriminator of mRNA degradation,20210607,-
2163889,65112249,KNT85_gp221,KNT85_gp221,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112250,KNT85_gp222,KNT85_gp222,-,-,-,-,spackle periplasmic protein,protein-coding,-,-,-,spackle periplasmic protein,20210607,-
2163889,65112251,KNT85_gp223,KNT85_gp223,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112252,KNT85_gp224,KNT85_gp224,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112253,KNT85_gp225,KNT85_gp225,-,-,-,-,DNA primase / DNA helicase,protein-coding,-,-,-,DNA primase / DNA helicase,20210607,-
2163889,65112254,KNT85_gp226,KNT85_gp226,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112255,KNT85_gp227,KNT85_gp227,-,-,-,-,dCTP pyrophosphatase,protein-coding,-,-,-,dCTP pyrophosphatase,20210607,-
2163889,65112256,KNT85_gp228,KNT85_gp228,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112257,KNT85_gp229,KNT85_gp229,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112258,KNT85_gp230,KNT85_gp230,-,-,-,-,small outer capsid protein,protein-coding,-,-,-,small outer capsid protein,20210607,-
2163889,65112259,KNT85_gp231,KNT85_gp231,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112260,KNT85_gp232,KNT85_gp232,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112261,KNT85_gp233,KNT85_gp233,-,-,-,-,transcription modulator under heat shock,protein-coding,-,-,-,transcription modulator under heat shock,20210607,-
2163889,65112262,KNT85_gp234,KNT85_gp234,-,-,-,-,transcription modulator,protein-coding,-,-,-,transcription modulator,20210607,-
2163889,65112263,KNT85_gp235,KNT85_gp235,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112264,KNT85_gp236,KNT85_gp236,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112265,KNT85_gp237,KNT85_gp237,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112266,KNT85_gp238,KNT85_gp238,-,-,-,-,NAD--protein ADP-ribosyltransferase,protein-coding,-,-,-,NAD--protein ADP-ribosyltransferase,20210607,-
2163889,65112267,KNT85_gp239,KNT85_gp239,-,-,-,-,NAD--protein ADP-ribosyltransferase,protein-coding,-,-,-,NAD--protein ADP-ribosyltransferase,20210607,-
2163889,65112268,KNT85_gp240,KNT85_gp240,-,-,-,-,putative Srd anti-sigma factor,protein-coding,-,-,-,putative Srd anti-sigma factor,20210607,-
2163889,65112269,KNT85_gp241,KNT85_gp241,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112270,KNT85_gp242,KNT85_gp242,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210607,-
2163889,65112271,KNT85_gp243,KNT85_gp243,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210607,-
2163889,65112272,KNT85_gp244,KNT85_gp244,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210607,-
2163889,65112273,KNT85_gp245,KNT85_gp245,-,-,-,-,exonuclease A,protein-coding,-,-,-,exonuclease A,20210607,-
2163889,65112274,KNT85_gp246,KNT85_gp246,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112275,KNT85_gp247,KNT85_gp247,-,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20210607,-
2163889,65112276,KNT85_gp248,KNT85_gp248,-,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20210607,-
2163889,65112277,KNT85_gp249,KNT85_gp249,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112278,KNT85_gp250,KNT85_gp250,-,-,-,-,cef modifier of suppressor tRNAs,protein-coding,-,-,-,cef modifier of suppressor tRNAs,20210607,-
2163889,65112279,KNT85_gp251,KNT85_gp251,-,-,-,-,mRNA metabolism modulator,protein-coding,-,-,-,mRNA metabolism modulator,20210607,-
2163889,65112280,KNT85_gp252,KNT85_gp252,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112281,KNT85_gp253,KNT85_gp253,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112282,KNT85_gp254,KNT85_gp254,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112283,KNT85_gp255,KNT85_gp255,-,-,-,-,DNA gyrase subunit B,protein-coding,-,-,-,DNA gyrase subunit B,20210607,-
2163889,65112284,KNT85_gp001,KNT85_gp001,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65242761,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Enterobacteria phage vB_EcoS_IME339).,other,-,-,-,-,20210609,-
