#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1087482,14675238,I133_gp268,I133_gp268,-,-,-,-,RIIA,protein-coding,-,-,-,RIIA,20201026,-
1087482,14675444,I133_gp065,I133_gp065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675445,I133_gp064,I133_gp064,-,-,-,-,deoxycytidylate deaminase,protein-coding,-,-,-,deoxycytidylate deaminase,20200909,-
1087482,14675446,I133_gp063,I133_gp063,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675447,I133_gp062,I133_gp062,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675448,I133_gp061,I133_gp061,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675449,I133_gp060,I133_gp060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675450,I133_gp059,I133_gp059,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675451,I133_gp058,I133_gp058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675452,I133_gp057,I133_gp057,-,-,-,-,polynucleotide kinase,protein-coding,-,-,-,polynucleotide kinase,20201026,-
1087482,14675453,I133_gp056,I133_gp056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675454,I133_gp055,I133_gp055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675455,I133_gp054,I133_gp054,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675456,I133_gp053,I133_gp053,-,-,-,-,inhibitor of host transcription,protein-coding,-,-,-,inhibitor of host transcription,20200909,-
1087482,14675457,I133_gp052,I133_gp052,-,-,-,-,RNA ligase A,protein-coding,-,-,-,RNA ligase A,20201026,-
1087482,14675458,I133_gp051,I133_gp051,-,-,-,-,endonuclease II,protein-coding,-,-,-,endonuclease II,20200909,-
1087482,14675459,I133_gp050,I133_gp050,-,-,-,-,aerobic NDP reductase small subunit,protein-coding,-,-,-,aerobic NDP reductase small subunit,20201026,-
1087482,14675460,I133_gp049,I133_gp049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675461,I133_gp048,I133_gp048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675462,I133_gp047,I133_gp047,-,-,-,-,aerobic NDP reductase small subunit,protein-coding,-,-,-,aerobic NDP reductase small subunit,20201026,-
1087482,14675463,I133_gp046,I133_gp046,-,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20201026,-
1087482,14675464,I133_gp045,I133_gp045,-,-,-,-,NDP reductase large subunit,protein-coding,-,-,-,NDP reductase large subunit,20201026,-
1087482,14675465,I133_gp044,I133_gp044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675466,I133_gp043,I133_gp043,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675467,I133_gp042,I133_gp042,-,-,-,-,dTMP thymidylate synthase,protein-coding,-,-,-,dTMP thymidylate synthase,20201026,-
1087482,14675468,I133_gp041,I133_gp041,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675469,I133_gp040,I133_gp040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675470,I133_gp039,I133_gp039,-,-,-,-,dihydrofolate reductase,protein-coding,-,-,-,dihydrofolate reductase,20201026,-
1087482,14675471,I133_gp038,I133_gp038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675472,I133_gp037,I133_gp037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675473,I133_gp036,I133_gp036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675474,I133_gp035,I133_gp035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675475,I133_gp034,I133_gp034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675476,I133_gp033,I133_gp033,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675477,I133_gp032,I133_gp032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675478,I133_gp031,I133_gp031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675479,I133_gp030,I133_gp030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675480,I133_gp029,I133_gp029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675481,I133_gp028,I133_gp028,-,-,-,-,single-stranded DNA binding protein,protein-coding,-,-,-,single-stranded DNA binding protein,20200909,-
1087482,14675482,I133_gp027,I133_gp027,-,-,-,-,DNA helicase loader,protein-coding,-,-,-,DNA helicase loader,20201026,-
1087482,14675483,I133_gp026,I133_gp026,-,-,-,-,late promoter transcription accessory protein,protein-coding,-,-,-,late promoter transcription accessory protein,20201026,-
1087482,14675484,I133_gp025,I133_gp025,-,-,-,-,double-stranded DNA binding protein,protein-coding,-,-,-,double-stranded DNA binding protein,20200909,-
1087482,14675485,I133_gp024,I133_gp024,-,-,-,-,RnaseH,protein-coding,-,-,-,RnaseH,20201026,-
1087482,14675486,I133_gp023,I133_gp023,-,-,-,-,long tail fiber proximal subunit,protein-coding,-,-,-,long tail fiber proximal subunit,20201026,-
1087482,14675487,I133_gp022,I133_gp022,-,-,-,-,hinge connector,protein-coding,-,-,-,hinge connector,20200909,-
1087482,14675488,I133_gp021,I133_gp021,-,-,-,-,hinge connector,protein-coding,-,-,-,hinge connector,20201026,-
1087482,14675489,I133_gp020,I133_gp020,-,-,-,-,long tail fiber distal subunit,protein-coding,-,-,-,long tail fiber distal subunit,20201026,-
1087482,14675490,I133_gp019,I133_gp019,-,-,-,-,receptor recognition protein,protein-coding,-,-,-,receptor recognition protein,20200909,-
1087482,14675491,I133_gp018,I133_gp018,-,-,-,-,T holin lysis mediator,protein-coding,-,-,-,T holin lysis mediator,20200909,-
1087482,14675492,I133_gp017,I133_gp017,-,-,-,-,anti-sigma 70 protein,protein-coding,-,-,-,anti-sigma 70 protein,20201026,-
1087482,14675493,I133_gp016,I133_gp016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675494,I133_gp013,I133_gp013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675495,I133_gp014,I133_gp014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675496,I133_gp012,I133_gp012,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675497,I133_gp015,I133_gp015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675498,I133_gp011,I133_gp011,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675499,I133_gp010,I133_gp010,-,-,-,-,activator of middle period transcription,protein-coding,-,-,-,activator of middle period transcription,20200909,-
1087482,14675500,I133_gp009,I133_gp009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675501,I133_gp008,I133_gp008,-,-,-,-,DNA topisomerase II medium subunit,protein-coding,-,-,-,DNA topisomerase II medium subunit,20201026,-
1087482,14675502,I133_gp005,I133_gp005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675503,I133_gp006,I133_gp006,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675504,I133_gp004,I133_gp004,-,-,-,-,nucleoid disruption protein,protein-coding,-,-,-,nucleoid disruption protein,20201026,-
1087482,14675505,I133_gp007,I133_gp007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675506,I133_gp003,I133_gp003,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675507,I133_gp002,I133_gp002,-,-,-,-,DNA endonuclease IV,protein-coding,-,-,-,DNA endonuclease IV,20200909,-
1087482,14675508,I133_gp001,I133_gp001,-,-,-,-,RIIB,protein-coding,-,-,-,RIIB,20200926,-
1087482,14698092,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Salmonella Bacteriophage S16; Salmonella phage S16; Salmonella phage vB_SenMS16).,other,-,-,-,-,20200513,-
