#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1104324,11593814,P186_RS10315,P186_RS10315,P186_2210,-,-,-,peptidyl-tRNA hydrolase,protein-coding,-,-,-,peptidyl-tRNA hydrolase,20201217,-
1104324,11594263,P186_RS12480,P186_RS12480,P186_2662,-,-,-,citramalate synthase,protein-coding,-,-,-,citramalate synthase,20201217,-
1104324,11594264,P186_RS12485,P186_RS12485,P186_2663,-,-,-,type II toxin-antitoxin system VapC family toxin,protein-coding,-,-,-,type II toxin-antitoxin system VapC family toxin,20200905,-
1104324,11594265,P186_RS12490,P186_RS12490,P186_2664,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11594266,P186_RS12495,P186_RS12495,P186_2665,-,-,-,PaaI family thioesterase,protein-coding,-,-,-,PaaI family thioesterase,20201217,-
1104324,11594267,P186_RS12500,P186_RS12500,P186_2666,-,-,-,DMT family transporter,protein-coding,-,-,-,DMT family transporter,20200905,-
1104324,11594268,P186_RS12505,P186_RS12505,P186_2667,-,-,-,uracil-DNA glycosylase,protein-coding,-,-,-,uracil-DNA glycosylase,20200905,-
1104324,11594269,P186_RS12510,P186_RS12510,P186_2668,-,-,-,ATPase,protein-coding,-,-,-,ATPase,20200905,-
1104324,11594270,P186_RS12515,P186_RS12515,P186_2669,-,-,-,ATP-binding protein,protein-coding,-,-,-,ATP-binding protein,20200905,-
1104324,11594272,P186_RS12520,P186_RS12520,P186_2671,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11594275,P186_RS12525,P186_RS12525,P186_2674,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11594276,P186_RS12530,P186_RS12530,P186_2675,-,-,-,nucleotidyltransferase domain-containing protein,protein-coding,-,-,-,nucleotidyltransferase domain-containing protein,20201028,-
1104324,11594277,P186_RS12535,P186_RS12535,P186_2676,-,-,-,HEPN domain-containing protein,protein-coding,-,-,-,HEPN domain-containing protein,20200218,-
1104324,11594278,P186_RS12540,P186_RS12540,P186_2677,-,-,-,TrmB family transcriptional regulator,protein-coding,-,-,-,TrmB family transcriptional regulator,20200905,-
1104324,11594279,P186_RS12545,P186_RS12545,P186_2678,-,-,-,EamA family transporter,protein-coding,-,-,-,EamA family transporter,20200905,-
1104324,11594280,P186_RS12550,P186_RS12550,P186_2679,-,-,-,ABC transporter substrate-binding protein,protein-coding,-,-,-,ABC transporter substrate-binding protein,20200218,-
1104324,11594281,P186_RS12555,P186_RS12555,P186_2680,-,-,-,DUF3782 domain-containing protein,protein-coding,-,-,-,DUF3782 domain-containing protein,20200905,-
1104324,11594282,P186_RS12560,P186_RS12560,P186_2681,-,-,-,tRNA(Met) cytidine acetyltransferase,protein-coding,-,-,-,tRNA(Met) cytidine acetyltransferase,20200905,-
1104324,11594283,P186_RS12565,P186_RS12565,P186_2682,-,-,-,DMT family transporter,protein-coding,-,-,-,DMT family transporter,20200905,-
1104324,11594284,P186_RS12570,P186_RS12570,P186_2683,-,-,-,translation initiation factor IF-2 subunit beta,protein-coding,-,-,-,translation initiation factor IF-2 subunit beta,20200218,-
1104324,11594286,P186_RS12575,P186_RS12575,P186_2685,-,-,-,pseudo,pseudo,-,-,-,-,20201028,-
1104324,11594287,P186_RS12580,P186_RS12580,P186_2686,-,-,-,pseudo,pseudo,-,-,-,-,20201028,-
1104324,11594288,P186_RS12585,P186_RS12585,P186_2687,-,-,-,acyl-CoA dehydrogenase family protein,protein-coding,-,-,-,acyl-CoA dehydrogenase family protein,20201028,-
1104324,11594289,P186_RS12590,P186_RS12590,P186_2688,-,-,-,long-chain fatty acid--CoA ligase,protein-coding,-,-,-,long-chain fatty acid--CoA ligase,20200905,-
1104324,11594290,P186_RS12595,P186_RS12595,P186_2689,-,-,-,aldo/keto reductase,protein-coding,-,-,-,aldo/keto reductase,20201028,-
1104324,11594291,P186_RS12600,P186_RS12600,P186_2690,-,-,-,3-hydroxyacyl-CoA dehydrogenase/enoyl-CoA hydratase family protein,protein-coding,-,-,-,3-hydroxyacyl-CoA dehydrogenase/enoyl-CoA hydratase family protein,20201217,-
1104324,11594292,P186_RS12605,P186_RS12605,P186_2691,-,-,-,M42 family metallopeptidase,protein-coding,-,-,-,M42 family metallopeptidase,20200905,-
1104324,11594293,P186_RS12610,P186_RS12610,P186_2692,-,-,-,phosphate uptake regulator PhoU,protein-coding,-,-,-,phosphate uptake regulator PhoU,20200905,-
1104324,11594294,P186_RS12615,P186_RS12615,P186_2693,-,-,-,PaREP1 family protein,protein-coding,-,-,-,PaREP1 family protein,20201028,-
1104324,11594295,P186_RS12620,P186_RS12620,P186_2694,-,-,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20200905,-
1104324,11594296,P186_RS12625,P186_RS12625,P186_2695,-,-,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20200905,-
1104324,11594297,P186_RS12630,P186_RS12630,P186_2696,-,-,-,branched-chain amino acid ABC transporter permease,protein-coding,-,-,-,branched-chain amino acid ABC transporter permease,20200218,-
1104324,11594298,P186_RS12635,P186_RS12635,P186_2697,-,-,-,branched-chain amino acid ABC transporter permease,protein-coding,-,-,-,branched-chain amino acid ABC transporter permease,20200218,-
1104324,11594299,P186_RS12640,P186_RS12640,P186_2699,-,-,-,amino acid ABC transporter substrate-binding protein,protein-coding,-,-,-,amino acid ABC transporter substrate-binding protein,20201217,-
1104324,11594301,P186_RS12645,P186_RS12645,P186_2700,-,-,-,ATP-binding cassette domain-containing protein,protein-coding,-,-,-,ATP-binding cassette domain-containing protein,20200905,-
1104324,11594302,P186_RS12650,P186_RS12650,P186_2701,-,-,-,ABC transporter permease subunit,protein-coding,-,-,-,ABC transporter permease subunit,20200905,-
1104324,11594303,pstC,P186_RS12655,P186_2702,-,-,-,phosphate ABC transporter permease subunit PstC,protein-coding,-,-,-,phosphate ABC transporter permease subunit PstC,20200905,-
1104324,11594304,pstS,P186_RS12660,P186_2703,-,-,-,phosphate ABC transporter substrate-binding protein PstS,protein-coding,-,-,-,phosphate ABC transporter substrate-binding protein PstS,20200218,-
1104324,11594305,P186_RS12665,P186_RS12665,P186_2704,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11594306,P186_RS12670,P186_RS12670,P186_2705,-,-,-,haloacid dehalogenase type II,protein-coding,-,-,-,haloacid dehalogenase type II,20201217,-
1104324,11594307,P186_RS12675,P186_RS12675,P186_2706,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11594308,P186_RS12685,P186_RS12685,P186_R0033,-,-,-,tRNA,tRNA,-,-,-,-,20201028,-
1104324,11594310,P186_RS12695,P186_RS12695,P186_2708,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11594312,P186_RS12705,P186_RS12705,P186_2710,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11594313,P186_RS12710,P186_RS12710,P186_2711,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11594314,P186_RS12715,P186_RS12715,P186_2712,-,-,-,molecular chaperone TorD family protein,protein-coding,-,-,-,molecular chaperone TorD family protein,20200905,-
1104324,11594315,P186_RS12720,P186_RS12720,P186_2713,-,-,-,4Fe-4S binding protein,protein-coding,-,-,-,4Fe-4S binding protein,20201217,-
1104324,11594316,P186_RS12725,P186_RS12725,P186_2714,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11594317,P186_RS12735,P186_RS12735,P186_2716,-,-,-,4Fe-4S dicluster domain-containing protein,protein-coding,-,-,-,4Fe-4S dicluster domain-containing protein,20200905,-
1104324,11594318,P186_RS12740,P186_RS12740,P186_2717,-,-,-,cytochrome b/b6 domain-containing protein,protein-coding,-,-,-,cytochrome b/b6 domain-containing protein,20201028,-
1104324,11594319,P186_RS00045,P186_RS00045,P186_0009,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20200905,-
1104324,11594320,P186_RS00050,P186_RS00050,P186_0010,-,-,-,tRNA (guanine-N2)-dimethyltransferase,protein-coding,-,-,-,tRNA (guanine-N2)-dimethyltransferase,20200218,-
1104324,11594321,P186_RS12745,P186_RS12745,P186_2718,-,-,-,molybdopterin-dependent oxidoreductase,protein-coding,-,-,-,molybdopterin-dependent oxidoreductase,20200905,-
1104324,11594322,P186_RS12750,P186_RS12750,P186_2719,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11594323,P186_RS12760,P186_RS12760,P186_2721,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
1104324,11594324,P186_RS12765,P186_RS12765,P186_2722,-,-,-,winged helix-turn-helix domain-containing protein,protein-coding,-,-,-,winged helix-turn-helix domain-containing protein,20200905,-
1104324,11594326,P186_RS12775,P186_RS12775,P186_2724,-,-,-,nucleotidyltransferase domain-containing protein,protein-coding,-,-,-,nucleotidyltransferase domain-containing protein,20201028,-
1104324,11594327,P186_RS12780,P186_RS12780,P186_2725,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
1104324,11594328,P186_RS12785,P186_RS12785,P186_2726,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201028,-
1104324,11594330,P186_RS12790,P186_RS12790,P186_2728,-,-,-,nicotinamide-nucleotide adenylyltransferase,protein-coding,-,-,-,nicotinamide-nucleotide adenylyltransferase,20200218,-
1104324,11594331,P186_RS12795,P186_RS12795,P186_2729,-,-,-,aspartate 1-decarboxylase,protein-coding,-,-,-,aspartate 1-decarboxylase,20201217,-
1104324,11594332,P186_RS12800,P186_RS12800,P186_2730,-,-,-,phenylalanine--tRNA ligase subunit alpha,protein-coding,-,-,-,phenylalanine--tRNA ligase subunit alpha,20200905,-
1104324,11594333,P186_RS12805,P186_RS12805,P186_2731,-,-,-,type II toxin-antitoxin system ParD family antitoxin,protein-coding,-,-,-,type II toxin-antitoxin system ParD family antitoxin,20200218,-
1104324,11594334,P186_RS12810,P186_RS12810,P186_2732,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
1104324,11594335,P186_RS12815,P186_RS12815,P186_2733,-,-,-,DUF1512 domain-containing protein,protein-coding,-,-,-,DUF1512 domain-containing protein,20200218,-
1104324,11594336,P186_RS12820,P186_RS12820,P186_2734,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11594337,P186_RS12825,P186_RS12825,P186_2735,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11594338,P186_RS12830,P186_RS12830,P186_2736,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
1104324,11594339,P186_RS12835,P186_RS12835,P186_2737,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11594340,P186_RS12840,P186_RS12840,P186_2739,-,-,-,pseudo,pseudo,-,-,-,-,20201028,-
1104324,11594341,P186_RS12845,P186_RS12845,P186_2740,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11594342,P186_RS12850,P186_RS12850,P186_2741,-,-,-,N-acetyltransferase,protein-coding,-,-,-,N-acetyltransferase,20200905,-
1104324,11594344,P186_RS12855,P186_RS12855,P186_2743,-,-,-,pseudo,pseudo,-,-,-,-,20201028,-
1104324,11594345,P186_RS12860,P186_RS12860,P186_2745,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11594346,P186_RS12865,P186_RS12865,P186_2746,-,-,-,M42 family metallopeptidase,protein-coding,-,-,-,M42 family metallopeptidase,20200905,-
1104324,11594347,P186_RS12870,P186_RS12870,P186_2747,-,-,-,pseudo,pseudo,-,-,-,-,20201028,-
1104324,11594348,P186_RS12875,P186_RS12875,P186_2749,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11594349,P186_RS12880,P186_RS12880,P186_2750,-,-,-,LysO family transporter,protein-coding,-,-,-,LysO family transporter,20200905,-
1104324,11594351,P186_RS12885,P186_RS12885,P186_2752,-,-,-,UbiX family flavin prenyltransferase,protein-coding,-,-,-,UbiX family flavin prenyltransferase,20200905,-
1104324,11594352,P186_RS12890,P186_RS12890,P186_2753,-,-,-,pseudo,pseudo,-,-,-,-,20201028,-
1104324,11594353,P186_RS12895,P186_RS12895,P186_2754,-,-,-,"ribbon-helix-helix protein, CopG family",protein-coding,-,-,-,"ribbon-helix-helix protein, CopG family",20201217,-
1104324,11594354,hxlB,P186_RS12900,P186_2755,-,-,-,6-phospho-3-hexuloisomerase,protein-coding,-,-,-,6-phospho-3-hexuloisomerase,20200905,-
1104324,11594355,speD,P186_RS12905,P186_2756,-,-,-,adenosylmethionine decarboxylase,protein-coding,-,-,-,adenosylmethionine decarboxylase,20200905,-
1104324,11594356,P186_RS12910,P186_RS12910,P186_2757,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11594357,P186_RS12915,P186_RS12915,P186_2758,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11594358,acnA,P186_RS12920,P186_2759,-,-,-,aconitate hydratase AcnA,protein-coding,-,-,-,aconitate hydratase AcnA,20200905,-
1104324,11594359,P186_RS12925,P186_RS12925,P186_2760,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11594360,P186_RS12935,P186_RS12935,P186_2761,-,-,-,ATP-binding protein,protein-coding,-,-,-,ATP-binding protein,20200905,-
1104324,11594361,P186_RS12940,P186_RS12940,P186_2762,-,-,-,DNA double-strand break repair nuclease NurA,protein-coding,-,-,-,DNA double-strand break repair nuclease NurA,20200905,-
1104324,11594362,P186_RS12945,P186_RS12945,P186_2763,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11594364,P186_RS12950,P186_RS12950,P186_2765,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11594366,P186_RS12955,P186_RS12955,P186_2767,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
1104324,11594367,P186_RS12960,P186_RS12960,P186_2768,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11594368,P186_RS12965,P186_RS12965,P186_2769,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11594369,P186_RS12970,P186_RS12970,P186_2770,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11594370,P186_RS12980,P186_RS12980,P186_2772,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11594371,P186_RS12985,P186_RS12985,P186_2773,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
1104324,11594372,P186_RS12990,P186_RS12990,P186_2774,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11594373,P186_RS12995,P186_RS12995,P186_2775,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201028,-
1104324,11594374,P186_RS13000,P186_RS13000,P186_2776,-,-,-,ATP-binding protein,protein-coding,-,-,-,ATP-binding protein,20201028,-
1104324,11594375,P186_RS13005,P186_RS13005,P186_2777,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11594376,P186_RS13010,P186_RS13010,P186_2778,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11594379,P186_RS13020,P186_RS13020,P186_2781,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11594380,P186_RS13025,P186_RS13025,P186_2782,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
1104324,11594381,P186_RS13030,P186_RS13030,P186_2783,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201028,-
1104324,11594382,P186_RS13035,P186_RS13035,P186_2784,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201028,-
1104324,11594383,P186_RS13040,P186_RS13040,P186_2785,-,-,-,Fis family transcriptional regulator,protein-coding,-,-,-,Fis family transcriptional regulator,20201217,-
1104324,11594384,P186_RS13045,P186_RS13045,P186_2786,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11594385,P186_RS13050,P186_RS13050,P186_2787,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11594386,P186_RS13055,P186_RS13055,P186_2788,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11594387,P186_RS13060,P186_RS13060,P186_2789,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11594388,P186_RS13065,P186_RS13065,P186_2790,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11594389,P186_RS13070,P186_RS13070,P186_2791,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
1104324,11594390,tpiA,P186_RS13075,P186_2792,-,-,-,triose-phosphate isomerase,protein-coding,-,-,-,triose-phosphate isomerase,20200218,-
1104324,11594391,P186_RS13080,P186_RS13080,P186_2793,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11594392,P186_RS13085,P186_RS13085,P186_2794,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11594393,P186_RS13090,P186_RS13090,P186_2795,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11594394,P186_RS13095,P186_RS13095,P186_2796,-,-,-,30S ribosomal protein S6e,protein-coding,-,-,-,30S ribosomal protein S6e,20200218,-
1104324,11594395,P186_RS13100,P186_RS13100,P186_2797,-,-,-,Lrp/AsnC ligand binding domain-containing protein,protein-coding,-,-,-,Lrp/AsnC ligand binding domain-containing protein,20200905,-
1104324,11594397,infB,P186_RS13110,P186_2799,-,-,-,translation initiation factor IF-2,protein-coding,-,-,-,translation initiation factor IF-2,20201217,-
1104324,11594398,P186_RS13120,P186_RS13120,P186_2800,-,-,-,ATP-binding protein,protein-coding,-,-,-,ATP-binding protein,20201217,-
1104324,11594399,P186_RS13125,P186_RS13125,P186_2801,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11594400,P186_RS13130,P186_RS13130,P186_2802,-,-,-,chromatin protein Cren7,protein-coding,-,-,-,chromatin protein Cren7,20201217,-
1104324,11594401,P186_RS13135,P186_RS13135,P186_2803,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11594402,P186_RS13140,P186_RS13140,P186_2804,-,-,-,CBS domain-containing protein,protein-coding,-,-,-,CBS domain-containing protein,20200905,-
1104324,11594403,P186_RS13145,P186_RS13145,P186_2805,-,-,-,NAD(P)/FAD-dependent oxidoreductase,protein-coding,-,-,-,NAD(P)/FAD-dependent oxidoreductase,20200905,-
1104324,11594405,P186_RS13150,P186_RS13150,P186_2807,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11594406,P186_RS13155,P186_RS13155,P186_2808,-,-,-,haloacid dehalogenase,protein-coding,-,-,-,haloacid dehalogenase,20200218,-
1104324,11594408,P186_RS13165,P186_RS13165,P186_2810,-,-,-,trypsin-like serine protease,protein-coding,-,-,-,trypsin-like serine protease,20201217,-
1104324,11594409,P186_RS13170,P186_RS13170,P186_2811,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11594410,P186_RS13175,P186_RS13175,P186_2812,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11594411,P186_RS13180,P186_RS13180,P186_2813,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11594412,P186_RS13185,P186_RS13185,P186_2814,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
1104324,11594415,P186_RS13195,P186_RS13195,P186_2817,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11594416,P186_RS13200,P186_RS13200,P186_2818,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11594417,P186_RS13205,P186_RS13205,P186_2819,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11594419,P186_RS13210,P186_RS13210,P186_2821,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11594420,P186_RS13215,P186_RS13215,P186_2822,-,-,-,amidase,protein-coding,-,-,-,amidase,20200905,-
1104324,11594421,P186_RS13220,P186_RS13220,P186_2823,-,-,-,MBL fold metallo-hydrolase,protein-coding,-,-,-,MBL fold metallo-hydrolase,20200905,-
1104324,11594422,P186_RS13225,P186_RS13225,P186_2824,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11594424,P186_RS13230,P186_RS13230,P186_2826,-,-,-,ATPase AAA,protein-coding,-,-,-,ATPase AAA,20200905,-
1104324,11594425,P186_RS13235,P186_RS13235,P186_2827,-,-,-,CAP domain-containing protein,protein-coding,-,-,-,CAP domain-containing protein,20200905,-
1104324,11594427,P186_RS13245,P186_RS13245,P186_R0034,-,-,-,tRNA,tRNA,-,-,-,-,20201028,-
1104324,11594428,P186_RS13250,P186_RS13250,P186_2829,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11594429,P186_RS13255,P186_RS13255,P186_2830,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
1104324,11594431,P186_RS13260,P186_RS13260,P186_2832,-,-,-,dual specificity protein phosphatase family protein,protein-coding,-,-,-,dual specificity protein phosphatase family protein,20201028,-
1104324,11594432,P186_RS13265,P186_RS13265,P186_2833,-,-,-,ABC transporter permease subunit,protein-coding,-,-,-,ABC transporter permease subunit,20200905,-
1104324,11594433,P186_RS13270,P186_RS13270,P186_2834,-,-,-,ATP-binding cassette domain-containing protein,protein-coding,-,-,-,ATP-binding cassette domain-containing protein,20200905,-
1104324,11594434,P186_RS13275,P186_RS13275,P186_2835,-,-,-,ABC transporter substrate-binding protein,protein-coding,-,-,-,ABC transporter substrate-binding protein,20201217,-
1104324,11594435,P186_RS13280,P186_RS13280,P186_2836,-,-,-,cytochrome c biogenesis protein,protein-coding,-,-,-,cytochrome c biogenesis protein,20200905,-
1104324,11594436,P186_RS13285,P186_RS13285,P186_2837,-,-,-,MBL fold metallo-hydrolase,protein-coding,-,-,-,MBL fold metallo-hydrolase,20200905,-
1104324,11594437,P186_RS13290,P186_RS13290,P186_2838,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11594438,P186_RS13295,P186_RS13295,P186_2839,-,-,-,FAD-binding oxidoreductase,protein-coding,-,-,-,FAD-binding oxidoreductase,20200905,-
1104324,11594439,P186_RS13300,P186_RS13300,P186_2840,-,-,-,type II toxin-antitoxin system ParD family antitoxin,protein-coding,-,-,-,type II toxin-antitoxin system ParD family antitoxin,20201217,-
1104324,11594440,P186_RS13305,P186_RS13305,P186_2841,-,-,-,DMT family transporter,protein-coding,-,-,-,DMT family transporter,20200905,-
1104324,11594441,P186_RS13310,P186_RS13310,P186_2842,-,-,-,twin-arginine translocase TatA/TatE family subunit,protein-coding,-,-,-,twin-arginine translocase TatA/TatE family subunit,20200218,-
1104324,11594442,P186_RS13315,P186_RS13315,P186_2843,-,-,-,preprotein translocase subunit TatC,protein-coding,-,-,-,preprotein translocase subunit TatC,20201217,-
1104324,11594443,P186_RS13320,P186_RS13320,P186_2844,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11594444,P186_RS13325,P186_RS13325,P186_2845,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11594445,P186_RS13330,P186_RS13330,P186_2846,-,-,-,glycosyl transferase,protein-coding,-,-,-,glycosyl transferase,20200905,-
1104324,11594447,P186_RS13335,P186_RS13335,P186_2848,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11594448,P186_RS13340,P186_RS13340,P186_2849,-,-,-,MFS transporter,protein-coding,-,-,-,MFS transporter,20200905,-
1104324,11594449,P186_RS13345,P186_RS13345,P186_2850,-,-,-,carbamate kinase,protein-coding,-,-,-,carbamate kinase,20201217,-
1104324,11594450,P186_RS13350,P186_RS13350,P186_2851,-,-,-,histidine--tRNA ligase,protein-coding,-,-,-,histidine--tRNA ligase,20200905,-
1104324,11594451,P186_RS13355,P186_RS13355,P186_2852,-,-,-,saccharopine dehydrogenase family protein,protein-coding,-,-,-,saccharopine dehydrogenase family protein,20201217,-
1104324,11594452,P186_RS13360,P186_RS13360,P186_2853,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20201217,-
1104324,11594453,P186_RS13365,P186_RS13365,P186_2854,-,-,-,ATPase AAA,protein-coding,-,-,-,ATPase AAA,20200905,-
1104324,11594454,P186_RS13370,P186_RS13370,P186_2855,-,-,-,2-oxoacid ferredoxin oxidoreductase subunit beta,protein-coding,-,-,-,2-oxoacid ferredoxin oxidoreductase subunit beta,20210424,-
1104324,11594455,P186_RS13375,P186_RS13375,P186_2856,-,-,-,2-oxoacid:acceptor oxidoreductase subunit alpha,protein-coding,-,-,-,2-oxoacid:acceptor oxidoreductase subunit alpha,20200905,-
1104324,11594456,P186_RS13380,P186_RS13380,P186_2857,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11594457,P186_RS13385,P186_RS13385,P186_2858,-,-,-,nucleoside-diphosphate kinase,protein-coding,-,-,-,nucleoside-diphosphate kinase,20200905,-
1104324,11594458,P186_RS13390,P186_RS13390,P186_2859,-,-,-,NADH-ubiquinone oxidoreductase,protein-coding,-,-,-,NADH-ubiquinone oxidoreductase,20210424,-
1104324,11594459,P186_RS13395,P186_RS13395,P186_2860,-,-,-,NADH-quinone oxidoreductase subunit L,protein-coding,-,-,-,NADH-quinone oxidoreductase subunit L,20200905,-
1104324,11594460,P186_RS13400,P186_RS13400,P186_2861,-,-,-,NADH dehydrogenase,protein-coding,-,-,-,NADH dehydrogenase,20200905,-
1104324,11594461,P186_RS13405,P186_RS13405,P186_2862,-,-,-,NADH-quinone oxidoreductase subunit K,protein-coding,-,-,-,NADH-quinone oxidoreductase subunit K,20200905,-
1104324,11594462,P186_RS13410,P186_RS13410,P186_2863,-,-,-,NADH-ubiquinone oxidoreductase,protein-coding,-,-,-,NADH-ubiquinone oxidoreductase,20200218,-
1104324,11594463,nuoI,P186_RS13415,P186_2864,-,-,-,NADH-quinone oxidoreductase subunit NuoI,protein-coding,-,-,-,NADH-quinone oxidoreductase subunit NuoI,20200905,-
1104324,11594464,nuoH,P186_RS13420,P186_2865,-,-,-,NADH-quinone oxidoreductase subunit NuoH,protein-coding,-,-,-,NADH-quinone oxidoreductase subunit NuoH,20200905,-
1104324,11594465,P186_RS13425,P186_RS13425,P186_2866,-,-,-,NADH-quinone oxidoreductase subunit D,protein-coding,-,-,-,NADH-quinone oxidoreductase subunit D,20201217,-
