#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2163891,65112286,KNT86_gp002,KNT86_gp002,-,-,-,-,rIIA protector from prophage-induced early lysis,protein-coding,-,-,-,rIIA protector from prophage-induced early lysis,20210607,-
2163891,65112476,KNT86_gp192,KNT86_gp192,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112477,KNT86_gp193,KNT86_gp193,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112478,KNT86_gp194,KNT86_gp194,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112479,KNT86_gp195,KNT86_gp195,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112480,KNT86_gp196,KNT86_gp196,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112481,KNT86_gp197,KNT86_gp197,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112482,KNT86_gp198,KNT86_gp198,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112483,KNT86_gp199,KNT86_gp199,-,-,-,-,protease inhibitor,protein-coding,-,-,-,protease inhibitor,20210607,-
2163891,65112484,KNT86_gp200,KNT86_gp200,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112485,KNT86_gp201,KNT86_gp201,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112486,KNT86_gp202,KNT86_gp202,-,-,-,-,recombinase endonuclease VII,protein-coding,-,-,-,recombinase endonuclease VII,20210607,-
2163891,65112487,KNT86_gp203,KNT86_gp203,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112488,KNT86_gp204,KNT86_gp204,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112489,KNT86_gp205,KNT86_gp205,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112490,KNT86_gp206,KNT86_gp206,-,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20210607,-
2163891,65112491,KNT86_gp207,KNT86_gp207,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112492,KNT86_gp208,KNT86_gp208,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112493,KNT86_gp209,KNT86_gp209,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112494,KNT86_gp210,KNT86_gp210,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112495,KNT86_gp211,KNT86_gp211,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112496,KNT86_gp212,KNT86_gp212,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112497,KNT86_gp213,KNT86_gp213,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112498,KNT86_gp214,KNT86_gp214,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112499,KNT86_gp215,KNT86_gp215,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112500,KNT86_gp216,KNT86_gp216,-,-,-,-,sigma factor for late transcription,protein-coding,-,-,-,sigma factor for late transcription,20210607,-
2163891,65112501,KNT86_gp217,KNT86_gp217,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112502,KNT86_gp218,KNT86_gp218,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
2163891,65112503,KNT86_gp219,KNT86_gp219,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112504,KNT86_gp220,KNT86_gp220,-,-,-,-,recombination endonuclease subunit,protein-coding,-,-,-,recombination endonuclease subunit,20210607,-
2163891,65112505,KNT86_gp221,KNT86_gp221,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112506,KNT86_gp222,KNT86_gp222,-,-,-,-,recombination endonuclease subunit,protein-coding,-,-,-,recombination endonuclease subunit,20210607,-
2163891,65112507,KNT86_gp223,KNT86_gp223,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112508,KNT86_gp224,KNT86_gp224,-,-,-,-,RNA polymerase binding protein,protein-coding,-,-,-,RNA polymerase binding protein,20210609,-
2163891,65112509,KNT86_gp225,KNT86_gp225,-,-,-,-,sliding clamp DNA polymerase accessory protein,protein-coding,-,-,-,sliding clamp DNA polymerase accessory protein,20210607,-
2163891,65112510,KNT86_gp226,KNT86_gp226,-,-,-,-,clamp loader subunit DNA polymerase accessory protein,protein-coding,-,-,-,clamp loader subunit DNA polymerase accessory protein,20210607,-
2163891,65112511,KNT86_gp227,KNT86_gp227,-,-,-,-,clamp loader subunit DNA polymerase,protein-coding,-,-,-,clamp loader subunit DNA polymerase,20210609,-
2163891,65112512,KNT86_gp228,KNT86_gp228,-,-,-,-,translational repressor protein,protein-coding,-,-,-,translational repressor protein,20210607,-
2163891,65112513,KNT86_gp229,KNT86_gp229,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112514,KNT86_gp230,KNT86_gp230,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210607,-
2163891,65112515,KNT86_gp231,KNT86_gp231,-,-,-,-,immunity to superinfection membrane protein,protein-coding,-,-,-,immunity to superinfection membrane protein,20210607,-
2163891,65112516,KNT86_gp232,KNT86_gp232,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112517,KNT86_gp233,KNT86_gp233,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112518,KNT86_gp234,KNT86_gp234,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112519,KNT86_gp235,KNT86_gp235,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112520,KNT86_gp236,KNT86_gp236,-,-,-,-,dCMP hydroxymethylase,protein-coding,-,-,-,dCMP hydroxymethylase,20210607,-
2163891,65112521,KNT86_gp237,KNT86_gp237,-,-,-,-,RNA polymerase binding protein,protein-coding,-,-,-,RNA polymerase binding protein,20210607,-
2163891,65112522,KNT86_gp238,KNT86_gp238,-,-,-,-,RecA-like recombination protein,protein-coding,-,-,-,RecA-like recombination protein,20210607,-
2163891,65112523,KNT86_gp239,KNT86_gp239,-,-,-,-,head vertex assembly chaperone,protein-coding,-,-,-,head vertex assembly chaperone,20210607,-
2163891,65112524,KNT86_gp240,KNT86_gp240,-,-,-,-,DNA primase-helicase subunit,protein-coding,-,-,-,DNA primase-helicase subunit,20210607,-
2163891,65112525,KNT86_gp241,KNT86_gp241,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112526,KNT86_gp242,KNT86_gp242,-,-,-,-,discriminator of mRNA degradation,protein-coding,-,-,-,discriminator of mRNA degradation,20210607,-
2163891,65112527,KNT86_gp243,KNT86_gp243,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112528,KNT86_gp244,KNT86_gp244,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112529,KNT86_gp245,KNT86_gp245,-,-,-,-,spackle periplasmic protein,protein-coding,-,-,-,spackle periplasmic protein,20210607,-
2163891,65112530,KNT86_gp246,KNT86_gp246,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112531,KNT86_gp247,KNT86_gp247,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112532,KNT86_gp248,KNT86_gp248,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112533,KNT86_gp249,KNT86_gp249,-,-,-,-,DNA primase subunit,protein-coding,-,-,-,DNA primase subunit,20210607,-
2163891,65112534,KNT86_gp250,KNT86_gp250,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112535,KNT86_gp251,KNT86_gp251,-,-,-,-,dCTP pyrophosphatase,protein-coding,-,-,-,dCTP pyrophosphatase,20210607,-
2163891,65112536,KNT86_gp252,KNT86_gp252,-,-,-,-,small outer capsid protein,protein-coding,-,-,-,small outer capsid protein,20210607,-
2163891,65112537,KNT86_gp253,KNT86_gp253,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112538,KNT86_gp254,KNT86_gp254,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112539,KNT86_gp255,KNT86_gp255,-,-,-,-,transcription modulator,protein-coding,-,-,-,transcription modulator,20210607,-
2163891,65112540,KNT86_gp256,KNT86_gp256,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112541,KNT86_gp257,KNT86_gp257,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112542,KNT86_gp258,KNT86_gp258,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112543,KNT86_gp259,KNT86_gp259,-,-,-,-,ADP-ribosylase,protein-coding,-,-,-,ADP-ribosylase,20210607,-
2163891,65112544,KNT86_gp260,KNT86_gp260,-,-,-,-,ADP-ribosylase,protein-coding,-,-,-,ADP-ribosylase,20210607,-
2163891,65112545,KNT86_gp261,KNT86_gp261,-,-,-,-,putative Srd anti-sigma factor,protein-coding,-,-,-,putative Srd anti-sigma factor,20210607,-
2163891,65112546,KNT86_gp262,KNT86_gp262,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112547,KNT86_gp263,KNT86_gp263,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210607,-
2163891,65112548,KNT86_gp264,KNT86_gp264,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112549,KNT86_gp265,KNT86_gp265,-,-,-,-,exonuclease A,protein-coding,-,-,-,exonuclease A,20210607,-
2163891,65112550,KNT86_gp266,KNT86_gp266,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112551,KNT86_gp267,KNT86_gp267,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112552,KNT86_gp268,KNT86_gp268,-,-,-,-,modifier of transcription,protein-coding,-,-,-,modifier of transcription,20210607,-
2163891,65112553,KNT86_gp269,KNT86_gp269,-,-,-,-,cef modifier of suppressor tRNAs,protein-coding,-,-,-,cef modifier of suppressor tRNAs,20210607,-
2163891,65112554,KNT86_gp270,KNT86_gp270,-,-,-,-,putative RNA metabolism modulator,protein-coding,-,-,-,putative RNA metabolism modulator,20210607,-
2163891,65112555,KNT86_gp271,KNT86_gp271,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112556,KNT86_gp272,KNT86_gp272,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112557,KNT86_gp273,KNT86_gp273,-,-,-,-,DNA topoisomerase II large subunit,protein-coding,-,-,-,DNA topoisomerase II large subunit,20210607,-
2163891,65112558,KNT86_gp001,KNT86_gp001,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65242765,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Enterobacteria phage vB_EcoS_IME341).,other,-,-,-,-,20210609,-
