#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1448312,37169529,BO86DRAFT_100071,BO86DRAFT_100071,-,-,Unknown,-,OPT superfamily oligopeptide transporter,protein-coding,-,-,-,OPT superfamily oligopeptide transporter,20200919,-
1448312,37173146,BO86DRAFT_351993,BO86DRAFT_351993,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37173147,BO86DRAFT_351996,BO86DRAFT_351996,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37173148,BO86DRAFT_352003,BO86DRAFT_352003,-,-,Unknown,-,fungal-specific transcription factor domain protein,protein-coding,-,-,-,fungal-specific transcription factor domain protein,20200919,-
1448312,37173149,BO86DRAFT_352007,BO86DRAFT_352007,-,-,Unknown,-,"vacuolar sorting protein VPS1, dynamin",protein-coding,-,-,-,"vacuolar sorting protein VPS1, dynamin",20200919,-
1448312,37173150,BO86DRAFT_352009,BO86DRAFT_352009,-,-,Unknown,-,aldehyde dehydrogenase,protein-coding,-,-,-,aldehyde dehydrogenase,20200919,-
1448312,37173151,BO86DRAFT_352013,BO86DRAFT_352013,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37173152,BO86DRAFT_352016,BO86DRAFT_352016,-,-,Unknown,-,Allergen Asp f 13,protein-coding,-,-,-,Allergen Asp f 13,20200919,-
1448312,37173153,BO86DRAFT_352020,BO86DRAFT_352020,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37173154,BO86DRAFT_352036,BO86DRAFT_352036,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37173155,BO86DRAFT_352057,BO86DRAFT_352057,-,-,Unknown,-,anthranilate phosphoribosyltransferase,protein-coding,-,-,-,anthranilate phosphoribosyltransferase,20200919,-
1448312,37173156,BO86DRAFT_352138,BO86DRAFT_352138,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37173157,BO86DRAFT_352145,BO86DRAFT_352145,-,-,Unknown,-,C6 transcription factor,protein-coding,-,-,-,C6 transcription factor,20200919,-
1448312,37173158,BO86DRAFT_352163,BO86DRAFT_352163,-,-,Unknown,-,NTF2-like protein,protein-coding,-,-,-,NTF2-like protein,20200919,-
1448312,37173159,BO86DRAFT_352175,BO86DRAFT_352175,-,-,Unknown,-,extracellular dihydrogeodin oxidase/laccase,protein-coding,-,-,-,extracellular dihydrogeodin oxidase/laccase,20200919,-
1448312,37173160,BO86DRAFT_352189,BO86DRAFT_352189,-,-,Unknown,-,DNA topoisomerase II,protein-coding,-,-,-,DNA topoisomerase II,20200919,-
1448312,37173161,BO86DRAFT_352208,BO86DRAFT_352208,-,-,Unknown,-,heme peroxidase,protein-coding,-,-,-,heme peroxidase,20200919,-
1448312,37173162,BO86DRAFT_352237,BO86DRAFT_352237,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37173163,BO86DRAFT_352255,BO86DRAFT_352255,-,-,Unknown,-,ubiquinone biosynthesis monooxygenase,protein-coding,-,-,-,ubiquinone biosynthesis monooxygenase,20200919,-
1448312,37173164,BO86DRAFT_352283,BO86DRAFT_352283,-,-,Unknown,-,male sterility domain-containing protein,protein-coding,-,-,-,male sterility domain-containing protein,20200919,-
1448312,37173165,BO86DRAFT_352317,BO86DRAFT_352317,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37173166,BO86DRAFT_352329,BO86DRAFT_352329,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37173167,BO86DRAFT_352346,BO86DRAFT_352346,-,-,Unknown,-,chromatin remodeling complex subunit,protein-coding,-,-,-,chromatin remodeling complex subunit,20200919,-
1448312,37173168,BO86DRAFT_352374,BO86DRAFT_352374,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37173169,BO86DRAFT_352411,BO86DRAFT_352411,-,-,Unknown,-,short-chain dehydrogenase,protein-coding,-,-,-,short-chain dehydrogenase,20200919,-
1448312,37173170,BO86DRAFT_352427,BO86DRAFT_352427,-,-,Unknown,-,ribosome biogenesis protein,protein-coding,-,-,-,ribosome biogenesis protein,20200919,-
1448312,37173171,BO86DRAFT_352432,BO86DRAFT_352432,-,-,Unknown,-,beta subunit of rab geranylgeranyltransferase,protein-coding,-,-,-,beta subunit of rab geranylgeranyltransferase,20200919,-
1448312,37173172,BO86DRAFT_352434,BO86DRAFT_352434,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37173173,BO86DRAFT_35244,BO86DRAFT_35244,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37173174,BO86DRAFT_352467,BO86DRAFT_352467,-,-,Unknown,-,catalytic protein,protein-coding,-,-,-,catalytic protein,20200919,-
1448312,37173175,BO86DRAFT_35247,BO86DRAFT_35247,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37173176,BO86DRAFT_352486,BO86DRAFT_352486,-,-,Unknown,-,alpha/beta-hydrolase,protein-coding,-,-,-,alpha/beta-hydrolase,20200919,-
1448312,37173177,BO86DRAFT_352489,BO86DRAFT_352489,-,-,Unknown,-,general substrate transporter,protein-coding,-,-,-,general substrate transporter,20200919,-
1448312,37173178,BO86DRAFT_352493,BO86DRAFT_352493,-,-,Unknown,-,ubiquitin carbon terminal hydrolase,protein-coding,-,-,-,ubiquitin carbon terminal hydrolase,20200919,-
1448312,37173179,BO86DRAFT_352501,BO86DRAFT_352501,-,-,Unknown,-,pyrroline-5-carboxylate reductase,protein-coding,-,-,-,pyrroline-5-carboxylate reductase,20200919,-
1448312,37173180,BO86DRAFT_352521,BO86DRAFT_352521,-,-,Unknown,-,putative tubulin-tyrosine ligase,protein-coding,-,-,-,putative tubulin-tyrosine ligase,20200919,-
1448312,37173181,BO86DRAFT_352527,BO86DRAFT_352527,-,-,Unknown,-,SH3 protein,protein-coding,-,-,-,SH3 protein,20200919,-
1448312,37173182,BO86DRAFT_352555,BO86DRAFT_352555,-,-,Unknown,-,vacuolar protein sorting-associated protein VPS35,protein-coding,-,-,-,vacuolar protein sorting-associated protein VPS35,20200919,-
1448312,37173183,BO86DRAFT_352618,BO86DRAFT_352618,-,-,Unknown,-,thioredoxin-like protein,protein-coding,-,-,-,thioredoxin-like protein,20200919,-
1448312,37173184,BO86DRAFT_352674,BO86DRAFT_352674,-,-,Unknown,-,kynureninase,protein-coding,-,-,-,kynureninase,20200919,-
1448312,37173185,BO86DRAFT_352685,BO86DRAFT_352685,-,-,Unknown,-,DUF408 domain protein,protein-coding,-,-,-,DUF408 domain protein,20200919,-
1448312,37173186,BO86DRAFT_352722,BO86DRAFT_352722,-,-,Unknown,-,peroxisome biogenesis protein peroxin 1,protein-coding,-,-,-,peroxisome biogenesis protein peroxin 1,20200919,-
1448312,37173187,BO86DRAFT_352729,BO86DRAFT_352729,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37173188,BO86DRAFT_352748,BO86DRAFT_352748,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37173189,BO86DRAFT_352772,BO86DRAFT_352772,-,-,Unknown,-,DUF125-domain-containing protein,protein-coding,-,-,-,DUF125-domain-containing protein,20200919,-
1448312,37173190,BO86DRAFT_352797,BO86DRAFT_352797,-,-,Unknown,-,putative DNA repair and transcription protein,protein-coding,-,-,-,putative DNA repair and transcription protein,20200919,-
1448312,37173191,BO86DRAFT_352829,BO86DRAFT_352829,-,-,Unknown,-,dicer-like protein 1,protein-coding,-,-,-,dicer-like protein 1,20200919,-
1448312,37173192,BO86DRAFT_352832,BO86DRAFT_352832,-,-,Unknown,-,TOR signaling pathway regulator,protein-coding,-,-,-,TOR signaling pathway regulator,20200919,-
1448312,37173193,BO86DRAFT_352842,BO86DRAFT_352842,-,-,Unknown,-,serine/threonine-protein kinase RIO2,protein-coding,-,-,-,serine/threonine-protein kinase RIO2,20200919,-
1448312,37173194,BO86DRAFT_352849,BO86DRAFT_352849,-,-,Unknown,-,autophagy-related protein 18,protein-coding,-,-,-,autophagy-related protein 18,20200919,-
1448312,37173195,BO86DRAFT_352870,BO86DRAFT_352870,-,-,Unknown,-,transcription factor Tfb4,protein-coding,-,-,-,transcription factor Tfb4,20200919,-
1448312,37173196,BO86DRAFT_352878,BO86DRAFT_352878,-,-,Unknown,-,"putative arp3, actin-related protein 3",protein-coding,-,-,-,"putative arp3, actin-related protein 3",20200919,-
1448312,37173197,BO86DRAFT_352906,BO86DRAFT_352906,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37173198,BO86DRAFT_352948,BO86DRAFT_352948,-,-,Unknown,-,D-amino-acid oxidase,protein-coding,-,-,-,D-amino-acid oxidase,20200919,-
1448312,37173199,BO86DRAFT_352989,BO86DRAFT_352989,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37173200,BO86DRAFT_352990,BO86DRAFT_352990,-,-,Unknown,-,"serine/threonine protein kinase, subunit of TFIIH, KIN28",protein-coding,-,-,-,"serine/threonine protein kinase, subunit of TFIIH, KIN28",20200919,-
1448312,37173201,BO86DRAFT_353074,BO86DRAFT_353074,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37173202,BO86DRAFT_353077,BO86DRAFT_353077,-,-,Unknown,-,phosphoglucose isomerase,protein-coding,-,-,-,phosphoglucose isomerase,20200919,-
1448312,37173203,BO86DRAFT_353115,BO86DRAFT_353115,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37173204,BO86DRAFT_353123,BO86DRAFT_353123,-,-,Unknown,-,Mgm101p-domain-containing protein,protein-coding,-,-,-,Mgm101p-domain-containing protein,20200919,-
1448312,37173205,BO86DRAFT_353130,BO86DRAFT_353130,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37173206,BO86DRAFT_353143,BO86DRAFT_353143,-,-,Unknown,-,profilin,protein-coding,-,-,-,profilin,20200919,-
1448312,37173207,BO86DRAFT_353145,BO86DRAFT_353145,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37173208,BO86DRAFT_353149,BO86DRAFT_353149,-,-,Unknown,-,acyl-CoA thioesterase II,protein-coding,-,-,-,acyl-CoA thioesterase II,20200919,-
1448312,37173209,BO86DRAFT_353194,BO86DRAFT_353194,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37173210,BO86DRAFT_353208,BO86DRAFT_353208,-,-,Unknown,-,FAD/NAD(P)-binding domain-containing protein,protein-coding,-,-,-,FAD/NAD(P)-binding domain-containing protein,20200919,-
1448312,37173211,BO86DRAFT_353224,BO86DRAFT_353224,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37173212,BO86DRAFT_35324,BO86DRAFT_35324,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37173213,BO86DRAFT_353291,BO86DRAFT_353291,-,-,Unknown,-,HEAT repeat protein,protein-coding,-,-,-,HEAT repeat protein,20200919,-
1448312,37173214,BO86DRAFT_353304,BO86DRAFT_353304,-,-,Unknown,-,SGNH hydrolase,protein-coding,-,-,-,SGNH hydrolase,20200919,-
1448312,37173215,BO86DRAFT_353311,BO86DRAFT_353311,-,-,Unknown,-,Fe-containing alcohol dehydrogenase,protein-coding,-,-,-,Fe-containing alcohol dehydrogenase,20200919,-
1448312,37173216,BO86DRAFT_353328,BO86DRAFT_353328,-,-,Unknown,-,putative alcohol dehydrogenase,protein-coding,-,-,-,putative alcohol dehydrogenase,20200919,-
1448312,37173217,BO86DRAFT_353344,BO86DRAFT_353344,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37173218,BO86DRAFT_35340,BO86DRAFT_35340,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37173219,BO86DRAFT_353414,BO86DRAFT_353414,-,-,Unknown,-,Aldo/keto reductase,protein-coding,-,-,-,Aldo/keto reductase,20200919,-
1448312,37173220,BO86DRAFT_353443,BO86DRAFT_353443,-,-,Unknown,-,"putative acetyltransferase, GNAT family",protein-coding,-,-,-,"putative acetyltransferase, GNAT family",20200919,-
1448312,37173221,BO86DRAFT_353518,BO86DRAFT_353518,-,-,Unknown,-,isoepoxydon dehydrogenase,protein-coding,-,-,-,isoepoxydon dehydrogenase,20200919,-
1448312,37173222,BO86DRAFT_35352,BO86DRAFT_35352,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37173223,BO86DRAFT_353591,BO86DRAFT_353591,-,-,Unknown,-,OPT oligopeptide transporter,protein-coding,-,-,-,OPT oligopeptide transporter,20200919,-
1448312,37173224,BO86DRAFT_353606,BO86DRAFT_353606,-,-,Unknown,-,double-time,protein-coding,-,-,-,double-time,20200919,-
1448312,37173225,BO86DRAFT_353609,BO86DRAFT_353609,-,-,Unknown,-,general substrate transporter,protein-coding,-,-,-,general substrate transporter,20200919,-
1448312,37173226,BO86DRAFT_353621,BO86DRAFT_353621,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37173227,BO86DRAFT_353635,BO86DRAFT_353635,-,-,Unknown,-,amino acid transporter,protein-coding,-,-,-,amino acid transporter,20200919,-
1448312,37173228,BO86DRAFT_353646,BO86DRAFT_353646,-,-,Unknown,-,putative 4-carboxymuconolactone decarboxylase,protein-coding,-,-,-,putative 4-carboxymuconolactone decarboxylase,20200919,-
1448312,37173229,BO86DRAFT_353656,BO86DRAFT_353656,-,-,Unknown,-,putative glutathione synthetase,protein-coding,-,-,-,putative glutathione synthetase,20200919,-
1448312,37173230,BO86DRAFT_353661,BO86DRAFT_353661,-,-,Unknown,-,spindle pole body interacting protein,protein-coding,-,-,-,spindle pole body interacting protein,20200919,-
1448312,37173231,BO86DRAFT_353689,BO86DRAFT_353689,-,-,Unknown,-,galactokinase,protein-coding,-,-,-,galactokinase,20200919,-
1448312,37173232,BO86DRAFT_353711,BO86DRAFT_353711,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37173233,BO86DRAFT_353719,BO86DRAFT_353719,-,-,Unknown,-,SET domain protein,protein-coding,-,-,-,SET domain protein,20200919,-
1448312,37173234,BO86DRAFT_353721,BO86DRAFT_353721,-,-,Unknown,-,acid protease,protein-coding,-,-,-,acid protease,20200919,-
1448312,37173235,BO86DRAFT_353751,BO86DRAFT_353751,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37173236,BO86DRAFT_353783,BO86DRAFT_353783,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37173237,BO86DRAFT_353829,BO86DRAFT_353829,-,-,Unknown,-,MFS general substrate transporter,protein-coding,-,-,-,MFS general substrate transporter,20200919,-
1448312,37173238,BO86DRAFT_353838,BO86DRAFT_353838,-,-,Unknown,-,GMC oxidoreductase,protein-coding,-,-,-,GMC oxidoreductase,20200919,-
1448312,37173239,BO86DRAFT_353842,BO86DRAFT_353842,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37173240,BO86DRAFT_353859,BO86DRAFT_353859,-,-,Unknown,-,4-hydroxyphenylpyruvate dioxygenase,protein-coding,-,-,-,4-hydroxyphenylpyruvate dioxygenase,20200919,-
1448312,37173241,BO86DRAFT_353868,BO86DRAFT_353868,-,-,Unknown,-,nonsense-mediated mRNA decay protein 3,protein-coding,-,-,-,nonsense-mediated mRNA decay protein 3,20200919,-
1448312,37173242,BO86DRAFT_353893,BO86DRAFT_353893,-,-,Unknown,-,T-complex protein 1 subunit beta,protein-coding,-,-,-,T-complex protein 1 subunit beta,20200919,-
1448312,37173243,BO86DRAFT_353928,BO86DRAFT_353928,-,-,Unknown,-,alcohol dehydrogenase,protein-coding,-,-,-,alcohol dehydrogenase,20200919,-
1448312,37173244,BO86DRAFT_353941,BO86DRAFT_353941,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37173245,BO86DRAFT_353973,BO86DRAFT_353973,-,-,Unknown,-,very long-chain acyl-CoA synthetase/fatty acid transporter,protein-coding,-,-,-,very long-chain acyl-CoA synthetase/fatty acid transporter,20200919,-
1448312,37173246,BO86DRAFT_353992,BO86DRAFT_353992,-,-,Unknown,-,40S ribosomal protein S8,protein-coding,-,-,-,40S ribosomal protein S8,20200919,-
1448312,37173247,BO86DRAFT_353996,BO86DRAFT_353996,-,-,Unknown,-,MFS transporter,protein-coding,-,-,-,MFS transporter,20200919,-
1448312,37173248,BO86DRAFT_354016,BO86DRAFT_354016,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37173249,BO86DRAFT_354035,BO86DRAFT_354035,-,-,Unknown,-,acetyl-CoA synthetase-like protein,protein-coding,-,-,-,acetyl-CoA synthetase-like protein,20200919,-
1448312,37173250,BO86DRAFT_354051,BO86DRAFT_354051,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37173251,BO86DRAFT_354053,BO86DRAFT_354053,-,-,Unknown,-,phosphoglycerate mutase family protein,protein-coding,-,-,-,phosphoglycerate mutase family protein,20200919,-
1448312,37173252,BO86DRAFT_354063,BO86DRAFT_354063,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37173253,BO86DRAFT_354091,BO86DRAFT_354091,-,-,Unknown,-,telomere length regulator protein,protein-coding,-,-,-,telomere length regulator protein,20200919,-
1448312,37173254,BO86DRAFT_354134,BO86DRAFT_354134,-,-,Unknown,-,Pre-mRNA-splicing ATP-dependent RNA helicase prp28,protein-coding,-,-,-,Pre-mRNA-splicing ATP-dependent RNA helicase prp28,20200919,-
1448312,37173255,BO86DRAFT_35414,BO86DRAFT_35414,-,-,Unknown,-,ICE2-domain-containing protein,protein-coding,-,-,-,ICE2-domain-containing protein,20200919,-
1448312,37173256,BO86DRAFT_354143,BO86DRAFT_354143,-,-,Unknown,-,cytochrome c peroxidase Ccp1,protein-coding,-,-,-,cytochrome c peroxidase Ccp1,20200919,-
1448312,37173257,BO86DRAFT_354173,BO86DRAFT_354173,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37173258,BO86DRAFT_354182,BO86DRAFT_354182,-,-,Unknown,-,feruloyl esterase B precursor,protein-coding,-,-,-,feruloyl esterase B precursor,20200919,-
1448312,37173259,BO86DRAFT_354191,BO86DRAFT_354191,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37173260,BO86DRAFT_35420,BO86DRAFT_35420,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37173261,BO86DRAFT_354211,BO86DRAFT_354211,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37173262,BO86DRAFT_354212,BO86DRAFT_354212,-,-,Unknown,-,Phosphoenolpyruvate/pyruvate domain-containing protein,protein-coding,-,-,-,Phosphoenolpyruvate/pyruvate domain-containing protein,20200919,-
1448312,37173263,BO86DRAFT_354214,BO86DRAFT_354214,-,-,Unknown,-,PLP-dependent transferase,protein-coding,-,-,-,PLP-dependent transferase,20200919,-
1448312,37173264,BO86DRAFT_354233,BO86DRAFT_354233,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37173265,BO86DRAFT_35424,BO86DRAFT_35424,-,-,Unknown,-,Endosulfine-domain-containing protein,protein-coding,-,-,-,Endosulfine-domain-containing protein,20200919,-
1448312,37173266,BO86DRAFT_354259,BO86DRAFT_354259,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37173267,BO86DRAFT_354282,BO86DRAFT_354282,-,-,Unknown,-,cysteine dioxygenase,protein-coding,-,-,-,cysteine dioxygenase,20200919,-
1448312,37173268,BO86DRAFT_354285,BO86DRAFT_354285,-,-,Unknown,-,"indoleamine 2,3-dioxygenase",protein-coding,-,-,-,"indoleamine 2,3-dioxygenase",20200919,-
1448312,37173269,BO86DRAFT_354337,BO86DRAFT_354337,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37173270,BO86DRAFT_354354,BO86DRAFT_354354,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37173271,BO86DRAFT_354400,BO86DRAFT_354400,-,-,Unknown,-,ubiquitin and ubiquitin-like protein,protein-coding,-,-,-,ubiquitin and ubiquitin-like protein,20200919,-
1448312,37173272,BO86DRAFT_354406,BO86DRAFT_354406,-,-,Unknown,-,3-demethylubiquinone-9 3-methyltransferase,protein-coding,-,-,-,3-demethylubiquinone-9 3-methyltransferase,20200919,-
1448312,37173273,BO86DRAFT_354452,BO86DRAFT_354452,-,-,Unknown,-,cell cycle regulatory protein,protein-coding,-,-,-,cell cycle regulatory protein,20200919,-
1448312,37173274,BO86DRAFT_354469,BO86DRAFT_354469,-,-,Unknown,-,DUF1741-domain-containing protein,protein-coding,-,-,-,DUF1741-domain-containing protein,20200919,-
1448312,37173275,BO86DRAFT_354471,BO86DRAFT_354471,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37173276,BO86DRAFT_354535,BO86DRAFT_354535,-,-,Unknown,-,charged multivesicular body protein 5,protein-coding,-,-,-,charged multivesicular body protein 5,20200919,-
1448312,37173277,BO86DRAFT_354566,BO86DRAFT_354566,-,-,Unknown,-,kynurenine aminotransferase,protein-coding,-,-,-,kynurenine aminotransferase,20200919,-
1448312,37173278,BO86DRAFT_354582,BO86DRAFT_354582,-,-,Unknown,-,L-aminoadipate-semialdehyde dehydrogenase large subunit,protein-coding,-,-,-,L-aminoadipate-semialdehyde dehydrogenase large subunit,20200919,-
1448312,37173279,BO86DRAFT_354646,BO86DRAFT_354646,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37173280,BO86DRAFT_354688,BO86DRAFT_354688,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37173281,BO86DRAFT_354690,BO86DRAFT_354690,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37173282,BO86DRAFT_354716,BO86DRAFT_354716,-,-,Unknown,-,Zn(II)2Cys6 transcription factor,protein-coding,-,-,-,Zn(II)2Cys6 transcription factor,20200919,-
1448312,37173283,BO86DRAFT_354719,BO86DRAFT_354719,-,-,Unknown,-,FAD-binding domain-containing protein,protein-coding,-,-,-,FAD-binding domain-containing protein,20200919,-
1448312,37173284,BO86DRAFT_354730,BO86DRAFT_354730,-,-,Unknown,-,putative steroid dehydrogenase,protein-coding,-,-,-,putative steroid dehydrogenase,20200919,-
1448312,37173285,BO86DRAFT_354734,BO86DRAFT_354734,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37173286,BO86DRAFT_354738,BO86DRAFT_354738,-,-,Unknown,-,acetyl-CoA synthetase-like protein,protein-coding,-,-,-,acetyl-CoA synthetase-like protein,20200919,-
1448312,37173287,BO86DRAFT_354742,BO86DRAFT_354742,-,-,Unknown,-,putative cutinase,protein-coding,-,-,-,putative cutinase,20200919,-
1448312,37173288,BO86DRAFT_354751,BO86DRAFT_354751,-,-,Unknown,-,glucose-methanol-choline oxidoreductase,protein-coding,-,-,-,glucose-methanol-choline oxidoreductase,20200919,-
1448312,37173289,BO86DRAFT_354755,BO86DRAFT_354755,-,-,Unknown,-,putative glucosamine-6-phosphate deaminase,protein-coding,-,-,-,putative glucosamine-6-phosphate deaminase,20200919,-
1448312,37173290,BO86DRAFT_354759,BO86DRAFT_354759,-,-,Unknown,-,beta-N-acetylglucosaminidase,protein-coding,-,-,-,beta-N-acetylglucosaminidase,20200919,-
1448312,37173291,BO86DRAFT_354764,BO86DRAFT_354764,-,-,Unknown,-,protein cft1,protein-coding,-,-,-,protein cft1,20200919,-
1448312,37173292,BO86DRAFT_354770,BO86DRAFT_354770,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37173293,BO86DRAFT_354816,BO86DRAFT_354816,-,-,Unknown,-,extracellular aspartic protease,protein-coding,-,-,-,extracellular aspartic protease,20200919,-
1448312,37173294,BO86DRAFT_354821,BO86DRAFT_354821,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37173295,BO86DRAFT_354840,BO86DRAFT_354840,-,-,Unknown,-,putative mitochondrial methylglutaconyl-CoA hydratase,protein-coding,-,-,-,putative mitochondrial methylglutaconyl-CoA hydratase,20200919,-
1448312,37173296,BO86DRAFT_354849,BO86DRAFT_354849,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37173297,BO86DRAFT_354951,BO86DRAFT_354951,-,-,Unknown,-,putative forkhead transcription factor Fkh1/2,protein-coding,-,-,-,putative forkhead transcription factor Fkh1/2,20200919,-
1448312,37173298,BO86DRAFT_354974,BO86DRAFT_354974,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37173299,BO86DRAFT_354999,BO86DRAFT_354999,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37173300,BO86DRAFT_355006,BO86DRAFT_355006,-,-,Unknown,-,phosphatases II,protein-coding,-,-,-,phosphatases II,20200919,-
1448312,37173301,BO86DRAFT_355030,BO86DRAFT_355030,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37173302,BO86DRAFT_355107,BO86DRAFT_355107,-,-,Unknown,-,putative clathrin-coated vesiclec protein,protein-coding,-,-,-,putative clathrin-coated vesiclec protein,20200919,-
1448312,37173303,BO86DRAFT_355151,BO86DRAFT_355151,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37173304,BO86DRAFT_355162,BO86DRAFT_355162,-,-,Unknown,-,fructosyl amine:oxygen oxidoreductase,protein-coding,-,-,-,fructosyl amine:oxygen oxidoreductase,20200919,-
1448312,37173305,BO86DRAFT_355199,BO86DRAFT_355199,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37173306,BO86DRAFT_355268,BO86DRAFT_355268,-,-,Unknown,-,cation transporting ATPase,protein-coding,-,-,-,cation transporting ATPase,20200919,-
1448312,37173307,BO86DRAFT_355327,BO86DRAFT_355327,-,-,Unknown,-,RTA1-domain-containing protein,protein-coding,-,-,-,RTA1-domain-containing protein,20200919,-
