#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2601643,55622061,HWC63_gp002,HWC63_gp002,pEpSNUABM01_002,-,-,-,putative metallopeptidase,protein-coding,-,-,-,putative metallopeptidase,20200620,-
2601643,55622231,HWC63_gp180,HWC63_gp180,pEpSNUABM01_172,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622232,HWC63_gp179,HWC63_gp179,pEpSNUABM01_173,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622233,HWC63_gp178,HWC63_gp178,pEpSNUABM01_174,-,-,-,putative ATP-dependent protease subunit,protein-coding,-,-,-,putative ATP-dependent protease subunit,20210417,-
2601643,55622234,HWC63_gp177,HWC63_gp177,pEpSNUABM01_175,-,-,-,putative DNA methyltransferase,protein-coding,-,-,-,putative DNA methyltransferase,20200620,-
2601643,55622235,HWC63_gp176,HWC63_gp176,pEpSNUABM01_176,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622236,HWC63_gp175,HWC63_gp175,pEpSNUABM01_177,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622237,HWC63_gp174,HWC63_gp174,pEpSNUABM01_178,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622238,HWC63_gp173,HWC63_gp173,pEpSNUABM01_179,-,-,-,DUF262 domain-containing protein,protein-coding,-,-,-,DUF262 domain-containing protein,20210417,-
2601643,55622239,HWC63_gp172,HWC63_gp172,pEpSNUABM01_180,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622240,HWC63_gp171,HWC63_gp171,pEpSNUABM01_181,-,-,-,putative tRNA nucleotidyltransferase,protein-coding,-,-,-,putative tRNA nucleotidyltransferase,20210417,-
2601643,55622241,HWC63_gp170,HWC63_gp170,pEpSNUABM01_182,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622242,HWC63_gp169,HWC63_gp169,pEpSNUABM01_183,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622243,HWC63_gp168,HWC63_gp168,pEpSNUABM01_184,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622244,HWC63_gp167,HWC63_gp167,pEpSNUABM01_185,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622245,HWC63_gp166,HWC63_gp166,pEpSNUABM01_186,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622246,HWC63_gp165,HWC63_gp165,pEpSNUABM01_187,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622247,HWC63_gp164,HWC63_gp164,pEpSNUABM01_188,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622248,HWC63_gp163,HWC63_gp163,pEpSNUABM01_189,-,-,-,putative NrdC protein,protein-coding,-,-,-,putative NrdC protein,20210417,-
2601643,55622249,HWC63_gp162,HWC63_gp162,pEpSNUABM01_190,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622250,HWC63_gp161,HWC63_gp161,pEpSNUABM01_191,-,-,-,putative replication initiation protein,protein-coding,-,-,-,putative replication initiation protein,20200620,-
2601643,55622251,HWC63_gp160,HWC63_gp160,pEpSNUABM01_192,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622252,HWC63_gp159,HWC63_gp159,pEpSNUABM01_193,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622253,HWC63_gp158,HWC63_gp158,pEpSNUABM01_194,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622254,HWC63_gp157,HWC63_gp157,pEpSNUABM01_195,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622255,HWC63_gp156,HWC63_gp156,pEpSNUABM01_196,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622256,HWC63_gp155,HWC63_gp155,pEpSNUABM01_197,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622257,HWC63_gp154,HWC63_gp154,pEpSNUABM01_198,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622258,HWC63_gp153,HWC63_gp153,pEpSNUABM01_199,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622259,HWC63_gp152,HWC63_gp152,pEpSNUABM01_200,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622260,HWC63_gp151,HWC63_gp151,pEpSNUABM01_201,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622261,HWC63_gp150,HWC63_gp150,pEpSNUABM01_202,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622262,HWC63_gp149,HWC63_gp149,pEpSNUABM01_203,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622263,HWC63_gp148,HWC63_gp148,pEpSNUABM01_204,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622264,HWC63_gp147,HWC63_gp147,pEpSNUABM01_205,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622265,HWC63_gp146,HWC63_gp146,pEpSNUABM01_206,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622266,HWC63_gp145,HWC63_gp145,pEpSNUABM01_207,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622267,HWC63_gp144,HWC63_gp144,pEpSNUABM01_208,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622268,HWC63_gp143,HWC63_gp143,pEpSNUABM01_209,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622269,HWC63_gp142,HWC63_gp142,pEpSNUABM01_210,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622270,HWC63_gp141,HWC63_gp141,pEpSNUABM01_211,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622271,HWC63_gp140,HWC63_gp140,pEpSNUABM01_212,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622272,HWC63_gp139,HWC63_gp139,pEpSNUABM01_213,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622273,HWC63_gp138,HWC63_gp138,pEpSNUABM01_214,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622274,HWC63_gp137,HWC63_gp137,pEpSNUABM01_215,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622275,HWC63_gp136,HWC63_gp136,pEpSNUABM01_216,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622276,HWC63_gp135,HWC63_gp135,pEpSNUABM01_217,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622277,HWC63_gp134,HWC63_gp134,pEpSNUABM01_218,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622278,HWC63_gp133,HWC63_gp133,pEpSNUABM01_219,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622279,HWC63_gp132,HWC63_gp132,pEpSNUABM01_220,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622280,HWC63_gp131,HWC63_gp131,pEpSNUABM01_221,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622281,HWC63_gp130,HWC63_gp130,pEpSNUABM01_222,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622282,HWC63_gp129,HWC63_gp129,pEpSNUABM01_223,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622283,HWC63_gp128,HWC63_gp128,pEpSNUABM01_224,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622284,HWC63_gp127,HWC63_gp127,pEpSNUABM01_225,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622285,HWC63_gp126,HWC63_gp126,pEpSNUABM01_226,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622286,HWC63_gp125,HWC63_gp125,pEpSNUABM01_227,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622287,HWC63_gp124,HWC63_gp124,pEpSNUABM01_228,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622288,HWC63_gp123,HWC63_gp123,pEpSNUABM01_229,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622289,HWC63_gp122,HWC63_gp122,pEpSNUABM01_230,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622290,HWC63_gp121,HWC63_gp121,pEpSNUABM01_231,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622291,HWC63_gp120,HWC63_gp120,pEpSNUABM01_232,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622292,HWC63_gp119,HWC63_gp119,pEpSNUABM01_233,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622293,HWC63_gp118,HWC63_gp118,pEpSNUABM01_234,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622294,HWC63_gp117,HWC63_gp117,pEpSNUABM01_235,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622295,HWC63_gp116,HWC63_gp116,pEpSNUABM01_236,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622296,HWC63_gp115,HWC63_gp115,pEpSNUABM01_237,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622297,HWC63_gp114,HWC63_gp114,pEpSNUABM01_238,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622298,HWC63_gp113,HWC63_gp113,pEpSNUABM01_239,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622299,HWC63_gp112,HWC63_gp112,pEpSNUABM01_240,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622300,HWC63_gp111,HWC63_gp111,pEpSNUABM01_241,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622301,HWC63_gp110,HWC63_gp110,pEpSNUABM01_242,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622302,HWC63_gp109,HWC63_gp109,pEpSNUABM01_243,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622303,HWC63_gp108,HWC63_gp108,pEpSNUABM01_244,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622304,HWC63_gp107,HWC63_gp107,pEpSNUABM01_245,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622305,HWC63_gp106,HWC63_gp106,pEpSNUABM01_246,-,-,-,putative nucleoside triphosphate pyrophosphohydrolase,protein-coding,-,-,-,putative nucleoside triphosphate pyrophosphohydrolase,20210417,-
2601643,55622306,HWC63_gp105,HWC63_gp105,pEpSNUABM01_247,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622307,HWC63_gp104,HWC63_gp104,pEpSNUABM01_248,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622308,HWC63_gp103,HWC63_gp103,pEpSNUABM01_249,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622309,HWC63_gp235,HWC63_gp235,pEpSNUABM01_117,-,-,-,putative terminase large subunit,protein-coding,-,-,-,putative terminase large subunit,20200620,-
2601643,55622310,HWC63_gp001,HWC63_gp001,pEpSNUABM01_001,-,-,-,prolyl-tRNA synthetase,protein-coding,-,-,-,prolyl-tRNA synthetase,20210417,-
2601643,55622311,HWC63_gp236,HWC63_gp236,pEpSNUABM01_116,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622312,HWC63_gp240,HWC63_gp240,pEpSNUABM01_112,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20200620,-
2601643,55622313,HWC63_gt024,HWC63_gt024,pEpSNUABM01_tRNA03,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2601643,55622314,HWC63_gt023,HWC63_gt023,pEpSNUABM01_tRNA04,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2601643,55622315,HWC63_gt022,HWC63_gt022,pEpSNUABM01_tRNA05,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2601643,55622316,HWC63_gp243,HWC63_gp243,pEpSNUABM01_109,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622317,HWC63_gp244,HWC63_gp244,pEpSNUABM01_108,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622318,HWC63_gt019,HWC63_gt019,pEpSNUABM01_tRNA08,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2601643,55622319,HWC63_gt018,HWC63_gt018,pEpSNUABM01_tRNA09,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2601643,55622320,HWC63_gp247,HWC63_gp247,pEpSNUABM01_105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622321,HWC63_gt016,HWC63_gt016,pEpSNUABM01_tRNA11,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2601643,55622322,HWC63_gt015,HWC63_gt015,pEpSNUABM01_tRNA12,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2601643,55622323,HWC63_gt014,HWC63_gt014,pEpSNUABM01_tRNA13,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2601643,55622324,HWC63_gp248,HWC63_gp248,pEpSNUABM01_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622325,HWC63_gt012,HWC63_gt012,pEpSNUABM01_tRNA15,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2601643,55622326,HWC63_gp249,HWC63_gp249,pEpSNUABM01_103,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20200620,-
2601643,55622327,HWC63_gt010,HWC63_gt010,pEpSNUABM01_tRNA17,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2601643,55622328,HWC63_gt009,HWC63_gt009,pEpSNUABM01_tRNA18,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2601643,55622329,HWC63_gt008,HWC63_gt008,pEpSNUABM01_tRNA19,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2601643,55622330,HWC63_gt007,HWC63_gt007,pEpSNUABM01_tRNA20,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2601643,55622331,HWC63_gt006,HWC63_gt006,pEpSNUABM01_tRNA21,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2601643,55622332,HWC63_gt005,HWC63_gt005,pEpSNUABM01_tRNA22,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2601643,55622333,HWC63_gt004,HWC63_gt004,pEpSNUABM01_tRNA23,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2601643,55622334,HWC63_gt003,HWC63_gt003,pEpSNUABM01_tRNA24,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2601643,55622335,HWC63_gt002,HWC63_gt002,pEpSNUABM01_tRNA25,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2601643,55636038,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200622,-
