#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
455364,26048869,ceV_002,ceV_002,-,-,-,-,multiple glycosyltransferase domain containing protein,protein-coding,-,-,-,multiple glycosyltransferase domain containing protein,20200909,-
455364,26049074,ceV_207,ceV_207,-,-,-,-,Methyltransferase domain protein containing,protein-coding,-,-,-,Methyltransferase domain protein containing,20200909,-
455364,26049075,ceV_208,ceV_208,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049076,ceV_209,ceV_209,-,-,-,-,transcription initiation factor TFIIIB,protein-coding,-,-,-,transcription initiation factor TFIIIB,20200909,-
455364,26049077,ceV_210,ceV_210,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049078,ceV_211,ceV_211,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049079,ceV_212,ceV_212,-,-,-,-,patatin-like phospholipase,protein-coding,-,-,-,patatin-like phospholipase,20200909,-
455364,26049080,ceV_213,ceV_213,-,-,-,-,Protein Disulfide Isomerase (PDIa),protein-coding,-,-,-,Protein Disulfide Isomerase (PDIa),20200909,-
455364,26049081,ceV_214,ceV_214,-,-,-,-,Erv1 / Alr family,protein-coding,-,-,-,Erv1 / Alr family,20200909,-
455364,26049082,ceV_215,ceV_215,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049083,ceV_216,ceV_216,-,-,-,-,ribonuclease HII,protein-coding,-,-,-,ribonuclease HII,20200909,-
455364,26049084,ceV_217,ceV_217,-,-,-,-,DEDDh 3'-5' exonuclease,protein-coding,-,-,-,DEDDh 3'-5' exonuclease,20200909,-
455364,26049085,ceV_218,ceV_218,-,-,-,-,glycosyl hydrolase family 16,protein-coding,-,-,-,glycosyl hydrolase family 16,20200909,-
455364,26049086,ceV_219,ceV_219,-,-,-,-,Ribonucleotide reductase large subunit,protein-coding,-,-,-,Ribonucleotide reductase large subunit,20200909,-
455364,26049087,ceV_220,ceV_220,-,-,-,-,YqaJ-like viral recombinase,protein-coding,-,-,-,YqaJ-like viral recombinase,20200909,-
455364,26049088,ceV_221,ceV_221,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049089,ceV_222,ceV_222,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049090,ceV_223,ceV_223,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049091,ceV_224,ceV_224,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049092,ceV_225,ceV_225,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049093,ceV_226,ceV_226,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049094,ceV_227,ceV_227,-,-,-,-,glucosamine 6-phosphate N-acetyltransferase,protein-coding,-,-,-,glucosamine 6-phosphate N-acetyltransferase,20200909,-
455364,26049095,ceV_228,ceV_228,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049096,ceV_229,ceV_229,-,-,-,-,DUF814 domain containing protein,protein-coding,-,-,-,DUF814 domain containing protein,20200909,-
455364,26049097,ceV_230,ceV_230,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049098,ceV_231,ceV_231,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049099,ceV_232,ceV_232,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049100,ceV_233,ceV_233,-,-,-,-,putative AHH-like nuclease,protein-coding,-,-,-,putative AHH-like nuclease,20200909,-
455364,26049101,ceV_234,ceV_234,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049102,ceV_235,ceV_235,-,-,-,-,transcription elongation factor S-II,protein-coding,-,-,-,transcription elongation factor S-II,20200909,-
455364,26049103,ceV_236,ceV_236,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049104,ceV_237,ceV_237,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049105,ceV_238,ceV_238,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049106,ceV_239,ceV_239,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049107,ceV_240,ceV_240,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049108,ceV_241,ceV_241,-,-,-,-,Beta-4-Galactosyltransferase,protein-coding,-,-,-,Beta-4-Galactosyltransferase,20200909,-
455364,26049109,ceV_242,ceV_242,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049110,ceV_243,ceV_243,-,-,-,-,glucosamine-fructose-6-phosphate aminotransferase,protein-coding,-,-,-,glucosamine-fructose-6-phosphate aminotransferase,20200909,-
455364,26049111,ceV_244,ceV_244,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049112,ceV_245,ceV_245,-,-,-,-,ribonucleoside-diphosphate reductase small subunit,protein-coding,-,-,-,ribonucleoside-diphosphate reductase small subunit,20200909,-
455364,26049113,ceV_246,ceV_246,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049114,ceV_247,ceV_247,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049115,ceV_248,ceV_248,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049116,ceV_249,ceV_249,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049117,ceV_250,ceV_250,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049118,ceV_251,ceV_251,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049119,ceV_252,ceV_252,-,-,-,-,prolin rich repeat containing protein,protein-coding,-,-,-,prolin rich repeat containing protein,20200909,-
455364,26049120,ceV_253,ceV_253,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049121,ceV_254,ceV_254,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049122,ceV_255,ceV_255,-,-,-,-,Deoxyribonucleoside kinase,protein-coding,-,-,-,Deoxyribonucleoside kinase,20200909,-
455364,26049123,ceV_256,ceV_256,-,-,-,-,Toll-like receptor,protein-coding,-,-,-,Toll-like receptor,20200909,-
455364,26049124,ceV_257,ceV_257,-,-,-,-,MIGE-like protein,protein-coding,-,-,-,MIGE-like protein,20200909,-
455364,26049125,ceV_258,ceV_258,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049126,ceV_259,ceV_259,-,-,-,-,DNA-directed RNA polymerase subunit K,protein-coding,-,-,-,DNA-directed RNA polymerase subunit K,20200909,-
455364,26049127,ceV_260,ceV_260,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049128,ceV_513,ceV_513,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
455364,26049129,ceV_262,ceV_262,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049130,ceV_263,ceV_263,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049131,ceV_264,ceV_264,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049132,ceV_265,ceV_265,-,-,-,-,Partial perforin domain-like containing protein,protein-coding,-,-,-,Partial perforin domain-like containing protein,20200909,-
455364,26049133,ceV_266,ceV_266,-,-,-,-,"DNA-directed RNA polymerase, subunit M/Transcription elongation factor TFIIS/RPB9",protein-coding,-,-,-,"DNA-directed RNA polymerase, subunit M/Transcription elongation factor TFIIS/RPB9",20200909,-
455364,26049134,ceV_267,ceV_267,-,-,-,-,putative AAA+ family ATPase,protein-coding,-,-,-,putative AAA+ family ATPase,20200909,-
455364,26049135,ceV_268,ceV_268,-,-,-,-,Ubiquitin-conjugating enzyme,protein-coding,-,-,-,Ubiquitin-conjugating enzyme,20200909,-
455364,26049136,ceV_269,ceV_269,-,-,-,-,D5 family helicase,protein-coding,-,-,-,D5 family helicase,20200909,-
455364,26049137,ceV_270,ceV_270,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049138,ceV_271,ceV_271,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049139,ceV_272,ceV_272,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049140,ceV_273,ceV_273,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049141,ceV_274,ceV_274,-,-,-,-,"DNA-directed RNA polymerase II, subunit RpB5",protein-coding,-,-,-,"DNA-directed RNA polymerase II, subunit RpB5",20200909,-
455364,26049142,ceV_275,ceV_275,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049143,ceV_276,ceV_276,-,-,-,-,"DNA-directed RNA polymerase II, subunit RPB2",protein-coding,-,-,-,"DNA-directed RNA polymerase II, subunit RPB2",20200909,-
455364,26049144,ceV_277,ceV_277,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049145,ceV_278,ceV_278,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049146,ceV_279,ceV_279,-,-,-,-,"DNA-directed RNA polymerase, subunit N/RPB10",protein-coding,-,-,-,"DNA-directed RNA polymerase, subunit N/RPB10",20200909,-
455364,26049147,ceV_280,ceV_280,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049148,ceV_281,ceV_281,-,-,-,-,MutS7,protein-coding,-,-,-,MutS7,20200909,-
455364,26049149,ceV_282,ceV_282,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049150,ceV_283,ceV_283,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049151,ceV_284,ceV_284,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049152,ceV_285,ceV_285,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049153,ceV_286,ceV_286,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049154,ceV_287,ceV_287,-,-,-,-,"putative stage V sporulation protein K, AAA ATPase superfamily",protein-coding,-,-,-,"putative stage V sporulation protein K, AAA ATPase superfamily",20200909,-
455364,26049155,ceV_288,ceV_288,-,-,-,-,"Intein containing DNA-directed RNA polymerase II, subunit RPB2",protein-coding,-,-,-,"Intein containing DNA-directed RNA polymerase II, subunit RPB2",20200909,-
455364,26049156,ceV_289,ceV_289,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049157,ceV_290,ceV_290,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049158,ceV_291,ceV_291,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049159,ceV_292,ceV_292,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049160,ceV_293,ceV_293,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049161,ceV_294,ceV_294,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049162,ceV_295,ceV_295,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049163,ceV_296,ceV_296,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049164,ceV_297,ceV_297,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049165,ceV_298,ceV_298,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049166,ceV_299,ceV_299,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049167,ceV_300,ceV_300,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049168,ceV_301,ceV_301,-,-,-,-,FtsJ-like methyltransferase,protein-coding,-,-,-,FtsJ-like methyltransferase,20200909,-
455364,26049169,ceV_302,ceV_302,-,-,-,-,mRNA capping enzyme,protein-coding,-,-,-,mRNA capping enzyme,20200909,-
455364,26049170,ceV_303,ceV_303,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049171,ceV_304,ceV_304,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049172,ceV_305,ceV_305,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049173,ceV_306,ceV_306,-,-,-,-,putative helicase,protein-coding,-,-,-,putative helicase,20200909,-
455364,26049174,ceV_307,ceV_307,-,-,-,-,Nudix-like hydrolase,protein-coding,-,-,-,Nudix-like hydrolase,20200909,-
455364,26049175,ceV_308,ceV_308,-,-,-,-,Erv1 / Alr family,protein-coding,-,-,-,Erv1 / Alr family,20200909,-
455364,26049176,ceV_309,ceV_309,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049177,ceV_310,ceV_310,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049178,ceV_311,ceV_311,-,-,-,-,Galactose binding lectin domain containing protein,protein-coding,-,-,-,Galactose binding lectin domain containing protein,20200909,-
455364,26049179,ceV_312,ceV_312,-,-,-,-,HNH nuclease,protein-coding,-,-,-,HNH nuclease,20200909,-
455364,26049180,ceV_313,ceV_313,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049181,ceV_314,ceV_314,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049182,ceV_315,ceV_315,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049183,ceV_316,ceV_316,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049184,ceV_317,ceV_317,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049185,ceV_318,ceV_318,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049186,ceV_319,ceV_319,-,-,-,-,SAM dependent methyltransferase domain containing protein,protein-coding,-,-,-,SAM dependent methyltransferase domain containing protein,20200909,-
455364,26049187,ceV_320,ceV_320,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049188,ceV_321,ceV_321,-,-,-,-,N-4 cytosine/N-6 adenine -specific DNA methylase,protein-coding,-,-,-,N-4 cytosine/N-6 adenine -specific DNA methylase,20200909,-
455364,26049189,ceV_322,ceV_322,-,-,-,-,ICEA1 virulence factor,protein-coding,-,-,-,ICEA1 virulence factor,20200909,-
455364,26049190,ceV_323,ceV_323,-,-,-,-,putative permease,protein-coding,-,-,-,putative permease,20200909,-
455364,26049191,ceV_324,ceV_324,-,-,-,-,N-acyltransferase/N-myristoyltransferase,protein-coding,-,-,-,N-acyltransferase/N-myristoyltransferase,20200909,-
455364,26049192,ceV_325,ceV_325,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049193,ceV_326,ceV_326,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049194,ceV_327,ceV_327,-,-,-,-,putative AAA+ family ATPase,protein-coding,-,-,-,putative AAA+ family ATPase,20200909,-
455364,26049195,ceV_328,ceV_328,-,-,-,-,Ribonuclease H,protein-coding,-,-,-,Ribonuclease H,20200909,-
455364,26049196,ceV_329,ceV_329,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049197,ceV_330,ceV_330,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049198,ceV_331,ceV_331,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049199,ceV_332,ceV_332,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049200,ceV_333,ceV_333,-,-,-,-,MutS8,protein-coding,-,-,-,MutS8,20200909,-
455364,26049201,ceV_334,ceV_334,-,-,-,-,Helicase 45,protein-coding,-,-,-,Helicase 45,20200909,-
455364,26049202,ceV_335,ceV_335,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049203,ceV_336,ceV_336,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049204,ceV_337,ceV_337,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049205,ceV_338,ceV_338,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049206,ceV_339,ceV_339,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049207,ceV_340,ceV_340,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049208,ceV_341,ceV_341,-,-,-,-,PIN domain of flap Endonuclease 1,protein-coding,-,-,-,PIN domain of flap Endonuclease 1,20200909,-
455364,26049209,ceV_342,ceV_342,-,-,-,-,SAP domain containing protein,protein-coding,-,-,-,SAP domain containing protein,20200909,-
455364,26049210,ceV_343,ceV_343,-,-,-,-,SWIB-domain containing protein,protein-coding,-,-,-,SWIB-domain containing protein,20200909,-
455364,26049211,ceV_344,ceV_344,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049212,ceV_345,ceV_345,-,-,-,-,repeat containing protein,protein-coding,-,-,-,repeat containing protein,20200909,-
455364,26049213,ceV_346,ceV_346,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049214,ceV_347,ceV_347,-,-,-,-,Dihydrofolate reductase,protein-coding,-,-,-,Dihydrofolate reductase,20200909,-
455364,26049215,ceV_348,ceV_348,-,-,-,-,SAM-dependent methyltransferase,protein-coding,-,-,-,SAM-dependent methyltransferase,20200909,-
455364,26049216,ceV_349,ceV_349,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049217,ceV_350,ceV_350,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049218,ceV_351,ceV_351,-,-,-,-,Phytanoyl-CoA dioxygenase,protein-coding,-,-,-,Phytanoyl-CoA dioxygenase,20200909,-
455364,26049219,ceV_352,ceV_352,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049220,ceV_353,ceV_353,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049221,ceV_354,ceV_354,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049222,ceV_355,ceV_355,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049223,ceV_356,ceV_356,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049224,ceV_357,ceV_357,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049225,ceV_358,ceV_358,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049226,ceV_359,ceV_359,-,-,-,-,Link (Hyaluronan-binding) domain containing protein,protein-coding,-,-,-,Link (Hyaluronan-binding) domain containing protein,20200909,-
455364,26049227,ceV_360,ceV_360,-,-,-,-,ubiquitin specific peptidase C19,protein-coding,-,-,-,ubiquitin specific peptidase C19,20200909,-
455364,26049228,ceV_361,ceV_361,-,-,-,-,Ring finger domain containing protein,protein-coding,-,-,-,Ring finger domain containing protein,20200909,-
455364,26049229,ceV_362,ceV_362,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049230,ceV_363,ceV_363,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049231,ceV_364,ceV_364,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049232,ceV_365,ceV_365,-,-,-,-,DNA polymerase B,protein-coding,-,-,-,DNA polymerase B,20200909,-
455364,26049233,ceV_366,ceV_366,-,-,-,-,protein disulfide-isomerase domain,protein-coding,-,-,-,protein disulfide-isomerase domain,20200909,-
455364,26049234,ceV_367,ceV_367,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049235,ceV_368,ceV_368,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049236,ceV_369,ceV_369,-,-,-,-,ERCC4-type nuclease,protein-coding,-,-,-,ERCC4-type nuclease,20200909,-
455364,26049237,ceV_370,ceV_370,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049238,ceV_371,ceV_371,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049239,ceV_372,ceV_372,-,-,-,-,Hsp70 protein,protein-coding,-,-,-,Hsp70 protein,20200909,-
455364,26049240,ceV_373,ceV_373,-,-,-,-,acetylpolyamide aminohydrolase,protein-coding,-,-,-,acetylpolyamide aminohydrolase,20200909,-
455364,26049241,ceV_374,ceV_374,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049242,ceV_375,ceV_375,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049243,ceV_376,ceV_376,-,-,-,-,asparagine synthetase B,protein-coding,-,-,-,asparagine synthetase B,20200909,-
455364,26049244,ceV_377,ceV_377,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049245,ceV_378,ceV_378,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049246,ceV_379,ceV_379,-,-,-,-,C-terminal catalytic domain of Ulp1 protease,protein-coding,-,-,-,C-terminal catalytic domain of Ulp1 protease,20200909,-
455364,26049247,ceV_380,ceV_380,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049248,ceV_381,ceV_381,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049249,ceV_382,ceV_382,-,-,-,-,"putative SNF2_N domain containing helicase, transcription termination factor",protein-coding,-,-,-,"putative SNF2_N domain containing helicase, transcription termination factor",20200909,-
455364,26049250,ceV_383,ceV_383,-,-,-,-,dsRNA-specific ribonuclease,protein-coding,-,-,-,dsRNA-specific ribonuclease,20200909,-
455364,26049251,ceV_384,ceV_384,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049252,ceV_385,ceV_385,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049253,ceV_386,ceV_386,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049254,ceV_387,ceV_387,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049255,ceV_388,ceV_388,-,-,-,-,DNA topoisomerase IA,protein-coding,-,-,-,DNA topoisomerase IA,20200909,-
455364,26049256,ceV_389,ceV_389,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049257,ceV_390,ceV_390,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049258,ceV_391,ceV_391,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049259,ceV_392,ceV_392,-,-,-,-,DnaJ domain containing protein,protein-coding,-,-,-,DnaJ domain containing protein,20200909,-
455364,26049260,ceV_393,ceV_393,-,-,-,-,DUF2738 superfamily protein,protein-coding,-,-,-,DUF2738 superfamily protein,20200909,-
455364,26049261,ceV_394,ceV_394,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049262,ceV_395,ceV_395,-,-,-,-,MIGE-like protein,protein-coding,-,-,-,MIGE-like protein,20200909,-
455364,26049263,ceV_396,ceV_396,-,-,-,-,MutS8,protein-coding,-,-,-,MutS8,20200909,-
455364,26049264,ceV_397,ceV_397,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049265,ceV_398,ceV_398,-,-,-,-,"DNA-directed RNA polymerase II, subunit RpB1",protein-coding,-,-,-,"DNA-directed RNA polymerase II, subunit RpB1",20200909,-
455364,26049266,ceV_399,ceV_399,-,-,-,-,ATP-dependent Lon protease,protein-coding,-,-,-,ATP-dependent Lon protease,20200909,-
455364,26049267,ceV_400,ceV_400,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049268,ceV_523,ceV_523,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
455364,26049269,ceV_402,ceV_402,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049270,ceV_403,ceV_403,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049271,ceV_404,ceV_404,-,-,-,-,"ATP-dependent Clp protease, proteolytic subunit",protein-coding,-,-,-,"ATP-dependent Clp protease, proteolytic subunit",20200909,-
455364,26049272,ceV_405,ceV_405,-,-,-,-,putative helix turn helix protein,protein-coding,-,-,-,putative helix turn helix protein,20200909,-
455364,26049273,ceV_406,ceV_406,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049274,ceV_407,ceV_407,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049275,ceV_408,ceV_408,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049276,ceV_409,ceV_409,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049277,ceV_410,ceV_410,-,-,-,-,Thymidylate synthase,protein-coding,-,-,-,Thymidylate synthase,20200909,-
455364,26049278,ceV_411,ceV_411,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049279,ceV_412,ceV_412,-,-,-,-,putative Alpha-Mannosidase Binding Domain containing protein,protein-coding,-,-,-,putative Alpha-Mannosidase Binding Domain containing protein,20200909,-
455364,26049280,ceV_413,ceV_413,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049281,ceV_414,ceV_414,-,-,-,-,ribonuclease II family protein,protein-coding,-,-,-,ribonuclease II family protein,20200909,-
