#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
215250,37039739,FA10DRAFT_100211,FA10DRAFT_100211,-,-,Unknown,-,thiolase,protein-coding,-,-,-,thiolase,20200918,-
215250,37041472,FA10DRAFT_250209,FA10DRAFT_250209,-,-,Unknown,-,YIF1-domain-containing protein,protein-coding,-,-,-,YIF1-domain-containing protein,20200918,-
215250,37041473,FA10DRAFT_250270,FA10DRAFT_250270,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37041474,FA10DRAFT_250271,FA10DRAFT_250271,-,-,Unknown,-,DHH phosphoesterase,protein-coding,-,-,-,DHH phosphoesterase,20200918,-
215250,37041475,FA10DRAFT_250275,FA10DRAFT_250275,-,-,Unknown,-,"electron transfer flavo protein, alpha subunit",protein-coding,-,-,-,"electron transfer flavo protein, alpha subunit",20200918,-
215250,37041476,FA10DRAFT_250286,FA10DRAFT_250286,-,-,Unknown,-,putative 40S ribosomal protein S24,protein-coding,-,-,-,putative 40S ribosomal protein S24,20200918,-
215250,37041477,FA10DRAFT_250292,FA10DRAFT_250292,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37041478,FA10DRAFT_250319,FA10DRAFT_250319,-,-,Unknown,-,malate dehydrogenase,protein-coding,-,-,-,malate dehydrogenase,20200918,-
215250,37041479,FA10DRAFT_25032,FA10DRAFT_25032,-,-,Unknown,-,acyl-CoA dehydrogenase NM domain-like protein,protein-coding,-,-,-,acyl-CoA dehydrogenase NM domain-like protein,20200918,-
215250,37041480,FA10DRAFT_250350,FA10DRAFT_250350,-,-,Unknown,-,autophagy-related protein 18,protein-coding,-,-,-,autophagy-related protein 18,20200918,-
215250,37041481,FA10DRAFT_250392,FA10DRAFT_250392,-,-,Unknown,-,HECT-domain-containing protein,protein-coding,-,-,-,HECT-domain-containing protein,20200918,-
215250,37041482,FA10DRAFT_250506,FA10DRAFT_250506,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37041483,FA10DRAFT_250559,FA10DRAFT_250559,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37041484,FA10DRAFT_250608,FA10DRAFT_250608,-,-,Unknown,-,putative proline iminopeptidase,protein-coding,-,-,-,putative proline iminopeptidase,20200918,-
215250,37041485,FA10DRAFT_250678,FA10DRAFT_250678,-,-,Unknown,-,13 kDa ribonucleo protein-associated protein,protein-coding,-,-,-,13 kDa ribonucleo protein-associated protein,20200918,-
215250,37041486,FA10DRAFT_250697,FA10DRAFT_250697,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37041487,FA10DRAFT_25070,FA10DRAFT_25070,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37041488,FA10DRAFT_250704,FA10DRAFT_250704,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37041489,FA10DRAFT_250714,FA10DRAFT_250714,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37041490,FA10DRAFT_250732,FA10DRAFT_250732,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37041491,FA10DRAFT_250737,FA10DRAFT_250737,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37041492,FA10DRAFT_250797,FA10DRAFT_250797,-,-,Unknown,-,putative PUP2-20S proteasome subunit,protein-coding,-,-,-,putative PUP2-20S proteasome subunit,20200918,-
215250,37041493,FA10DRAFT_250816,FA10DRAFT_250816,-,-,Unknown,-,CRAL/TRIO domain-containing protein,protein-coding,-,-,-,CRAL/TRIO domain-containing protein,20200918,-
215250,37041494,FA10DRAFT_250835,FA10DRAFT_250835,-,-,Unknown,-,tannase-domain-containing protein,protein-coding,-,-,-,tannase-domain-containing protein,20200918,-
215250,37041495,FA10DRAFT_250842,FA10DRAFT_250842,-,-,Unknown,-,putative VTC4-vacuolar transporter chaperone,protein-coding,-,-,-,putative VTC4-vacuolar transporter chaperone,20200918,-
215250,37041496,FA10DRAFT_250855,FA10DRAFT_250855,-,-,Unknown,-,aldehyde dehydrogenase,protein-coding,-,-,-,aldehyde dehydrogenase,20200918,-
215250,37041497,FA10DRAFT_250913,FA10DRAFT_250913,-,-,Unknown,-,ketosynthase,protein-coding,-,-,-,ketosynthase,20200918,-
215250,37041498,FA10DRAFT_250916,FA10DRAFT_250916,-,-,Unknown,-,ketoacyl-synt-domain-containing protein,protein-coding,-,-,-,ketoacyl-synt-domain-containing protein,20200918,-
215250,37041499,FA10DRAFT_250946,FA10DRAFT_250946,-,-,Unknown,-,P-loop containing nucleoside triphosphate hydrolase protein,protein-coding,-,-,-,P-loop containing nucleoside triphosphate hydrolase protein,20200918,-
215250,37041500,FA10DRAFT_250951,FA10DRAFT_250951,-,-,Unknown,-,DUF300-domain-containing protein,protein-coding,-,-,-,DUF300-domain-containing protein,20200918,-
215250,37041501,FA10DRAFT_250981,FA10DRAFT_250981,-,-,Unknown,-,mitochondrial carrier,protein-coding,-,-,-,mitochondrial carrier,20200918,-
215250,37041502,FA10DRAFT_251015,FA10DRAFT_251015,-,-,Unknown,-,putative ERD2-ER lumen protein-retaining receptor,protein-coding,-,-,-,putative ERD2-ER lumen protein-retaining receptor,20200918,-
215250,37041503,FA10DRAFT_251032,FA10DRAFT_251032,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37041504,FA10DRAFT_251035,FA10DRAFT_251035,-,-,Unknown,-,Phosphoacetylglucosamine mutase,protein-coding,-,-,-,Phosphoacetylglucosamine mutase,20200918,-
215250,37041505,FA10DRAFT_251060,FA10DRAFT_251060,-,-,Unknown,-,putative CCT8-component of chaperonin-containing T-complex,protein-coding,-,-,-,putative CCT8-component of chaperonin-containing T-complex,20200918,-
215250,37041506,FA10DRAFT_251072,FA10DRAFT_251072,-,-,Unknown,-,vacuolar ATP synthase-like protein subunit D,protein-coding,-,-,-,vacuolar ATP synthase-like protein subunit D,20200918,-
215250,37041507,FA10DRAFT_251075,FA10DRAFT_251075,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37041508,FA10DRAFT_251083,FA10DRAFT_251083,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37041509,FA10DRAFT_251139,FA10DRAFT_251139,-,-,Unknown,-,PLP-dependent transferase,protein-coding,-,-,-,PLP-dependent transferase,20200918,-
215250,37041510,FA10DRAFT_251161,FA10DRAFT_251161,-,-,Unknown,-,HAD-superfamily hydrolase,protein-coding,-,-,-,HAD-superfamily hydrolase,20200918,-
215250,37041511,FA10DRAFT_251162,FA10DRAFT_251162,-,-,Unknown,-,alpha/beta-hydrolase,protein-coding,-,-,-,alpha/beta-hydrolase,20200918,-
215250,37041512,FA10DRAFT_251181,FA10DRAFT_251181,-,-,Unknown,-,WD40 repeat-like protein,protein-coding,-,-,-,WD40 repeat-like protein,20200918,-
215250,37041513,FA10DRAFT_251183,FA10DRAFT_251183,-,-,Unknown,-,subtilisin-like protein,protein-coding,-,-,-,subtilisin-like protein,20200918,-
215250,37041514,FA10DRAFT_251188,FA10DRAFT_251188,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37041515,FA10DRAFT_251216,FA10DRAFT_251216,-,-,Unknown,-,2-methylcitrate dehydratase,protein-coding,-,-,-,2-methylcitrate dehydratase,20200918,-
215250,37041516,FA10DRAFT_251218,FA10DRAFT_251218,-,-,Unknown,-,putative RPT4-26S proteasome regulatory subunit,protein-coding,-,-,-,putative RPT4-26S proteasome regulatory subunit,20200918,-
215250,37041517,FA10DRAFT_251245,FA10DRAFT_251245,-,-,Unknown,-,putative PHO8-repressible alkaline phosphatase vacuolar,protein-coding,-,-,-,putative PHO8-repressible alkaline phosphatase vacuolar,20200918,-
215250,37041518,FA10DRAFT_251251,FA10DRAFT_251251,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37041519,FA10DRAFT_251253,FA10DRAFT_251253,-,-,Unknown,-,secE/sec61-gamma protein,protein-coding,-,-,-,secE/sec61-gamma protein,20200918,-
215250,37041520,FA10DRAFT_251301,FA10DRAFT_251301,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37041521,FA10DRAFT_251364,FA10DRAFT_251364,-,-,Unknown,-,aspartyl-tRNA synthetase,protein-coding,-,-,-,aspartyl-tRNA synthetase,20200918,-
215250,37041522,FA10DRAFT_251368,FA10DRAFT_251368,-,-,Unknown,-,orotate phosphoribosyltransferase,protein-coding,-,-,-,orotate phosphoribosyltransferase,20200918,-
215250,37041523,FA10DRAFT_251392,FA10DRAFT_251392,-,-,Unknown,-,FAD/NAD(P)-binding domain-containing protein,protein-coding,-,-,-,FAD/NAD(P)-binding domain-containing protein,20200918,-
215250,37041524,FA10DRAFT_251416,FA10DRAFT_251416,-,-,Unknown,-,L30e-like protein,protein-coding,-,-,-,L30e-like protein,20200918,-
215250,37041525,FA10DRAFT_251463,FA10DRAFT_251463,-,-,Unknown,-,putative malate dehydrogenase,protein-coding,-,-,-,putative malate dehydrogenase,20200918,-
215250,37041526,FA10DRAFT_251499,FA10DRAFT_251499,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37041527,FA10DRAFT_251507,FA10DRAFT_251507,-,-,Unknown,-,U6 small nuclear ribonucleo protein,protein-coding,-,-,-,U6 small nuclear ribonucleo protein,20200918,-
215250,37041528,FA10DRAFT_251519,FA10DRAFT_251519,-,-,Unknown,-,alpha/beta-hydrolase,protein-coding,-,-,-,alpha/beta-hydrolase,20200918,-
215250,37041529,FA10DRAFT_251522,FA10DRAFT_251522,-,-,Unknown,-,N-terminal nucleophile aminohydrolase,protein-coding,-,-,-,N-terminal nucleophile aminohydrolase,20200918,-
215250,37041530,FA10DRAFT_251531,FA10DRAFT_251531,-,-,Unknown,-,Yip1-domain-containing protein,protein-coding,-,-,-,Yip1-domain-containing protein,20200918,-
215250,37041531,FA10DRAFT_251554,FA10DRAFT_251554,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37041532,FA10DRAFT_251574,FA10DRAFT_251574,-,-,Unknown,-,MFS general substrate transporter,protein-coding,-,-,-,MFS general substrate transporter,20200918,-
215250,37041533,FA10DRAFT_251577,FA10DRAFT_251577,-,-,Unknown,-,Mob1/phocein,protein-coding,-,-,-,Mob1/phocein,20200918,-
215250,37041534,FA10DRAFT_251646,FA10DRAFT_251646,-,-,Unknown,-,DUF625-domain-containing protein,protein-coding,-,-,-,DUF625-domain-containing protein,20200918,-
215250,37041535,FA10DRAFT_251669,FA10DRAFT_251669,-,-,Unknown,-,ribosomal protein L22,protein-coding,-,-,-,ribosomal protein L22,20200918,-
215250,37041536,FA10DRAFT_251709,FA10DRAFT_251709,-,-,Unknown,-,TspO/MBR-related protein,protein-coding,-,-,-,TspO/MBR-related protein,20200918,-
215250,37041537,FA10DRAFT_251727,FA10DRAFT_251727,-,-,Unknown,-,autophagy protein 16,protein-coding,-,-,-,autophagy protein 16,20200918,-
215250,37041538,FA10DRAFT_251750,FA10DRAFT_251750,-,-,Unknown,-,MFS general substrate transporter,protein-coding,-,-,-,MFS general substrate transporter,20200918,-
215250,37041539,FA10DRAFT_251784,FA10DRAFT_251784,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37041540,FA10DRAFT_251809,FA10DRAFT_251809,-,-,Unknown,-,DNA glycosylase,protein-coding,-,-,-,DNA glycosylase,20200918,-
215250,37041541,FA10DRAFT_251871,FA10DRAFT_251871,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37041542,FA10DRAFT_251883,FA10DRAFT_251883,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37041543,FA10DRAFT_251891,FA10DRAFT_251891,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37041544,FA10DRAFT_251896,FA10DRAFT_251896,-,-,Unknown,-,4A/4B type thioredoxin-like protein,protein-coding,-,-,-,4A/4B type thioredoxin-like protein,20200918,-
215250,37041545,FA10DRAFT_251900,FA10DRAFT_251900,-,-,Unknown,-,TPR-like protein,protein-coding,-,-,-,TPR-like protein,20200918,-
215250,37041546,FA10DRAFT_251938,FA10DRAFT_251938,-,-,Unknown,-,arginyl-tRNA synthetase,protein-coding,-,-,-,arginyl-tRNA synthetase,20200918,-
215250,37041547,FA10DRAFT_251952,FA10DRAFT_251952,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37041548,FA10DRAFT_251991,FA10DRAFT_251991,-,-,Unknown,-,Adenylosuccinate lyase,protein-coding,-,-,-,Adenylosuccinate lyase,20200918,-
215250,37041549,FA10DRAFT_252003,FA10DRAFT_252003,-,-,Unknown,-,UFD1-domain-containing protein,protein-coding,-,-,-,UFD1-domain-containing protein,20200918,-
215250,37041550,FA10DRAFT_252114,FA10DRAFT_252114,-,-,Unknown,-,SFT2-domain-containing protein,protein-coding,-,-,-,SFT2-domain-containing protein,20200918,-
215250,37041551,FA10DRAFT_252133,FA10DRAFT_252133,-,-,Unknown,-,WD40 repeat-like protein,protein-coding,-,-,-,WD40 repeat-like protein,20200918,-
215250,37041552,FA10DRAFT_252160,FA10DRAFT_252160,-,-,Unknown,-,DUF339-domain-containing protein,protein-coding,-,-,-,DUF339-domain-containing protein,20200918,-
215250,37041553,FA10DRAFT_252175,FA10DRAFT_252175,-,-,Unknown,-,nucleotide-binding domain-containing protein,protein-coding,-,-,-,nucleotide-binding domain-containing protein,20200918,-
215250,37041554,FA10DRAFT_252210,FA10DRAFT_252210,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37041555,FA10DRAFT_252251,FA10DRAFT_252251,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37041556,FA10DRAFT_252254,FA10DRAFT_252254,-,-,Unknown,-,Bromodomain-domain-containing protein,protein-coding,-,-,-,Bromodomain-domain-containing protein,20200918,-
215250,37041557,FA10DRAFT_252261,FA10DRAFT_252261,-,-,Unknown,-,GWT1-domain-containing protein,protein-coding,-,-,-,GWT1-domain-containing protein,20200918,-
215250,37041558,FA10DRAFT_252280,FA10DRAFT_252280,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37041559,FA10DRAFT_252281,FA10DRAFT_252281,-,-,Unknown,-,cyclohexanone monooxygenase,protein-coding,-,-,-,cyclohexanone monooxygenase,20200918,-
215250,37041560,FA10DRAFT_252300,FA10DRAFT_252300,-,-,Unknown,-,putative potassium channel beta subunit protein,protein-coding,-,-,-,putative potassium channel beta subunit protein,20200918,-
215250,37041561,FA10DRAFT_252316,FA10DRAFT_252316,-,-,Unknown,-,LAG1-domain-containing protein,protein-coding,-,-,-,LAG1-domain-containing protein,20200918,-
215250,37041562,FA10DRAFT_252333,FA10DRAFT_252333,-,-,Unknown,-,ribosomal protein S25,protein-coding,-,-,-,ribosomal protein S25,20200918,-
215250,37041563,FA10DRAFT_252351,FA10DRAFT_252351,-,-,Unknown,-,NAD(P)-binding protein,protein-coding,-,-,-,NAD(P)-binding protein,20200918,-
215250,37041564,FA10DRAFT_252374,FA10DRAFT_252374,-,-,Unknown,-,Fes1-domain-containing protein,protein-coding,-,-,-,Fes1-domain-containing protein,20200918,-
215250,37041565,FA10DRAFT_252400,FA10DRAFT_252400,-,-,Unknown,-,acid protease,protein-coding,-,-,-,acid protease,20200918,-
215250,37041566,FA10DRAFT_252418,FA10DRAFT_252418,-,-,Unknown,-,snare-like protein,protein-coding,-,-,-,snare-like protein,20200918,-
215250,37041567,FA10DRAFT_252426,FA10DRAFT_252426,-,-,Unknown,-,putative actin interacting protein 1,protein-coding,-,-,-,putative actin interacting protein 1,20200918,-
215250,37041568,FA10DRAFT_252457,FA10DRAFT_252457,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37041569,FA10DRAFT_252459,FA10DRAFT_252459,-,-,Unknown,-,putative ARP3-actin related protein,protein-coding,-,-,-,putative ARP3-actin related protein,20200918,-
215250,37041570,FA10DRAFT_252504,FA10DRAFT_252504,-,-,Unknown,-,S-adenosyl-L-methionine-dependent methyltransferase,protein-coding,-,-,-,S-adenosyl-L-methionine-dependent methyltransferase,20200918,-
215250,37041571,FA10DRAFT_252512,FA10DRAFT_252512,-,-,Unknown,-,CoA-transferase family III,protein-coding,-,-,-,CoA-transferase family III,20200918,-
215250,37041572,FA10DRAFT_252516,FA10DRAFT_252516,-,-,Unknown,-,P-loop containing nucleoside triphosphate hydrolase protein,protein-coding,-,-,-,P-loop containing nucleoside triphosphate hydrolase protein,20200918,-
215250,37041573,FA10DRAFT_252529,FA10DRAFT_252529,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37041574,FA10DRAFT_252545,FA10DRAFT_252545,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37041575,FA10DRAFT_252590,FA10DRAFT_252590,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37041576,FA10DRAFT_252645,FA10DRAFT_252645,-,-,Unknown,-,biotin synthase,protein-coding,-,-,-,biotin synthase,20200918,-
215250,37041577,FA10DRAFT_252653,FA10DRAFT_252653,-,-,Unknown,-,autophagy protein 6,protein-coding,-,-,-,autophagy protein 6,20200918,-
215250,37041578,FA10DRAFT_252702,FA10DRAFT_252702,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37041579,FA10DRAFT_252719,FA10DRAFT_252719,-,-,Unknown,-,UDP-Glycosyltransferase/glycogen phosphorylase,protein-coding,-,-,-,UDP-Glycosyltransferase/glycogen phosphorylase,20200918,-
215250,37041580,FA10DRAFT_252743,FA10DRAFT_252743,-,-,Unknown,-,heat shock protein 70,protein-coding,-,-,-,heat shock protein 70,20200918,-
215250,37041581,FA10DRAFT_252770,FA10DRAFT_252770,-,-,Unknown,-,amino acid transporter,protein-coding,-,-,-,amino acid transporter,20200918,-
215250,37041582,FA10DRAFT_252807,FA10DRAFT_252807,-,-,Unknown,-,MFS general substrate transporter,protein-coding,-,-,-,MFS general substrate transporter,20200918,-
215250,37041583,FA10DRAFT_252935,FA10DRAFT_252935,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37041584,FA10DRAFT_252943,FA10DRAFT_252943,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37041585,FA10DRAFT_252945,FA10DRAFT_252945,-,-,Unknown,-,DUF1768-domain-containing protein,protein-coding,-,-,-,DUF1768-domain-containing protein,20200918,-
215250,37041586,FA10DRAFT_252961,FA10DRAFT_252961,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37041587,FA10DRAFT_252967,FA10DRAFT_252967,-,-,Unknown,-,calcium-dependent phosphotriesterase,protein-coding,-,-,-,calcium-dependent phosphotriesterase,20200918,-
215250,37041588,FA10DRAFT_252985,FA10DRAFT_252985,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37041589,FA10DRAFT_252990,FA10DRAFT_252990,-,-,Unknown,-,Clavaminate synthase-like protein,protein-coding,-,-,-,Clavaminate synthase-like protein,20200918,-
215250,37041590,FA10DRAFT_252995,FA10DRAFT_252995,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37041591,FA10DRAFT_252999,FA10DRAFT_252999,-,-,Unknown,-,MFS general substrate transporter,protein-coding,-,-,-,MFS general substrate transporter,20200918,-
215250,37041592,FA10DRAFT_253044,FA10DRAFT_253044,-,-,Unknown,-,PRTase-like protein,protein-coding,-,-,-,PRTase-like protein,20200918,-
215250,37041593,FA10DRAFT_253108,FA10DRAFT_253108,-,-,Unknown,-,DnaJ-domain-containing protein,protein-coding,-,-,-,DnaJ-domain-containing protein,20200918,-
215250,37041594,FA10DRAFT_253154,FA10DRAFT_253154,-,-,Unknown,-,"splicing factor, CC1-like protein",protein-coding,-,-,-,"splicing factor, CC1-like protein",20200918,-
215250,37041595,FA10DRAFT_253192,FA10DRAFT_253192,-,-,Unknown,-,Metallo-dependent phosphatase,protein-coding,-,-,-,Metallo-dependent phosphatase,20200918,-
215250,37041596,FA10DRAFT_253199,FA10DRAFT_253199,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37041597,FA10DRAFT_253202,FA10DRAFT_253202,-,-,Unknown,-,translation elongation factor Tu,protein-coding,-,-,-,translation elongation factor Tu,20200918,-
215250,37041598,FA10DRAFT_253239,FA10DRAFT_253239,-,-,Unknown,-,threonyl-tRNA synthetase,protein-coding,-,-,-,threonyl-tRNA synthetase,20200918,-
215250,37041599,FA10DRAFT_253265,FA10DRAFT_253265,-,-,Unknown,-,putative arginase,protein-coding,-,-,-,putative arginase,20200918,-
215250,37041600,FA10DRAFT_253280,FA10DRAFT_253280,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37041601,FA10DRAFT_253319,FA10DRAFT_253319,-,-,Unknown,-,putative ENA2-plasma membrane P-type ATPase,protein-coding,-,-,-,putative ENA2-plasma membrane P-type ATPase,20200918,-
215250,37041602,FA10DRAFT_253404,FA10DRAFT_253404,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37041603,FA10DRAFT_253422,FA10DRAFT_253422,-,-,Unknown,-,UBC-like protein,protein-coding,-,-,-,UBC-like protein,20200918,-
215250,37041604,FA10DRAFT_253450,FA10DRAFT_253450,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37041605,FA10DRAFT_253454,FA10DRAFT_253454,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37041606,FA10DRAFT_253494,FA10DRAFT_253494,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37041607,FA10DRAFT_253502,FA10DRAFT_253502,-,-,Unknown,-,exocyst complex subunit Sec15-like protein,protein-coding,-,-,-,exocyst complex subunit Sec15-like protein,20200918,-
215250,37041608,FA10DRAFT_253535,FA10DRAFT_253535,-,-,Unknown,-,sugar transporter,protein-coding,-,-,-,sugar transporter,20200918,-
215250,37041609,FA10DRAFT_253542,FA10DRAFT_253542,-,-,Unknown,-,"putative RPS19B-ribosomal protein S19.e, cytosolic",protein-coding,-,-,-,"putative RPS19B-ribosomal protein S19.e, cytosolic",20200918,-
215250,37041610,FA10DRAFT_253545,FA10DRAFT_253545,-,-,Unknown,-,Creatinase/aminopeptidase,protein-coding,-,-,-,Creatinase/aminopeptidase,20200918,-
215250,37041611,FA10DRAFT_253566,FA10DRAFT_253566,-,-,Unknown,-,glycoside hydrolase,protein-coding,-,-,-,glycoside hydrolase,20200918,-
215250,37041612,FA10DRAFT_253570,FA10DRAFT_253570,-,-,Unknown,-,PP2C-domain-containing protein,protein-coding,-,-,-,PP2C-domain-containing protein,20200918,-
215250,37041613,FA10DRAFT_253573,FA10DRAFT_253573,-,-,Unknown,-,"putative TIF34-translation initiation factor eIF3, p39 subunit",protein-coding,-,-,-,"putative TIF34-translation initiation factor eIF3, p39 subunit",20200918,-
215250,37041614,FA10DRAFT_25359,FA10DRAFT_25359,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37041615,FA10DRAFT_253643,FA10DRAFT_253643,-,-,Unknown,-,Lem3/Cdc50,protein-coding,-,-,-,Lem3/Cdc50,20200918,-
215250,37041616,FA10DRAFT_253664,FA10DRAFT_253664,-,-,Unknown,-,Sec7-domain-containing protein,protein-coding,-,-,-,Sec7-domain-containing protein,20200918,-
215250,37041617,FA10DRAFT_253667,FA10DRAFT_253667,-,-,Unknown,-,Brix-domain-containing protein,protein-coding,-,-,-,Brix-domain-containing protein,20200918,-
215250,37041618,FA10DRAFT_253691,FA10DRAFT_253691,-,-,Unknown,-,Pkinase-domain-containing protein,protein-coding,-,-,-,Pkinase-domain-containing protein,20200918,-
215250,37041619,FA10DRAFT_253693,FA10DRAFT_253693,-,-,Unknown,-,Diadenosine tetraphosphatase,protein-coding,-,-,-,Diadenosine tetraphosphatase,20200918,-
215250,37041620,FA10DRAFT_253728,FA10DRAFT_253728,-,-,Unknown,-,DFP-domain-containing protein,protein-coding,-,-,-,DFP-domain-containing protein,20200918,-
215250,37041621,FA10DRAFT_253755,FA10DRAFT_253755,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37041622,FA10DRAFT_253810,FA10DRAFT_253810,-,-,Unknown,-,putative FRQ1-regulator of phosphatidylinositol-4-OH kinase,protein-coding,-,-,-,putative FRQ1-regulator of phosphatidylinositol-4-OH kinase,20200918,-
215250,37041623,FA10DRAFT_253817,FA10DRAFT_253817,-,-,Unknown,-,BRO1-domain-containing protein,protein-coding,-,-,-,BRO1-domain-containing protein,20200918,-
215250,37041624,FA10DRAFT_253830,FA10DRAFT_253830,-,-,Unknown,-,carbohydrate kinase,protein-coding,-,-,-,carbohydrate kinase,20200918,-
215250,37041625,FA10DRAFT_253867,FA10DRAFT_253867,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37041626,FA10DRAFT_253931,FA10DRAFT_253931,-,-,Unknown,-,rab GTPase activator,protein-coding,-,-,-,rab GTPase activator,20200918,-
215250,37041627,FA10DRAFT_253968,FA10DRAFT_253968,-,-,Unknown,-,MFS general substrate transporter,protein-coding,-,-,-,MFS general substrate transporter,20200918,-
215250,37041628,FA10DRAFT_253987,FA10DRAFT_253987,-,-,Unknown,-,general substrate transporter,protein-coding,-,-,-,general substrate transporter,20200918,-
215250,37041629,FA10DRAFT_254009,FA10DRAFT_254009,-,-,Unknown,-,DnaJ-domain-containing protein,protein-coding,-,-,-,DnaJ-domain-containing protein,20200918,-
215250,37041630,FA10DRAFT_254051,FA10DRAFT_254051,-,-,Unknown,-,DUF1929-domain-containing protein,protein-coding,-,-,-,DUF1929-domain-containing protein,20200918,-
215250,37041631,FA10DRAFT_254052,FA10DRAFT_254052,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37041632,FA10DRAFT_254062,FA10DRAFT_254062,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37041633,FA10DRAFT_254076,FA10DRAFT_254076,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37041634,FA10DRAFT_254114,FA10DRAFT_254114,-,-,Unknown,-,S-adenosyl-L-homocysteine hydrolase,protein-coding,-,-,-,S-adenosyl-L-homocysteine hydrolase,20200918,-
