#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
665032,8683949,2,DP-phiW-14_gp002,-,-,-,-,RIIB,protein-coding,-,-,-,RIIB,20201220,-
665032,8684154,206,DP-phiW-14_gp207,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684155,207,DP-phiW-14_gp208,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684156,208,DP-phiW-14_gp209,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684157,209,DP-phiW-14_gp210,-,-,-,-,putative GTP-binding protein,protein-coding,-,-,-,putative GTP-binding protein,20201220,-
665032,8684158,210,DP-phiW-14_gp211,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684159,211,DP-phiW-14_gp212,-,-,-,-,RegA translational repressor protein,protein-coding,-,-,-,RegA translational repressor protein,20201220,-
665032,8684160,212,DP-phiW-14_gp213,-,-,-,-,gp62 clamp loader subunit,protein-coding,-,-,-,gp62 clamp loader subunit,20201220,-
665032,8684161,213,DP-phiW-14_gp214,-,-,-,-,gp44 clamp-loader subunit,protein-coding,-,-,-,gp44 clamp-loader subunit,20201220,-
665032,8684162,214,DP-phiW-14_gp215,-,-,-,-,gp45 sliding clamp protein,protein-coding,-,-,-,gp45 sliding clamp protein,20201220,-
665032,8684163,215,DP-phiW-14_gp216,-,-,-,-,putative phosphoesterase,protein-coding,-,-,-,putative phosphoesterase,20201220,-
665032,8684164,216,DP-phiW-14_gp217,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684165,217,DP-phiW-14_gp218,-,-,-,-,gp60plus39 DNA topoisomerase subunit,protein-coding,-,-,-,gp60plus39 DNA topoisomerase subunit,20201220,-
665032,8684166,218,DP-phiW-14_gp219,-,-,-,-,putative homing endonuclease,protein-coding,-,-,-,putative homing endonuclease,20201220,-
665032,8684167,219,DP-phiW-14_gp220,-,-,-,-,gp52 topoisomerase II medium subunit,protein-coding,-,-,-,gp52 topoisomerase II medium subunit,20201220,-
665032,8684168,220,DP-phiW-14_gp221,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684169,221,DP-phiW-14_gp222,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684170,222,DP-phiW-14_gp223,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684171,223,DP-phiW-14_gp224,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684172,224,DP-phiW-14_gp225,-,-,-,-,putative RNaseH ribonuclease,protein-coding,-,-,-,putative RNaseH ribonuclease,20201220,-
665032,8684173,225,DP-phiW-14_gp226,-,-,-,-,gp55 sigma factor for T4 late transcription,protein-coding,-,-,-,gp55 sigma factor for T4 late transcription,20201220,-
665032,8684174,226,DP-phiW-14_gp227,-,-,-,-,gp47 recombination endonuclease subunit,protein-coding,-,-,-,gp47 recombination endonuclease subunit,20201220,-
665032,8684175,227,DP-phiW-14_gp228,-,-,-,-,gp46 recombination endonuclease subunit,protein-coding,-,-,-,gp46 recombination endonuclease subunit,20201220,-
665032,8684176,228,DP-phiW-14_gp229,-,-,-,-,DNA primase subunit,protein-coding,-,-,-,DNA primase subunit,20201220,-
665032,8684177,229,DP-phiW-14_gp230,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684178,230,DP-phiW-14_gp231,-,-,-,-,deoxyuridylate hydroxymethyltransferase,protein-coding,-,-,-,deoxyuridylate hydroxymethyltransferase,20201220,-
665032,8684179,231,DP-phiW-14_gp232,-,-,-,-,putative deoxynucleotide monophosphate kinase,protein-coding,-,-,-,putative deoxynucleotide monophosphate kinase,20201220,-
665032,8684180,232,DP-phiW-14_gp233,-,-,-,-,putative dUTP diphosphatase,protein-coding,-,-,-,putative dUTP diphosphatase,20201220,-
665032,8684181,233,DP-phiW-14_gp234,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684182,234,DP-phiW-14_gp235,-,-,-,-,UvsX RecA-like recombination protein,protein-coding,-,-,-,UvsX RecA-like recombination protein,20201220,-
665032,8684183,235,DP-phiW-14_gp236,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684184,236,DP-phiW-14_gp237,-,-,-,-,gp41 DNA primase-helicase subunit,protein-coding,-,-,-,gp41 DNA primase-helicase subunit,20201220,-
665032,8684185,237,DP-phiW-14_gp238,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684186,1,DP-phiW-14_gp001,-,-,-,-,RIIA,protein-coding,-,-,-,RIIA,20201220,-
665032,8690665,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Deftia acidovorans bacteriophage phiW-14; Deftia phage phiW-14).,other,-,-,-,-,20200513,-
