#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
5322,5666623,LOC5666623,-,-,-,MT,-,cox1,protein-coding,-,-,-,cytochrome c oxidase subunit 1;hypothetical protein,20201029,-
5322,59373607,PC9H_003789,PC9H_003789,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373608,PC9H_003790,PC9H_003790,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59373609,PC9H_003791,PC9H_003791,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59373610,PC9H_003792,PC9H_003792,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59373611,PC9H_003793,PC9H_003793,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373612,FAP7,PC9H_003794,-,-,Unknown,-,factor activating pos9,protein-coding,-,-,-,factor activating pos9,20210424,-
5322,59373613,PC9H_003795,PC9H_003795,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59373614,PC9H_003796,PC9H_003796,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373615,PC9H_003797,PC9H_003797,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373616,PC9H_003798,PC9H_003798,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373617,PC9H_003799,PC9H_003799,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59373618,PC9H_003800,PC9H_003800,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210424,-
5322,59373619,PC9H_003801,PC9H_003801,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373620,PC9H_003802,PC9H_003802,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373621,PC9H_003803,PC9H_003803,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373622,PC9H_003804,PC9H_003804,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373623,PC9H_003805,PC9H_003805,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373624,PC9H_003806,PC9H_003806,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373625,PC9H_003807,PC9H_003807,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373626,PC9H_003808,PC9H_003808,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373627,PC9H_003809,PC9H_003809,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373628,MMM1,PC9H_003810,-,-,Unknown,-,ERMES complex subunit mmm1,protein-coding,-,-,-,ERMES complex subunit mmm1,20210529,-
5322,59373629,PC9H_003811,PC9H_003811,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59373630,RPB8,PC9H_003812,-,-,Unknown,-,"DNA-directed RNA polymerases I, II, and III subunit RPABC3",protein-coding,-,-,-,"DNA-directed RNA polymerases I, II, and III subunit RPABC3",20210424,-
5322,59373631,PC9H_003813,PC9H_003813,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59373632,PC9H_003814,PC9H_003814,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373633,NOP7,PC9H_003815,-,-,Unknown,-,mRNA-binding ribosome synthesis protein nop7,protein-coding,-,-,-,mRNA-binding ribosome synthesis protein nop7,20210529,-
5322,59373634,SMD2,PC9H_003816,-,-,Unknown,-,mRNA splicing protein,protein-coding,-,-,-,mRNA splicing protein,20210529,-
5322,59373635,PC9H_003817,PC9H_003817,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373636,PC9H_003818,PC9H_003818,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373637,PC9H_003819,PC9H_003819,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373638,PC9H_003820,PC9H_003820,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373639,PC9H_003821,PC9H_003821,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373640,PC9H_003822,PC9H_003822,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373641,PC9H_003823,PC9H_003823,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373642,PC9H_003824,PC9H_003824,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373643,PC9H_003825,PC9H_003825,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210424,-
5322,59373644,SWD3_1,PC9H_003826,-,-,Unknown,-,WD domain protein,protein-coding,-,-,-,WD domain protein,20210529,-
5322,59373645,PC9H_003827,PC9H_003827,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59373646,TVP23,PC9H_003828,-,-,Unknown,-,Golgi apparatus membrane protein tvp23,protein-coding,-,-,-,Golgi apparatus membrane protein tvp23,20210529,-
5322,59373647,PC9H_003829,PC9H_003829,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373648,CBR1,PC9H_003830,-,-,Unknown,-,NADH-cytochrome b5 reductase,protein-coding,-,-,-,NADH-cytochrome b5 reductase,20210529,-
5322,59373649,PC9H_003831,PC9H_003831,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373650,PC9H_003832,PC9H_003832,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373651,PC9H_003833,PC9H_003833,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373652,PC9H_003834,PC9H_003834,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59373653,PC9H_003835,PC9H_003835,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373654,PC9H_003836,PC9H_003836,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373655,PC9H_003837,PC9H_003837,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373656,PC9H_003838,PC9H_003838,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210424,-
5322,59373657,PC9H_003839,PC9H_003839,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373658,PC9H_003840,PC9H_003840,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373659,PC9H_003841,PC9H_003841,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373660,PC9H_003842,PC9H_003842,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373661,PC9H_003843,PC9H_003843,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210424,-
5322,59373662,LYS1,PC9H_003844,-,-,Unknown,-,Saccharopine dehydrogenase,protein-coding,-,-,-,Saccharopine dehydrogenase,20210529,-
5322,59373663,PC9H_003845,PC9H_003845,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59373664,PC9H_003846,PC9H_003846,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59373665,TIM8,PC9H_003847,-,-,Unknown,-,Mitochondrial import inner membrane translocase subunit tim8,protein-coding,-,-,-,Mitochondrial import inner membrane translocase subunit tim8,20210327,-
5322,59373666,PC9H_003848,PC9H_003848,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373667,PC9H_003849,PC9H_003849,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373668,PC9H_003850,PC9H_003850,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59373669,PC9H_003851,PC9H_003851,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59373670,PC9H_003852,PC9H_003852,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210424,-
5322,59373671,PC9H_003853,PC9H_003853,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59373672,PC9H_003854,PC9H_003854,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210424,-
5322,59373673,PC9H_003855,PC9H_003855,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59373674,MSH1,PC9H_003856,-,-,Unknown,-,DNA mismatch repair ATPase msh1,protein-coding,-,-,-,DNA mismatch repair ATPase msh1,20210529,-
5322,59373675,PC9H_003857,PC9H_003857,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210424,-
5322,59373676,PC9H_003858,PC9H_003858,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373677,PC9H_003859,PC9H_003859,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59373678,ACO2,PC9H_003860,-,-,Unknown,-,aconitate hydratase,protein-coding,-,-,-,aconitate hydratase,20210529,-
5322,59373679,PC9H_003861,PC9H_003861,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373680,PC9H_003862,PC9H_003862,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373681,PC9H_003863,PC9H_003863,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59373682,PC9H_003864,PC9H_003864,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373683,PHB1,PC9H_003865,-,-,Unknown,-,"Prohibitin-1, subunit of the prohibitin complex (Phb1p-Phb2p)",protein-coding,-,-,-,"Prohibitin-1, subunit of the prohibitin complex (Phb1p-Phb2p)",20210424,-
5322,59373684,PC9H_003866,PC9H_003866,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210424,-
5322,59373685,PC9H_003867,PC9H_003867,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373686,PC9H_003868,PC9H_003868,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59373687,PC9H_003869,PC9H_003869,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373688,SOL1,PC9H_003870,-,-,Unknown,-,suppressor of los1-1,protein-coding,-,-,-,suppressor of los1-1,20210424,-
5322,59373689,RAB7,PC9H_003871,-,-,Unknown,-,Ras- protein Rab-7,protein-coding,-,-,-,Ras- protein Rab-7,20210424,-
5322,59373690,PC9H_003872,PC9H_003872,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210424,-
5322,59373691,PC9H_003873,PC9H_003873,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59373692,PC9H_003874,PC9H_003874,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373693,PC9H_003875,PC9H_003875,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373694,ITT1,PC9H_003876,-,-,Unknown,-,translation termination inhibitor protein itt1,protein-coding,-,-,-,translation termination inhibitor protein itt1,20210424,-
5322,59373695,PC9H_003877,PC9H_003877,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373696,VMA5,PC9H_003878,-,-,Unknown,-,Vacuolar ATP synthase subunit C,protein-coding,-,-,-,Vacuolar ATP synthase subunit C,20210529,-
5322,59373697,PC9H_003879,PC9H_003879,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373698,PC9H_003880,PC9H_003880,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59373699,PC9H_003881,PC9H_003881,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373700,PC9H_003882,PC9H_003882,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373701,PC9H_003883,PC9H_003883,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373702,PC9H_003884,PC9H_003884,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373703,FRR4,PC9H_003885,-,-,Unknown,-,Mitochondrial chaperone Frataxin,protein-coding,-,-,-,Mitochondrial chaperone Frataxin,20210529,-
5322,59373704,PC9H_003886,PC9H_003886,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59373705,PC9H_003887,PC9H_003887,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373706,PC9H_003888,PC9H_003888,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373707,PC9H_003889,PC9H_003889,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373708,MPH1,PC9H_003890,-,-,Unknown,-,3'-5' DNA helicase,protein-coding,-,-,-,3'-5' DNA helicase,20210529,-
5322,59373709,GLY1,PC9H_003891,-,-,Unknown,-,Threonine aldolase,protein-coding,-,-,-,Threonine aldolase,20210529,-
5322,59373710,PC9H_003892,PC9H_003892,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210116,-
5322,59373711,TIM10,PC9H_003893,-,-,Unknown,-,protein transporter tim10,protein-coding,-,-,-,protein transporter tim10,20210424,-
5322,59373712,UTP4,PC9H_003894,-,-,Unknown,-,U3 small nucleolar RNA-associated protein,protein-coding,-,-,-,U3 small nucleolar RNA-associated protein,20210529,-
5322,59373713,PC9H_003895,PC9H_003895,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373714,PC9H_003896,PC9H_003896,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59373715,PC9H_003897,PC9H_003897,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373716,HAS1,PC9H_003898,-,-,Unknown,-,ATP-dependent RNA helicase,protein-coding,-,-,-,ATP-dependent RNA helicase,20210529,-
5322,59373717,PC9H_003899,PC9H_003899,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373718,PC9H_003900,PC9H_003900,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210424,-
5322,59373719,PC9H_003901,PC9H_003901,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59373720,PC9H_003902,PC9H_003902,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59373721,PC9H_003903,PC9H_003903,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373722,PC9H_003904,PC9H_003904,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373723,PC9H_003905,PC9H_003905,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373724,PC9H_003906,PC9H_003906,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59373725,PC9H_003907,PC9H_003907,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373726,PC9H_003908,PC9H_003908,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210327,-
5322,59373727,ULP1,PC9H_003909,-,-,Unknown,-,Smt3-specific protease,protein-coding,-,-,-,Smt3-specific protease,20210529,-
5322,59373728,PC9H_003910,PC9H_003910,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210116,-
5322,59373729,PC9H_003911,PC9H_003911,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59373730,RAS2_1,PC9H_003912,-,-,Unknown,-,Ras GTPase ras2,protein-coding,-,-,-,Ras GTPase ras2,20210529,-
5322,59373731,PC9H_003913,PC9H_003913,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59373732,PC9H_003914,PC9H_003914,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210424,-
5322,59373733,PC9H_003915,PC9H_003915,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373734,PC9H_003916,PC9H_003916,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373735,ALI1,PC9H_003917,-,-,Unknown,-,"putative NADH-ubiquinone oxidoreductase 30.4 kDa subunit, mitochondrial",protein-coding,-,-,-,"putative NADH-ubiquinone oxidoreductase 30.4 kDa subunit, mitochondrial",20210424,-
5322,59373736,PC9H_003918,PC9H_003918,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210424,-
5322,59373737,PC9H_003919,PC9H_003919,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373738,PC9H_003920,PC9H_003920,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210424,-
5322,59373739,PC9H_003921,PC9H_003921,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373740,RPD3,PC9H_003922,-,-,Unknown,-,histone deacetylase,protein-coding,-,-,-,histone deacetylase,20210529,-
5322,59373741,PC9H_003923,PC9H_003923,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373742,PC9H_003924,PC9H_003924,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373743,PC9H_003925,PC9H_003925,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59373744,PC9H_003926,PC9H_003926,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59373745,PC9H_003927,PC9H_003927,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373746,PC9H_003928,PC9H_003928,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373747,PC9H_003929,PC9H_003929,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59373748,PC9H_003930,PC9H_003930,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59373749,PC9H_003931,PC9H_003931,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373750,RPS27,PC9H_003932,-,-,Unknown,-,40S ribosomal protein S27,protein-coding,-,-,-,40S ribosomal protein S27,20210529,-
5322,59373751,PC9H_003933,PC9H_003933,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373752,PC9H_003934,PC9H_003934,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373753,PC9H_003935,PC9H_003935,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373754,PC9H_003936,PC9H_003936,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59373755,PC9H_003937,PC9H_003937,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373756,PC9H_003938,PC9H_003938,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373757,BIO2,PC9H_003939,-,-,Unknown,-,biotin synthase,protein-coding,-,-,-,biotin synthase,20210424,-
5322,59373758,PC9H_003940,PC9H_003940,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373759,PC9H_003941,PC9H_003941,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59373760,PC9H_003942,PC9H_003942,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373761,PC9H_003943,PC9H_003943,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59373762,PC9H_003944,PC9H_003944,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373763,PC9H_003945,PC9H_003945,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59373764,PC9H_003946,PC9H_003946,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59373765,PC9H_003947,PC9H_003947,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59373766,PC9H_003948,PC9H_003948,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59373767,PC9H_003949,PC9H_003949,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373768,CHT1_1,PC9H_003950,-,-,Unknown,-,Chitinase 1,protein-coding,-,-,-,Chitinase 1,20210529,-
5322,59373769,CHT1_2,PC9H_003951,-,-,Unknown,-,Chitinase 1,protein-coding,-,-,-,Chitinase 1,20210529,-
5322,59373770,CKA1_1,PC9H_003952,-,-,Unknown,-,Casein kinase II subunit alpha,protein-coding,-,-,-,Casein kinase II subunit alpha,20210424,-
5322,59373771,PC9H_003953,PC9H_003953,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373772,PC9H_003954,PC9H_003954,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373773,PC9H_003955,PC9H_003955,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373774,PC9H_003956,PC9H_003956,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373775,PC9H_003957,PC9H_003957,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373776,PC9H_003958,PC9H_003958,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373777,VMA7,PC9H_003959,-,-,Unknown,-,H(+)-transporting V1 sector ATPase subunit F,protein-coding,-,-,-,H(+)-transporting V1 sector ATPase subunit F,20210529,-
5322,59373778,PC9H_003960,PC9H_003960,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373779,HHT1_2,PC9H_003961,-,-,Unknown,-,histone H3.1,protein-coding,-,-,-,histone H3.1,20210116,-
5322,59373780,PC9H_003962,PC9H_003962,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59373781,PC9H_003963,PC9H_003963,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373782,PC9H_003964,PC9H_003964,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373783,MED6,PC9H_003965,-,-,Unknown,-,Mediator of RNA polymerase II transcription subunit 6,protein-coding,-,-,-,Mediator of RNA polymerase II transcription subunit 6,20210529,-
5322,59373784,PC9H_003966,PC9H_003966,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373785,PC9H_003967,PC9H_003967,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373786,PC9H_003968,PC9H_003968,-,-,Unknown,-,tRNA,tRNA,-,-,-,-,20201029,-
5322,59373787,PC9H_003969,PC9H_003969,-,-,Unknown,-,tRNA,tRNA,-,-,-,-,20201029,-
5322,59373788,MCM5,PC9H_003970,-,-,Unknown,-,minichromosome maintenance protein 5,protein-coding,-,-,-,minichromosome maintenance protein 5,20210529,-
5322,59373789,PC9H_003971,PC9H_003971,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373790,PC9H_003972,PC9H_003972,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373791,PC9H_003973,PC9H_003973,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373792,DSK1_2,PC9H_003974,-,-,Unknown,-,"serine/threonine protein kinase, CMGC group",protein-coding,-,-,-,"serine/threonine protein kinase, CMGC group",20210529,-
5322,59373793,PC9H_003975,PC9H_003975,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373794,PC9H_003976,PC9H_003976,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373795,PC9H_003977,PC9H_003977,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59373796,PC9H_003978,PC9H_003978,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59373797,CDA2_1,PC9H_003979,-,-,Unknown,-,chitin deacetylase,protein-coding,-,-,-,chitin deacetylase,20210529,-
5322,59373798,PC9H_003980,PC9H_003980,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
