#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
10666,65055713,KMB99_gp001,KMB99_gp001,EcT6_00001,-,-,-,membrane ATPase,protein-coding,-,-,-,membrane ATPase,20210607,-
10666,65055893,KMB99_gp215,KMB99_gp215,EcT6_00183,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20210607,-
10666,65055894,KMB99_gp214,KMB99_gp214,EcT6_00184,-,-,-,UvsW helicase,protein-coding,-,-,-,UvsW helicase,20210607,-
10666,65055895,KMB99_gp213,KMB99_gp213,EcT6_00185,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20210607,-
10666,65055896,KMB99_gp212,KMB99_gp212,EcT6_00186,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055897,KMB99_gp211,KMB99_gp211,EcT6_00187,-,-,-,ribonucleotide reductase large subunit,protein-coding,-,-,-,ribonucleotide reductase large subunit,20210608,-
10666,65055898,KMB99_gp210,KMB99_gp210,EcT6_00188,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210608,-
10666,65055899,KMB99_gp209,KMB99_gp209,EcT6_00189,-,-,-,baseplate wedge tail fiber connector,protein-coding,-,-,-,baseplate wedge tail fiber connector,20210607,-
10666,65055900,KMB99_gp208,KMB99_gp208,EcT6_00190,-,-,-,phage baseplate protein,protein-coding,-,-,-,phage baseplate protein,20210607,-
10666,65055901,KMB99_gp207,KMB99_gp207,EcT6_00191,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20210607,-
10666,65055902,KMB99_gp206,KMB99_gp206,EcT6_00192,-,-,-,baseplate hub distal subunit,protein-coding,-,-,-,baseplate hub distal subunit,20210607,-
10666,65055903,KMB99_gp205,KMB99_gp205,EcT6_00193,-,-,-,putative baseplate hub subunit and tail length determinator,protein-coding,-,-,-,putative baseplate hub subunit and tail length determinator,20210607,-
10666,65055904,KMB99_gp204,KMB99_gp204,EcT6_00194,-,-,-,baseplate tail tube cap,protein-coding,-,-,-,baseplate tail tube cap,20210607,-
10666,65055905,KMB99_gp203,KMB99_gp203,EcT6_00195,-,-,-,base plate-tail tube initiator,protein-coding,-,-,-,base plate-tail tube initiator,20210607,-
10666,65055906,KMB99_gp202,KMB99_gp202,EcT6_00196,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055907,KMB99_gp201,KMB99_gp201,EcT6_00197,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055908,KMB99_gp200,KMB99_gp200,EcT6_00198,-,-,-,adenosylribosyl-transferase packaged,protein-coding,-,-,-,adenosylribosyl-transferase packaged,20210607,-
10666,65055909,KMB99_gp199,KMB99_gp199,EcT6_00199,-,-,-,siderophore-interacting protein,protein-coding,-,-,-,siderophore-interacting protein,20210607,-
10666,65055910,KMB99_gp198,KMB99_gp198,EcT6_00200,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055911,KMB99_gp197,KMB99_gp197,EcT6_00201,-,-,-,portal vertex protein,protein-coding,-,-,-,portal vertex protein,20210607,-
10666,65055912,KMB99_gp196,KMB99_gp196,EcT6_00202,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055913,KMB99_gp195,KMB99_gp195,EcT6_00203,-,-,-,prohead core protein,protein-coding,-,-,-,prohead core protein,20210607,-
10666,65055914,KMB99_gp194,KMB99_gp194,EcT6_00204,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055915,KMB99_gp193,KMB99_gp193,EcT6_00205,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055916,KMB99_gp192,KMB99_gp192,EcT6_00206,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210607,-
10666,65055917,KMB99_gp191,KMB99_gp191,EcT6_00207,-,-,-,head vertex protein,protein-coding,-,-,-,head vertex protein,20210607,-
10666,65055918,KMB99_gp190,KMB99_gp190,EcT6_00208,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055919,KMB99_gp189,KMB99_gp189,EcT6_00209,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055920,KMB99_gp188,KMB99_gp188,EcT6_00210,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055921,KMB99_gp187,KMB99_gp187,EcT6_00211,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
10666,65055922,KMB99_gp186,KMB99_gp186,EcT6_00212,-,-,-,capsid scaffolding protein,protein-coding,-,-,-,capsid scaffolding protein,20210607,-
10666,65055923,KMB99_gp185,KMB99_gp185,EcT6_00213,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055924,KMB99_gp184,KMB99_gp184,EcT6_00214,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210607,-
10666,65055925,KMB99_gp183,KMB99_gp183,EcT6_00215,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055926,KMB99_gp182,KMB99_gp182,EcT6_00216,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055927,KMB99_gp181,KMB99_gp181,EcT6_00217,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055928,KMB99_gp180,KMB99_gp180,EcT6_00218,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210607,-
10666,65055929,KMB99_gp179,KMB99_gp179,EcT6_00219,-,-,-,polynucleotide kinase,protein-coding,-,-,-,polynucleotide kinase,20210607,-
10666,65055930,KMB99_gp178,KMB99_gp178,EcT6_00220,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055931,KMB99_gp177,KMB99_gp177,EcT6_00221,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055932,KMB99_gp176,KMB99_gp176,EcT6_00222,-,-,-,prohead assembly scaffold protein,protein-coding,-,-,-,prohead assembly scaffold protein,20210607,-
10666,65055933,KMB99_gp175,KMB99_gp175,EcT6_00223,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055934,KMB99_gp174,KMB99_gp174,EcT6_00224,-,-,-,host transcription inhibitor,protein-coding,-,-,-,host transcription inhibitor,20210607,-
10666,65055935,rnlA,KMB99_gp173,EcT6_00225,-,-,-,RNA ligase 1 and tail fiber attachment catalyst,protein-coding,-,-,-,RNA ligase 1 and tail fiber attachment catalyst,20210607,-
10666,65055936,KMB99_gp171,KMB99_gp171,EcT6_00227,-,-,-,ribonucleotide-diphosphate reductase subunit beta,protein-coding,-,-,-,ribonucleotide-diphosphate reductase subunit beta,20210607,-
10666,65055937,KMB99_gp170,KMB99_gp170,EcT6_00228,-,-,-,Homing endonuclease,protein-coding,-,-,-,Homing endonuclease,20210607,-
10666,65055938,KMB99_gp169,KMB99_gp169,EcT6_00229,-,-,-,ribonucleoside-diphosphate reductase subunit alpha,protein-coding,-,-,-,ribonucleoside-diphosphate reductase subunit alpha,20210608,-
10666,65055939,KMB99_gp168,KMB99_gp168,EcT6_00230,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
10666,65055940,KMB99_gp167,KMB99_gp167,EcT6_00231,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
10666,65055941,KMB99_gp166,KMB99_gp166,EcT6_00232,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055942,KMB99_gp165,KMB99_gp165,EcT6_00233,-,-,-,RNA polymerase sigma factor for latetranscription,protein-coding,-,-,-,RNA polymerase sigma factor for latetranscription,20210612,-
10666,65055943,KMB99_gp164,KMB99_gp164,EcT6_00234,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20210607,-
10666,65055944,KMB99_gp163,KMB99_gp163,EcT6_00235,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055945,KMB99_gp162,KMB99_gp162,EcT6_00236,-,-,-,dihydrofolate reductase,protein-coding,-,-,-,dihydrofolate reductase,20210607,-
10666,65055946,KMB99_gp161,KMB99_gp161,EcT6_00237,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055947,KMB99_gp160,KMB99_gp160,EcT6_00238,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055948,KMB99_gp159,KMB99_gp159,EcT6_00239,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055949,KMB99_gp158,KMB99_gp158,EcT6_00240,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055950,KMB99_gp157,KMB99_gp157,EcT6_00241,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055951,KMB99_gp156,KMB99_gp156,EcT6_00242,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055952,KMB99_gp155,KMB99_gp155,EcT6_00243,-,-,-,loader of gp41 DNA helicase,protein-coding,-,-,-,loader of gp41 DNA helicase,20210612,-
10666,65055953,KMB99_gp154,KMB99_gp154,EcT6_00244,-,-,-,DNA polymerase clamp loader small subunit,protein-coding,-,-,-,DNA polymerase clamp loader small subunit,20210607,-
10666,65055954,KMB99_gp153,KMB99_gp153,EcT6_00245,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
10666,65055955,KMB99_gp152,KMB99_gp152,EcT6_00246,-,-,-,ribonuclease,protein-coding,-,-,-,ribonuclease,20210608,-
10666,65055956,KMB99_gp151,KMB99_gp151,EcT6_00247,-,-,-,long tail fiber proximal subunit,protein-coding,-,-,-,long tail fiber proximal subunit,20210607,-
10666,65055957,KMB99_gp150,KMB99_gp150,EcT6_00248,-,-,-,hinge connector of long tail fiber proximal connector,protein-coding,-,-,-,hinge connector of long tail fiber proximal connector,20210607,-
10666,65055958,KMB99_gp149,KMB99_gp149,EcT6_00249,-,-,-,hinge connector of long tail fiber distal connector,protein-coding,-,-,-,hinge connector of long tail fiber distal connector,20210607,-
10666,65055959,KMB99_gp148,KMB99_gp148,EcT6_00250,-,-,-,long tail fiber distal subunit,protein-coding,-,-,-,long tail fiber distal subunit,20210607,-
10666,65055960,KMB99_gp147,KMB99_gp147,EcT6_00251,-,-,-,tail fiber adhesin,protein-coding,-,-,-,tail fiber adhesin,20210607,-
10666,65055961,KMB99_gp146,KMB99_gp146,EcT6_00252,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055962,KMB99_gp145,KMB99_gp145,EcT6_00253,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210607,-
10666,65055963,KMB99_gp144,KMB99_gp144,EcT6_00254,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055964,KMB99_gp143,KMB99_gp143,EcT6_00255,-,-,-,inhibitor of host transcription,protein-coding,-,-,-,inhibitor of host transcription,20210607,-
10666,65055965,KMB99_gp142,KMB99_gp142,EcT6_00256,-,-,-,RNA ligase 1 and tail fiber attachment catalyst,protein-coding,-,-,-,RNA ligase 1 and tail fiber attachment catalyst,20210607,-
10666,65055966,KMB99_gp141,KMB99_gp141,EcT6_00257,-,-,-,inhibitor of host transcription,protein-coding,-,-,-,inhibitor of host transcription,20210607,-
10666,65055967,KMB99_gp140,KMB99_gp140,EcT6_00258,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055968,KMB99_gp139,KMB99_gp139,EcT6_00259,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055969,KMB99_gp138,KMB99_gp138,EcT6_00260,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055970,KMB99_gp137,KMB99_gp137,EcT6_00261,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055971,KMB99_gp136,KMB99_gp136,EcT6_00262,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055972,KMB99_gp135,KMB99_gp135,EcT6_00263,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055973,KMB99_gp134,KMB99_gp134,EcT6_00264,-,-,-,disrupts host nucleoid,protein-coding,-,-,-,disrupts host nucleoid,20210607,-
10666,65055974,KMB99_gp133,KMB99_gp133,EcT6_00265,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055975,KMB99_gp132,KMB99_gp132,EcT6_00266,-,-,-,chaperone for long tail fiber formation,protein-coding,-,-,-,chaperone for long tail fiber formation,20210607,-
10666,65055976,KMB99_gp131,KMB99_gp131,EcT6_00267,-,-,-,dNMP kinase,protein-coding,-,-,-,dNMP kinase,20210607,-
10666,65055977,KMB99_gp130,KMB99_gp130,EcT6_00268,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055978,KMB99_gp129,KMB99_gp129,EcT6_00269,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055979,KMB99_gp128,KMB99_gp128,EcT6_00270,-,-,-,DNA endonuclease IV,protein-coding,-,-,-,DNA endonuclease IV,20210607,-
10666,65055980,KMB99_gp127,KMB99_gp127,EcT6_00271,-,-,-,denB.1 hypothetical protein,protein-coding,-,-,-,denB.1 hypothetical protein,20210607,-
10666,65055981,KMB99_gp126,KMB99_gp126,EcT6_00272,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210607,-
10666,65055982,KMB99_gp100,KMB99_gp100,EcT6_00100,-,-,-,mobD.2a hypothetical protein,protein-coding,-,-,-,mobD.2a hypothetical protein,20210607,-
10666,65055983,KMB99_gp172,KMB99_gp172,EcT6_00226,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055984,KMB99_gp058,KMB99_gp058,EcT6_00058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65241849,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Bacteriophage T6; Escherichia virus T6; coliphage T6; phage T6).,other,-,-,-,-,20210609,-
