#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1392245,54402276,P153DRAFT_100011,P153DRAFT_100011,-,-,Unknown,-,D-tyrosyl-tRNA deacylase-like protein,protein-coding,-,-,-,D-tyrosyl-tRNA deacylase-like protein,20210320,-
1392245,54404245,P153DRAFT_292070,P153DRAFT_292070,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54404246,P153DRAFT_292080,P153DRAFT_292080,-,-,Unknown,-,polyketide synthase PksF,protein-coding,-,-,-,polyketide synthase PksF,20210320,-
1392245,54404247,P153DRAFT_292112,P153DRAFT_292112,-,-,Unknown,-,class II peroxidase,protein-coding,-,-,-,class II peroxidase,20210320,-
1392245,54404248,P153DRAFT_292116,P153DRAFT_292116,-,-,Unknown,-,polysaccharide lyase family 1 protein,protein-coding,-,-,-,polysaccharide lyase family 1 protein,20210320,-
1392245,54404249,P153DRAFT_292136,P153DRAFT_292136,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54404250,P153DRAFT_292137,P153DRAFT_292137,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54404251,P153DRAFT_292141,P153DRAFT_292141,-,-,Unknown,-,glycoside hydrolase family 55 protein,protein-coding,-,-,-,glycoside hydrolase family 55 protein,20210320,-
1392245,54404252,P153DRAFT_292157,P153DRAFT_292157,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54404253,P153DRAFT_292170,P153DRAFT_292170,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54404254,P153DRAFT_292180,P153DRAFT_292180,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54404255,P153DRAFT_292195,P153DRAFT_292195,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54404256,P153DRAFT_292206,P153DRAFT_292206,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54404257,P153DRAFT_292210,P153DRAFT_292210,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54404258,P153DRAFT_292215,P153DRAFT_292215,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54404259,P153DRAFT_292234,P153DRAFT_292234,-,-,Unknown,-,cytochrome P450,protein-coding,-,-,-,cytochrome P450,20210320,-
1392245,54404260,P153DRAFT_292244,P153DRAFT_292244,-,-,Unknown,-,beta-lactamase/transpeptidase-like protein,protein-coding,-,-,-,beta-lactamase/transpeptidase-like protein,20210320,-
1392245,54404261,P153DRAFT_292252,P153DRAFT_292252,-,-,Unknown,-,polysaccharide lyase family 1 protein,protein-coding,-,-,-,polysaccharide lyase family 1 protein,20210320,-
1392245,54404262,P153DRAFT_292286,P153DRAFT_292286,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54404263,P153DRAFT_292336,P153DRAFT_292336,-,-,Unknown,-,Cse1-domain-containing protein,protein-coding,-,-,-,Cse1-domain-containing protein,20210320,-
1392245,54404264,P153DRAFT_292341,P153DRAFT_292341,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54404265,P153DRAFT_292353,P153DRAFT_292353,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54404266,P153DRAFT_292410,P153DRAFT_292410,-,-,Unknown,-,peroxisomal membrane protein pex16,protein-coding,-,-,-,peroxisomal membrane protein pex16,20210320,-
1392245,54404267,P153DRAFT_292436,P153DRAFT_292436,-,-,Unknown,-,Ent-kaur-16-ene synthase,protein-coding,-,-,-,Ent-kaur-16-ene synthase,20210320,-
1392245,54404268,P153DRAFT_292468,P153DRAFT_292468,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54404269,P153DRAFT_292496,P153DRAFT_292496,-,-,Unknown,-,cytochrome P450,protein-coding,-,-,-,cytochrome P450,20210320,-
1392245,54404270,P153DRAFT_292512,P153DRAFT_292512,-,-,Unknown,-,putative cytochrome P450 phenylacetate 2-hydroxylase,protein-coding,-,-,-,putative cytochrome P450 phenylacetate 2-hydroxylase,20210320,-
1392245,54404271,P153DRAFT_292532,P153DRAFT_292532,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54404272,P153DRAFT_292597,P153DRAFT_292597,-,-,Unknown,-,UPF0061-domain-containing protein,protein-coding,-,-,-,UPF0061-domain-containing protein,20210320,-
1392245,54404273,P153DRAFT_292600,P153DRAFT_292600,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54404274,P153DRAFT_292602,P153DRAFT_292602,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54404275,P153DRAFT_292623,P153DRAFT_292623,-,-,Unknown,-,SET domain-containing protein,protein-coding,-,-,-,SET domain-containing protein,20210320,-
1392245,54404276,P153DRAFT_292632,P153DRAFT_292632,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200919,-
1392245,54404277,P153DRAFT_292637,P153DRAFT_292637,-,-,Unknown,-,DUF803-domain-containing protein,protein-coding,-,-,-,DUF803-domain-containing protein,20210320,-
1392245,54404278,P153DRAFT_292651,P153DRAFT_292651,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210320,-
1392245,54404279,P153DRAFT_292674,P153DRAFT_292674,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210320,-
1392245,54404280,P153DRAFT_292683,P153DRAFT_292683,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210320,-
1392245,54404281,P153DRAFT_292698,P153DRAFT_292698,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200919,-
1392245,54404282,P153DRAFT_292703,P153DRAFT_292703,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200919,-
1392245,54404283,P153DRAFT_292725,P153DRAFT_292725,-,-,Unknown,-,glycoside hydrolase family 95 protein,protein-coding,-,-,-,glycoside hydrolase family 95 protein,20210320,-
1392245,54404284,P153DRAFT_292736,P153DRAFT_292736,-,-,Unknown,-,alpha/beta-hydrolase,protein-coding,-,-,-,alpha/beta-hydrolase,20210320,-
1392245,54404285,P153DRAFT_292758,P153DRAFT_292758,-,-,Unknown,-,ribosomal protein L5,protein-coding,-,-,-,ribosomal protein L5,20210320,-
1392245,54404286,P153DRAFT_292789,P153DRAFT_292789,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200919,-
1392245,54404287,P153DRAFT_292793,P153DRAFT_292793,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200919,-
1392245,54404288,P153DRAFT_292808,P153DRAFT_292808,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200919,-
1392245,54404289,P153DRAFT_292813,P153DRAFT_292813,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210320,-
1392245,54404290,P153DRAFT_292865,P153DRAFT_292865,-,-,Unknown,-,glycosyltransferase family 69 protein,protein-coding,-,-,-,glycosyltransferase family 69 protein,20210320,-
1392245,54404291,P153DRAFT_29287,P153DRAFT_29287,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54404292,P153DRAFT_292877,P153DRAFT_292877,-,-,Unknown,-,magnesium transporter ALR1,protein-coding,-,-,-,magnesium transporter ALR1,20210320,-
1392245,54404293,P153DRAFT_292892,P153DRAFT_292892,-,-,Unknown,-,zinc finger protein-like protein OZF,protein-coding,-,-,-,zinc finger protein-like protein OZF,20210320,-
1392245,54404294,P153DRAFT_29292,P153DRAFT_29292,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54404295,P153DRAFT_292926,P153DRAFT_292926,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200919,-
1392245,54404296,P153DRAFT_292937,P153DRAFT_292937,-,-,Unknown,-,STE3-domain-containing protein,protein-coding,-,-,-,STE3-domain-containing protein,20210320,-
1392245,54404297,P153DRAFT_29294,P153DRAFT_29294,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54404298,P153DRAFT_292948,P153DRAFT_292948,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210320,-
1392245,54404299,P153DRAFT_292952,P153DRAFT_292952,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210320,-
1392245,54404300,P153DRAFT_292961,P153DRAFT_292961,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200919,-
1392245,54404301,P153DRAFT_293015,P153DRAFT_293015,-,-,Unknown,-,sucrose transport protein SUC2,protein-coding,-,-,-,sucrose transport protein SUC2,20210320,-
1392245,54404302,P153DRAFT_293034,P153DRAFT_293034,-,-,Unknown,-,PH domain-like protein,protein-coding,-,-,-,PH domain-like protein,20210320,-
1392245,54404303,P153DRAFT_293050,P153DRAFT_293050,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210320,-
1392245,54404304,P153DRAFT_293052,P153DRAFT_293052,-,-,Unknown,-,carbohydrate esterase family 1 protein,protein-coding,-,-,-,carbohydrate esterase family 1 protein,20210320,-
1392245,54404305,P153DRAFT_293068,P153DRAFT_293068,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200919,-
1392245,54404306,P153DRAFT_293102,P153DRAFT_293102,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200919,-
1392245,54404307,P153DRAFT_293104,P153DRAFT_293104,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210320,-
1392245,54404308,P153DRAFT_293105,P153DRAFT_293105,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200919,-
1392245,54404309,P153DRAFT_293107,P153DRAFT_293107,-,-,Unknown,-,DUF410-domain-containing protein,protein-coding,-,-,-,DUF410-domain-containing protein,20210320,-
1392245,54404310,P153DRAFT_293130,P153DRAFT_293130,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210320,-
1392245,54404311,P153DRAFT_293138,P153DRAFT_293138,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200919,-
1392245,54404312,P153DRAFT_293141,P153DRAFT_293141,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210320,-
1392245,54404313,P153DRAFT_293148,P153DRAFT_293148,-,-,Unknown,-,serine/threonine-protein kinase-like protein CLA4,protein-coding,-,-,-,serine/threonine-protein kinase-like protein CLA4,20210320,-
1392245,54404314,P153DRAFT_293200,P153DRAFT_293200,-,-,Unknown,-,FabD/lysophospholipase-like protein,protein-coding,-,-,-,FabD/lysophospholipase-like protein,20210320,-
1392245,54404315,P153DRAFT_293211,P153DRAFT_293211,-,-,Unknown,-,ATP-binding cassette transporter-like protein,protein-coding,-,-,-,ATP-binding cassette transporter-like protein,20210320,-
1392245,54404316,P153DRAFT_293234,P153DRAFT_293234,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210320,-
1392245,54404317,P153DRAFT_293268,P153DRAFT_293268,-,-,Unknown,-,glycyl-tRNA synthetase-like protein,protein-coding,-,-,-,glycyl-tRNA synthetase-like protein,20210320,-
1392245,54404318,P153DRAFT_293279,P153DRAFT_293279,-,-,Unknown,-,MFS general substrate transporter,protein-coding,-,-,-,MFS general substrate transporter,20210320,-
1392245,54404319,P153DRAFT_293287,P153DRAFT_293287,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210320,-
1392245,54404320,P153DRAFT_293336,P153DRAFT_293336,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210320,-
1392245,54404321,P153DRAFT_293347,P153DRAFT_293347,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210320,-
1392245,54404322,P153DRAFT_293348,P153DRAFT_293348,-,-,Unknown,-,cytochrome P450,protein-coding,-,-,-,cytochrome P450,20210320,-
1392245,54404323,P153DRAFT_293359,P153DRAFT_293359,-,-,Unknown,-,DUF89-domain-containing protein,protein-coding,-,-,-,DUF89-domain-containing protein,20210320,-
1392245,54404324,P153DRAFT_293368,P153DRAFT_293368,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210320,-
1392245,54404325,P153DRAFT_293374,P153DRAFT_293374,-,-,Unknown,-,glycogen synthase kinase-like protein-3 beta,protein-coding,-,-,-,glycogen synthase kinase-like protein-3 beta,20210320,-
1392245,54404326,P153DRAFT_293378,P153DRAFT_293378,-,-,Unknown,-,"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase",protein-coding,-,-,-,"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase",20210320,-
1392245,54404327,P153DRAFT_293388,P153DRAFT_293388,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210320,-
1392245,54404328,P153DRAFT_293440,P153DRAFT_293440,-,-,Unknown,-,tryptophanyl-tRNA synthetase,protein-coding,-,-,-,tryptophanyl-tRNA synthetase,20210320,-
1392245,54404329,P153DRAFT_293472,P153DRAFT_293472,-,-,Unknown,-,MFS general substrate transporter,protein-coding,-,-,-,MFS general substrate transporter,20210320,-
1392245,54404330,P153DRAFT_293496,P153DRAFT_293496,-,-,Unknown,-,striatin Pro11,protein-coding,-,-,-,striatin Pro11,20210320,-
1392245,54404331,P153DRAFT_293533,P153DRAFT_293533,-,-,Unknown,-,FAD/NAD(P)-binding domain-containing protein,protein-coding,-,-,-,FAD/NAD(P)-binding domain-containing protein,20210320,-
1392245,54404332,P153DRAFT_293543,P153DRAFT_293543,-,-,Unknown,-,brix domain-containing protein 2,protein-coding,-,-,-,brix domain-containing protein 2,20210320,-
1392245,54404333,P153DRAFT_293567,P153DRAFT_293567,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210320,-
1392245,54404334,P153DRAFT_293582,P153DRAFT_293582,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210320,-
1392245,54404335,P153DRAFT_293630,P153DRAFT_293630,-,-,Unknown,-,two component histidine kinase 1,protein-coding,-,-,-,two component histidine kinase 1,20210320,-
1392245,54404336,P153DRAFT_293637,P153DRAFT_293637,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210320,-
1392245,54404337,P153DRAFT_293648,P153DRAFT_293648,-,-,Unknown,-,beta-lactamase/transpeptidase-like protein,protein-coding,-,-,-,beta-lactamase/transpeptidase-like protein,20210320,-
1392245,54404338,P153DRAFT_293672,P153DRAFT_293672,-,-,Unknown,-,cell wall assembly and cell proliferation coordinating protein,protein-coding,-,-,-,cell wall assembly and cell proliferation coordinating protein,20210320,-
1392245,54404339,P153DRAFT_293685,P153DRAFT_293685,-,-,Unknown,-,ORC2-domain-containing protein,protein-coding,-,-,-,ORC2-domain-containing protein,20210320,-
1392245,54404340,P153DRAFT_293707,P153DRAFT_293707,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54404341,P153DRAFT_293713,P153DRAFT_293713,-,-,Unknown,-,GroES-like protein,protein-coding,-,-,-,GroES-like protein,20210320,-
1392245,54404342,P153DRAFT_293742,P153DRAFT_293742,-,-,Unknown,-,ankyrin,protein-coding,-,-,-,ankyrin,20210320,-
1392245,54404343,P153DRAFT_293755,P153DRAFT_293755,-,-,Unknown,-,lysyl-tRNA synthetase,protein-coding,-,-,-,lysyl-tRNA synthetase,20210320,-
1392245,54404344,P153DRAFT_293797,P153DRAFT_293797,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54404345,P153DRAFT_293800,P153DRAFT_293800,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54404346,P153DRAFT_293802,P153DRAFT_293802,-,-,Unknown,-,putative cytochrome P450,protein-coding,-,-,-,putative cytochrome P450,20210320,-
1392245,54404347,P153DRAFT_293815,P153DRAFT_293815,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54404348,P153DRAFT_293833,P153DRAFT_293833,-,-,Unknown,-,acetyl-CoA synthetase-like protein,protein-coding,-,-,-,acetyl-CoA synthetase-like protein,20210320,-
1392245,54404349,P153DRAFT_293839,P153DRAFT_293839,-,-,Unknown,-,H+-ATPase G subunit,protein-coding,-,-,-,H+-ATPase G subunit,20210320,-
1392245,54404350,P153DRAFT_293841,P153DRAFT_293841,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54404351,P153DRAFT_293886,P153DRAFT_293886,-,-,Unknown,-,LaeA-like protein,protein-coding,-,-,-,LaeA-like protein,20210320,-
1392245,54404352,P153DRAFT_293891,P153DRAFT_293891,-,-,Unknown,-,sorbitol dehydrogenase-like protein,protein-coding,-,-,-,sorbitol dehydrogenase-like protein,20210320,-
1392245,54404353,P153DRAFT_293892,P153DRAFT_293892,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54404354,P153DRAFT_293905,P153DRAFT_293905,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54404355,P153DRAFT_293944,P153DRAFT_293944,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54404356,P153DRAFT_293945,P153DRAFT_293945,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54404357,P153DRAFT_293961,P153DRAFT_293961,-,-,Unknown,-,NADP-dependent leukotriene B4 12-hydroxydehydrogenase,protein-coding,-,-,-,NADP-dependent leukotriene B4 12-hydroxydehydrogenase,20210320,-
1392245,54404358,P153DRAFT_293972,P153DRAFT_293972,-,-,Unknown,-,CoA-transferase family III,protein-coding,-,-,-,CoA-transferase family III,20210320,-
1392245,54404359,P153DRAFT_293978,P153DRAFT_293978,-,-,Unknown,-,3-hydroxyacyl-CoA dehydrogenase type-2,protein-coding,-,-,-,3-hydroxyacyl-CoA dehydrogenase type-2,20210320,-
1392245,54404360,P153DRAFT_293983,P153DRAFT_293983,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54404361,P153DRAFT_294017,P153DRAFT_294017,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54404362,P153DRAFT_294020,P153DRAFT_294020,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54404363,P153DRAFT_294023,P153DRAFT_294023,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54404364,P153DRAFT_294026,P153DRAFT_294026,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54404365,P153DRAFT_294073,P153DRAFT_294073,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54404366,P153DRAFT_294080,P153DRAFT_294080,-,-,Unknown,-,P-loop containing nucleoside triphosphate hydrolase protein,protein-coding,-,-,-,P-loop containing nucleoside triphosphate hydrolase protein,20210320,-
1392245,54404367,P153DRAFT_294105,P153DRAFT_294105,-,-,Unknown,-,Clavaminate synthase-like protein,protein-coding,-,-,-,Clavaminate synthase-like protein,20210320,-
1392245,54404368,P153DRAFT_294118,P153DRAFT_294118,-,-,Unknown,-,vacuolar protein sorting-associated protein-like protein Vps28,protein-coding,-,-,-,vacuolar protein sorting-associated protein-like protein Vps28,20210320,-
1392245,54404369,P153DRAFT_294133,P153DRAFT_294133,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54404370,P153DRAFT_294135,P153DRAFT_294135,-,-,Unknown,-,pantothenate transporter-like protein,protein-coding,-,-,-,pantothenate transporter-like protein,20210320,-
1392245,54404371,P153DRAFT_294186,P153DRAFT_294186,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54404372,P153DRAFT_294200,P153DRAFT_294200,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54404373,P153DRAFT_294214,P153DRAFT_294214,-,-,Unknown,-,epoxide hydrolase-like protein,protein-coding,-,-,-,epoxide hydrolase-like protein,20210320,-
1392245,54404374,P153DRAFT_294223,P153DRAFT_294223,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54404375,P153DRAFT_294250,P153DRAFT_294250,-,-,Unknown,-,histidine biosynthesis trifunctional protein,protein-coding,-,-,-,histidine biosynthesis trifunctional protein,20210320,-
1392245,54404376,P153DRAFT_294269,P153DRAFT_294269,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54404377,P153DRAFT_294299,P153DRAFT_294299,-,-,Unknown,-,RNA polymerase II second largest subunit,protein-coding,-,-,-,RNA polymerase II second largest subunit,20210320,-
1392245,54404378,P153DRAFT_294300,P153DRAFT_294300,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54404379,P153DRAFT_294307,P153DRAFT_294307,-,-,Unknown,-,GPI-anchored wall transfer protein 1,protein-coding,-,-,-,GPI-anchored wall transfer protein 1,20210320,-
1392245,54404380,P153DRAFT_294316,P153DRAFT_294316,-,-,Unknown,-,DNA repair exonuclease rad1,protein-coding,-,-,-,DNA repair exonuclease rad1,20210320,-
1392245,54404381,P153DRAFT_294318,P153DRAFT_294318,-,-,Unknown,-,amino acid transporter,protein-coding,-,-,-,amino acid transporter,20210320,-
1392245,54404382,P153DRAFT_294327,P153DRAFT_294327,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54404383,P153DRAFT_294342,P153DRAFT_294342,-,-,Unknown,-,MFS general substrate transporter,protein-coding,-,-,-,MFS general substrate transporter,20210320,-
1392245,54404384,P153DRAFT_294346,P153DRAFT_294346,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54404385,P153DRAFT_294375,P153DRAFT_294375,-,-,Unknown,-,HET-domain-containing protein,protein-coding,-,-,-,HET-domain-containing protein,20210320,-
1392245,54404386,P153DRAFT_294384,P153DRAFT_294384,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54404387,P153DRAFT_294391,P153DRAFT_294391,-,-,Unknown,-,metallo-beta-lactamase superfamily protein,protein-coding,-,-,-,metallo-beta-lactamase superfamily protein,20210320,-
1392245,54404388,P153DRAFT_294408,P153DRAFT_294408,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54404389,P153DRAFT_294412,P153DRAFT_294412,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54404390,P153DRAFT_294430,P153DRAFT_294430,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54404391,P153DRAFT_294443,P153DRAFT_294443,-,-,Unknown,-,glycoside hydrolase family 31 protein,protein-coding,-,-,-,glycoside hydrolase family 31 protein,20210320,-
1392245,54404392,P153DRAFT_294448,P153DRAFT_294448,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54404393,P153DRAFT_294481,P153DRAFT_294481,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54404394,P153DRAFT_294536,P153DRAFT_294536,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54404395,P153DRAFT_294542,P153DRAFT_294542,-,-,Unknown,-,hydrolase CocE/NonD family protein,protein-coding,-,-,-,hydrolase CocE/NonD family protein,20210320,-
1392245,54404396,P153DRAFT_294546,P153DRAFT_294546,-,-,Unknown,-,glycoside hydrolase family 5 protein,protein-coding,-,-,-,glycoside hydrolase family 5 protein,20210320,-
1392245,54404397,P153DRAFT_294592,P153DRAFT_294592,-,-,Unknown,-,pyrimidine 5-nucleotidase,protein-coding,-,-,-,pyrimidine 5-nucleotidase,20210320,-
1392245,54404398,P153DRAFT_294596,P153DRAFT_294596,-,-,Unknown,-,CT20-domain-containing protein,protein-coding,-,-,-,CT20-domain-containing protein,20210320,-
1392245,54404399,P153DRAFT_294599,P153DRAFT_294599,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54404400,P153DRAFT_294613,P153DRAFT_294613,-,-,Unknown,-,nitrite reductase,protein-coding,-,-,-,nitrite reductase,20210320,-
1392245,54404401,P153DRAFT_294641,P153DRAFT_294641,-,-,Unknown,-,translocation protein,protein-coding,-,-,-,translocation protein,20210320,-
1392245,54404402,P153DRAFT_294671,P153DRAFT_294671,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54404403,P153DRAFT_294672,P153DRAFT_294672,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54404404,P153DRAFT_294677,P153DRAFT_294677,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54404405,P153DRAFT_294678,P153DRAFT_294678,-,-,Unknown,-,P-loop containing nucleoside triphosphate hydrolase protein,protein-coding,-,-,-,P-loop containing nucleoside triphosphate hydrolase protein,20210320,-
1392245,54404406,P153DRAFT_294684,P153DRAFT_294684,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54404407,P153DRAFT_294727,P153DRAFT_294727,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54404408,P153DRAFT_294762,P153DRAFT_294762,-,-,Unknown,-,putative zinc metalloprotease,protein-coding,-,-,-,putative zinc metalloprotease,20210320,-
1392245,54404409,P153DRAFT_294781,P153DRAFT_294781,-,-,Unknown,-,"guanine nucleotide binding protein, alpha subunit",protein-coding,-,-,-,"guanine nucleotide binding protein, alpha subunit",20210320,-
1392245,54404410,P153DRAFT_294803,P153DRAFT_294803,-,-,Unknown,-,RmlC-like cupin,protein-coding,-,-,-,RmlC-like cupin,20210320,-
1392245,54404411,P153DRAFT_294807,P153DRAFT_294807,-,-,Unknown,-,amino acid transporter,protein-coding,-,-,-,amino acid transporter,20210320,-
1392245,54404412,P153DRAFT_294851,P153DRAFT_294851,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
