#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1542477,26640048,psaC,AVU42_gp223,-,-,-,-,photosystem I iron-sulfur subunit VII,protein-coding,-,-,-,photosystem I iron-sulfur subunit VII,20201221,-
1542477,26640239,AVU42_gp183,AVU42_gp183,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640240,AVU42_gp184,AVU42_gp184,-,-,-,-,putative glycosyltransferase,protein-coding,-,-,-,putative glycosyltransferase,20201221,-
1542477,26640241,AVU42_gp185,AVU42_gp185,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640242,AVU42_gp186,AVU42_gp186,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640243,AVU42_gp187,AVU42_gp187,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640244,AVU42_gp188,AVU42_gp188,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640245,AVU42_gp189,AVU42_gp189,-,-,-,-,putative zinc-containing alcohol dehydrogenase superfamily protein,protein-coding,-,-,-,putative zinc-containing alcohol dehydrogenase superfamily protein,20201221,-
1542477,26640246,AVU42_gp190,AVU42_gp190,-,-,-,-,putative transketolase central region-containing protein,protein-coding,-,-,-,putative transketolase central region-containing protein,20201221,-
1542477,26640247,AVU42_gp191,AVU42_gp191,-,-,-,-,putative carbohydrate kinase,protein-coding,-,-,-,putative carbohydrate kinase,20201221,-
1542477,26640248,AVU42_gp192,AVU42_gp192,-,-,-,-,putative nucleotide-sugar epimerase,protein-coding,-,-,-,putative nucleotide-sugar epimerase,20201221,-
1542477,26640249,AVU42_gp193,AVU42_gp193,-,-,-,-,putative nucleotidyltransferase,protein-coding,-,-,-,putative nucleotidyltransferase,20201221,-
1542477,26640250,AVU42_gp194,AVU42_gp194,-,-,-,-,putative nucleotidyltransferase,protein-coding,-,-,-,putative nucleotidyltransferase,20201221,-
1542477,26640251,AVU42_gp195,AVU42_gp195,-,-,-,-,putative phosphoheptose isomerase,protein-coding,-,-,-,putative phosphoheptose isomerase,20201221,-
1542477,26640252,AVU42_gp196,AVU42_gp196,-,-,-,-,putative NAD dependent epimerase,protein-coding,-,-,-,putative NAD dependent epimerase,20201221,-
1542477,26640253,AVU42_gp197,AVU42_gp197,-,-,-,-,putative glycosyltransferase,protein-coding,-,-,-,putative glycosyltransferase,20201221,-
1542477,26640254,AVU42_gp198,AVU42_gp198,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640255,AVU42_gp199,AVU42_gp199,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640256,AVU42_gp200,AVU42_gp200,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640257,AVU42_gp201,AVU42_gp201,-,-,-,-,putative high light inducible protein,protein-coding,-,-,-,putative high light inducible protein,20201221,-
1542477,26640258,AVU42_gp202,AVU42_gp202,-,-,-,-,putative high light inducible protein,protein-coding,-,-,-,putative high light inducible protein,20201221,-
1542477,26640259,AVU42_gp203,AVU42_gp203,-,-,-,-,putative high light inducible protein,protein-coding,-,-,-,putative high light inducible protein,20201221,-
1542477,26640260,AVU42_gp204,AVU42_gp204,-,-,-,-,putative high light inducible protein,protein-coding,-,-,-,putative high light inducible protein,20201221,-
1542477,26640261,AVU42_gp205,AVU42_gp205,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640262,AVU42_gp206,AVU42_gp206,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640263,AVU42_gp207,AVU42_gp207,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640264,AVU42_gp208,AVU42_gp208,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640265,AVU42_gp209,AVU42_gp209,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640266,AVU42_gp210,AVU42_gp210,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640267,AVU42_gp211,AVU42_gp211,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640268,AVU42_gp212,AVU42_gp212,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640269,AVU42_gp213,AVU42_gp213,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640270,AVU42_gp214,AVU42_gp214,-,-,-,-,putative plasmid stability protein,protein-coding,-,-,-,putative plasmid stability protein,20201221,-
1542477,26640271,AVU42_gp215,AVU42_gp215,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640272,AVU42_gp216,AVU42_gp216,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640273,AVU42_gp217,AVU42_gp217,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640274,AVU42_gp218,AVU42_gp218,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640275,AVU42_gp219,AVU42_gp219,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640276,AVU42_gp220,AVU42_gp220,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640277,AVU42_gp221,AVU42_gp221,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640278,psaJF,AVU42_gp222,-,-,-,-,photosystem I reaction center subunit,protein-coding,-,-,-,photosystem I reaction center subunit,20201221,-
1542477,26640279,ndhI,AVU42_gp230,-,-,-,-,NADH dehydrogenase subunit I,protein-coding,-,-,-,NADH dehydrogenase subunit I,20201221,-
1542477,26640280,psbA,AVU42_gp232,-,-,-,-,photosystem II D1 protein,protein-coding,-,-,-,photosystem II D1 protein,20201221,-
1542477,26640281,AVU42_gp235,AVU42_gp235,-,-,-,-,putative glutaredoxin,protein-coding,-,-,-,putative glutaredoxin,20201221,-
1542477,26640282,AVU42_gp236,AVU42_gp236,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640283,AVU42_gp237,AVU42_gp237,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640284,AVU42_gp238,AVU42_gp238,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640285,AVU42_gp239,AVU42_gp239,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640286,AVU42_gp240,AVU42_gp240,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640287,AVU42_gp241,AVU42_gp241,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640288,AVU42_gp242,AVU42_gp242,-,-,-,-,putative thymidylate synthetase,protein-coding,-,-,-,putative thymidylate synthetase,20201221,-
1542477,26640289,AVU42_gp243,AVU42_gp243,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640290,AVU42_gp244,AVU42_gp244,-,-,-,-,putative phosphate-starvation inducible protein,protein-coding,-,-,-,putative phosphate-starvation inducible protein,20201221,-
1542477,26640291,AVU42_gp245,AVU42_gp245,-,-,-,-,putative exonuclease,protein-coding,-,-,-,putative exonuclease,20201221,-
1542477,26640292,AVU42_gp246,AVU42_gp246,-,-,-,-,putative late promoter transcription accessory protein,protein-coding,-,-,-,putative late promoter transcription accessory protein,20201221,-
1542477,26640293,AVU42_gp001,AVU42_gp001,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26680656,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
