#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
889338,11257983,1,PVP-SE1_gp001,-,-,-,-,rIIA protein,protein-coding,-,-,-,rIIA protein,20201220,-
889338,11258193,212,PVP-SE1_gp212,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258194,213,PVP-SE1_gp213,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
889338,11258195,214,PVP-SE1_gp214,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258196,215,PVP-SE1_gp215,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258197,216,PVP-SE1_gp216,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258198,217,PVP-SE1_gp217,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258199,218,PVP-SE1_gp218,-,-,-,-,anti-sigma factor,protein-coding,-,-,-,anti-sigma factor,20201220,-
889338,11258200,219,PVP-SE1_gp219,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258201,220,PVP-SE1_gp220,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258202,221,PVP-SE1_gp221,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258203,222,PVP-SE1_gp222,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258204,223,PVP-SE1_gp223,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258205,224,PVP-SE1_gp224,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258206,225,PVP-SE1_gp225,-,-,-,-,MoxR ATPase,protein-coding,-,-,-,MoxR ATPase,20210417,-
889338,11258207,226,PVP-SE1_gp226,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258208,227,PVP-SE1_gp227,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258209,228,PVP-SE1_gp228,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258210,229,PVP-SE1_gp229,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258211,230,PVP-SE1_gp230,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258212,231,PVP-SE1_gp231,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210417,-
889338,11258213,232,PVP-SE1_gp232,-,-,-,-,putative phosphatase,protein-coding,-,-,-,putative phosphatase,20210417,-
889338,11258214,233,PVP-SE1_gp233,-,-,-,-,hypothetical membrane protein,protein-coding,-,-,-,hypothetical membrane protein,20201220,-
889338,11258215,234,PVP-SE1_gp234,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258216,235,PVP-SE1_gp235,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258217,236,PVP-SE1_gp236,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258218,237,PVP-SE1_gp237,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258219,238,PVP-SE1_gp238,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258220,239,PVP-SE1_gp239,-,-,-,-,RnlB RNA ligase 2,protein-coding,-,-,-,RnlB RNA ligase 2,20201220,-
889338,11258221,240,PVP-SE1_gp240,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258222,241,PVP-SE1_gp241,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258223,242,PVP-SE1_gp242,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258224,243,PVP-SE1_gp243,-,-,-,-,cell wall hydrolase SleB,protein-coding,-,-,-,cell wall hydrolase SleB,20201220,-
889338,11258225,244,PVP-SE1_gp244,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258226,14,PVP-SE1_gp014,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201220,-
889338,11266661,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Salmonella phage PVP-SE1).,other,-,-,-,-,20200513,-
889338,11467780,PVP-SE1_gt002,PVP-SE1_gt002,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
889338,11467781,PVP-SE1_gt003,PVP-SE1_gt003,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
889338,11467782,PVP-SE1_gt004,PVP-SE1_gt004,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
889338,11467783,PVP-SE1_gt005,PVP-SE1_gt005,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
889338,11467784,PVP-SE1_gt006,PVP-SE1_gt006,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
889338,11467785,PVP-SE1_gt007,PVP-SE1_gt007,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
889338,11467786,PVP-SE1_gt008,PVP-SE1_gt008,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
889338,11467787,PVP-SE1_gt009,PVP-SE1_gt009,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
889338,11467788,PVP-SE1_gt010,PVP-SE1_gt010,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
889338,11467789,PVP-SE1_gt011,PVP-SE1_gt011,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
889338,11467790,PVP-SE1_gt012,PVP-SE1_gt012,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
889338,11467791,PVP-SE1_gt013,PVP-SE1_gt013,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
889338,11467792,PVP-SE1_gt014,PVP-SE1_gt014,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
889338,11467793,PVP-SE1_gt015,PVP-SE1_gt015,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
889338,11467794,PVP-SE1_gt016,PVP-SE1_gt016,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
889338,11467795,PVP-SE1_gt017,PVP-SE1_gt017,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
889338,11467796,PVP-SE1_gt019,PVP-SE1_gt019,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
889338,11467797,PVP-SE1_gt020,PVP-SE1_gt020,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
889338,11467798,PVP-SE1_gt021,PVP-SE1_gt021,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
889338,11467799,PVP-SE1_gt022,PVP-SE1_gt022,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
889338,11467800,PVP-SE1_gt001,PVP-SE1_gt001,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
889338,11467801,PVP-SE1_gt018,PVP-SE1_gt018,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
889338,11467802,PVP-SE1_gt023,PVP-SE1_gt023,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
889338,11467803,PVP-SE1_gt024,PVP-SE1_gt024,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
