#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
212035,3293507,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Acanthamoeba poliphaga mimivirus).,other,-,-,-,-,20210202,-
212035,9924774,L173b,MIMI_gp0192,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924775,L174,MIMI_gp0193,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924776,L174b,MIMI_gp0194,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924777,L175,MIMI_gp0195,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924778,L176,MIMI_gp0196,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924779,L177,MIMI_gp0197,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924780,L178,MIMI_gp0198,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924781,L179,MIMI_gp0199,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924782,L180,MIMI_gp0200,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924783,L181,MIMI_gp0201,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924784,L182,MIMI_gp0202,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924785,L183,MIMI_gp0203,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924786,L184,MIMI_gp0204,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924787,L185,MIMI_gp0205,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924788,R186b,MIMI_gs0016,-,-,-,-,ncRNA,ncRNA,-,-,-,-,20200909,-
212035,9924789,R186c,MIMI_gs0017,-,-,-,-,ncRNA,ncRNA,-,-,-,-,20200909,-
212035,9924790,L187b,MIMI_gs0018,-,-,-,-,ncRNA,ncRNA,-,-,-,-,20200909,-
212035,9924791,R186,MIMI_gp0206,-,-,-,-,putative transposase,protein-coding,-,-,-,putative transposase,20201220,-
212035,9924792,R187,MIMI_gp0207,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924793,R188,MIMI_gp0208,-,-,-,-,putative amine oxidase,protein-coding,-,-,-,putative amine oxidase,20201220,-
212035,9924794,L189,MIMI_gp0209,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924795,R190,MIMI_gp0210,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9924796,L191,MIMI_gp0211,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924797,R191b,MIMI_gp0212,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924798,R191c,MIMI_gp0213,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924799,L192,MIMI_gp0214,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924800,L193,MIMI_gp0215,-,-,-,-,uncharacterized glycosyltransferase,protein-coding,-,-,-,uncharacterized glycosyltransferase,20201220,-
212035,9924801,R194,MIMI_gp0216,-,-,-,-,DNA topoisomerase 1b,protein-coding,-,-,-,DNA topoisomerase 1b,20201220,-
212035,9924802,R195,MIMI_gp0217,-,-,-,-,probable glutaredoxin,protein-coding,-,-,-,probable glutaredoxin,20201220,-
212035,9924803,R196,MIMI_gp0218,-,-,-,-,collagen-like protein 2,protein-coding,-,-,-,collagen-like protein 2,20201220,-
212035,9924804,R197,MIMI_gp0219,-,-,-,-,putative cytidine deaminase,protein-coding,-,-,-,putative cytidine deaminase,20201220,-
212035,9924805,L199,MIMI_gp0220,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924806,R198,MIMI_gp0221,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924807,L200,MIMI_gp0222,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924808,L201,MIMI_gp0223,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924809,L202,MIMI_gp0224,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924810,R203,MIMI_gp0225,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924811,L204,MIMI_gp0226,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924812,R204b,MIMI_gp0227,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924813,L205,MIMI_gp0228,-,-,-,-,putative serine/threonine-protein kinase,protein-coding,-,-,-,putative serine/threonine-protein kinase,20201220,-
212035,9924814,L207/L206,MIMI_gp0229,-,-,-,-,putative helicase,protein-coding,-,-,-,putative helicase,20201220,-
212035,9924815,L208,MIMI_gp0230,-,-,-,-,putative DNA-dependent RNA polymerase subunit Rpb9,protein-coding,-,-,-,putative DNA-dependent RNA polymerase subunit Rpb9,20201220,-
212035,9924816,R209,MIMI_gp0231,-,-,-,-,DNA-directed RNA polymerase subunit 6,protein-coding,-,-,-,DNA-directed RNA polymerase subunit 6,20201220,-
212035,9924817,R210,MIMI_gp0232,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924818,L211,MIMI_gp0233,-,-,-,-,putative etoposide-induced protein 2.4,protein-coding,-,-,-,putative etoposide-induced protein 2.4,20201220,-
212035,9924819,R212,MIMI_gp0234,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924820,R213,MIMI_gp0235,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924821,R213b,MIMI_gp0236,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924822,R214,MIMI_gp0237,-,-,-,-,probable RAB-related GTPase,protein-coding,-,-,-,probable RAB-related GTPase,20201220,-
212035,9924823,L216/L215,MIMI_gp0238,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9924824,R217,MIMI_gp0239,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924825,L218,MIMI_gp0240,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924826,R219,MIMI_gp0241,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9924827,R220,MIMI_gp0242,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924828,L221,MIMI_gp0243,-,-,-,-,DNA topoisomerase 1,protein-coding,-,-,-,DNA topoisomerase 1,20201220,-
212035,9924829,L222,MIMI_gp0244,-,-,-,-,putative SET domain-containing protein,protein-coding,-,-,-,putative SET domain-containing protein,20201220,-
212035,9924830,L223,MIMI_gp0245,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924831,R224,MIMI_gp0246,-,-,-,-,putative BTB/POZ domain-containing protein,protein-coding,-,-,-,putative BTB/POZ domain-containing protein,20201220,-
212035,9924832,R225,MIMI_gp0247,-,-,-,-,putative BTB/POZ domain-containing protein,protein-coding,-,-,-,putative BTB/POZ domain-containing protein,20201220,-
212035,9924833,L226,MIMI_gp0248,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924834,L227,MIMI_gp0249,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924835,L228,MIMI_gp0250,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924836,R229,MIMI_gp0251,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9924837,L230,MIMI_gp0252,-,-,-,-,"probable procollagen-lysine,2-oxoglutarate 5-dioxygenase",protein-coding,-,-,-,"probable procollagen-lysine,2-oxoglutarate 5-dioxygenase",20201220,-
212035,9924838,L231,MIMI_gp0253,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924839,L232,MIMI_gp0254,-,-,-,-,putative serine/threonine-protein kinase,protein-coding,-,-,-,putative serine/threonine-protein kinase,20201220,-
212035,9924840,L233,MIMI_gp0255,-,-,-,-,putative zinc protease,protein-coding,-,-,-,putative zinc protease,20201220,-
212035,9924841,L234,MIMI_gp0256,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924842,L235,MIMI_gp0257,-,-,-,-,DNA-directed RNA polymerase subunit 5,protein-coding,-,-,-,DNA-directed RNA polymerase subunit 5,20201220,-
212035,9924843,L236,MIMI_gp0258,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924844,L237,MIMI_gp0259,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924845,R238,MIMI_gp0260,-,-,-,-,putative collagenous domain-containing protein,protein-coding,-,-,-,putative collagenous domain-containing protein,20201220,-
212035,9924846,R239,MIMI_gp0261,-,-,-,-,collagen-like protein 3,protein-coding,-,-,-,collagen-like protein 3,20201220,-
212035,9924847,R240,MIMI_gp0262,-,-,-,-,collagen-like protein 4,protein-coding,-,-,-,collagen-like protein 4,20201220,-
212035,9924848,R241,MIMI_gp0263,-,-,-,-,collagen-like protein 5,protein-coding,-,-,-,collagen-like protein 5,20201220,-
212035,9924849,L242,MIMI_gp0264,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924850,L243,MIMI_gp0265,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924851,L244,MIMI_gp0266,-,-,-,-,DNA-directed RNA polymerase subunit 2,protein-coding,-,-,-,DNA-directed RNA polymerase subunit 2,20201220,-
212035,9924852,L245,MIMI_gp0267,-,-,-,-,uncharacterized HNH endonuclease,protein-coding,-,-,-,uncharacterized HNH endonuclease,20201220,-
212035,9924853,L246,MIMI_gp0268,-,-,-,-,putative prophage protein,protein-coding,-,-,-,putative prophage protein,20201220,-
212035,9924854,L247,MIMI_gp0269,-,-,-,-,uncharacterized HNH endonuclease,protein-coding,-,-,-,uncharacterized HNH endonuclease,20201220,-
212035,9924855,L248,MIMI_gp0270,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924856,L249,MIMI_gp0271,-,-,-,-,probable uracil-DNA glycosylase,protein-coding,-,-,-,probable uracil-DNA glycosylase,20201220,-
212035,9924857,L250,MIMI_gp0272,-,-,-,-,putative transcription initiation factor IIb-like protein,protein-coding,-,-,-,putative transcription initiation factor IIb-like protein,20201220,-
212035,9924858,L250b,MIMI_gp0273,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924859,L251,MIMI_gp0274,-,-,-,-,lon protease-like protein,protein-coding,-,-,-,lon protease-like protein,20201220,-
212035,9924860,R252,MIMI_gp0275,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924861,R253,MIMI_gp0276,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924862,R253b,MIMI_gp0277,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924863,L254,MIMI_gp0278,-,-,-,-,heat shock protein 70-like protein,protein-coding,-,-,-,heat shock protein 70-like protein,20201220,-
212035,9924864,R255,MIMI_gp0279,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924865,L256,MIMI_gp0280,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924866,R257,MIMI_gp0281,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924867,L258,MIMI_gp0282,-,-,-,-,thymidine kinase,protein-coding,-,-,-,thymidine kinase,20201220,-
212035,9924868,R259,MIMI_gp0283,-,-,-,-,putative tRNA(His) guanylyltransferase,protein-coding,-,-,-,putative tRNA(His) guanylyltransferase,20201220,-
212035,9924869,R260,MIMI_gp0284,-,-,-,-,DnaJ-like protein,protein-coding,-,-,-,DnaJ-like protein,20201220,-
212035,9924870,R261,MIMI_gp0285,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924871,L262,MIMI_gp0286,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924872,L263,MIMI_gp0287,-,-,-,-,putative glycosyltransferase,protein-coding,-,-,-,putative glycosyltransferase,20201220,-
212035,9924873,L264,MIMI_gp0288,-,-,-,-,uncharacterized WD repeat-containing protein,protein-coding,-,-,-,uncharacterized WD repeat-containing protein,20201220,-
212035,9924874,L265,MIMI_gp0289,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924875,R266,MIMI_gp0290,-,-,-,-,putative J domain-containing protein,protein-coding,-,-,-,putative J domain-containing protein,20201220,-
212035,9924876,R267,MIMI_gp0291,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9924877,L268,MIMI_gp0292,-,-,-,-,putative serine/threonine-protein kinase,protein-coding,-,-,-,putative serine/threonine-protein kinase,20201220,-
212035,9924878,L269,MIMI_gp0293,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924879,L270,MIMI_gp0294,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924880,L271,MIMI_gp0295,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9924881,L271b,MIMI_gp0296,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924882,L272,MIMI_gp0297,-,-,-,-,putative BTB/POZ domain-containing protein,protein-coding,-,-,-,putative BTB/POZ domain-containing protein,20201220,-
212035,9924883,L273,MIMI_gp0298,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9924884,L274,MIMI_gp0299,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924885,R274b,MIMI_gp0300,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924886,L275,MIMI_gp0301,-,-,-,-,putative BTB/POZ domain-containing protein,protein-coding,-,-,-,putative BTB/POZ domain-containing protein,20201220,-
212035,9924887,tRNA-His,MIMI_gt0002,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
212035,9924888,tRNA-Cys,MIMI_gt0003,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
212035,9924889,L275b,MIMI_gp0302,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924890,L276,MIMI_gp0303,-,-,-,-,mitochondrial carrier-like protein,protein-coding,-,-,-,mitochondrial carrier-like protein,20201220,-
212035,9924891,R277,MIMI_gp0304,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924892,L278,MIMI_gp0305,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924893,L279,MIMI_gp0306,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9924894,L279b,MIMI_gp0307,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924895,L280,MIMI_gp0308,-,-,-,-,uncharacterized acetyltransferase,protein-coding,-,-,-,uncharacterized acetyltransferase,20201220,-
212035,9924896,L281,MIMI_gp0309,-,-,-,-,putative FNIP repeat-containing protein,protein-coding,-,-,-,putative FNIP repeat-containing protein,20201220,-
212035,9924897,L282,MIMI_gp0310,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924898,L283,MIMI_gp0311,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9924899,L284,MIMI_gp0312,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9924900,L285,MIMI_gp0313,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924901,R286,MIMI_gp0314,-,-,-,-,putative F-box and FNIP repeat-containing protein,protein-coding,-,-,-,putative F-box and FNIP repeat-containing protein,20201220,-
212035,9924902,R287,MIMI_gp0315,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924903,L288,MIMI_gp0316,-,-,-,-,putative B-type lectin protein,protein-coding,-,-,-,putative B-type lectin protein,20201220,-
212035,9924904,L289,MIMI_gp0317,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9924905,R290,MIMI_gp0318,-,-,-,-,putative ATP-dependent RNA helicase,protein-coding,-,-,-,putative ATP-dependent RNA helicase,20201220,-
212035,9924906,L291,MIMI_gp0319,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924907,R292,MIMI_gp0320,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924908,L293,MIMI_gp0321,-,-,-,-,putative ubiquitin carboxyl-terminal hydrolase,protein-coding,-,-,-,putative ubiquitin carboxyl-terminal hydrolase,20201220,-
212035,9924909,L294,MIMI_gp0322,-,-,-,-,kinesin-like protein,protein-coding,-,-,-,kinesin-like protein,20201220,-
212035,9924910,L295,MIMI_gp0323,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924911,R296,MIMI_gp0324,-,-,-,-,putative endonuclease 4,protein-coding,-,-,-,putative endonuclease 4,20201220,-
212035,9924912,R297,MIMI_gp0325,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924913,R298/R299,MIMI_gp0326,-,-,-,-,probable ribonuclease H protein,protein-coding,-,-,-,probable ribonuclease H protein,20201220,-
212035,9924914,L299b,MIMI_gp0327,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924915,L300,MIMI_gp0328,-,-,-,-,uncharacterized endo/excinuclease amino terminal domain protein,protein-coding,-,-,-,uncharacterized endo/excinuclease amino terminal domain protein,20201220,-
212035,9924916,R301,MIMI_gp0329,-,-,-,-,putative serine/threonine-protein kinase,protein-coding,-,-,-,putative serine/threonine-protein kinase,20201220,-
212035,9924917,R302,MIMI_gp0330,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924918,L303b,MIMI_gs0019,-,-,-,-,ncRNA,ncRNA,-,-,-,-,20200909,-
212035,9924919,R303,MIMI_gp0331,-,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20201220,-
212035,9924920,R304,MIMI_gp0332,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924921,R305,MIMI_gp0333,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924922,R306/R307,MIMI_gp0334,-,-,-,-,putative protein phosphatase 2C,protein-coding,-,-,-,putative protein phosphatase 2C,20201220,-
212035,9924923,L308,MIMI_gp0335,-,-,-,-,putative mRNA capping enzyme,protein-coding,-,-,-,putative mRNA capping enzyme,20201220,-
212035,9924924,L309,MIMI_gp0336,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924925,L309b,MIMI_gp0337,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924926,L309c,MIMI_gp0338,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924927,L310,MIMI_gp0339,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924928,R311,MIMI_gp0340,-,-,-,-,putative ring finger protein,protein-coding,-,-,-,putative ring finger protein,20201220,-
212035,9924929,L312,MIMI_gp0341,-,-,-,-,ribonucleoside-diphosphate reductase small chain,protein-coding,-,-,-,ribonucleoside-diphosphate reductase small chain,20201220,-
212035,9924930,R313,MIMI_gp0342,-,-,-,-,ribonucleoside-diphosphate reductase large subunit,protein-coding,-,-,-,ribonucleoside-diphosphate reductase large subunit,20201220,-
212035,9924931,R314,MIMI_gp0343,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924932,L315,MIMI_gp0344,-,-,-,-,probable formamidopyrimidine-DNA glycosylase,protein-coding,-,-,-,probable formamidopyrimidine-DNA glycosylase,20201220,-
212035,9924933,L316,MIMI_gp0345,-,-,-,-,probable glucosamine 6-phosphate N-acetyltransferase,protein-coding,-,-,-,probable glucosamine 6-phosphate N-acetyltransferase,20201220,-
212035,9924934,R317,MIMI_gp0346,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924935,L318,MIMI_gp0347,-,-,-,-,probable DNA polymerase family X,protein-coding,-,-,-,probable DNA polymerase family X,20201220,-
212035,9924936,R319,MIMI_gp0348,-,-,-,-,probable ubiquitin carboxyl-terminal hydrolase,protein-coding,-,-,-,probable ubiquitin carboxyl-terminal hydrolase,20201220,-
212035,9924937,L320,MIMI_gp0349,-,-,-,-,putative methyltransferase,protein-coding,-,-,-,putative methyltransferase,20201220,-
212035,9924938,R321,MIMI_gp0350,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924939,R322,MIMI_gp0351,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20201220,-
212035,9924940,L323,MIMI_gp0352,-,-,-,-,uncharacterized myristoylated membrane protein,protein-coding,-,-,-,uncharacterized myristoylated membrane protein,20201220,-
212035,9924941,L324,MIMI_gp0353,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924942,R325,MIMI_gp0354,-,-,-,-,uncharacterized metallopeptidase WLM domain protein,protein-coding,-,-,-,uncharacterized metallopeptidase WLM domain protein,20201220,-
212035,9924943,R327b,MIMI_gs0020,-,-,-,-,ncRNA,ncRNA,-,-,-,-,20200909,-
212035,9924944,R326/R327,MIMI_gp0355,-,-,-,-,putative early transcription factor large subunit,protein-coding,-,-,-,putative early transcription factor large subunit,20201220,-
212035,9924945,R328,MIMI_gp0356,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924946,R328b,MIMI_gp0357,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924947,R329,MIMI_gp0358,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924948,L330,MIMI_gp0359,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924949,R331,MIMI_gp0360,-,-,-,-,putative zinc finger MYND domain-containing protein,protein-coding,-,-,-,putative zinc finger MYND domain-containing protein,20201220,-
212035,9924950,L332,MIMI_gp0361,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924951,L333,MIMI_gp0362,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924952,L334,MIMI_gp0363,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924953,R335,MIMI_gp0364,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924954,R336/R337,MIMI_gp0365,-,-,-,-,uncharacterized cullin-like protein,protein-coding,-,-,-,uncharacterized cullin-like protein,20201220,-
212035,9924955,R338,MIMI_gp0366,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924956,R339,MIMI_gp0367,-,-,-,-,transcription factor S-II-related protein,protein-coding,-,-,-,transcription factor S-II-related protein,20201220,-
212035,9924957,L340,MIMI_gp0368,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924958,R341,MIMI_gp0369,-,-,-,-,putative poly(A) polymerase catalytic subunit,protein-coding,-,-,-,putative poly(A) polymerase catalytic subunit,20201220,-
212035,9924959,R342,MIMI_gp0370,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924960,R343,MIMI_gp0371,-,-,-,-,probable ribonuclease 3,protein-coding,-,-,-,probable ribonuclease 3,20201220,-
212035,9924961,L344,MIMI_gp0372,-,-,-,-,uncharacterized WD repeat-containing protein,protein-coding,-,-,-,uncharacterized WD repeat-containing protein,20201220,-
212035,9924962,R344b,MIMI_gp0373,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924963,R345,MIMI_gp0374,-,-,-,-,putative regulator of chromosome condensation,protein-coding,-,-,-,putative regulator of chromosome condensation,20201220,-
212035,9924964,R346,MIMI_gp0375,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924965,L347b,MIMI_gs0021,-,-,-,-,ncRNA,ncRNA,-,-,-,-,20200909,-
212035,9924966,R347,MIMI_gp0376,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924967,R348,MIMI_gp0377,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924968,R349,MIMI_gp0378,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924969,R350,MIMI_gp0379,-,-,-,-,putative transcription termination factor,protein-coding,-,-,-,putative transcription termination factor,20201220,-
212035,9924970,R351,MIMI_gp0380,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924971,L352,MIMI_gp0381,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924972,R353,MIMI_gp0382,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924973,R354,MIMI_gp0383,-,-,-,-,putative phage-type endonuclease,protein-coding,-,-,-,putative phage-type endonuclease,20201220,-
212035,9924974,R355,MIMI_gp0384,-,-,-,-,putative thiol protease,protein-coding,-,-,-,putative thiol protease,20201220,-
212035,9924975,L356,MIMI_gp0385,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924976,L357,MIMI_gp0386,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924977,R357b,MIMI_gp0387,-,-,-,-,putative DNA-directed RNA polymerase II subunit N,protein-coding,-,-,-,putative DNA-directed RNA polymerase II subunit N,20201220,-
