#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2419614,64765545,3,KHO65_gp002,SEA_SAUCE_3,-,-,-,nucleotidyltransferase,protein-coding,-,-,-,nucleotidyltransferase,20210508,-
2419614,64765739,208,KHO65_gp136,SEA_SAUCE_208,-,-,-,holliday junction resolvase,protein-coding,-,-,-,holliday junction resolvase,20210508,-
2419614,64765740,209,KHO65_gp135,SEA_SAUCE_209,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765741,210,KHO65_gp134,SEA_SAUCE_210,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210508,-
2419614,64765742,211,KHO65_gp133,SEA_SAUCE_211,-,-,-,RusA-like resolvase,protein-coding,-,-,-,RusA-like resolvase,20210508,-
2419614,64765743,212,KHO65_gp132,SEA_SAUCE_212,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765744,213,KHO65_gp131,SEA_SAUCE_213,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2419614,64765745,214,KHO65_gp130,SEA_SAUCE_214,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765746,215,KHO65_gp129,SEA_SAUCE_215,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765747,216,KHO65_gp128,SEA_SAUCE_216,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765748,217,KHO65_gp127,SEA_SAUCE_217,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765749,218,KHO65_gp126,SEA_SAUCE_218,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210515,-
2419614,64765750,220,KHO65_gt030,SEA_SAUCE_220,-,-,-,tRNA,tRNA,-,-,-,-,20210508,-
2419614,64765751,221,KHO65_gt031,SEA_SAUCE_221,-,-,-,tRNA,tRNA,-,-,-,-,20210508,-
2419614,64765752,222,KHO65_gp124,SEA_SAUCE_222,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2419614,64765753,223,KHO65_gp123,SEA_SAUCE_223,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765754,224,KHO65_gp122,SEA_SAUCE_224,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765755,225,KHO65_gp121,SEA_SAUCE_225,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765756,226,KHO65_gp120,SEA_SAUCE_226,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765757,227,KHO65_gp119,SEA_SAUCE_227,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765758,228,KHO65_gp118,SEA_SAUCE_228,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765759,231,KHO65_gp115,SEA_SAUCE_231,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765760,232,KHO65_gp114,SEA_SAUCE_232,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765761,233,KHO65_gp113,SEA_SAUCE_233,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765762,234,KHO65_gp112,SEA_SAUCE_234,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765763,235,KHO65_gp111,SEA_SAUCE_235,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765764,236,KHO65_gp110,SEA_SAUCE_236,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765765,237,KHO65_gp109,SEA_SAUCE_237,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210522,-
2419614,64765766,238,KHO65_gp108,SEA_SAUCE_238,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765767,239,KHO65_gp107,SEA_SAUCE_239,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210508,-
2419614,64765768,240,KHO65_gp106,SEA_SAUCE_240,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210522,-
2419614,64765769,241,KHO65_gp105,SEA_SAUCE_241,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210508,-
2419614,64765770,242,KHO65_gp104,SEA_SAUCE_242,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210508,-
2419614,64765771,243,KHO65_gp103,SEA_SAUCE_243,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765772,244,KHO65_gp102,SEA_SAUCE_244,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765773,245,KHO65_gp101,SEA_SAUCE_245,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765774,246,KHO65_gp100,SEA_SAUCE_246,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765775,247,KHO65_gp099,SEA_SAUCE_247,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210515,-
2419614,64765776,248,KHO65_gp098,SEA_SAUCE_248,-,-,-,holin,protein-coding,-,-,-,holin,20210508,-
2419614,64765777,249,KHO65_gp097,SEA_SAUCE_249,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210508,-
2419614,64765778,250,KHO65_gp096,SEA_SAUCE_250,-,-,-,terminase,protein-coding,-,-,-,terminase,20210508,-
2419614,64765779,251,KHO65_gp095,SEA_SAUCE_251,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765780,252,KHO65_gp094,SEA_SAUCE_252,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765781,253,KHO65_gp093,SEA_SAUCE_253,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765782,254,KHO65_gp092,SEA_SAUCE_254,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765783,255,KHO65_gp091,SEA_SAUCE_255,-,-,-,polynucleotide kinase,protein-coding,-,-,-,polynucleotide kinase,20210508,-
2419614,64765784,256,KHO65_gp090,SEA_SAUCE_256,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765785,257,KHO65_gp089,SEA_SAUCE_257,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765786,258,KHO65_gp088,SEA_SAUCE_258,-,-,-,serine/threonine kinase,protein-coding,-,-,-,serine/threonine kinase,20210529,-
2419614,64765787,259,KHO65_gp087,SEA_SAUCE_259,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210508,-
2419614,64765788,260,KHO65_gp086,SEA_SAUCE_260,-,-,-,PurA-like adenylosuccinate synthetase,protein-coding,-,-,-,PurA-like adenylosuccinate synthetase,20210508,-
2419614,64765789,261,KHO65_gp085,SEA_SAUCE_261,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765790,262,KHO65_gp084,SEA_SAUCE_262,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765791,263,KHO65_gp083,SEA_SAUCE_263,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765792,9,KHO65_gp008,SEA_SAUCE_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765793,26,KHO65_gp025,SEA_SAUCE_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765794,38,KHO65_gp037,SEA_SAUCE_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2419614,64765795,68,KHO65_gp067,SEA_SAUCE_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765796,71,KHO65_gp070,SEA_SAUCE_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765797,76,KHO65_gp075,SEA_SAUCE_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765798,112,KHO65_gp206,SEA_SAUCE_112,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765799,85,KHO65_gt002,SEA_SAUCE_85,-,-,-,tRNA,tRNA,-,-,-,-,20210508,-
2419614,64765800,155,KHO65_gp165,SEA_SAUCE_155,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765801,170,KHO65_gt020,SEA_SAUCE_170,-,-,-,tRNA,tRNA,-,-,-,-,20210508,-
2419614,64765802,177,KHO65_gt025,SEA_SAUCE_177,-,-,-,tRNA,tRNA,-,-,-,-,20210508,-
2419614,64765803,219,KHO65_gp125,SEA_SAUCE_219,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765804,230,KHO65_gp116,SEA_SAUCE_230,-,-,-,Ro-like RNA binding protein,protein-coding,-,-,-,Ro-like RNA binding protein,20210515,-
2419614,64765805,229,KHO65_gp117,SEA_SAUCE_229,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765806,2,KHO65_gp001,SEA_SAUCE_2,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210508,-
2419614,64792232,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210510,-
