#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2499909,65117899,KNU29_gp002,KNU29_gp002,-,-,-,-,RNA polymerase binding protein,protein-coding,-,-,-,RNA polymerase binding protein,20210607,-
2499909,65118091,KNU29_gp194,KNU29_gp194,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65118092,KNU29_gp195,KNU29_gp195,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65118093,KNU29_gp196,KNU29_gp196,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65118094,KNU29_gp197,KNU29_gp197,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65118095,KNU29_gp198,KNU29_gp198,-,-,-,-,putative RNA metabolism modulator,protein-coding,-,-,-,putative RNA metabolism modulator,20210607,-
2499909,65118096,KNU29_gp199,KNU29_gp199,-,-,-,-,modifier of transcription,protein-coding,-,-,-,modifier of transcription,20210607,-
2499909,65118097,KNU29_gp200,KNU29_gp200,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65118098,KNU29_gp201,KNU29_gp201,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65118099,KNU29_gp202,KNU29_gp202,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65118100,KNU29_gp203,KNU29_gp203,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65118101,KNU29_gp204,KNU29_gp204,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210607,-
2499909,65118102,KNU29_gp205,KNU29_gp205,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65118103,KNU29_gp206,KNU29_gp206,-,-,-,-,putative anti-sigma factor,protein-coding,-,-,-,putative anti-sigma factor,20210607,-
2499909,65118104,KNU29_gp207,KNU29_gp207,-,-,-,-,ADP-ribosylase,protein-coding,-,-,-,ADP-ribosylase,20210607,-
2499909,65118105,KNU29_gp208,KNU29_gp208,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65118106,KNU29_gp209,KNU29_gp209,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65118107,KNU29_gp210,KNU29_gp210,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65118108,KNU29_gp211,KNU29_gp211,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65118109,KNU29_gp212,KNU29_gp212,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65118110,KNU29_gp213,KNU29_gp213,-,-,-,-,small outer capsid protein,protein-coding,-,-,-,small outer capsid protein,20210607,-
2499909,65118111,KNU29_gp214,KNU29_gp214,-,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20210607,-
2499909,65118112,KNU29_gp215,KNU29_gp215,-,-,-,-,dCTPase,protein-coding,-,-,-,dCTPase,20210607,-
2499909,65118113,KNU29_gp216,KNU29_gp216,-,-,-,-,DNA primase subunit,protein-coding,-,-,-,DNA primase subunit,20210607,-
2499909,65118114,KNU29_gp217,KNU29_gp217,-,-,-,-,nucleotidyltransferase,protein-coding,-,-,-,nucleotidyltransferase,20210607,-
2499909,65118115,KNU29_gp218,KNU29_gp218,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65118116,KNU29_gp219,KNU29_gp219,-,-,-,-,superinfection immunity protein,protein-coding,-,-,-,superinfection immunity protein,20210607,-
2499909,65118117,KNU29_gp220,KNU29_gp220,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65118118,KNU29_gp221,KNU29_gp221,-,-,-,-,discriminator of mRNA degradation,protein-coding,-,-,-,discriminator of mRNA degradation,20210607,-
2499909,65118119,KNU29_gp222,KNU29_gp222,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65118120,KNU29_gp223,KNU29_gp223,-,-,-,-,DNA primase-helicase subunit,protein-coding,-,-,-,DNA primase-helicase subunit,20210607,-
2499909,65118121,KNU29_gp224,KNU29_gp224,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65118122,KNU29_gp225,KNU29_gp225,-,-,-,-,RecA-like recombination protein,protein-coding,-,-,-,RecA-like recombination protein,20210607,-
2499909,65118123,KNU29_gp226,KNU29_gp226,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65118124,KNU29_gp227,KNU29_gp227,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65118125,KNU29_gp228,KNU29_gp228,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65118126,KNU29_gp229,KNU29_gp229,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65118127,KNU29_gp230,KNU29_gp230,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65118128,KNU29_gp231,KNU29_gp231,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65118129,KNU29_gp232,KNU29_gp232,-,-,-,-,immunity to superinfection membrane protein,protein-coding,-,-,-,immunity to superinfection membrane protein,20210607,-
2499909,65118130,KNU29_gp233,KNU29_gp233,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210607,-
2499909,65118131,KNU29_gp234,KNU29_gp234,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65118132,KNU29_gp235,KNU29_gp235,-,-,-,-,translational repressor protein,protein-coding,-,-,-,translational repressor protein,20210607,-
2499909,65118133,KNU29_gp236,KNU29_gp236,-,-,-,-,clamp loader subunit DNA polymerase,protein-coding,-,-,-,clamp loader subunit DNA polymerase,20210609,-
2499909,65118134,KNU29_gp237,KNU29_gp237,-,-,-,-,clamp loader subunit DNA polymerase accessory protein,protein-coding,-,-,-,clamp loader subunit DNA polymerase accessory protein,20210607,-
2499909,65118135,KNU29_gp001,KNU29_gp001,-,-,-,-,sliding clamp DNA polymerase accessory protein,protein-coding,-,-,-,sliding clamp DNA polymerase accessory protein,20210607,-
2499909,65243002,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
