#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1079999,14005267,F364_gp002,F364_gp002,-,-,-,-,gp7,protein-coding,-,-,-,gp7,20201220,-
1079999,14005469,F364_gp204,F364_gp204,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005470,F364_gp205,F364_gp205,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005471,F364_gp206,F364_gp206,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005472,F364_gp207,F364_gp207,-,-,-,-,TalC transaldolase-like protein,protein-coding,-,-,-,TalC transaldolase-like protein,20201220,-
1079999,14005473,F364_gp208,F364_gp208,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005474,F364_gp209,F364_gp209,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005475,F364_gp210,F364_gp210,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005476,F364_gp211,F364_gp211,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005477,F364_gp212,F364_gp212,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005478,F364_gp213,F364_gp213,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005479,F364_gp214,F364_gp214,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005480,F364_gp215,F364_gp215,-,-,-,-,Hli04 high light inducible protein,protein-coding,-,-,-,Hli04 high light inducible protein,20201220,-
1079999,14005481,F364_gp216,F364_gp216,-,-,-,-,Hli03 high light inducible protein,protein-coding,-,-,-,Hli03 high light inducible protein,20201220,-
1079999,14005482,F364_gp217,F364_gp217,-,-,-,-,Hli03 high light inducible protein,protein-coding,-,-,-,Hli03 high light inducible protein,20201220,-
1079999,14005483,F364_gp218,F364_gp218,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005484,F364_gp219,F364_gp219,-,-,-,-,PsbA photosystem I D1 protein,protein-coding,-,-,-,PsbA photosystem I D1 protein,20201220,-
1079999,14005485,F364_gp220,F364_gp220,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005486,F364_gp221,F364_gp221,-,-,-,-,PA14 domain protein,protein-coding,-,-,-,PA14 domain protein,20201220,-
1079999,14005487,F364_gp222,F364_gp222,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005488,F364_gp223,F364_gp223,-,-,-,-,DUF680,protein-coding,-,-,-,DUF680,20201220,-
1079999,14005489,F364_gp224,F364_gp224,-,-,-,-,NrdC glutaredoxin,protein-coding,-,-,-,NrdC glutaredoxin,20201220,-
1079999,14005490,F364_gp225,F364_gp225,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005491,F364_gp226,F364_gp226,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005492,F364_gp227,F364_gp227,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005493,F364_gp228,F364_gp228,-,-,-,-,Td Td thymidylate synthetase,protein-coding,-,-,-,Td Td thymidylate synthetase,20201220,-
1079999,14005494,F364_gp229,F364_gp229,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005495,F364_gp230,F364_gp230,-,-,-,-,PhoH P-starvation inducible protein,protein-coding,-,-,-,PhoH P-starvation inducible protein,20201220,-
1079999,14005496,F364_gp231,F364_gp231,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201220,-
1079999,14005497,F364_gp232,F364_gp232,-,-,-,-,gp33 late promoter transcription accessory protein,protein-coding,-,-,-,gp33 late promoter transcription accessory protein,20201220,-
1079999,14005498,F364_gp233,F364_gp233,-,-,-,-,gp41 DNA helicase gp59 loader protein,protein-coding,-,-,-,gp41 DNA helicase gp59 loader protein,20201220,-
1079999,14005499,F364_gp234,F364_gp234,-,-,-,-,DUF1825,protein-coding,-,-,-,DUF1825,20201220,-
1079999,14005500,F364_gp001,F364_gp001,-,-,-,-,cAMP phosphodiesterase,protein-coding,-,-,-,cAMP phosphodiesterase,20201220,-
1079999,14007856,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (T4-like Synechococcus phage metaG-MbCM1).,other,-,-,-,-,20200513,-
