#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1445860,23680946,STP4a_186,STP4a_186,-,-,-,-,baseplate hub subunit tail length determinator,protein-coding,-,-,-,baseplate hub subunit tail length determinator,20201221,-
1445860,23681151,STP4a_134,STP4a_134,-,-,-,-,DNA end protector protein,protein-coding,-,-,-,DNA end protector protein,20201221,-
1445860,23681152,STP4a_135,STP4a_135,-,-,-,-,putative Seg-like homing DNA endonuclease,protein-coding,-,-,-,putative Seg-like homing DNA endonuclease,20201221,-
1445860,23681153,STP4a_136,STP4a_136,-,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20201221,-
1445860,23681154,STP4a_137,STP4a_137,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20201221,-
1445860,23681155,STP4a_138,STP4a_138,-,-,-,-,baseplate hub subunit and tail lysozyme,protein-coding,-,-,-,baseplate hub subunit and tail lysozyme,20201221,-
1445860,23681156,STP4a_139,STP4a_139,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681157,STP4a_140,STP4a_140,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681158,STP4a_141,STP4a_141,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20201221,-
1445860,23681159,STP4a_142,STP4a_142,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20201221,-
1445860,23681160,STP4a_143,STP4a_143,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20201221,-
1445860,23681161,STP4a_144,STP4a_144,-,-,-,-,baseplate wedge tail fiber connector,protein-coding,-,-,-,baseplate wedge tail fiber connector,20201221,-
1445860,23681162,STP4a_145,STP4a_145,-,-,-,-,baseplate wedge subunit and tail pin,protein-coding,-,-,-,baseplate wedge subunit and tail pin,20201221,-
1445860,23681163,STP4a_146,STP4a_146,-,-,-,-,baseplate wedge subunit and tail pin,protein-coding,-,-,-,baseplate wedge subunit and tail pin,20201221,-
1445860,23681164,STP4a_147,STP4a_147,-,-,-,-,short tail fiber,protein-coding,-,-,-,short tail fiber,20201221,-
1445860,23681165,STP4a_148,STP4a_148,-,-,-,-,fibritin neck whiskers,protein-coding,-,-,-,fibritin neck whiskers,20201221,-
1445860,23681166,STP4a_149,STP4a_149,-,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20201221,-
1445860,23681167,STP4a_150,STP4a_150,-,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20201221,-
1445860,23681168,STP4a_151,STP4a_151,-,-,-,-,tail sheath stabilizer and completion protein,protein-coding,-,-,-,tail sheath stabilizer and completion protein,20201221,-
1445860,23681169,STP4a_152,STP4a_152,-,-,-,-,small terminase protein,protein-coding,-,-,-,small terminase protein,20201221,-
1445860,23681170,STP4a_153,STP4a_153,-,-,-,-,large terminase protein,protein-coding,-,-,-,large terminase protein,20201221,-
1445860,23681171,STP4a_154,STP4a_154,-,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20201221,-
1445860,23681172,STP4a_155,STP4a_155,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681173,STP4a_156,STP4a_156,-,-,-,-,tail tube protein,protein-coding,-,-,-,tail tube protein,20201221,-
1445860,23681174,STP4a_157,STP4a_157,-,-,-,-,portal vertex protein,protein-coding,-,-,-,portal vertex protein,20201221,-
1445860,23681175,STP4a_158,STP4a_158,-,-,-,-,prohead core protein,protein-coding,-,-,-,prohead core protein,20201221,-
1445860,23681176,STP4a_159,STP4a_159,-,-,-,-,prohead core protein,protein-coding,-,-,-,prohead core protein,20201221,-
1445860,23681177,STP4a_160,STP4a_160,-,-,-,-,I-Tevlll-like protein,protein-coding,-,-,-,I-Tevlll-like protein,20201221,-
1445860,23681178,STP4a_161,STP4a_161,-,-,-,-,prohead protein,protein-coding,-,-,-,prohead protein,20201221,-
1445860,23681179,STP4a_162,STP4a_162,-,-,-,-,prohead core protein,protein-coding,-,-,-,prohead core protein,20201221,-
1445860,23681180,STP4a_163,STP4a_163,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1445860,23681181,STP4a_164,STP4a_164,-,-,-,-,head vertex protein,protein-coding,-,-,-,head vertex protein,20201221,-
1445860,23681182,STP4a_165,STP4a_165,-,-,-,-,head vertex protein,protein-coding,-,-,-,head vertex protein,20201221,-
1445860,23681183,STP4a_166,STP4a_166,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681184,STP4a_167,STP4a_167,-,-,-,-,RNA ligase 2,protein-coding,-,-,-,RNA ligase 2,20201221,-
1445860,23681185,STP4a_168,STP4a_168,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681186,STP4a_169,STP4a_169,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681187,STP4a_170,STP4a_170,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681188,STP4a_171,STP4a_171,-,-,-,-,head outer capsid protein,protein-coding,-,-,-,head outer capsid protein,20201221,-
1445860,23681189,STP4a_172,STP4a_172,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681190,STP4a_173,STP4a_173,-,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20201221,-
1445860,23681191,STP4a_174,STP4a_174,-,-,-,-,ATP-dependent DNA helicase,protein-coding,-,-,-,ATP-dependent DNA helicase,20201221,-
1445860,23681192,STP4a_175,STP4a_175,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681193,STP4a_176,STP4a_176,-,-,-,-,helicase,protein-coding,-,-,-,helicase,20201221,-
1445860,23681194,STP4a_177,STP4a_177,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681195,STP4a_178,STP4a_178,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681196,STP4a_179,STP4a_179,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681197,STP4a_180,STP4a_180,-,-,-,-,"recombination, repair and ssDNA binding protein",protein-coding,-,-,-,"recombination, repair and ssDNA binding protein",20201221,-
1445860,23681198,STP4a_181,STP4a_181,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20201221,-
1445860,23681199,STP4a_182,STP4a_182,-,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20201221,-
1445860,23681200,STP4a_183,STP4a_183,-,-,-,-,baseplate hub assembly protein,protein-coding,-,-,-,baseplate hub assembly protein,20201221,-
1445860,23681201,STP4a_185,STP4a_185,-,-,-,-,baseplate hub distal subunit,protein-coding,-,-,-,baseplate hub distal subunit,20201221,-
1445860,23681202,STP4a_184,STP4a_184,-,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20201221,-
1445860,23711103,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
1445860,24923480,STP4a_030,STP4a_030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,24923481,STP4a_109,STP4a_109,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
