#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1537102,15802624,BEWA_015190,BEWA_015190,-,-,4,-,cysteine protease,protein-coding,-,-,-,cysteine protease,20200911,-
1537102,15803579,BEWA_029360,BEWA_029360,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803580,BEWA_030170,BEWA_030170,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803581,BEWA_029450,BEWA_029450,-,-,1,-,signal peptide-containing protein,protein-coding,-,-,-,signal peptide-containing protein,20200911,-
1537102,15803582,BEWA_034650,BEWA_034650,-,-,1,-,"methionine-tRNA synthetase, putative",protein-coding,-,-,-,"methionine-tRNA synthetase, putative",20200911,-
1537102,15803583,BEWA_032060,BEWA_032060,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803584,BEWA_023490,BEWA_023490,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803585,BEWA_022180,BEWA_022180,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803586,BEWA_021130,BEWA_021130,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803587,BEWA_032260,BEWA_032260,-,-,1,-,"centrin, putative",protein-coding,-,-,-,"centrin, putative",20200911,-
1537102,15803588,BEWA_030600,BEWA_030600,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803589,BEWA_021750,BEWA_021750,-,-,1,-,Eukaryotic translation initiation factor eIF2A family member protein,protein-coding,-,-,-,Eukaryotic translation initiation factor eIF2A family member protein,20200911,-
1537102,15803590,BEWA_025120,BEWA_025120,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803591,BEWA_033060,BEWA_033060,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803592,BEWA_021600,BEWA_021600,-,-,1,-,"clathrin coat assembly protein, putative",protein-coding,-,-,-,"clathrin coat assembly protein, putative",20200911,-
1537102,15803593,BEWA_034370,BEWA_034370,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803594,BEWA_018620,BEWA_018620,-,-,1,-,"pyruvate kinase, putative",protein-coding,-,-,-,"pyruvate kinase, putative",20200911,-
1537102,15803595,BEWA_033620,BEWA_033620,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803596,BEWA_026270,BEWA_026270,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803597,BEWA_022510,BEWA_022510,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803598,BEWA_030430,BEWA_030430,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803599,BEWA_019460,BEWA_019460,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803600,BEWA_020630,BEWA_020630,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803601,BEWA_022630,BEWA_022630,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803602,BEWA_030450,BEWA_030450,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803603,BEWA_017510,BEWA_017510,-,-,1,-,"kinase, pfkB family member protein",protein-coding,-,-,-,"kinase, pfkB family member protein",20200911,-
1537102,15803604,BEWA_022980,BEWA_022980,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803605,BEWA_028880,BEWA_028880,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803606,BEWA_030500,BEWA_030500,-,-,1,-,"alpha-aminoacylpeptide hydrolase aminopeptidase, putative",protein-coding,-,-,-,"alpha-aminoacylpeptide hydrolase aminopeptidase, putative",20200911,-
1537102,15803607,BEWA_029690,BEWA_029690,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803608,BEWA_022160,BEWA_022160,-,-,1,-,signal peptide-containing protein,protein-coding,-,-,-,signal peptide-containing protein,20200911,-
1537102,15803609,BEWA_029340,BEWA_029340,-,-,1,-,signal peptide-containing protein,protein-coding,-,-,-,signal peptide-containing protein,20200911,-
1537102,15803610,BEWA_029880,BEWA_029880,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803611,BEWA_030040,BEWA_030040,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803612,BEWA_030820,BEWA_030820,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803613,BEWA_031940,BEWA_031940,-,-,1,-,"ABC transporter, ATP-binding protein domain containing protein",protein-coding,-,-,-,"ABC transporter, ATP-binding protein domain containing protein",20200911,-
1537102,15803614,BEWA_031140,BEWA_031140,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803615,BEWA_020920,BEWA_020920,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803616,BEWA_021950,BEWA_021950,-,-,1,-,"ABC transporter, ATP-binding protein family member protein",protein-coding,-,-,-,"ABC transporter, ATP-binding protein family member protein",20200911,-
1537102,15803617,BEWA_029220,BEWA_029220,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803618,BEWA_033860,BEWA_033860,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803619,BEWA_019610,BEWA_019610,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803620,BEWA_020620,BEWA_020620,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803621,BEWA_021920,BEWA_021920,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803622,BEWA_023450,BEWA_023450,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803623,BEWA_033940,BEWA_033940,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803624,BEWA_033080,BEWA_033080,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803625,BEWA_029160,BEWA_029160,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803626,BEWA_018590,BEWA_018590,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803627,BEWA_029210,BEWA_029210,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803628,BEWA_031480,BEWA_031480,-,-,1,-,"glycerol-3-phosphate dehydrogenase, putative",protein-coding,-,-,-,"glycerol-3-phosphate dehydrogenase, putative",20200911,-
1537102,15803629,BEWA_031370,BEWA_031370,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803630,BEWA_034170,BEWA_034170,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803631,BEWA_031450,BEWA_031450,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803632,BEWA_033480,BEWA_033480,-,-,1,-,"ubiquitin-activating enzyme E1b, putative",protein-coding,-,-,-,"ubiquitin-activating enzyme E1b, putative",20200911,-
1537102,15803633,BEWA_032800,BEWA_032800,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803634,BEWA_030970,BEWA_030970,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803635,BEWA_023180,BEWA_023180,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803636,BEWA_024590,BEWA_024590,-,-,1,-,"ABC transporter, ATP-binding protein domain containing protein",protein-coding,-,-,-,"ABC transporter, ATP-binding protein domain containing protein",20200911,-
1537102,15803637,BEWA_021500,BEWA_021500,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803638,BEWA_017600,BEWA_017600,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803639,BEWA_030090,BEWA_030090,-,-,1,-,haloacid dehalogenase-like hydrolase family member protein,protein-coding,-,-,-,haloacid dehalogenase-like hydrolase family member protein,20200911,-
1537102,15803640,BEWA_031590,BEWA_031590,-,-,1,-,"60S acidic ribosomal protein P0, putative",protein-coding,-,-,-,"60S acidic ribosomal protein P0, putative",20200911,-
1537102,15803641,BEWA_031410,BEWA_031410,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803642,BEWA_031320,BEWA_031320,-,-,1,-,"eukaryotic translation initiation factor 3 subunit 4, putative",protein-coding,-,-,-,"eukaryotic translation initiation factor 3 subunit 4, putative",20200911,-
1537102,15803643,BEWA_034330,BEWA_034330,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803644,BEWA_031340,BEWA_031340,-,-,1,-,signal peptide-containing protein,protein-coding,-,-,-,signal peptide-containing protein,20200911,-
1537102,15803645,BEWA_031930,BEWA_031930,-,-,1,-,signal peptide-containing protein,protein-coding,-,-,-,signal peptide-containing protein,20200911,-
1537102,15803646,BEWA_018140,BEWA_018140,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803647,BEWA_019070,BEWA_019070,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803648,BEWA_033530,BEWA_033530,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803649,BEWA_026260,BEWA_026260,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803650,BEWA_034040,BEWA_034040,-,-,1,-,jumonji/arid domain containing protein,protein-coding,-,-,-,jumonji/arid domain containing protein,20200911,-
1537102,15803651,BEWA_032310,BEWA_032310,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803652,BEWA_032780,BEWA_032780,-,-,1,-,bromodomain containing protein,protein-coding,-,-,-,bromodomain containing protein,20200911,-
1537102,15803653,BEWA_031460,BEWA_031460,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803654,BEWA_030310,BEWA_030310,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803655,BEWA_031650,BEWA_031650,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803656,BEWA_033420,BEWA_033420,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803657,BEWA_018900,BEWA_018900,-,-,1,-,"dihydroorotate dehydrogenase, putative",protein-coding,-,-,-,"dihydroorotate dehydrogenase, putative",20200911,-
1537102,15803658,BEWA_031770,BEWA_031770,-,-,1,-,signal peptide-containing protein,protein-coding,-,-,-,signal peptide-containing protein,20200911,-
1537102,15803659,BEWA_024710,BEWA_024710,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803660,BEWA_020610,BEWA_020610,-,-,1,-,signal peptide-containing protein,protein-coding,-,-,-,signal peptide-containing protein,20200911,-
1537102,15803661,BEWA_018040,BEWA_018040,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803662,BEWA_020600,BEWA_020600,-,-,1,-,DnaJ domain containing protein,protein-coding,-,-,-,DnaJ domain containing protein,20200911,-
1537102,15803663,BEWA_026590,BEWA_026590,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803664,BEWA_017920,BEWA_017920,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803665,BEWA_022260,BEWA_022260,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200911,-
1537102,15803666,BEWA_031630,BEWA_031630,-,-,1,-,"26S protease regulatory subunit, putative",protein-coding,-,-,-,"26S protease regulatory subunit, putative",20200911,-
1537102,15803667,BEWA_032290,BEWA_032290,-,-,1,-,signal peptide-containing protein,protein-coding,-,-,-,signal peptide-containing protein,20200911,-
1537102,15803668,BEWA_020590,BEWA_020590,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803669,BEWA_030850,BEWA_030850,-,-,1,-,"mitogen-activated protein kinase 2, putative",protein-coding,-,-,-,"mitogen-activated protein kinase 2, putative",20200911,-
1537102,15803670,BEWA_033790,BEWA_033790,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200911,-
1537102,15803671,BEWA_020970,BEWA_020970,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803672,BEWA_026630,BEWA_026630,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803673,BEWA_033510,BEWA_033510,-,-,1,-,tRNA,tRNA,-,-,-,-,20200911,-
1537102,15803674,BEWA_031150,BEWA_031150,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803675,BEWA_032950,BEWA_032950,-,-,1,-,signal peptide-containing protein,protein-coding,-,-,-,signal peptide-containing protein,20200911,-
1537102,15803676,BEWA_033700,BEWA_033700,-,-,1,-,"cytochrome C oxidase assembly protein cox11, putative",protein-coding,-,-,-,"cytochrome C oxidase assembly protein cox11, putative",20200911,-
1537102,15803677,BEWA_034210,BEWA_034210,-,-,1,-,DEAD box ATP-dependent RNA helicase family member protein,protein-coding,-,-,-,DEAD box ATP-dependent RNA helicase family member protein,20200911,-
1537102,15803678,BEWA_033110,BEWA_033110,-,-,1,-,MAC/Perforin domain containing protein,protein-coding,-,-,-,MAC/Perforin domain containing protein,20200911,-
1537102,15803679,BEWA_020580,BEWA_020580,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803680,BEWA_021890,BEWA_021890,-,-,1,-,"oxoglutarate/malate translocator protein, putative",protein-coding,-,-,-,"oxoglutarate/malate translocator protein, putative",20200911,-
1537102,15803681,BEWA_021770,BEWA_021770,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803682,BEWA_031710,BEWA_031710,-,-,1,-,haloacid dehalogenase-like hydrolase family member protein,protein-coding,-,-,-,haloacid dehalogenase-like hydrolase family member protein,20200911,-
1537102,15803683,BEWA_022490,BEWA_022490,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803684,BEWA_030870,BEWA_030870,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803685,BEWA_030130,BEWA_030130,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803686,BEWA_018880,BEWA_018880,-,-,1,-,"phenylalanine-tRNA synthetase, putative",protein-coding,-,-,-,"phenylalanine-tRNA synthetase, putative",20200911,-
1537102,15803687,BEWA_033550,BEWA_033550,-,-,1,-,"long-chain fatty acid CoA ligase, putative",protein-coding,-,-,-,"long-chain fatty acid CoA ligase, putative",20200911,-
1537102,15803688,BEWA_032590,BEWA_032590,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803689,BEWA_034100,BEWA_034100,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803690,BEWA_031430,BEWA_031430,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803691,BEWA_018350,BEWA_018350,-,-,1,-,"DNA replication licensing factor MCM6, putative",protein-coding,-,-,-,"DNA replication licensing factor MCM6, putative",20200911,-
1537102,15803692,BEWA_021100,BEWA_021100,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803693,BEWA_031350,BEWA_031350,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200911,-
1537102,15803694,BEWA_033610,BEWA_033610,-,-,1,-,"S-adenosyl-methyltransferase mraw, putative",protein-coding,-,-,-,"S-adenosyl-methyltransferase mraw, putative",20200911,-
1537102,15803695,BEWA_030390,BEWA_030390,-,-,1,-,asparagine synthetase family member protein,protein-coding,-,-,-,asparagine synthetase family member protein,20200911,-
1537102,15803696,BEWA_022190,BEWA_022190,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803697,BEWA_034050,BEWA_034050,-,-,1,-,ema family member protein,protein-coding,-,-,-,ema family member protein,20200911,-
1537102,15803698,BEWA_033120,BEWA_033120,-,-,1,-,"signal recognition particle 19 kD protein, putative",protein-coding,-,-,-,"signal recognition particle 19 kD protein, putative",20200911,-
1537102,15803699,BEWA_021540,BEWA_021540,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803700,BEWA_033600,BEWA_033600,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803701,BEWA_020570,BEWA_020570,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803702,BEWA_021350,BEWA_021350,-,-,1,-,"translocation protein sec62, putative",protein-coding,-,-,-,"translocation protein sec62, putative",20200911,-
1537102,15803703,BEWA_033230,BEWA_033230,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803704,BEWA_032550,BEWA_032550,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803705,BEWA_034600,BEWA_034600,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803706,BEWA_019130,BEWA_019130,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803707,BEWA_030490,BEWA_030490,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803708,BEWA_020950,BEWA_020950,-,-,1,-,"ATP-dependent protease La, putative",protein-coding,-,-,-,"ATP-dependent protease La, putative",20200911,-
1537102,15803709,BEWA_031700,BEWA_031700,-,-,1,-,signal peptide-containing protein,protein-coding,-,-,-,signal peptide-containing protein,20200911,-
1537102,15803710,BEWA_029720,BEWA_029720,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803711,BEWA_033520,BEWA_033520,-,-,1,-,tRNA,tRNA,-,-,-,-,20200911,-
1537102,15803712,BEWA_033820,BEWA_033820,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803713,BEWA_020560,BEWA_020560,-,-,1,-,Papain cysteine protease family protein,protein-coding,-,-,-,Papain cysteine protease family protein,20200911,-
1537102,15803714,BEWA_033130,BEWA_033130,-,-,1,-,"seryl-tRNA synthetase, putative",protein-coding,-,-,-,"seryl-tRNA synthetase, putative",20200911,-
1537102,15803715,BEWA_030960,BEWA_030960,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803716,BEWA_031560,BEWA_031560,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803717,BEWA_030660,BEWA_030660,-,-,1,-,"deoxyuridine 5'-triphosphate nucleotidohydrolase, putative",protein-coding,-,-,-,"deoxyuridine 5'-triphosphate nucleotidohydrolase, putative",20200911,-
1537102,15803718,BEWA_026610,BEWA_026610,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803719,BEWA_022690,BEWA_022690,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803720,BEWA_020550,BEWA_020550,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803721,BEWA_030680,BEWA_030680,-,-,1,-,"small nuclear ribonucleoprotein f, putative",protein-coding,-,-,-,"small nuclear ribonucleoprotein f, putative",20200911,-
1537102,15803722,BEWA_032640,BEWA_032640,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803723,BEWA_018100,BEWA_018100,-,-,1,-,"60S ribosomal protein L5e, putative",protein-coding,-,-,-,"60S ribosomal protein L5e, putative",20200911,-
1537102,15803724,BEWA_029030,BEWA_029030,-,-,1,-,"WD domain, G-beta repeat family protein",protein-coding,-,-,-,"WD domain, G-beta repeat family protein",20200911,-
1537102,15803725,BEWA_030260,BEWA_030260,-,-,1,-,"40S ribosomal protein S15, putative",protein-coding,-,-,-,"40S ribosomal protein S15, putative",20200911,-
1537102,15803726,BEWA_022910,BEWA_022910,-,-,1,-,"DNA replication licensing factor MCM2, putative",protein-coding,-,-,-,"DNA replication licensing factor MCM2, putative",20200911,-
1537102,15803727,BEWA_030620,BEWA_030620,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803728,BEWA_033720,BEWA_033720,-,-,1,-,"prefoldin alpha subunit, putative",protein-coding,-,-,-,"prefoldin alpha subunit, putative",20200911,-
1537102,15803729,BEWA_030670,BEWA_030670,-,-,1,-,"tRNA guanine-n-7-methyltransferase, putative",protein-coding,-,-,-,"tRNA guanine-n-7-methyltransferase, putative",20200911,-
1537102,15803730,BEWA_029770,BEWA_029770,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803731,BEWA_029790,BEWA_029790,-,-,1,-,"folylpolyglutamate synthase, putative",protein-coding,-,-,-,"folylpolyglutamate synthase, putative",20200911,-
1537102,15803732,BEWA_031010,BEWA_031010,-,-,1,-,zinc finger protein zpr1 domain containing protein,protein-coding,-,-,-,zinc finger protein zpr1 domain containing protein,20200911,-
1537102,15803733,BEWA_033730,BEWA_033730,-,-,1,-,"fructose-bisphosphate aldolase, putative",protein-coding,-,-,-,"fructose-bisphosphate aldolase, putative",20200911,-
1537102,15803734,BEWA_021440,BEWA_021440,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803735,BEWA_019640,BEWA_019640,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803736,BEWA_034420,BEWA_034420,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803737,BEWA_021980,BEWA_021980,-,-,1,-,"cell differentiation protein rcd1, putative",protein-coding,-,-,-,"cell differentiation protein rcd1, putative",20200911,-
1537102,15803738,BEWA_034320,BEWA_034320,-,-,1,-,"acyl CoA binding protein, putative",protein-coding,-,-,-,"acyl CoA binding protein, putative",20200911,-
1537102,15803739,BEWA_032300,BEWA_032300,-,-,1,-,"ABC transporter, ATP-binding protein domain containing protein",protein-coding,-,-,-,"ABC transporter, ATP-binding protein domain containing protein",20200911,-
1537102,15803740,BEWA_030350,BEWA_030350,-,-,1,-,signal peptide-containing protein,protein-coding,-,-,-,signal peptide-containing protein,20200911,-
1537102,15803741,BEWA_020540,BEWA_020540,-,-,1,-,"tRNA 5-methylaminomethyl-2-thiouridylate-methyltransferase, putative",protein-coding,-,-,-,"tRNA 5-methylaminomethyl-2-thiouridylate-methyltransferase, putative",20200911,-
1537102,15803742,BEWA_021710,BEWA_021710,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803743,BEWA_030250,BEWA_030250,-,-,1,-,tetratricopeptide repeat domain containing protein,protein-coding,-,-,-,tetratricopeptide repeat domain containing protein,20200911,-
1537102,15803744,BEWA_019650,BEWA_019650,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803745,BEWA_029080,BEWA_029080,-,-,1,-,DnaK family member protein,protein-coding,-,-,-,DnaK family member protein,20200911,-
1537102,15803746,BEWA_018960,BEWA_018960,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803747,BEWA_034120,BEWA_034120,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803748,BEWA_030780,BEWA_030780,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803749,BEWA_019660,BEWA_019660,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803750,BEWA_024330,BEWA_024330,-,-,1,-,"leucyl/phenylalanyl-tRNA--protein transferase, putative",protein-coding,-,-,-,"leucyl/phenylalanyl-tRNA--protein transferase, putative",20200911,-
1537102,15803751,BEWA_022830,BEWA_022830,-,-,1,-,p-type ATPase family member protein,protein-coding,-,-,-,p-type ATPase family member protein,20200911,-
1537102,15803752,BEWA_020530,BEWA_020530,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803753,BEWA_021570,BEWA_021570,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803754,BEWA_026820,BEWA_026820,-,-,1,-,"DNA gyrase subunit A, putative",protein-coding,-,-,-,"DNA gyrase subunit A, putative",20200911,-
1537102,15803755,BEWA_032490,BEWA_032490,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803756,BEWA_034690,BEWA_034690,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803757,BEWA_033380,BEWA_033380,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803758,BEWA_033750,BEWA_033750,-,-,1,-,Sec23/Sec24 domain containing protein,protein-coding,-,-,-,Sec23/Sec24 domain containing protein,20200911,-
1537102,15803759,BEWA_031540,BEWA_031540,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803760,BEWA_029310,BEWA_029310,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803761,BEWA_020520,BEWA_020520,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803762,BEWA_029280,BEWA_029280,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803763,BEWA_018480,BEWA_018480,-,-,1,-,DEAD box ATP-dependent RNA helicase family member protein,protein-coding,-,-,-,DEAD box ATP-dependent RNA helicase family member protein,20200911,-
1537102,15803764,BEWA_031000,BEWA_031000,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15803765,BEWA_018710,BEWA_018710,-,-,1,-,Dynamin central region domain containing protein,protein-coding,-,-,-,Dynamin central region domain containing protein,20200911,-
1537102,15803766,BEWA_019790,BEWA_019790,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
