#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1675608,40083204,FDI06_gp001,FDI06_gp001,CPT_Miro1,-,-,-,rIIB protein,protein-coding,-,-,-,rIIB protein,20200910,-
1675608,40083383,FDI06_gp179,FDI06_gp179,CPT_Miro179,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083384,FDI06_gp178,FDI06_gp178,CPT_Miro180,-,-,-,NUDIX hydrolase,protein-coding,-,-,-,NUDIX hydrolase,20200910,-
1675608,40083385,FDI06_gp177,FDI06_gp177,CPT_Miro181,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083386,FDI06_gp176,FDI06_gp176,CPT_Miro182,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083387,FDI06_gp175,FDI06_gp175,CPT_Miro183,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083388,FDI06_gp174,FDI06_gp174,CPT_Miro184,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083389,FDI06_gp173,FDI06_gp173,CPT_Miro185,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083390,FDI06_gp172,FDI06_gp172,CPT_Miro186,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083391,FDI06_gp171,FDI06_gp171,CPT_Miro187,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083392,FDI06_gp170,FDI06_gp170,CPT_Miro188,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083393,FDI06_gp169,FDI06_gp169,CPT_Miro189,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083394,FDI06_gp168,FDI06_gp168,CPT_Miro190,-,-,-,dNMP kinase,protein-coding,-,-,-,dNMP kinase,20200910,-
1675608,40083395,FDI06_gp167,FDI06_gp167,CPT_Miro191,-,-,-,tail completion and sheath stabilizer protein,protein-coding,-,-,-,tail completion and sheath stabilizer protein,20200910,-
1675608,40083396,FDI06_gp166,FDI06_gp166,CPT_Miro192,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083397,FDI06_gp165,FDI06_gp165,CPT_Miro193,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20200910,-
1675608,40083398,FDI06_gp164,FDI06_gp164,CPT_Miro194,-,-,-,DNA end protector protein,protein-coding,-,-,-,DNA end protector protein,20200910,-
1675608,40083399,FDI06_gp163,FDI06_gp163,CPT_Miro195,-,-,-,restriction endonuclease,protein-coding,-,-,-,restriction endonuclease,20200910,-
1675608,40083400,FDI06_gp162,FDI06_gp162,CPT_Miro196,-,-,-,baseplate wedge protein,protein-coding,-,-,-,baseplate wedge protein,20200910,-
1675608,40083401,FDI06_gp161,FDI06_gp161,CPT_Miro197,-,-,-,baseplate hub structural protein and tail lysozyme,protein-coding,-,-,-,baseplate hub structural protein and tail lysozyme,20200910,-
1675608,40083402,FDI06_gp160,FDI06_gp160,CPT_Miro198,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083403,FDI06_gp159,FDI06_gp159,CPT_Miro199,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20200910,-
1675608,40083404,FDI06_gp158,FDI06_gp158,CPT_Miro200,-,-,-,baseplate wedge initiator,protein-coding,-,-,-,baseplate wedge initiator,20200910,-
1675608,40083405,FDI06_gp157,FDI06_gp157,CPT_Miro201,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20200910,-
1675608,40083406,FDI06_gp156,FDI06_gp156,CPT_Miro202,-,-,-,baseplate wedge tail fiber connector,protein-coding,-,-,-,baseplate wedge tail fiber connector,20200910,-
1675608,40083407,FDI06_gp155,FDI06_gp155,CPT_Miro203,-,-,-,baseplate wedge subunit and tail pin,protein-coding,-,-,-,baseplate wedge subunit and tail pin,20200910,-
1675608,40083408,FDI06_gp154,FDI06_gp154,CPT_Miro204,-,-,-,baseplate to short tail fiber connector protein,protein-coding,-,-,-,baseplate to short tail fiber connector protein,20200910,-
1675608,40083409,FDI06_gp153,FDI06_gp153,CPT_Miro205,-,-,-,short tail fiber protein,protein-coding,-,-,-,short tail fiber protein,20200910,-
1675608,40083410,FDI06_gp152,FDI06_gp152,CPT_Miro206,-,-,-,neck whisker protein,protein-coding,-,-,-,neck whisker protein,20200910,-
1675608,40083411,FDI06_gp151,FDI06_gp151,CPT_Miro207,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20200910,-
1675608,40083412,FDI06_gp150,FDI06_gp150,CPT_Miro208,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20200910,-
1675608,40083413,FDI06_gp149,FDI06_gp149,CPT_Miro209,-,-,-,tail sheath stabilizer and completion protein,protein-coding,-,-,-,tail sheath stabilizer and completion protein,20200910,-
1675608,40083414,FDI06_gp148,FDI06_gp148,CPT_Miro210,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200910,-
1675608,40083415,FDI06_gp147,FDI06_gp147,CPT_Miro211,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200910,-
1675608,40083416,FDI06_gp146,FDI06_gp146,CPT_Miro212,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20200910,-
1675608,40083417,FDI06_gp145,FDI06_gp145,CPT_Miro213,-,-,-,tail tube protein,protein-coding,-,-,-,tail tube protein,20200910,-
1675608,40083418,FDI06_gp144,FDI06_gp144,CPT_Miro214,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200910,-
1675608,40083419,FDI06_gp143,FDI06_gp143,CPT_Miro215,-,-,-,prohead core protein,protein-coding,-,-,-,prohead core protein,20200910,-
1675608,40083420,FDI06_gp142,FDI06_gp142,CPT_Miro216,-,-,-,prohead core protein,protein-coding,-,-,-,prohead core protein,20200910,-
1675608,40083421,FDI06_gp141,FDI06_gp141,CPT_Miro217,-,-,-,prohead core protein protease,protein-coding,-,-,-,prohead core protein protease,20200910,-
1675608,40083422,FDI06_gp140,FDI06_gp140,CPT_Miro218,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083423,FDI06_gp139,FDI06_gp139,CPT_Miro219,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200910,-
1675608,40083424,FDI06_gp138,FDI06_gp138,CPT_Miro220,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20200910,-
1675608,40083425,FDI06_gp137,FDI06_gp137,CPT_Miro221,-,-,-,vertex protein,protein-coding,-,-,-,vertex protein,20200910,-
1675608,40083426,FDI06_gp136,FDI06_gp136,CPT_Miro222,-,-,-,UvsY recombination protein,protein-coding,-,-,-,UvsY recombination protein,20210123,-
1675608,40083427,FDI06_gp135,FDI06_gp135,CPT_Miro223,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083428,FDI06_gp134,FDI06_gp134,CPT_Miro224,-,-,-,ATP-dependent DNA helicase,protein-coding,-,-,-,ATP-dependent DNA helicase,20200910,-
1675608,40083429,FDI06_gp133,FDI06_gp133,CPT_Miro225,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20200910,-
1675608,40083430,FDI06_gp132,FDI06_gp132,CPT_Miro226,-,-,-,inhibitor of prohead protease,protein-coding,-,-,-,inhibitor of prohead protease,20200910,-
1675608,40083431,FDI06_gp131,FDI06_gp131,CPT_Miro227,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083432,FDI06_gp130,FDI06_gp130,CPT_Miro228,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1675608,40083433,FDI06_gp129,FDI06_gp129,CPT_Miro229,-,-,-,outer capsid protein,protein-coding,-,-,-,outer capsid protein,20200910,-
1675608,40083434,FDI06_gp128,FDI06_gp128,CPT_Miro230,-,-,-,outer capsid protein,protein-coding,-,-,-,outer capsid protein,20200910,-
1675608,40083435,FDI06_gp127,FDI06_gp127,CPT_Miro231,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083436,FDI06_gp126,FDI06_gp126,CPT_Miro232,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1675608,40083437,FDI06_gp125,FDI06_gp125,CPT_Miro233,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083438,FDI06_gp124,FDI06_gp124,CPT_Miro234,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083439,FDI06_gp123,FDI06_gp123,CPT_Miro235,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083440,FDI06_gp122,FDI06_gp122,CPT_Miro236,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083441,FDI06_gp121,FDI06_gp121,CPT_Miro237,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083442,FDI06_gp120,FDI06_gp120,CPT_Miro238,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083443,FDI06_gp119,FDI06_gp119,CPT_Miro239,-,-,-,decoy of host sigma factor,protein-coding,-,-,-,decoy of host sigma factor,20200910,-
1675608,40083444,FDI06_gp118,FDI06_gp118,CPT_Miro240,-,-,-,RNA ligase,protein-coding,-,-,-,RNA ligase,20200910,-
1675608,40083445,FDI06_gp117,FDI06_gp117,CPT_Miro241,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083446,FDI06_gp116,FDI06_gp116,CPT_Miro242,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083447,FDI06_gp115,FDI06_gp115,CPT_Miro243,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083448,FDI06_gp114,FDI06_gp114,CPT_Miro244,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083449,FDI06_gp113,FDI06_gp113,CPT_Miro245,-,-,-,nicotinamide phosphoribosyl transferase,protein-coding,-,-,-,nicotinamide phosphoribosyl transferase,20200910,-
1675608,40083450,FDI06_gp112,FDI06_gp112,CPT_Miro246,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083451,FDI06_gp111,FDI06_gp111,CPT_Miro247,-,-,-,DNA adenine methylase,protein-coding,-,-,-,DNA adenine methylase,20200910,-
1675608,40083452,FDI06_gp110,FDI06_gp110,CPT_Miro248,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20200910,-
1675608,40083453,FDI06_gp109,FDI06_gp109,CPT_Miro249,-,-,-,recombination endonuclease,protein-coding,-,-,-,recombination endonuclease,20200910,-
1675608,40083454,FDI06_gp108,FDI06_gp108,CPT_Miro250,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083455,FDI06_gp107,FDI06_gp107,CPT_Miro251,-,-,-,anaerobic ribonucleoside-triphosphate reductase,protein-coding,-,-,-,anaerobic ribonucleoside-triphosphate reductase,20200910,-
1675608,40083456,FDI06_gp106,FDI06_gp106,CPT_Miro252,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083457,FDI06_gp105,FDI06_gp105,CPT_Miro253,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083458,FDI06_gp104,FDI06_gp104,CPT_Miro254,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083459,FDI06_gp103,FDI06_gp103,CPT_Miro255,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083460,FDI06_gp102,FDI06_gp102,CPT_Miro256,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083461,FDI06_gp101,FDI06_gp101,CPT_Miro257,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20200910,-
1675608,40083462,FDI06_gp100,FDI06_gp100,CPT_Miro258,-,-,-,ribonucleoside-triphosphate reductase activating protein,protein-coding,-,-,-,ribonucleoside-triphosphate reductase activating protein,20200910,-
1675608,40083463,FDI06_gp099,FDI06_gp099,CPT_Miro259,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083464,FDI06_gp098,FDI06_gp098,CPT_Miro260,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083465,FDI06_gp097,FDI06_gp097,CPT_Miro261,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20200910,-
1675608,40083466,FDI06_gp096,FDI06_gp096,CPT_Miro262,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083467,FDI06_gp095,FDI06_gp095,CPT_Miro263,-,-,-,long tail fiber proximal subunit,protein-coding,-,-,-,long tail fiber proximal subunit,20200910,-
1675608,40083468,FDI06_gp094,FDI06_gp094,CPT_Miro264,-,-,-,hinge connector of long tail fiber proximal connector,protein-coding,-,-,-,hinge connector of long tail fiber proximal connector,20200910,-
1675608,40083469,FDI06_gp093,FDI06_gp093,CPT_Miro265,-,-,-,hinge connector of long tail fiber distal connector,protein-coding,-,-,-,hinge connector of long tail fiber distal connector,20200910,-
1675608,40083470,FDI06_gp092,FDI06_gp092,CPT_Miro266,-,-,-,L-shaped tail fiber protein,protein-coding,-,-,-,L-shaped tail fiber protein,20200910,-
1675608,40083471,FDI06_gp091,FDI06_gp091,CPT_Miro267,-,-,-,distal long tail fiber assembly catalyst,protein-coding,-,-,-,distal long tail fiber assembly catalyst,20200910,-
1675608,40083472,FDI06_gp090,FDI06_gp090,CPT_Miro268,-,-,-,holin,protein-coding,-,-,-,holin,20200910,-
1675608,40083473,FDI06_gp089,FDI06_gp089,CPT_Miro269,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083474,FDI06_gp088,FDI06_gp088,CPT_Miro270,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083475,FDI06_gp087,FDI06_gp087,CPT_Miro271,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083476,FDI06_gp086,FDI06_gp086,CPT_Miro272,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083477,FDI06_gp085,FDI06_gp085,CPT_Miro273,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083478,FDI06_gp084,FDI06_gp084,CPT_Miro274,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083479,FDI06_gp083,FDI06_gp083,CPT_Miro275,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083480,FDI06_gp082,FDI06_gp082,CPT_Miro276,-,-,-,nucleoid disruption protein,protein-coding,-,-,-,nucleoid disruption protein,20200910,-
1675608,40083481,FDI06_gp081,FDI06_gp081,CPT_Miro277,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40120212,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
