#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1673874,54972650,HOQ81_gp001,HOQ81_gp001,-,-,-,-,terminase large subunit family protein,protein-coding,-,-,-,terminase large subunit family protein,20201221,-
1673874,54972841,HOQ81_gp032,HOQ81_gp032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972842,HOQ81_gp031,HOQ81_gp031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972843,HOQ81_gp030,HOQ81_gp030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972844,HOQ81_gp029,HOQ81_gp029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972845,HOQ81_gp028,HOQ81_gp028,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972846,HOQ81_gp027,HOQ81_gp027,-,-,-,-,major tail sheath,protein-coding,-,-,-,major tail sheath,20210123,-
1673874,54972847,HOQ81_gp026,HOQ81_gp026,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972848,HOQ81_gp025,HOQ81_gp025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972849,HOQ81_gp024,HOQ81_gp024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972850,HOQ81_gp023,HOQ81_gp023,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972851,HOQ81_gp022,HOQ81_gp022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972852,HOQ81_gp021,HOQ81_gp021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972853,HOQ81_gp020,HOQ81_gp020,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200629,-
1673874,54972854,HOQ81_gp019,HOQ81_gp019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972855,HOQ81_gp018,HOQ81_gp018,-,-,-,-,HK97 familygprohead protease,protein-coding,-,-,-,HK97 familygprohead protease,20201221,-
1673874,54972856,HOQ81_gp017,HOQ81_gp017,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210320,-
1673874,54972857,HOQ81_gp016,HOQ81_gp016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972858,HOQ81_gp015,HOQ81_gp015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1673874,54972859,HOQ81_gp014,HOQ81_gp014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972860,HOQ81_gp013,HOQ81_gp013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972861,HOQ81_gp012,HOQ81_gp012,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972862,HOQ81_gp011,HOQ81_gp011,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,55147519,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Staphylococcus aureus phage IME-SA119).,other,-,-,-,-,20200518,-
