#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1340810,18504578,S-MbCM7_002,S-MbCM7_002,-,-,-,-,baseplate tail tube cap,protein-coding,-,-,-,baseplate tail tube cap,20201221,-
1340810,18504770,S-MbCM7_194,S-MbCM7_194,-,-,-,-,photosystem II D1 protein,protein-coding,-,-,-,photosystem II D1 protein,20201221,-
1340810,18504771,S-MbCM7_195,S-MbCM7_195,-,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
1340810,18504772,S-MbCM7_196,S-MbCM7_196,-,-,-,-,carboxylesterase,protein-coding,-,-,-,carboxylesterase,20201221,-
1340810,18504773,S-MbCM7_197,S-MbCM7_197,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504774,S-MbCM7_198,S-MbCM7_198,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504775,S-MbCM7_199,S-MbCM7_199,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504776,S-MbCM7_200,S-MbCM7_200,-,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20201221,-
1340810,18504777,S-MbCM7_201,S-MbCM7_201,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504778,S-MbCM7_202,S-MbCM7_202,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504779,S-MbCM7_203,S-MbCM7_203,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504780,S-MbCM7_204,S-MbCM7_204,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504781,S-MbCM7_205,S-MbCM7_205,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504782,S-MbCM7_206,S-MbCM7_206,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504783,S-MbCM7_207,S-MbCM7_207,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504784,S-MbCM7_208,S-MbCM7_208,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504785,S-MbCM7_209,S-MbCM7_209,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504786,S-MbCM7_210,S-MbCM7_210,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504787,S-MbCM7_211,S-MbCM7_211,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504788,S-MbCM7_212,S-MbCM7_212,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504789,S-MbCM7_213,S-MbCM7_213,-,-,-,-,thymidylate synthetase,protein-coding,-,-,-,thymidylate synthetase,20201221,-
1340810,18504790,S-MbCM7_214,S-MbCM7_214,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504791,S-MbCM7_215,S-MbCM7_215,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504792,S-MbCM7_216,S-MbCM7_216,-,-,-,-,starvation inducible protein,protein-coding,-,-,-,starvation inducible protein,20201221,-
1340810,18504793,S-MbCM7_217,S-MbCM7_217,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
1340810,18504794,S-MbCM7_218,S-MbCM7_218,-,-,-,-,late promoter transcription,protein-coding,-,-,-,late promoter transcription,20201221,-
1340810,18504795,S-MbCM7_219,S-MbCM7_219,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504796,S-MbCM7_220,S-MbCM7_220,-,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20201221,-
1340810,18504797,S-MbCM7_221,S-MbCM7_221,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504798,S-MbCM7_001,S-MbCM7_001,-,-,-,-,baseplate wedge component,protein-coding,-,-,-,baseplate wedge component,20201221,-
1340810,18558747,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Synechococcus phage S-MbCM7; T4-like Synechococcus phage S-MbCM7).,other,-,-,-,-,20200513,-
