#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1495285,19485174,e112_026,e112_026,-,-,-,-,transcription modulator,protein-coding,-,-,-,transcription modulator,20200629,-
1495285,19485390,e112_251,e112_251,-,-,-,-,dihydrofolate reductase,protein-coding,-,-,-,dihydrofolate reductase,20200629,-
1495285,19485391,e112_252,e112_252,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485392,e112_253,e112_253,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485393,e112_254,e112_254,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485394,e112_255,e112_255,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485395,e112_256,e112_256,-,-,-,-,single-stranded DNA binding protein,protein-coding,-,-,-,single-stranded DNA binding protein,20200629,-
1495285,19485396,e112_257,e112_257,-,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20200629,-
1495285,19485397,e112_258,e112_258,-,-,-,-,loader of DNA helicase,protein-coding,-,-,-,loader of DNA helicase,20200629,-
1495285,19485398,e112_259,e112_259,-,-,-,-,gp33 late promoter transcription accessory protein,protein-coding,-,-,-,gp33 late promoter transcription accessory protein,20201221,-
1495285,19485399,e112_260,e112_260,-,-,-,-,double-stranded DNA binding protein,protein-coding,-,-,-,double-stranded DNA binding protein,20201221,-
1495285,19485400,e112_261,e112_261,-,-,-,-,ribonuclease,protein-coding,-,-,-,ribonuclease,20200629,-
1495285,19485401,e112_262,e112_262,-,-,-,-,long tail fiber proximal subunit,protein-coding,-,-,-,long tail fiber proximal subunit,20200629,-
1495285,19485402,e112_263,e112_263,-,-,-,-,hinge connector of long tail fiber proximal connector,protein-coding,-,-,-,hinge connector of long tail fiber proximal connector,20200629,-
1495285,19485403,e112_264,e112_264,-,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210313,-
1495285,19485404,e112_265,e112_265,-,-,-,-,long tail fiber distal subunit,protein-coding,-,-,-,long tail fiber distal subunit,20200629,-
1495285,19485405,e112_266,e112_266,-,-,-,-,receptor-recognition protein,protein-coding,-,-,-,receptor-recognition protein,20200629,-
1495285,19485406,e112_267,e112_267,-,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20200629,-
1495285,19485407,e112_268,e112_268,-,-,-,-,AsiA anti-sigma 70 protein,protein-coding,-,-,-,AsiA anti-sigma 70 protein,20210212,-
1495285,19485408,e112_269,e112_269,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485409,e112_270,e112_270,-,-,-,-,inhibitor of MrcBC restriction endonuclease,protein-coding,-,-,-,inhibitor of MrcBC restriction endonuclease,20200629,-
1495285,19485410,e112_271,e112_271,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485411,e112_272,e112_272,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485412,e112_273,e112_273,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485413,e112_274,e112_274,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485414,e112_275,e112_275,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485415,e112_276,e112_276,-,-,-,-,putative activator of middle period transcription,protein-coding,-,-,-,putative activator of middle period transcription,20201221,-
1495285,19485416,e112_277,e112_277,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485417,e112_278,e112_278,-,-,-,-,DNA topisomerase II medium subunit,protein-coding,-,-,-,DNA topisomerase II medium subunit,20201221,-
1495285,19485418,e112_279,e112_279,-,-,-,-,acridine resistance protein,protein-coding,-,-,-,acridine resistance protein,20200629,-
1495285,19485419,e112_280,e112_280,-,-,-,-,nucleoid disruption protein,protein-coding,-,-,-,nucleoid disruption protein,20200629,-
1495285,19485420,e112_281,e112_281,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485421,e112_282,e112_282,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485422,e112_283,e112_283,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485423,e112_284,e112_284,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485424,e112_285,e112_285,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485425,e112_286,e112_286,-,-,-,-,DNA endonuclease IV,protein-coding,-,-,-,DNA endonuclease IV,20200629,-
1495285,19485426,e112_287,e112_287,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485427,e112_288,e112_288,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485428,e112_289,e112_289,-,-,-,-,protector from prophage-induced early lysis,protein-coding,-,-,-,protector from prophage-induced early lysis,20200629,-
1495285,19485429,e112_001,e112_001,-,-,-,-,protector from prophage-induced early lysis,protein-coding,-,-,-,protector from prophage-induced early lysis,20200629,-
1495285,19485430,e112_002,e112_002,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
1495285,19485431,e112_003,e112_003,-,-,-,-,DNA topoisomerase subunit DNA-dependent ATPase,protein-coding,-,-,-,DNA topoisomerase subunit DNA-dependent ATPase,20200629,-
1495285,19485432,e112_004,e112_004,-,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20200629,-
1495285,19485433,e112_005,e112_005,-,-,-,-,topoisomerase II large subunit,protein-coding,-,-,-,topoisomerase II large subunit,20200629,-
1495285,19485434,e112_006,e112_006,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485435,e112_007,e112_007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485436,e112_008,e112_008,-,-,-,-,zinc ribbon domain-containing protein,protein-coding,-,-,-,zinc ribbon domain-containing protein,20201221,-
1495285,19485437,e112_009,e112_009,-,-,-,-,mRNA metabolism modulator,protein-coding,-,-,-,mRNA metabolism modulator,20200629,-
1495285,19485438,e112_010,e112_010,-,-,-,-,modifier of suppressor tRNAs,protein-coding,-,-,-,modifier of suppressor tRNAs,20200629,-
1495285,19485439,e112_011,e112_011,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485440,e112_012,e112_012,-,-,-,-,modifier of transcription,protein-coding,-,-,-,modifier of transcription,20200629,-
1495285,19485441,e112_013,e112_013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485442,e112_014,e112_014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485443,e112_015,e112_015,-,-,-,-,exonuclease A,protein-coding,-,-,-,exonuclease A,20200629,-
1495285,19485444,e112_016,e112_016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485445,e112_017,e112_017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485446,e112_018,e112_018,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210417,-
1495285,19485447,e112_019,e112_019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485448,e112_020,e112_020,-,-,-,-,anti-sigma factor,protein-coding,-,-,-,anti-sigma factor,20200629,-
1495285,19485449,e112_021,e112_021,-,-,-,-,RNA polymerase ADP-ribosylase,protein-coding,-,-,-,RNA polymerase ADP-ribosylase,20200629,-
1495285,19485450,e112_022,e112_022,-,-,-,-,ADP-ribosylase,protein-coding,-,-,-,ADP-ribosylase,20200629,-
1495285,19485451,e112_023,e112_023,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485452,e112_024,e112_024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485453,e112_025,e112_025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19488594,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Escherichia phage e11/2).,other,-,-,-,-,20200513,-
1495285,20717367,e112_138,e112_138,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1495285,20717368,e112_140,e112_140,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1495285,20717369,e112_141,e112_141,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1495285,20717370,e112_142,e112_142,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1495285,20717371,e112_144,e112_144,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1495285,20717372,e112_145,e112_145,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1495285,20717373,e112_146,e112_146,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1495285,20717374,e112_147,e112_147,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1495285,20717375,e112_246,e112_246,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
