#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2301662,55810694,HYP70_gp002,HYP70_gp002,KARL1_02,-,-,-,putative anti-sigma factor,protein-coding,-,-,-,putative anti-sigma factor,20200704,-
2301662,55810870,HYP70_gp178,HYP70_gp178,KARL1_178,-,-,-,recombination endonuclease subunit,protein-coding,-,-,-,recombination endonuclease subunit,20210424,-
2301662,55810871,HYP70_gp179,HYP70_gp179,KARL1_179,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810872,HYP70_gp180,HYP70_gp180,KARL1_180,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810873,HYP70_gp181,HYP70_gp181,KARL1_181,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2301662,55810874,HYP70_gp182,HYP70_gp182,KARL1_182,-,-,-,RNA polymerase binding protein,protein-coding,-,-,-,RNA polymerase binding protein,20200801,-
2301662,55810875,HYP70_gp183,HYP70_gp183,KARL1_183,-,-,-,"DNA polymerase accessory protein, sliding clamp",protein-coding,-,-,-,"DNA polymerase accessory protein, sliding clamp",20210424,-
2301662,55810876,HYP70_gp184,HYP70_gp184,KARL1_184,-,-,-,"DNA polymerase accessory protein, clamp-loader subunit",protein-coding,-,-,-,"DNA polymerase accessory protein, clamp-loader subunit",20210424,-
2301662,55810877,HYP70_gp185,HYP70_gp185,KARL1_185,-,-,-,"DNA polymerase accessory protein, clamp-loader subunit",protein-coding,-,-,-,"DNA polymerase accessory protein, clamp-loader subunit",20210424,-
2301662,55810878,HYP70_gp186,HYP70_gp186,KARL1_186,-,-,-,translational repressor protein,protein-coding,-,-,-,translational repressor protein,20210424,-
2301662,55810879,HYP70_gp187,HYP70_gp187,KARL1_187,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810880,HYP70_gp188,HYP70_gp188,KARL1_188,-,-,-,split DNA polymerase,protein-coding,-,-,-,split DNA polymerase,20210424,-
2301662,55810881,HYP70_gp189,HYP70_gp189,KARL1_189,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810882,HYP70_gp190,HYP70_gp190,KARL1_190,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810883,HYP70_gp191,HYP70_gp191,KARL1_191,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810884,HYP70_gp192,HYP70_gp192,KARL1_192,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810885,HYP70_gp193,HYP70_gp193,KARL1_193,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810886,HYP70_gp194,HYP70_gp194,KARL1_194,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810887,HYP70_gp195,HYP70_gp195,KARL1_195,-,-,-,split DNA polymerase,protein-coding,-,-,-,split DNA polymerase,20200905,-
2301662,55810888,HYP70_gp196,HYP70_gp196,KARL1_196,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810889,HYP70_gp197,HYP70_gp197,KARL1_197,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810890,HYP70_gp198,HYP70_gp198,KARL1_198,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810891,HYP70_gp199,HYP70_gp199,KARL1_199,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810892,HYP70_gp200,HYP70_gp200,KARL1_200,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810893,HYP70_gp201,HYP70_gp201,KARL1_201,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810894,HYP70_gp202,HYP70_gp202,KARL1_202,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2301662,55810895,HYP70_gp203,HYP70_gp203,KARL1_203,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2301662,55810896,HYP70_gp204,HYP70_gp204,KARL1_204,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2301662,55810897,HYP70_gp205,HYP70_gp205,KARL1_205,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2301662,55810898,HYP70_gp206,HYP70_gp206,KARL1_206,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810899,HYP70_gp207,HYP70_gp207,KARL1_207,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2301662,55810900,HYP70_gp208,HYP70_gp208,KARL1_208,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810901,HYP70_gp209,HYP70_gp209,KARL1_209,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810902,HYP70_gp210,HYP70_gp210,KARL1_210,-,-,-,head vertex assembly chaperone,protein-coding,-,-,-,head vertex assembly chaperone,20200905,-
2301662,55810903,HYP70_gp211,HYP70_gp211,KARL1_211,-,-,-,DNA primase-helicase subunit,protein-coding,-,-,-,DNA primase-helicase subunit,20200801,-
2301662,55810904,HYP70_gp212,HYP70_gp212,KARL1_212,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810905,HYP70_gp213,HYP70_gp213,KARL1_213,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810906,HYP70_gp214,HYP70_gp214,KARL1_214,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810907,HYP70_gp215,HYP70_gp215,KARL1_215,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810908,HYP70_gp216,HYP70_gp216,KARL1_216,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810909,HYP70_gp217,HYP70_gp217,KARL1_217,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810910,HYP70_gp218,HYP70_gp218,KARL1_218,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810911,HYP70_gp219,HYP70_gp219,KARL1_219,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810912,HYP70_gp220,HYP70_gp220,KARL1_220,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810913,HYP70_gp221,HYP70_gp221,KARL1_221,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810914,HYP70_gp222,HYP70_gp222,KARL1_222,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810915,HYP70_gp223,HYP70_gp223,KARL1_223,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810916,HYP70_gp224,HYP70_gp224,KARL1_224,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810917,HYP70_gp225,HYP70_gp225,KARL1_225,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810918,HYP70_gp226,HYP70_gp226,KARL1_226,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810919,HYP70_gp227,HYP70_gp227,KARL1_227,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2301662,55810920,HYP70_gp228,HYP70_gp228,KARL1_228,-,-,-,DNA primase subunit,protein-coding,-,-,-,DNA primase subunit,20210424,-
2301662,55810921,HYP70_gp229,HYP70_gp229,KARL1_229,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810922,HYP70_gp230,HYP70_gp230,KARL1_230,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810923,HYP70_gp231,HYP70_gp231,KARL1_231,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810924,HYP70_gp232,HYP70_gp232,KARL1_232,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810925,HYP70_gp233,HYP70_gp233,KARL1_233,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810926,HYP70_gp234,HYP70_gp234,KARL1_234,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810927,HYP70_gp235,HYP70_gp235,KARL1_235,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810928,HYP70_gp236,HYP70_gp236,KARL1_236,-,-,-,dCTPase,protein-coding,-,-,-,dCTPase,20210424,-
2301662,55810929,HYP70_gp237,HYP70_gp237,KARL1_237,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810930,HYP70_gp238,HYP70_gp238,KARL1_238,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810931,HYP70_gp239,HYP70_gp239,KARL1_239,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810932,HYP70_gp240,HYP70_gp240,KARL1_240,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810933,HYP70_gp241,HYP70_gp241,KARL1_241,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810934,HYP70_gp242,HYP70_gp242,KARL1_242,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810935,HYP70_gp243,HYP70_gp243,KARL1_243,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810936,HYP70_gp244,HYP70_gp244,KARL1_244,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810937,HYP70_gp245,HYP70_gp245,KARL1_245,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810938,HYP70_gp246,HYP70_gp246,KARL1_246,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810939,HYP70_gp247,HYP70_gp247,KARL1_247,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2301662,55810940,HYP70_gp248,HYP70_gp248,KARL1_248,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810941,HYP70_gp249,HYP70_gp249,KARL1_249,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810942,HYP70_gp250,HYP70_gp250,KARL1_250,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2301662,55810943,HYP70_gp251,HYP70_gp251,KARL1_251,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810944,HYP70_gp252,HYP70_gp252,KARL1_252,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810945,HYP70_gp253,HYP70_gp253,KARL1_253,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2301662,55810946,HYP70_gp001,HYP70_gp001,KARL1_01,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55863537,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200706,-
