#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1675606,40069355,FDG88_gp001,FDG88_gp001,CPT_Murica1,-,-,-,rIIA protein,protein-coding,-,-,-,rIIA protein,20200629,-
1675606,40069536,FDG88_gp104,FDG88_gp104,CPT_Murica175,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069537,FDG88_gp103,FDG88_gp103,CPT_Murica176,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069538,FDG88_gp102,FDG88_gp102,CPT_Murica177,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069539,FDG88_gp101,FDG88_gp101,CPT_Murica178,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069540,FDG88_gp100,FDG88_gp100,CPT_Murica179,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069541,FDG88_gp099,FDG88_gp099,CPT_Murica180,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069542,FDG88_gp098,FDG88_gp098,CPT_Murica181,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069543,FDG88_gp097,FDG88_gp097,CPT_Murica182,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069544,FDG88_gp096,FDG88_gp096,CPT_Murica183,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069545,FDG88_gp095,FDG88_gp095,CPT_Murica184,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069546,FDG88_gp094,FDG88_gp094,CPT_Murica185,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069547,FDG88_gp093,FDG88_gp093,CPT_Murica186,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069548,FDG88_gp092,FDG88_gp092,CPT_Murica187,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069549,FDG88_gp091,FDG88_gp091,CPT_Murica188,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069550,FDG88_gp090,FDG88_gp090,CPT_Murica189,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069551,FDG88_gp089,FDG88_gp089,CPT_Murica190,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069552,FDG88_gp088,FDG88_gp088,CPT_Murica191,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069553,FDG88_gp087,FDG88_gp087,CPT_Murica192,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069554,FDG88_gp086,FDG88_gp086,CPT_Murica193,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069555,FDG88_gp085,FDG88_gp085,CPT_Murica194,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069556,FDG88_gp084,FDG88_gp084,CPT_Murica195,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069557,FDG88_gp083,FDG88_gp083,CPT_Murica196,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069558,FDG88_gp082,FDG88_gp082,CPT_Murica197,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069559,FDG88_gp081,FDG88_gp081,CPT_Murica198,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069560,FDG88_gp080,FDG88_gp080,CPT_Murica199,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069561,FDG88_gp079,FDG88_gp079,CPT_Murica200,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069562,FDG88_gp078,FDG88_gp078,CPT_Murica201,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069563,FDG88_gp077,FDG88_gp077,CPT_Murica202,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069564,FDG88_gp076,FDG88_gp076,CPT_Murica203,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210123,-
1675606,40069565,FDG88_gp075,FDG88_gp075,CPT_Murica204,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210123,-
1675606,40069566,FDG88_gp074,FDG88_gp074,CPT_Murica205,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069567,FDG88_gp073,FDG88_gp073,CPT_Murica206,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069568,FDG88_gp072,FDG88_gp072,CPT_Murica207,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069569,FDG88_gp071,FDG88_gp071,CPT_Murica208,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069570,FDG88_gp070,FDG88_gp070,CPT_Murica209,-,-,-,DNA adenine methylase,protein-coding,-,-,-,DNA adenine methylase,20200629,-
1675606,40069571,FDG88_gp069,FDG88_gp069,CPT_Murica210,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069572,FDG88_gp068,FDG88_gp068,CPT_Murica211,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210123,-
1675606,40069573,FDG88_gp067,FDG88_gp067,CPT_Murica212,-,-,-,rIIB protein,protein-coding,-,-,-,rIIB protein,20200629,-
1675606,40120210,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
