#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
4956,5848217,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Saccharomyces rouxii).,other,-,-,-,-,20181022,-
4956,8203004,ZYRO0C03520g,ZYRO0C03520g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203005,ZYRO0C03542g,ZYRO0C03542g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20180130,-
4956,8203006,ZYRO0C03564g,ZYRO0C03564g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203007,ZYRO0C03586g,ZYRO0C03586g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20180130,-
4956,8203008,ZYRO0C03608g,ZYRO0C03608g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203009,ZYRO0C03630g,ZYRO0C03630g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203010,ZYRO0C03652g,ZYRO0C03652g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20180130,-
4956,8203011,ZYRO0C03674g,ZYRO0C03674g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20180130,-
4956,8203012,ZYRO0C03696g,ZYRO0C03696g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203013,ZYRO0C03718g,ZYRO0C03718g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20180130,-
4956,8203014,ZYRO0C03740g,ZYRO0C03740g,-,-,C,-,mitochondrial 37S ribosomal protein RSM24,protein-coding,-,-,-,-,20170926,-
4956,8203015,ZYRO0C03762g,ZYRO0C03762g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20180130,-
4956,8203016,ZYRO0C03784g,ZYRO0C03784g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203017,ZYRO0C03806g,ZYRO0C03806g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20180130,-
4956,8203018,ZYRO0C03828g,ZYRO0C03828g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203019,ZYRO0C03850g,ZYRO0C03850g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203020,ZYRO0C03872g,ZYRO0C03872g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203021,ZYRO0C03894g,ZYRO0C03894g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20180130,-
4956,8203022,ZYRO0C03916g,ZYRO0C03916g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203023,ZYRO0C03938g,ZYRO0C03938g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203024,ZYRO0C03960g,ZYRO0C03960g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203025,ZYRO0C03982g,ZYRO0C03982g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20180130,-
4956,8203026,ZYRO0C04004g,ZYRO0C04004g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203027,ZYRO0C04026g,ZYRO0C04026g,-,-,C,-,ubiquitin-40S ribosomal protein S31 fusion protein,protein-coding,-,-,-,-,20170926,-
4956,8203028,ZYRO0C04048g,ZYRO0C04048g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20180130,-
4956,8203029,ZYRO0C04070g,ZYRO0C04070g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203030,ZYRO0C04092g,ZYRO0C04092g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20180130,-
4956,8203031,ZYRO0C04114g,ZYRO0C04114g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20180130,-
4956,8203032,ZYRO0C04136g,ZYRO0C04136g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20180130,-
4956,8203033,ZYRO0C04158g,ZYRO0C04158g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20180130,-
4956,8203034,ZYRO0C04180g,ZYRO0C04180g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20180130,-
4956,8203035,ZYRO0C04202g,ZYRO0C04202g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20180130,-
4956,8203036,ZYRO0C04224g,ZYRO0C04224g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20180130,-
4956,8203037,ZYRO0C04246g,ZYRO0C04246g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203038,ZYRO0C04268g,ZYRO0C04268g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203039,ZYRO0C04290g,ZYRO0C04290g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203040,ZYRO0C04312g,ZYRO0C04312g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203041,ZYRO0C04334g,ZYRO0C04334g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203042,ZYRO0C04356g,ZYRO0C04356g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203043,ZYRO0C04378g,ZYRO0C04378g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203044,ZYRO0C04400g,ZYRO0C04400g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203045,ZYRO0C04422g,ZYRO0C04422g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203046,ZYRO0C04444g,ZYRO0C04444g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203047,ZYRO0C04466g,ZYRO0C04466g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203048,ZYRO0C04488g,ZYRO0C04488g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203049,ZYRO0C04510g,ZYRO0C04510g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20180130,-
4956,8203050,ZYRO0C04532g,ZYRO0C04532g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203051,ZYRO0C04554g,ZYRO0C04554g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20180130,-
4956,8203052,ZYRO0C04576g,ZYRO0C04576g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203053,ZYRO0C04598g,ZYRO0C04598g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203054,ZYRO0C04620g,ZYRO0C04620g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203055,ZYRO0C04642g,ZYRO0C04642g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20180130,-
4956,8203056,ZYRO0C04664g,ZYRO0C04664g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203057,ZYRO0C04686g,ZYRO0C04686g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203058,ZYRO0C04708g,ZYRO0C04708g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20180130,-
4956,8203059,ZYRO0C04730g,ZYRO0C04730g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20180130,-
4956,8203060,ZYRO0C04752g,ZYRO0C04752g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203061,ZYRO0C04774g,ZYRO0C04774g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203062,ZYRO0C04796r,ZYRO0C04796r,-,-,C,-,tRNA,tRNA,-,-,-,-,20170926,-
4956,8203063,ZYRO0C04818g,ZYRO0C04818g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203064,ZYRO0C04840g,ZYRO0C04840g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203065,ZYRO0C04862g,ZYRO0C04862g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203066,ZYRO0C04884g,ZYRO0C04884g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203067,ZYRO0C04906g,ZYRO0C04906g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203068,ZYRO0C04928g,ZYRO0C04928g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20180130,-
4956,8203069,ZYRO0C04950g,ZYRO0C04950g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203070,ZYRO0C04972g,ZYRO0C04972g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203071,ZYRO0C04994g,ZYRO0C04994g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203072,ZYRO0C05016g,ZYRO0C05016g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203073,ZYRO0C05038g,ZYRO0C05038g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203074,ZYRO0C05060g,ZYRO0C05060g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203075,ZYRO0C05082r,ZYRO0C05082r,-,-,C,-,tRNA,tRNA,-,-,-,-,20170926,-
4956,8203076,ZYRO0C05104g,ZYRO0C05104g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203077,ZYRO0C05126g,ZYRO0C05126g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20180130,-
4956,8203078,ZYRO0C05148r,ZYRO0C05148r,-,-,C,-,tRNA,tRNA,-,-,-,-,20170926,-
4956,8203079,ZYRO0C05170g,ZYRO0C05170g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203080,ZYRO0C05192g,ZYRO0C05192g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203081,ZYRO0C05214g,ZYRO0C05214g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203082,ZYRO0C05236g,ZYRO0C05236g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20180130,-
4956,8203083,ZYRO0C05258g,ZYRO0C05258g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203084,ZYRO0C05280r,ZYRO0C05280r,-,-,C,-,tRNA,tRNA,-,-,-,-,20170926,-
4956,8203085,ZYRO0C05302r,ZYRO0C05302r,-,-,C,-,tRNA,tRNA,-,-,-,-,20170926,-
4956,8203086,ZYRO0C05324g,ZYRO0C05324g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20180130,-
4956,8203087,ZYRO0C05346g,ZYRO0C05346g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203088,ZYRO0C05368g,ZYRO0C05368g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203089,ZYRO0C05390g,ZYRO0C05390g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20180130,-
4956,8203090,ZYRO0C05412g,ZYRO0C05412g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20180130,-
4956,8203091,ZYRO0C05434g,ZYRO0C05434g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20180130,-
4956,8203092,ZYRO0C05456g,ZYRO0C05456g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203093,ZYRO0C05478g,ZYRO0C05478g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203094,ZYRO0C05500g,ZYRO0C05500g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203095,ZYRO0C05522g,ZYRO0C05522g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203096,ZYRO0C05544g,ZYRO0C05544g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203097,ZYRO0C05566g,ZYRO0C05566g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203098,ZYRO0C05588g,ZYRO0C05588g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203099,ZYRO0C05610g,ZYRO0C05610g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20180130,-
4956,8203100,ZYRO0C05632g,ZYRO0C05632g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20180130,-
4956,8203101,ZYRO0C05654g,ZYRO0C05654g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203102,ZYRO0C05676g,ZYRO0C05676g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203103,ZYRO0C05698g,ZYRO0C05698g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20180130,-
4956,8203104,ZYRO0C05720g,ZYRO0C05720g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20180130,-
4956,8203105,ZYRO0C05742g,ZYRO0C05742g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203106,ZYRO0C05764g,ZYRO0C05764g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203107,ZYRO0C05786g,ZYRO0C05786g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20180130,-
4956,8203108,ZYRO0C05808g,ZYRO0C05808g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203109,ZYRO0C05830g,ZYRO0C05830g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20180130,-
4956,8203110,ZYRO0C05852g,ZYRO0C05852g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203111,ZYRO0C05874g,ZYRO0C05874g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203112,ZYRO0C05896g,ZYRO0C05896g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203113,ZYRO0C05918g,ZYRO0C05918g,-,-,C,-,60S ribosomal protein L36,protein-coding,-,-,-,-,20170926,-
4956,8203114,ZYRO0C05940g,ZYRO0C05940g,-,-,C,-,mitochondrial 54S ribosomal protein YmL24/YmL14,protein-coding,-,-,-,-,20170926,-
4956,8203115,ZYRO0C05962g,ZYRO0C05962g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203116,ZYRO0C05984r,ZYRO0C05984r,-,-,C,-,tRNA,tRNA,-,-,-,-,20170926,-
4956,8203117,ZYRO0C06006g,ZYRO0C06006g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203118,ZYRO0C06028g,ZYRO0C06028g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20180130,-
4956,8203119,ZYRO0C06050g,ZYRO0C06050g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203120,ZYRO0C06072g,ZYRO0C06072g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203121,ZYRO0C06094r,ZYRO0C06094r,-,-,C,-,tRNA,tRNA,-,-,-,-,20170926,-
4956,8203122,ZYRO0C06116r,ZYRO0C06116r,-,-,C,-,tRNA,tRNA,-,-,-,-,20170926,-
4956,8203123,ZYRO0C06138g,ZYRO0C06138g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203124,ZYRO0C06160g,ZYRO0C06160g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203125,ZYRO0C06182r,ZYRO0C06182r,-,-,C,-,tRNA,tRNA,-,-,-,-,20170926,-
4956,8203126,ZYRO0C06204g,ZYRO0C06204g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20180130,-
4956,8203127,ZYRO0C06226r,ZYRO0C06226r,-,-,C,-,tRNA,tRNA,-,-,-,-,20170926,-
4956,8203128,ZYRO0C06248g,ZYRO0C06248g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203129,ZYRO0C06270g,ZYRO0C06270g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203130,ZYRO0C06292g,ZYRO0C06292g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203131,ZYRO0C06314r,ZYRO0C06314r,-,-,C,-,tRNA,tRNA,-,-,-,-,20170926,-
4956,8203132,ZYRO0C06336g,ZYRO0C06336g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203133,ZYRO0C06358g,ZYRO0C06358g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203134,ZYRO0C06380g,ZYRO0C06380g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203135,ZYRO0C06402g,ZYRO0C06402g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203136,ZYRO0C06424g,ZYRO0C06424g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203137,ZYRO0C06446g,ZYRO0C06446g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203138,ZYRO0C06468g,ZYRO0C06468g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203139,ZYRO0C06490g,ZYRO0C06490g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203140,ZYRO0C06512g,ZYRO0C06512g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203141,ZYRO0C06534g,ZYRO0C06534g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203142,ZYRO0C06556g,ZYRO0C06556g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20180130,-
4956,8203143,SNR13,ZYRO0C06578r,-,-,C,-,ncRNA,ncRNA,-,-,-,-,20170926,-
4956,8203144,ZYRO0C06622g,ZYRO0C06622g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203145,ZYRO0C06644g,ZYRO0C06644g,-,-,C,-,60S ribosomal protein L27,protein-coding,-,-,-,-,20190601,-
4956,8203146,ZYRO0C06666g,ZYRO0C06666g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203147,ZYRO0C06688g,ZYRO0C06688g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203148,ZYRO0C06710g,ZYRO0C06710g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203149,ZYRO0C06732g,ZYRO0C06732g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203150,ZYRO0C06754g,ZYRO0C06754g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203151,ZYRO0C06776g,ZYRO0C06776g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203152,ZYRO0C06798g,ZYRO0C06798g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203153,ZYRO0C06820g,ZYRO0C06820g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203154,ZYRO0C06842g,ZYRO0C06842g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203155,ZYRO0C06864g,ZYRO0C06864g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203156,ZYRO0C06886g,ZYRO0C06886g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20180130,-
4956,8203157,ZYRO0C06908g,ZYRO0C06908g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203158,ZYRO0C06930g,ZYRO0C06930g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203159,ZYRO0C06952g,ZYRO0C06952g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203160,ZYRO0C06996g,ZYRO0C06996g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203161,ZYRO0C07018g,ZYRO0C07018g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203162,ZYRO0C07040g,ZYRO0C07040g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20180130,-
4956,8203163,ZYRO0C07062g,ZYRO0C07062g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20180130,-
4956,8203164,ZYRO0C07084g,ZYRO0C07084g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20180130,-
4956,8203165,ZYRO0C07106g,ZYRO0C07106g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20180130,-
4956,8203166,ZYRO0C07128g,ZYRO0C07128g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20180130,-
4956,8203167,ZYRO0C07150r,ZYRO0C07150r,-,-,C,-,tRNA,tRNA,-,-,-,-,20170926,-
4956,8203168,ZYRO0C07172g,ZYRO0C07172g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20180130,-
4956,8203169,ZYRO0C07194g,ZYRO0C07194g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203170,ZYRO0C07216g,ZYRO0C07216g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20180130,-
4956,8203171,ZYRO0C07238g,ZYRO0C07238g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203172,ZYRO0C07282g,ZYRO0C07282g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20180130,-
4956,8203173,ZYRO0C07304g,ZYRO0C07304g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203174,ZYRO0C07326g,ZYRO0C07326g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203175,ZYRO0C07348g,ZYRO0C07348g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20180130,-
4956,8203176,ZYRO0C07370g,ZYRO0C07370g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203177,ZYRO0C07392g,ZYRO0C07392g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20180130,-
4956,8203178,ZYRO0C07414g,ZYRO0C07414g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20180130,-
4956,8203179,ZYRO0C07436g,ZYRO0C07436g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203180,ZYRO0C07458g,ZYRO0C07458g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203181,ZYRO0C07480g,ZYRO0C07480g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20180130,-
4956,8203182,ZYRO0C07502g,ZYRO0C07502g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203183,ZYRO0C07524g,ZYRO0C07524g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203184,ZYRO0C07546g,ZYRO0C07546g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203185,ZYRO0C07590r,ZYRO0C07590r,-,-,C,-,tRNA,tRNA,-,-,-,-,20170926,-
4956,8203186,ZYRO0C07612g,ZYRO0C07612g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203187,ZYRO0C07634g,ZYRO0C07634g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203188,ZYRO0C07678g,ZYRO0C07678g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203189,ZYRO0C07700g,ZYRO0C07700g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20180130,-
4956,8203190,ZYRO0C07722g,ZYRO0C07722g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203191,ZYRO0C07744g,ZYRO0C07744g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203192,ZYRO0C07766r,ZYRO0C07766r,-,-,C,-,tRNA,tRNA,-,-,-,-,20170926,-
4956,8203193,ZYRO0C07788g,ZYRO0C07788g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20180130,-
4956,8203194,ZYRO0C07810g,ZYRO0C07810g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203195,ZYRO0C07832g,ZYRO0C07832g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203196,ZYRO0C07854g,ZYRO0C07854g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20180130,-
4956,8203197,ZYRO0C07876g,ZYRO0C07876g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203198,ZYRO0C07898g,ZYRO0C07898g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203199,ZYRO0C07920g,ZYRO0C07920g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203200,ZYRO0C07942g,ZYRO0C07942g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203201,ZYRO0C07964g,ZYRO0C07964g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203202,ZYRO0C07986g,ZYRO0C07986g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203203,ZYRO0C08008g,ZYRO0C08008g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203204,ZYRO0C08030g,ZYRO0C08030g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203205,ZYRO0C08052g,ZYRO0C08052g,-,-,C,-,60S ribosomal protein L17,protein-coding,-,-,-,-,20170926,-
4956,8203206,ZYRO0C08074g,ZYRO0C08074g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20180130,-
4956,8203207,ZYRO0C08096g,ZYRO0C08096g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203208,ZYRO0C08118g,ZYRO0C08118g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203209,ZYRO0C08140g,ZYRO0C08140g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203210,ZYRO0C08162g,ZYRO0C08162g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203211,ZYRO0C08184g,ZYRO0C08184g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203212,ZYRO0C08206g,ZYRO0C08206g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20180130,-
