#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
192010,26836085,nad3,AYC56_gp02,-,-,MT,-,NADH dehydrogenase subunit 3,protein-coding,-,-,-,NADH dehydrogenase subunit 3,20210607,-
192010,65082550,FMAN_03279,FMAN_03279,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082551,FMAN_03280,FMAN_03280,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082552,FMAN_03281,FMAN_03281,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082553,FMAN_03282,FMAN_03282,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082554,FMAN_03283,FMAN_03283,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082555,FMAN_03284,FMAN_03284,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082556,FMAN_03285,FMAN_03285,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082557,FMAN_03286,FMAN_03286,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082558,FMAN_03287,FMAN_03287,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082559,FMAN_03288,FMAN_03288,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082560,FMAN_03289,FMAN_03289,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082561,FMAN_03290,FMAN_03290,-,-,Unknown,-,putative ABC1 transport protein,protein-coding,-,-,-,putative ABC1 transport protein,20210607,-
192010,65082562,FMAN_03291,FMAN_03291,-,-,Unknown,-,putative carnitine transporter,protein-coding,-,-,-,putative carnitine transporter,20210607,-
192010,65082563,FMAN_03292,FMAN_03292,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082564,FMAN_03293,FMAN_03293,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082565,FMAN_03294,FMAN_03294,-,-,Unknown,-,trichodiene oxygenase,protein-coding,-,-,-,trichodiene oxygenase,20210607,-
192010,65082566,FMAN_03295,FMAN_03295,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082567,FMAN_03296,FMAN_03296,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082568,FMAN_03297,FMAN_03297,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082569,FMAN_03298,FMAN_03298,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082570,FMAN_03299,FMAN_03299,-,-,Unknown,-,related to 2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases,protein-coding,-,-,-,related to 2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases,20210607,-
192010,65082571,FMAN_03300,FMAN_03300,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082572,FMAN_03301,FMAN_03301,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082573,FMAN_03302,FMAN_03302,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082574,FMAN_03303,FMAN_03303,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082575,FMAN_03304,FMAN_03304,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082576,FMAN_03305,FMAN_03305,-,-,Unknown,-,"putative NADH-ubiquinone oxidoreductase 19.3 kDa subunit, mitochondrial precursor",protein-coding,-,-,-,"putative NADH-ubiquinone oxidoreductase 19.3 kDa subunit, mitochondrial precursor",20210607,-
192010,65082577,FMAN_03306,FMAN_03306,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082578,FMAN_03307,FMAN_03307,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082579,FMAN_03308,FMAN_03308,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082580,FMAN_03309,FMAN_03309,-,-,Unknown,-,related to transcription initiation factor IID 250K chain splice form 2,protein-coding,-,-,-,related to transcription initiation factor IID 250K chain splice form 2,20210607,-
192010,65082581,FMAN_03310,FMAN_03310,-,-,Unknown,-,putative RLM1-transcription factor of the MADS box family,protein-coding,-,-,-,putative RLM1-transcription factor of the MADS box family,20210607,-
192010,65082582,FMAN_03311,FMAN_03311,-,-,Unknown,-,related to FAS1 domain-containing protein NCU02579,protein-coding,-,-,-,related to FAS1 domain-containing protein NCU02579,20210607,-
192010,65082583,FMAN_03312,FMAN_03312,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082584,FMAN_03313,FMAN_03313,-,-,Unknown,-,putative RCO3 glucose transporter,protein-coding,-,-,-,putative RCO3 glucose transporter,20210607,-
192010,65082585,FMAN_03314,FMAN_03314,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082586,FMAN_03315,FMAN_03315,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082587,FMAN_03316,FMAN_03316,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082588,FMAN_03317,FMAN_03317,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082589,FMAN_03318,FMAN_03318,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082590,FMAN_03319,FMAN_03319,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082591,FMAN_03320,FMAN_03320,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082592,FMAN_03321,FMAN_03321,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082593,FMAN_03322,FMAN_03322,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082594,FMAN_03323,FMAN_03323,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082595,FMAN_03324,FMAN_03324,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082596,FMAN_03325,FMAN_03325,-,-,Unknown,-,putative delta-1-pyrroline-5-carboxylate dehydrogenase,protein-coding,-,-,-,putative delta-1-pyrroline-5-carboxylate dehydrogenase,20210607,-
192010,65082597,FMAN_03326,FMAN_03326,-,-,Unknown,-,"putative aspartate aminotransferase, cytoplasmic",protein-coding,-,-,-,"putative aspartate aminotransferase, cytoplasmic",20210607,-
192010,65082598,FMAN_03327,FMAN_03327,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082599,FMAN_03328,FMAN_03328,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082600,FMAN_03329,FMAN_03329,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082601,FMAN_03330,FMAN_03330,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082602,FMAN_03331,FMAN_03331,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082603,FMAN_03332,FMAN_03332,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082604,FMAN_03333,FMAN_03333,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082605,FMAN_03334,FMAN_03334,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082606,FMAN_03335,FMAN_03335,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082607,FMAN_03336,FMAN_03336,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082608,FMAN_03337,FMAN_03337,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082609,FMAN_03338,FMAN_03338,-,-,Unknown,-,putative endopeptidase K,protein-coding,-,-,-,putative endopeptidase K,20210607,-
192010,65082610,FMAN_03339,FMAN_03339,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082611,FMAN_03340,FMAN_03340,-,-,Unknown,-,putative neutral amino acid permease,protein-coding,-,-,-,putative neutral amino acid permease,20210607,-
192010,65082612,FMAN_03341,FMAN_03341,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082613,FMAN_03342,FMAN_03342,-,-,Unknown,-,putative SIT1-Transporter of the bacterial siderophore ferrioxamine B,protein-coding,-,-,-,putative SIT1-Transporter of the bacterial siderophore ferrioxamine B,20210607,-
192010,65082614,FMAN_03343,FMAN_03343,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082615,FMAN_03344,FMAN_03344,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082616,FMAN_03345,FMAN_03345,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082617,FMAN_03346,FMAN_03346,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082618,FMAN_03347,FMAN_03347,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082619,FMAN_03348,FMAN_03348,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082620,FMAN_03349,FMAN_03349,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082621,FMAN_03350,FMAN_03350,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082622,FMAN_03351,FMAN_03351,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082623,FMAN_03352,FMAN_03352,-,-,Unknown,-,putative protein disulfide isomerase-related protein A,protein-coding,-,-,-,putative protein disulfide isomerase-related protein A,20210607,-
192010,65082624,FMAN_03353,FMAN_03353,-,-,Unknown,-,related to 3`-5` exoribonuclease required for 3` end formation of 5.8S rRNA,protein-coding,-,-,-,related to 3`-5` exoribonuclease required for 3` end formation of 5.8S rRNA,20210607,-
192010,65082625,FMAN_03354,FMAN_03354,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082626,FMAN_03355,FMAN_03355,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082627,FMAN_03356,FMAN_03356,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082628,FMAN_03357,FMAN_03357,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082629,FMAN_03358,FMAN_03358,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082630,FMAN_03359,FMAN_03359,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082631,FMAN_03360,FMAN_03360,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082632,FMAN_03361,FMAN_03361,-,-,Unknown,-,putative 3-hydroxy-3-methylglutaryl-coenzyme A reductase,protein-coding,-,-,-,putative 3-hydroxy-3-methylglutaryl-coenzyme A reductase,20210607,-
192010,65082633,FMAN_03362,FMAN_03362,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082634,FMAN_03363,FMAN_03363,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082635,FMAN_03364,FMAN_03364,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082636,FMAN_03365,FMAN_03365,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082637,FMAN_03366,FMAN_03366,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082638,FMAN_03367,FMAN_03367,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082639,FMAN_03368,FMAN_03368,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082640,FMAN_03369,FMAN_03369,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082641,FMAN_03370,FMAN_03370,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082642,FMAN_03371,FMAN_03371,-,-,Unknown,-,putative adenylosuccinate lyase,protein-coding,-,-,-,putative adenylosuccinate lyase,20210607,-
192010,65082643,FMAN_03372,FMAN_03372,-,-,Unknown,-,fusarubin cluster-esterase,protein-coding,-,-,-,fusarubin cluster-esterase,20210607,-
192010,65082644,FMAN_03373,FMAN_03373,-,-,Unknown,-,fusarubin cluster-transcription factor,protein-coding,-,-,-,fusarubin cluster-transcription factor,20210607,-
192010,65082645,FMAN_03374,FMAN_03374,-,-,Unknown,-,fusarubin cluster-dehydrogenase,protein-coding,-,-,-,fusarubin cluster-dehydrogenase,20210608,-
192010,65082646,FMAN_03375,FMAN_03375,-,-,Unknown,-,fusarubin cluster-oxidoreductase,protein-coding,-,-,-,fusarubin cluster-oxidoreductase,20210607,-
192010,65082647,FMAN_03376,FMAN_03376,-,-,Unknown,-,fusarubin cluster-monooxygenase,protein-coding,-,-,-,fusarubin cluster-monooxygenase,20210607,-
192010,65082648,FMAN_03377,FMAN_03377,-,-,Unknown,-,fusarubin cluster-methyltransferase,protein-coding,-,-,-,fusarubin cluster-methyltransferase,20210607,-
192010,65082649,FMAN_03378,FMAN_03378,-,-,Unknown,-,fusarubin cluster-polyketide synthase,protein-coding,-,-,-,fusarubin cluster-polyketide synthase,20210607,-
192010,65082650,FMAN_03379,FMAN_03379,-,-,Unknown,-,fusarubin cluster-oxidoreductase,protein-coding,-,-,-,fusarubin cluster-oxidoreductase,20210607,-
192010,65082651,FMAN_03380,FMAN_03380,-,-,Unknown,-,putative guanylate kinase,protein-coding,-,-,-,putative guanylate kinase,20210607,-
192010,65082652,FMAN_03381,FMAN_03381,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082653,FMAN_03382,FMAN_03382,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082654,FMAN_03383,FMAN_03383,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082655,FMAN_03384,FMAN_03384,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082656,FMAN_03385,FMAN_03385,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082657,FMAN_03386,FMAN_03386,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082658,FMAN_03387,FMAN_03387,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082659,FMAN_03388,FMAN_03388,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082660,FMAN_03389,FMAN_03389,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082661,FMAN_03390,FMAN_03390,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082662,FMAN_03391,FMAN_03391,-,-,Unknown,-,putative metalloprotease MEP1,protein-coding,-,-,-,putative metalloprotease MEP1,20210607,-
192010,65082663,FMAN_03392,FMAN_03392,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082664,FMAN_03393,FMAN_03393,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082665,FMAN_03394,FMAN_03394,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082666,FMAN_03395,FMAN_03395,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082667,FMAN_03396,FMAN_03396,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082668,FMAN_03397,FMAN_03397,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082669,FMAN_03398,FMAN_03398,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082670,FMAN_03399,FMAN_03399,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082671,FMAN_03400,FMAN_03400,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082672,FMAN_03401,FMAN_03401,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082673,FMAN_03402,FMAN_03402,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082674,FMAN_03403,FMAN_03403,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082675,FMAN_03404,FMAN_03404,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082676,FMAN_03405,FMAN_03405,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082677,FMAN_03406,FMAN_03406,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082678,FMAN_03407,FMAN_03407,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082679,FMAN_03408,FMAN_03408,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082680,FMAN_03409,FMAN_03409,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082681,FMAN_03410,FMAN_03410,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082682,FMAN_03411,FMAN_03411,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082683,FMAN_03412,FMAN_03412,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082684,FMAN_03413,FMAN_03413,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082685,FMAN_03414,FMAN_03414,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082686,FMAN_03415,FMAN_03415,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082687,FMAN_03416,FMAN_03416,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082688,FMAN_03417,FMAN_03417,-,-,Unknown,-,related to tetracycline resistance protein from transposon Tn4351/Tn4400,protein-coding,-,-,-,related to tetracycline resistance protein from transposon Tn4351/Tn4400,20210607,-
192010,65082689,FMAN_03418,FMAN_03418,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082690,FMAN_03419,FMAN_03419,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082691,FMAN_03420,FMAN_03420,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082692,FMAN_03421,FMAN_03421,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082693,FMAN_03422,FMAN_03422,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082694,FMAN_03423,FMAN_03423,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082695,FMAN_03424,FMAN_03424,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082696,FMAN_03425,FMAN_03425,-,-,Unknown,-,putative manganese transport protein,protein-coding,-,-,-,putative manganese transport protein,20210607,-
192010,65082697,FMAN_03426,FMAN_03426,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082698,FMAN_03427,FMAN_03427,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082699,FMAN_03428,FMAN_03428,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082700,FMAN_03429,FMAN_03429,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082701,FMAN_03430,FMAN_03430,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082702,FMAN_03431,FMAN_03431,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082703,FMAN_03432,FMAN_03432,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082704,FMAN_03433,FMAN_03433,-,-,Unknown,-,putative phosphate transport protein MIR1,protein-coding,-,-,-,putative phosphate transport protein MIR1,20210607,-
192010,65082705,FMAN_03434,FMAN_03434,-,-,Unknown,-,putative Kex protein,protein-coding,-,-,-,putative Kex protein,20210607,-
192010,65082706,FMAN_03435,FMAN_03435,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082707,FMAN_03436,FMAN_03436,-,-,Unknown,-,putative suppressor of mrs2-1 mutation,protein-coding,-,-,-,putative suppressor of mrs2-1 mutation,20210607,-
192010,65082708,FMAN_03437,FMAN_03437,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082709,FMAN_03438,FMAN_03438,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082710,FMAN_03439,FMAN_03439,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082711,FMAN_03440,FMAN_03440,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082712,FMAN_03441,FMAN_03441,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082713,FMAN_03442,FMAN_03442,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082714,FMAN_03443,FMAN_03443,-,-,Unknown,-,putative nudC protein,protein-coding,-,-,-,putative nudC protein,20210607,-
192010,65082715,FMAN_03444,FMAN_03444,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082716,FMAN_03445,FMAN_03445,-,-,Unknown,-,"related to YAP1802-Yeast Adaptor Protein, member of AP180 protein family",protein-coding,-,-,-,"related to YAP1802-Yeast Adaptor Protein, member of AP180 protein family",20210607,-
192010,65082717,FMAN_03446,FMAN_03446,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082718,FMAN_03447,FMAN_03447,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082719,FMAN_03448,FMAN_03448,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082720,FMAN_03449,FMAN_03449,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082721,FMAN_03450,FMAN_03450,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082722,FMAN_03451,FMAN_03451,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082723,FMAN_03452,FMAN_03452,-,-,Unknown,-,related to monooxygenase,protein-coding,-,-,-,related to monooxygenase,20210607,-
192010,65082724,FMAN_03453,FMAN_03453,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082725,FMAN_03454,FMAN_03454,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082726,FMAN_03455,FMAN_03455,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082727,FMAN_03456,FMAN_03456,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082728,FMAN_03457,FMAN_03457,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082729,FMAN_03458,FMAN_03458,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082730,FMAN_03459,FMAN_03459,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082731,FMAN_03460,FMAN_03460,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082732,FMAN_03461,FMAN_03461,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082733,FMAN_03462,FMAN_03462,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082734,FMAN_03463,FMAN_03463,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082735,FMAN_03464,FMAN_03464,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65082736,FMAN_03465,FMAN_03465,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
