#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
722418,26041082,APL46_gp002,APL46_gp002,CPt10_0011,-,-,-,Putative base plate hub assembly catalyst,protein-coding,-,-,-,Putative base plate hub assembly catalyst,20200629,-
722418,26041263,APL46_gp144,APL46_gp144,CPt10_1901,-,-,-,Probable phage RNA ligase,protein-coding,-,-,-,Probable phage RNA ligase,20200629,-
722418,26041264,APL46_gp143,APL46_gp143,CPt10_1911,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041265,APL46_gp142,APL46_gp142,CPt10_1921,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041266,APL46_gp141,APL46_gp141,CPt10_1931,-,-,-,hypothetical phage protein (Radical SAM family),protein-coding,-,-,-,hypothetical phage protein (Radical SAM family),20200629,-
722418,26041267,APL46_gp140,APL46_gp140,CPt10_1941,-,-,-,hypothetical phage membrane protein,protein-coding,-,-,-,hypothetical phage membrane protein,20200629,-
722418,26041268,APL46_gp139,APL46_gp139,CPt10_1951,-,-,-,hypothetical phage protein (possible baseplate tail tube cap),protein-coding,-,-,-,hypothetical phage protein (possible baseplate tail tube cap),20200629,-
722418,26041269,APL46_gp138,APL46_gp138,CPt10_1961,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041270,APL46_gp137,APL46_gp137,CPt10_1971,-,-,-,Probable phage tail completion and stabilizer protein,protein-coding,-,-,-,Probable phage tail completion and stabilizer protein,20200629,-
722418,26041271,APL46_gp136,APL46_gp136,CPt10_1981,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041272,APL46_gp135,APL46_gp135,CPt10_1991,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041273,APL46_gp134,APL46_gp134,CPt10_2001,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041274,APL46_gp133,APL46_gp133,CPt10_2011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041275,APL46_gp132,APL46_gp132,CPt10_2021,-,-,-,Probable phage prohead core protein precursor,protein-coding,-,-,-,Probable phage prohead core protein precursor,20200629,-
722418,26041276,APL46_gp131,APL46_gp131,CPt10_2031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041277,APL46_gp156,APL46_gp156,CPt10_1781,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041278,APL46_gp174,APL46_gp174,CPt10_1591,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041279,APL46_gt002,APL46_gt002,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
722418,26041280,APL46_gp199,APL46_gp199,CPt10_1331,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041281,APL46_gp001,APL46_gp001,CPt10_0001,-,-,-,Putative phage DNA packaging protein (terminase),protein-coding,-,-,-,Putative phage DNA packaging protein (terminase),20200629,-
722418,26041282,APL46_gp059,APL46_gp059,CPt10_0581,-,-,-,pseudo,pseudo,-,-,-,-,20200909,-
722418,26045498,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Campylobacter phage CPt10).,other,-,-,-,-,20200513,-
