#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1054480,14010526,F412_gp273,F412_gp273,-,-,-,-,RIIA protein,protein-coding,-,-,-,RIIA protein,20200629,-
1054480,14010730,F412_gp080,F412_gp080,-,-,-,-,RNA polymerase ADP-ribosylase,protein-coding,-,-,-,RNA polymerase ADP-ribosylase,20200629,-
1054480,14010731,F412_gp079,F412_gp079,-,-,-,-,adenosylribosyl-transferase packaged injected with DNA,protein-coding,-,-,-,adenosylribosyl-transferase packaged injected with DNA,20210313,-
1054480,14010732,F412_gp078,F412_gp078,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010733,F412_gp077,F412_gp077,-,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20200629,-
1054480,14010734,F412_gp076,F412_gp076,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010735,F412_gp075,F412_gp075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010736,F412_gp074,F412_gp074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010737,F412_gp073,F412_gp073,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010738,F412_gp072,F412_gp072,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010739,F412_gp071,F412_gp071,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010740,F412_gp070,F412_gp070,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010741,F412_gp069,F412_gp069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010742,F412_gp068,F412_gp068,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010743,F412_gp067,F412_gp067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010744,F412_gp066,F412_gp066,-,-,-,-,rIII lysis inhibition accessory protein rapid lysis phenotype,protein-coding,-,-,-,rIII lysis inhibition accessory protein rapid lysis phenotype,20200629,-
1054480,14010745,F412_gp065,F412_gp065,-,-,-,-,co-chaperone GroES,protein-coding,-,-,-,co-chaperone GroES,20210212,-
1054480,14010746,F412_gp064,F412_gp064,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010747,F412_gp063,F412_gp063,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010748,F412_gp062,F412_gp062,-,-,-,-,dCMP deaminase,protein-coding,-,-,-,dCMP deaminase,20201220,-
1054480,14010749,F412_gp061,F412_gp061,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010750,F412_gp060,F412_gp060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010751,F412_gp059,F412_gp059,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010752,F412_gp058,F412_gp058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010753,F412_gp057,F412_gp057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010754,F412_gp056,F412_gp056,-,-,-,-,polynucleotide 5'-kinase and 3'-phosphatase,protein-coding,-,-,-,polynucleotide 5'-kinase and 3'-phosphatase,20200629,-
1054480,14010755,F412_gp055,F412_gp055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010756,F412_gp054,F412_gp054,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010757,F412_gp053,F412_gp053,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010758,F412_gp052,F412_gp052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010759,F412_gp051,F412_gp051,-,-,-,-,inhibitor of host transcription,protein-coding,-,-,-,inhibitor of host transcription,20210424,-
1054480,14010760,F412_gp050,F412_gp050,-,-,-,-,RNA ligase 1 and tail fiber attachment catalyst,protein-coding,-,-,-,RNA ligase 1 and tail fiber attachment catalyst,20200629,-
1054480,14010761,F412_gp049,F412_gp049,-,-,-,-,GIY-YIG nuclease family protein,protein-coding,-,-,-,GIY-YIG nuclease family protein,20201220,-
1054480,14010762,F412_gp048,F412_gp048,-,-,-,-,ribonucleotide reductase beta subunit,protein-coding,-,-,-,ribonucleotide reductase beta subunit,20200629,-
1054480,14010763,F412_gp047,F412_gp047,-,-,-,-,ribonucleotide reductase alpha subunit,protein-coding,-,-,-,ribonucleotide reductase alpha subunit,20200629,-
1054480,14010764,F412_gp046,F412_gp046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1054480,14010765,F412_gp045,F412_gp045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010766,F412_gp044,F412_gp044,-,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20210212,-
1054480,14010767,F412_gp043,F412_gp043,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010768,F412_gp042,F412_gp042,-,-,-,-,dihydrofolate reductase,protein-coding,-,-,-,dihydrofolate reductase,20200629,-
1054480,14010769,F412_gp041,F412_gp041,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010770,F412_gp040,F412_gp040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010771,F412_gp039,F412_gp039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010772,F412_gp038,F412_gp038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010773,F412_gp037,F412_gp037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010774,F412_gp036,F412_gp036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010775,F412_gp035,F412_gp035,-,-,-,-,single-stranded DNA-binding protein,protein-coding,-,-,-,single-stranded DNA-binding protein,20200629,-
1054480,14010776,F412_gp034,F412_gp034,-,-,-,-,loader of gp41 DNA helicase,protein-coding,-,-,-,loader of gp41 DNA helicase,20200629,-
1054480,14010777,F412_gp033,F412_gp033,-,-,-,-,late promoter transcription accessory protein,protein-coding,-,-,-,late promoter transcription accessory protein,20210123,-
1054480,14010778,F412_gp032,F412_gp032,-,-,-,-,double-stranded DNA binding protein,protein-coding,-,-,-,double-stranded DNA binding protein,20201220,-
1054480,14010779,F412_gp031,F412_gp031,-,-,-,-,RNase H ribonuclease,protein-coding,-,-,-,RNase H ribonuclease,20200629,-
1054480,14010780,F412_gp030,F412_gp030,-,-,-,-,long tail fiber proximal subunit,protein-coding,-,-,-,long tail fiber proximal subunit,20200629,-
1054480,14010781,F412_gp029,F412_gp029,-,-,-,-,hinge connector of long tail fiber proximal connector,protein-coding,-,-,-,hinge connector of long tail fiber proximal connector,20200629,-
1054480,14010782,F412_gp028,F412_gp028,-,-,-,-,hinge connector of long tail fiber distal connector,protein-coding,-,-,-,hinge connector of long tail fiber distal connector,20210313,-
1054480,14010783,F412_gp027,F412_gp027,-,-,-,-,long tail fiber distal subunit,protein-coding,-,-,-,long tail fiber distal subunit,20200629,-
1054480,14010784,F412_gp026,F412_gp026,-,-,-,-,distal long tail fiber assembly catalyst,protein-coding,-,-,-,distal long tail fiber assembly catalyst,20200629,-
1054480,14010785,F412_gp025,F412_gp025,-,-,-,-,t holin lysis mediator,protein-coding,-,-,-,t holin lysis mediator,20200629,-
1054480,14010786,F412_gp024,F412_gp024,-,-,-,-,anti-sigma 70 protein,protein-coding,-,-,-,anti-sigma 70 protein,20200629,-
1054480,14010787,F412_gp023,F412_gp023,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010788,F412_gp022,F412_gp022,-,-,-,-,inhibitor of MrcBC restriction endonuclease,protein-coding,-,-,-,inhibitor of MrcBC restriction endonuclease,20200629,-
1054480,14010789,F412_gp021,F412_gp021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010790,F412_gp020,F412_gp020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010791,F412_gp019,F412_gp019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010792,F412_gp018,F412_gp018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010793,F412_gp017,F412_gp017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010794,F412_gp016,F412_gp016,-,-,-,-,activator of middle period transcription,protein-coding,-,-,-,activator of middle period transcription,20200629,-
1054480,14010795,F412_gp015,F412_gp015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010796,F412_gp014,F412_gp014,-,-,-,-,topoisomerase II medium subunit,protein-coding,-,-,-,topoisomerase II medium subunit,20200629,-
1054480,14010797,F412_gp013,F412_gp013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010798,F412_gp012,F412_gp012,-,-,-,-,acridine resistance protein,protein-coding,-,-,-,acridine resistance protein,20200629,-
1054480,14010799,F412_gp011,F412_gp011,-,-,-,-,nucleoid disruption protein,protein-coding,-,-,-,nucleoid disruption protein,20200629,-
1054480,14010800,F412_gp010,F412_gp010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010801,F412_gp009,F412_gp009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010802,F412_gp008,F412_gp008,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010803,F412_gp007,F412_gp007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010804,F412_gp006,F412_gp006,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010805,F412_gp005,F412_gp005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010806,F412_gp004,F412_gp004,-,-,-,-,DNA endonuclease IV,protein-coding,-,-,-,DNA endonuclease IV,20200629,-
1054480,14010807,F412_gp003,F412_gp003,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010808,F412_gp002,F412_gp002,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010809,F412_gp001,F412_gp001,-,-,-,-,rIIB protector from prophage-induced early lysis,protein-coding,-,-,-,rIIB protector from prophage-induced early lysis,20200629,-
1054480,14023544,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Escherichia coli bacteriophage wV7).,other,-,-,-,-,20200513,-
