#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
445683,10327157,SShM2_002,SShM2_002,-,-,-,-,DUF1825 domain-containing protein,protein-coding,-,-,-,DUF1825 domain-containing protein,20200909,-
445683,10327370,SShM2_215,SShM2_215,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327371,SShM2_216,SShM2_216,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327372,SShM2_217,SShM2_217,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327373,SShM2_218,SShM2_218,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327374,SShM2_219,SShM2_219,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327375,SShM2_220,SShM2_220,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327376,SShM2_221,SShM2_221,-,-,-,-,DUF680 domain-containing protein,protein-coding,-,-,-,DUF680 domain-containing protein,20200909,-
445683,10327377,nrdC,SShM2_222,-,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20200909,-
445683,10327378,SShM2_223,SShM2_223,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327379,SShM2_224,SShM2_224,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327380,SShM2_225,SShM2_225,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327381,SShM2_226,SShM2_226,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327382,td,SShM2_227,-,-,-,-,Td thymidylate synthetase,protein-coding,-,-,-,Td thymidylate synthetase,20200909,-
445683,10327383,SShM2_228,SShM2_228,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327384,phoH,SShM2_229,-,-,-,-,P-starvation inducible protein,protein-coding,-,-,-,P-starvation inducible protein,20200909,-
445683,10327385,SShM2_230,SShM2_230,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20200909,-
445683,10327386,gp33,SShM2_231,-,-,-,-,late promoter transcription accessory protein,protein-coding,-,-,-,late promoter transcription accessory protein,20200909,-
445683,10327387,SShM2_201,SShM2_201,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10359326,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Cyanophage 8102-4; Cyanophage S-ShM2; Synechococcus cyanophage S-ShM2).,other,-,-,-,-,20200525,-
