#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
120017,64860427,UHO2_00001,UHO2_00001,-,-,Unknown,-,putative zinc metallo-protease,protein-coding,-,-,-,putative zinc metallo-protease,20210514,-
120017,64862009,UHO2_01585,UHO2_01585,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862010,UHO2_01586,UHO2_01586,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862011,UHO2_01587,UHO2_01587,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862012,UHO2_01588,UHO2_01588,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862013,UHO2_01589,UHO2_01589,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862014,UHO2_01590,UHO2_01590,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862015,UHO2_01591,UHO2_01591,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862016,UHO2_01592,UHO2_01592,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862017,UHO2_01593,UHO2_01593,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862018,UHO2_01594,UHO2_01594,-,-,Unknown,-,putative FLR1 - Putative H+ antiporter involved in multidrug resistance,protein-coding,-,-,-,putative FLR1 - Putative H+ antiporter involved in multidrug resistance,20210514,-
120017,64862019,UHO2_01595,UHO2_01595,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862020,UHO2_01596,UHO2_01596,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862021,UHO2_01597,UHO2_01597,-,-,Unknown,-,glyceraldehyde 3-phosphate dehydrogenase,protein-coding,-,-,-,glyceraldehyde 3-phosphate dehydrogenase,20210514,-
120017,64862022,UHO2_01598,UHO2_01598,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862023,UHO2_01599,UHO2_01599,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862024,UHO2_01600,UHO2_01600,-,-,Unknown,-,putative Rho2 - GTP binding protein Rho2,protein-coding,-,-,-,putative Rho2 - GTP binding protein Rho2,20210514,-
120017,64862025,UHO2_01601,UHO2_01601,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862026,UHO2_01602,UHO2_01602,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862027,UHO2_01603,UHO2_01603,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862028,UHO2_01604,UHO2_01604,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862029,UHO2_01605,UHO2_01605,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862030,UHO2_01606,UHO2_01606,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862031,UHO2_01607,UHO2_01607,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862032,UHO2_01608,UHO2_01608,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862033,UHO2_01609,UHO2_01609,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862034,UHO2_01610,UHO2_01610,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862035,UHO2_01611,UHO2_01611,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862036,UHO2_01612,UHO2_01612,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862037,UHO2_01613,UHO2_01613,-,-,Unknown,-,related to alcohol dehydrogenase homolog Bli-4,protein-coding,-,-,-,related to alcohol dehydrogenase homolog Bli-4,20210514,-
120017,64862038,UHO2_01614,UHO2_01614,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862039,UHO2_01615,UHO2_01615,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862040,UHO2_01616,UHO2_01616,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862041,UHO2_01617,UHO2_01617,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862042,UHO2_01618,UHO2_01618,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862043,UHO2_01619,UHO2_01619,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862044,UHO2_01620,UHO2_01620,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862045,UHO2_01621,UHO2_01621,-,-,Unknown,-,"putative homogentisate 1,2-dioxygenase",protein-coding,-,-,-,"putative homogentisate 1,2-dioxygenase",20210514,-
120017,64862046,UHO2_01622,UHO2_01622,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862047,UHO2_01623,UHO2_01623,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862048,UHO2_01624,UHO2_01624,-,-,Unknown,-,putative Cytochrome P450 monooxygenase/Phenylacetate hydroxylase,protein-coding,-,-,-,putative Cytochrome P450 monooxygenase/Phenylacetate hydroxylase,20210514,-
120017,64862049,UHO2_01625,UHO2_01625,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862050,UHO2_01626,UHO2_01626,-,-,Unknown,-,putative Lipase B precursor,protein-coding,-,-,-,putative Lipase B precursor,20210514,-
120017,64862051,UHO2_01627,UHO2_01627,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862052,UHO2_01628,UHO2_01628,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862053,UHO2_01629,UHO2_01629,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862054,UHO2_01630,UHO2_01630,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862055,UHO2_01631,UHO2_01631,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862056,UHO2_01632,UHO2_01632,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862057,UHO2_01633,UHO2_01633,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862058,UHO2_01634,UHO2_01634,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862059,UHO2_01635,UHO2_01635,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862060,UHO2_01636,UHO2_01636,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862061,UHO2_01637,UHO2_01637,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862062,UHO2_01638,UHO2_01638,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862063,UHO2_01639,UHO2_01639,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862064,UHO2_01640,UHO2_01640,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862065,UHO2_01641,UHO2_01641,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862066,UHO2_01642,UHO2_01642,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862067,UHO2_01643,UHO2_01643,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862068,UHO2_01644,UHO2_01644,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862069,UHO2_01645,UHO2_01645,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862070,UHO2_01646,UHO2_01646,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862071,UHO2_01647,UHO2_01647,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862072,UHO2_01648,UHO2_01648,-,-,Unknown,-,putative MCA1 - Metacaspase,protein-coding,-,-,-,putative MCA1 - Metacaspase,20210514,-
120017,64862073,UHO2_01649,UHO2_01649,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862074,UHO2_01650,UHO2_01650,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862075,UHO2_01651,UHO2_01651,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862076,UHO2_01652,UHO2_01652,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862077,UHO2_01653,UHO2_01653,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862078,UHO2_01654,UHO2_01654,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862079,UHO2_01655,UHO2_01655,-,-,Unknown,-,putative ARO2 - chorismate synthase,protein-coding,-,-,-,putative ARO2 - chorismate synthase,20210514,-
120017,64862080,UHO2_01656,UHO2_01656,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862081,UHO2_01657,UHO2_01657,-,-,Unknown,-,putative SEC27 - coatomer complex beta subunit,protein-coding,-,-,-,putative SEC27 - coatomer complex beta subunit,20210514,-
120017,64862082,UHO2_01658,UHO2_01658,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862083,UHO2_01659,UHO2_01659,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862084,UHO2_01660,UHO2_01660,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862085,UHO2_01661,UHO2_01661,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862086,UHO2_01662,UHO2_01662,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862087,UHO2_01663,UHO2_01663,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862088,UHO2_01664,UHO2_01664,-,-,Unknown,-,"putative beta-1,3 exoglucanase precursor",protein-coding,-,-,-,"putative beta-1,3 exoglucanase precursor",20210514,-
120017,64862089,UHO2_01665,UHO2_01665,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862090,UHO2_01666,UHO2_01666,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862091,UHO2_01667,UHO2_01667,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862092,UHO2_01668,UHO2_01668,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862093,UHO2_01669,UHO2_01669,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862094,UHO2_01670,UHO2_01670,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862095,UHO2_01671,UHO2_01671,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862096,UHO2_01672,UHO2_01672,-,-,Unknown,-,putative SEC14 -phosphatidylinositol(PI)/phosphatidylcholine(PC) transfer protein,protein-coding,-,-,-,putative SEC14 -phosphatidylinositol(PI)/phosphatidylcholine(PC) transfer protein,20210514,-
120017,64862097,UHO2_01673,UHO2_01673,-,-,Unknown,-,putative N-terminal acetyltransferase complex subunit ARD1,protein-coding,-,-,-,putative N-terminal acetyltransferase complex subunit ARD1,20210514,-
120017,64862098,UHO2_01674,UHO2_01674,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862099,UHO2_01675,UHO2_01675,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862100,UHO2_01676,UHO2_01676,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862101,UHO2_01677,UHO2_01677,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862102,UHO2_01678,UHO2_01678,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862103,UHO2_01679,UHO2_01679,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862104,UHO2_01680,UHO2_01680,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862105,UHO2_01681,UHO2_01681,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862106,UHO2_01682,UHO2_01682,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862107,UHO2_01683,UHO2_01683,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862108,UHO2_01684,UHO2_01684,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862109,UHO2_01685,UHO2_01685,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862110,UHO2_01686,UHO2_01686,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862111,UHO2_01687,UHO2_01687,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862112,UHO2_01688,UHO2_01688,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862113,UHO2_01689,UHO2_01689,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862114,UHO2_01690,UHO2_01690,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862115,UHO2_01691,UHO2_01691,-,-,Unknown,-,putative alpha-adaptin C,protein-coding,-,-,-,putative alpha-adaptin C,20210514,-
120017,64862116,UHO2_01692,UHO2_01692,-,-,Unknown,-,putative BMH1 - 14-3-3 protein epsilon,protein-coding,-,-,-,putative BMH1 - 14-3-3 protein epsilon,20210514,-
120017,64862117,UHO2_01693,UHO2_01693,-,-,Unknown,-,putative GSP1 - GTP-binding protein of the ras superfamily,protein-coding,-,-,-,putative GSP1 - GTP-binding protein of the ras superfamily,20210514,-
120017,64862118,UHO2_01694,UHO2_01694,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862119,UHO2_01695,UHO2_01695,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862120,UHO2_01696,UHO2_01696,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862121,UHO2_01697,UHO2_01697,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862122,UHO2_01698,UHO2_01698,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862123,UHO2_01699,UHO2_01699,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862124,UHO2_01700,UHO2_01700,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862125,UHO2_01701,UHO2_01701,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862126,UHO2_01702,UHO2_01702,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862127,UHO2_01703,UHO2_01703,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862128,UHO2_01704,UHO2_01704,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862129,UHO2_01705,UHO2_01705,-,-,Unknown,-,putative histone deacetylase,protein-coding,-,-,-,putative histone deacetylase,20210514,-
120017,64862130,UHO2_01706,UHO2_01706,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862131,UHO2_01707,UHO2_01707,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862132,UHO2_01708,UHO2_01708,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862133,UHO2_01709,UHO2_01709,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862134,UHO2_01710,UHO2_01710,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862135,UHO2_01711,UHO2_01711,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862136,UHO2_01712,UHO2_01712,-,-,Unknown,-,putative ARC18 - subunit of the Arp2/3 complex,protein-coding,-,-,-,putative ARC18 - subunit of the Arp2/3 complex,20210514,-
120017,64862137,UHO2_01713,UHO2_01713,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862138,UHO2_01714,UHO2_01714,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862139,UHO2_01715,UHO2_01715,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862140,UHO2_01716,UHO2_01716,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862141,UHO2_01717,UHO2_01717,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862142,UHO2_01718,UHO2_01718,-,-,Unknown,-,putative iron inhibited ABC transporter 2,protein-coding,-,-,-,putative iron inhibited ABC transporter 2,20210514,-
120017,64862143,UHO2_01719,UHO2_01719,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862144,UHO2_01720,UHO2_01720,-,-,Unknown,-,putative transposase,protein-coding,-,-,-,putative transposase,20210514,-
120017,64862145,UHO2_01721,UHO2_01721,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862146,UHO2_01722,UHO2_01722,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862147,UHO2_01723,UHO2_01723,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862148,UHO2_01724,UHO2_01724,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862149,UHO2_01725,UHO2_01725,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862150,UHO2_01726,UHO2_01726,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862151,UHO2_01727,UHO2_01727,-,-,Unknown,-,putative glutaryl-CoA dehydrogenase,protein-coding,-,-,-,putative glutaryl-CoA dehydrogenase,20210514,-
120017,64862152,UHO2_01728,UHO2_01728,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862153,UHO2_01729,UHO2_01729,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862154,UHO2_01730,UHO2_01730,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862155,UHO2_01731,UHO2_01731,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862156,UHO2_01732,UHO2_01732,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862157,UHO2_01733,UHO2_01733,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862158,UHO2_01734,UHO2_01734,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862159,UHO2_01735,UHO2_01735,-,-,Unknown,-,"putative IDH1 - isocitrate dehydrogenase [NAD] subunit 1, mitochondrial",protein-coding,-,-,-,"putative IDH1 - isocitrate dehydrogenase [NAD] subunit 1, mitochondrial",20210514,-
120017,64862160,UHO2_01736,UHO2_01736,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862161,UHO2_01737,UHO2_01737,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862162,UHO2_01738,UHO2_01738,-,-,Unknown,-,"putative IDH2 - isocitrate dehydrogenase (NAD) subunit 2, mitochondrial",protein-coding,-,-,-,"putative IDH2 - isocitrate dehydrogenase (NAD) subunit 2, mitochondrial",20210514,-
120017,64862163,UHO2_01739,UHO2_01739,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862164,UHO2_01740,UHO2_01740,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862165,UHO2_01741,UHO2_01741,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862166,UHO2_01742,UHO2_01742,-,-,Unknown,-,putative 60S ribosomal protein L18,protein-coding,-,-,-,putative 60S ribosomal protein L18,20210514,-
120017,64862167,UHO2_01743,UHO2_01743,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862168,UHO2_01744,UHO2_01744,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862169,UHO2_01745,UHO2_01745,-,-,Unknown,-,putative VID27 - involved in Vacuole import and degradation,protein-coding,-,-,-,putative VID27 - involved in Vacuole import and degradation,20210514,-
120017,64862170,UHO2_01746,UHO2_01746,-,-,Unknown,-,putative eukaryotic translation initiation factor 3 subunit 7,protein-coding,-,-,-,putative eukaryotic translation initiation factor 3 subunit 7,20210514,-
120017,64862171,UHO2_01747,UHO2_01747,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862172,UHO2_01748,UHO2_01748,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862173,UHO2_01749,UHO2_01749,-,-,Unknown,-,putative 40S ribosomal protein S12,protein-coding,-,-,-,putative 40S ribosomal protein S12,20210514,-
120017,64862174,UHO2_01750,UHO2_01750,-,-,Unknown,-,putative RPS11B - ribosomal protein S11B,protein-coding,-,-,-,putative RPS11B - ribosomal protein S11B,20210514,-
120017,64862175,UHO2_01751,UHO2_01751,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862176,UHO2_01752,UHO2_01752,-,-,Unknown,-,putative serine/threonine protein phosphatase 4 catalytic subunit,protein-coding,-,-,-,putative serine/threonine protein phosphatase 4 catalytic subunit,20210514,-
120017,64862177,UHO2_01753,UHO2_01753,-,-,Unknown,-,putative DLD2 - D-lactate dehydrogenase,protein-coding,-,-,-,putative DLD2 - D-lactate dehydrogenase,20210514,-
120017,64862178,UHO2_01754,UHO2_01754,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862179,UHO2_01755,UHO2_01755,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862180,UHO2_01756,UHO2_01756,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862181,UHO2_01757,UHO2_01757,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862182,UHO2_01758,UHO2_01758,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862183,UHO2_01759,UHO2_01759,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862184,UHO2_01760,UHO2_01760,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862185,UHO2_01761,UHO2_01761,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862186,UHO2_01762,UHO2_01762,-,-,Unknown,-,related to NOB1 - essential nuclear protein involved in proteasome maturation and synthesis of 40S ribosomal subunits,protein-coding,-,-,-,related to NOB1 - essential nuclear protein involved in proteasome maturation and synthesis of 40S ribosomal subunits,20210514,-
120017,64862187,UHO2_01763,UHO2_01763,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862188,UHO2_01764,UHO2_01764,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862189,UHO2_01765,UHO2_01765,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862190,UHO2_01766,UHO2_01766,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862191,UHO2_01767,UHO2_01767,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64862192,UHO2_01768,UHO2_01768,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
