#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1365176,16572651,N186_RS00010,N186_RS00010,N186_00010,-,-,-,2-oxoacid ferredoxin oxidoreductase subunit beta,protein-coding,-,-,-,2-oxoacid ferredoxin oxidoreductase subunit beta,20200829,-
1365176,16572978,N186_RS01605,N186_RS01605,N186_01650,-,-,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20201026,-
1365176,16572979,N186_RS01610,N186_RS01610,N186_01655,-,-,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20200829,-
1365176,16572980,N186_RS01615,N186_RS01615,N186_01660,-,-,-,ABC transporter permease subunit,protein-coding,-,-,-,ABC transporter permease subunit,20201217,-
1365176,16572981,N186_RS01620,N186_RS01620,N186_01665,-,-,-,ABC transporter permease,protein-coding,-,-,-,ABC transporter permease,20200829,-
1365176,16572982,N186_RS01625,N186_RS01625,N186_01670,-,-,-,ABC transporter substrate-binding protein,protein-coding,-,-,-,ABC transporter substrate-binding protein,20200829,-
1365176,16572983,N186_RS01630,N186_RS01630,N186_01675,-,-,-,Lrp/AsnC ligand binding domain-containing protein,protein-coding,-,-,-,Lrp/AsnC ligand binding domain-containing protein,20201026,-
1365176,16572984,N186_RS01635,N186_RS01635,N186_01680,-,-,-,delta-60 repeat domain-containing protein,protein-coding,-,-,-,delta-60 repeat domain-containing protein,20201026,-
1365176,16572985,N186_RS01640,N186_RS01640,N186_01685,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
1365176,16572986,N186_RS01645,N186_RS01645,N186_01690,-,-,-,phosphoadenosine phosphosulfate reductase family protein,protein-coding,-,-,-,phosphoadenosine phosphosulfate reductase family protein,20201217,-
1365176,16572987,N186_RS01650,N186_RS01650,N186_01695,-,-,-,MBL fold metallo-hydrolase,protein-coding,-,-,-,MBL fold metallo-hydrolase,20201026,-
1365176,16572988,N186_RS01655,N186_RS01655,N186_01700,-,-,-,acetyl-CoA carboxylase biotin carboxyl carrier protein subunit,protein-coding,-,-,-,acetyl-CoA carboxylase biotin carboxyl carrier protein subunit,20200831,-
1365176,16572990,N186_RS01660,N186_RS01660,N186_01710,-,-,-,acyl-CoA carboxylase subunit beta,protein-coding,-,-,-,acyl-CoA carboxylase subunit beta,20201026,-
1365176,16572991,N186_RS01665,N186_RS01665,N186_01715,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201026,-
1365176,16572992,N186_RS01670,N186_RS01670,N186_01720,-,-,-,glycosyltransferase family 2 protein,protein-coding,-,-,-,glycosyltransferase family 2 protein,20201026,-
1365176,16572993,N186_RS01675,N186_RS01675,N186_01725,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
1365176,16572994,N186_RS01680,N186_RS01680,N186_01730,-,-,-,methylated-DNA--[protein]-cysteine S-methyltransferase,protein-coding,-,-,-,methylated-DNA--[protein]-cysteine S-methyltransferase,20201026,-
1365176,16572995,N186_RS01685,N186_RS01685,N186_01735,-,-,-,ArsA family ATPase,protein-coding,-,-,-,ArsA family ATPase,20201026,-
1365176,16572996,N186_RS01690,N186_RS01690,N186_01740,-,-,-,DUF4129 domain-containing protein,protein-coding,-,-,-,DUF4129 domain-containing protein,20201026,-
1365176,16572997,N186_RS01695,N186_RS01695,N186_01745,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201026,-
1365176,16572998,N186_RS01700,N186_RS01700,N186_01750,-,-,-,MoxR family ATPase,protein-coding,-,-,-,MoxR family ATPase,20201026,-
1365176,16572999,N186_RS01705,N186_RS01705,N186_01755,-,-,-,DUF58 domain-containing protein,protein-coding,-,-,-,DUF58 domain-containing protein,20200829,-
1365176,16573000,N186_RS01710,N186_RS01710,N186_01760,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
1365176,16573001,N186_RS01715,N186_RS01715,N186_01765,-,-,-,adenylate kinase,protein-coding,-,-,-,adenylate kinase,20201026,-
1365176,16573002,N186_RS01720,N186_RS01720,N186_01770,-,-,-,TldD/PmbA family protein,protein-coding,-,-,-,TldD/PmbA family protein,20200829,-
1365176,16573003,N186_RS01725,N186_RS01725,N186_01775,-,-,-,TldD/PmbA family protein,protein-coding,-,-,-,TldD/PmbA family protein,20200829,-
1365176,16573004,N186_RS01730,N186_RS01730,N186_01780,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
1365176,16573005,N186_RS01735,N186_RS01735,N186_01785,-,-,-,transglutaminase domain-containing protein,protein-coding,-,-,-,transglutaminase domain-containing protein,20200829,-
1365176,16573006,arcC,N186_RS01740,N186_01790,-,-,-,carbamate kinase,protein-coding,-,-,-,carbamate kinase,20200829,-
1365176,16573007,N186_RS01745,N186_RS01745,N186_01795,-,-,-,LysR family transcriptional regulator,protein-coding,-,-,-,LysR family transcriptional regulator,20200829,-
1365176,16573008,N186_RS01750,N186_RS01750,N186_01800,-,-,-,MoaD family protein,protein-coding,-,-,-,MoaD family protein,20201026,-
1365176,16573009,N186_RS01755,N186_RS01755,N186_01805,-,-,-,aldehyde ferredoxin oxidoreductase family protein,protein-coding,-,-,-,aldehyde ferredoxin oxidoreductase family protein,20201026,-
1365176,16573010,N186_RS01760,N186_RS01760,N186_01810,-,-,-,M42 family metallopeptidase,protein-coding,-,-,-,M42 family metallopeptidase,20201026,-
1365176,16573011,N186_RS01765,N186_RS01765,N186_01815,-,-,-,molybdenum cofactor guanylyltransferase,protein-coding,-,-,-,molybdenum cofactor guanylyltransferase,20200831,-
1365176,16573012,N186_RS01770,N186_RS01770,N186_01820,-,-,-,phosphate-starvation-inducible PsiE family protein,protein-coding,-,-,-,phosphate-starvation-inducible PsiE family protein,20200829,-
1365176,16573013,N186_RS01775,N186_RS01775,N186_01825,-,-,-,ADP-ribose-binding protein,protein-coding,-,-,-,ADP-ribose-binding protein,20200829,-
1365176,16573014,N186_RS01780,N186_RS01780,N186_01830,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
1365176,16573015,N186_RS01785,N186_RS01785,N186_01835,-,-,-,"fructose 1,6-bisphosphatase",protein-coding,-,-,-,"fructose 1,6-bisphosphatase",20200829,-
1365176,16573016,N186_RS01790,N186_RS01790,N186_01840,-,-,-,HAD-IC family P-type ATPase,protein-coding,-,-,-,HAD-IC family P-type ATPase,20201217,-
1365176,16573017,N186_RS01795,N186_RS01795,N186_01845,-,-,-,PAC2 family protein,protein-coding,-,-,-,PAC2 family protein,20200829,-
1365176,16573018,N186_RS01800,N186_RS01800,N186_01850,-,-,-,TatD family hydrolase,protein-coding,-,-,-,TatD family hydrolase,20201026,-
1365176,16573019,N186_RS01805,N186_RS01805,N186_01855,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201026,-
1365176,16573020,N186_RS01810,N186_RS01810,N186_01860,-,-,-,metallophosphoesterase,protein-coding,-,-,-,metallophosphoesterase,20210529,-
1365176,16573021,N186_RS01815,N186_RS01815,N186_01865,-,-,-,SWIM zinc finger family protein,protein-coding,-,-,-,SWIM zinc finger family protein,20201026,-
1365176,16573022,N186_RS01820,N186_RS01820,N186_01870,-,-,-,flippase-like domain-containing protein,protein-coding,-,-,-,flippase-like domain-containing protein,20201026,-
1365176,16573023,N186_RS01825,N186_RS01825,N186_01875,-,-,-,FAD-dependent oxidoreductase,protein-coding,-,-,-,FAD-dependent oxidoreductase,20200829,-
1365176,16573024,N186_RS01830,N186_RS01830,N186_01880,-,-,-,glycosyltransferase family 2 protein,protein-coding,-,-,-,glycosyltransferase family 2 protein,20201026,-
1365176,16573025,N186_RS01835,N186_RS01835,N186_01885,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
1365176,16573026,N186_RS01840,N186_RS01840,N186_01890,-,-,-,DUF4147 domain-containing protein,protein-coding,-,-,-,DUF4147 domain-containing protein,20201217,-
1365176,16573027,N186_RS01845,N186_RS01845,N186_01895,-,-,-,stage II sporulation protein M,protein-coding,-,-,-,stage II sporulation protein M,20201026,-
1365176,16573028,N186_RS01850,N186_RS01850,N186_01900,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
1365176,16573029,albA,N186_RS01855,N186_01905,-,-,-,DNA-binding protein Alba,protein-coding,-,-,-,DNA-binding protein Alba,20200919,-
1365176,16573030,N186_RS01860,N186_RS01860,N186_01910,-,-,-,ribosome biogenesis/translation initiation ATPase RLI,protein-coding,-,-,-,ribosome biogenesis/translation initiation ATPase RLI,20200829,-
1365176,16573031,N186_RS01865,N186_RS01865,N186_01915,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201026,-
1365176,16573032,N186_RS01870,N186_RS01870,N186_01920,-,-,-,THUMP domain-containing protein,protein-coding,-,-,-,THUMP domain-containing protein,20200829,-
1365176,16573033,N186_RS01875,N186_RS01875,N186_01925,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
1365176,16573034,N186_RS01880,N186_RS01880,N186_01930,-,-,-,SAM-dependent chlorinase/fluorinase,protein-coding,-,-,-,SAM-dependent chlorinase/fluorinase,20200829,-
1365176,16573035,N186_RS01885,N186_RS01885,N186_01935,-,-,-,RNA 3'-terminal phosphate cyclase,protein-coding,-,-,-,RNA 3'-terminal phosphate cyclase,20201217,-
1365176,16573036,N186_RS01890,N186_RS01890,N186_01940,-,-,-,CDP-alcohol phosphatidyltransferase family protein,protein-coding,-,-,-,CDP-alcohol phosphatidyltransferase family protein,20200829,-
1365176,16573037,N186_RS01895,N186_RS01895,N186_01945,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201026,-
1365176,16573038,N186_RS01900,N186_RS01900,N186_01950,-,-,-,alanine--tRNA ligase,protein-coding,-,-,-,alanine--tRNA ligase,20201026,-
1365176,16573039,N186_RS01905,N186_RS01905,N186_01955,-,-,-,50S ribosomal protein L10,protein-coding,-,-,-,50S ribosomal protein L10,20200829,-
1365176,16573040,N186_RS01910,N186_RS01910,N186_01960,-,-,-,50S ribosomal protein L1,protein-coding,-,-,-,50S ribosomal protein L1,20200829,-
1365176,16573041,N186_RS01915,N186_RS01915,N186_01965,-,-,-,50S ribosomal protein L11,protein-coding,-,-,-,50S ribosomal protein L11,20200919,-
1365176,16573042,N186_RS01920,N186_RS01920,N186_01970,-,-,-,30S ribosomal protein S19,protein-coding,-,-,-,30S ribosomal protein S19,20200829,-
1365176,16573043,N186_RS01925,N186_RS01925,N186_01975,-,-,-,FAD-dependent oxidoreductase,protein-coding,-,-,-,FAD-dependent oxidoreductase,20201026,-
1365176,16573045,N186_RS01930,N186_RS01930,N186_01985,-,-,-,50S ribosomal protein L2,protein-coding,-,-,-,50S ribosomal protein L2,20201026,-
1365176,16573046,N186_RS01935,N186_RS01935,N186_01990,-,-,-,50S ribosomal protein L23,protein-coding,-,-,-,50S ribosomal protein L23,20200829,-
1365176,16573047,N186_RS01940,N186_RS01940,N186_01995,-,-,-,50S ribosomal protein L4,protein-coding,-,-,-,50S ribosomal protein L4,20200829,-
1365176,16573048,N186_RS01945,N186_RS01945,N186_02000,-,-,-,50S ribosomal protein L3,protein-coding,-,-,-,50S ribosomal protein L3,20201217,-
1365176,16573049,N186_RS01950,N186_RS01950,N186_02005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
1365176,16573050,N186_RS01955,N186_RS01955,N186_02010,-,-,-,TIGR01897 family CRISPR-associated protein,protein-coding,-,-,-,TIGR01897 family CRISPR-associated protein,20200829,-
1365176,16573052,N186_RS01965,N186_RS01965,N186_02025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
1365176,16573053,N186_RS01970,N186_RS01970,N186_02030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
1365176,16573054,cas10,N186_RS01975,N186_02035,-,-,-,type III-B CRISPR-associated protein Cas10/Cmr2,protein-coding,-,-,-,type III-B CRISPR-associated protein Cas10/Cmr2,20200829,-
1365176,16573055,cmr6,N186_RS01980,N186_02040,-,-,-,type III-B CRISPR module RAMP protein Cmr6,protein-coding,-,-,-,type III-B CRISPR module RAMP protein Cmr6,20210529,-
1365176,16573056,cmr1,N186_RS01985,N186_02045,-,-,-,type III-B CRISPR module RAMP protein Cmr1,protein-coding,-,-,-,type III-B CRISPR module RAMP protein Cmr1,20200829,-
1365176,16573057,cmr5,N186_RS01990,N186_02050,-,-,-,type III-B CRISPR module-associated protein Cmr5,protein-coding,-,-,-,type III-B CRISPR module-associated protein Cmr5,20200829,-
1365176,16573058,cmr4,N186_RS01995,N186_02055,-,-,-,type III-B CRISPR module RAMP protein Cmr4,protein-coding,-,-,-,type III-B CRISPR module RAMP protein Cmr4,20200829,-
1365176,16573060,N186_RS02000,N186_RS02000,N186_02065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
1365176,16573061,N186_RS02005,N186_RS02005,N186_02075,-,-,-,DNA-binding protein,protein-coding,-,-,-,DNA-binding protein,20200829,-
1365176,16573062,secY,N186_RS02010,N186_02080,-,-,-,preprotein translocase subunit SecY,protein-coding,-,-,-,preprotein translocase subunit SecY,20210529,-
1365176,16573063,N186_RS02015,N186_RS02015,N186_02085,-,-,-,50S ribosomal protein L15,protein-coding,-,-,-,50S ribosomal protein L15,20210529,-
1365176,16573064,N186_RS02020,N186_RS02020,N186_02090,-,-,-,50S ribosomal protein L30,protein-coding,-,-,-,50S ribosomal protein L30,20200829,-
1365176,16573065,N186_RS02025,N186_RS02025,N186_02095,-,-,-,30S ribosomal protein S5,protein-coding,-,-,-,30S ribosomal protein S5,20201026,-
1365176,16573066,N186_RS02030,N186_RS02030,N186_02100,-,-,-,50S ribosomal protein L18,protein-coding,-,-,-,50S ribosomal protein L18,20200829,-
1365176,16573067,N186_RS02035,N186_RS02035,N186_02105,-,-,-,50S ribosomal protein L19e,protein-coding,-,-,-,50S ribosomal protein L19e,20200919,-
1365176,16573068,N186_RS02040,N186_RS02040,N186_02110,-,-,-,50S ribosomal protein L32e,protein-coding,-,-,-,50S ribosomal protein L32e,20200829,-
1365176,16573069,N186_RS02045,N186_RS02045,N186_02115,-,-,-,30S ribosomal protein S8,protein-coding,-,-,-,30S ribosomal protein S8,20200831,-
1365176,16573070,N186_RS02050,N186_RS02050,N186_02120,-,-,-,50S ribosomal protein L5,protein-coding,-,-,-,50S ribosomal protein L5,20201026,-
1365176,16573071,N186_RS02055,N186_RS02055,N186_02125,-,-,-,30S ribosomal protein S4e,protein-coding,-,-,-,30S ribosomal protein S4e,20200829,-
1365176,16573072,N186_RS02060,N186_RS02060,N186_02130,-,-,-,50S ribosomal protein L24,protein-coding,-,-,-,50S ribosomal protein L24,20200829,-
1365176,16573073,N186_RS02065,N186_RS02065,N186_02135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
1365176,16573074,mtnA,N186_RS02070,N186_02140,-,-,-,S-methyl-5-thioribose-1-phosphate isomerase,protein-coding,-,-,-,S-methyl-5-thioribose-1-phosphate isomerase,20200829,-
1365176,16573075,N186_RS02075,N186_RS02075,N186_02145,-,-,-,DUF99 family protein,protein-coding,-,-,-,DUF99 family protein,20200829,-
1365176,16573076,N186_RS02080,N186_RS02080,N186_02150,-,-,-,aminopeptidase P family protein,protein-coding,-,-,-,aminopeptidase P family protein,20210529,-
1365176,16573077,N186_RS02085,N186_RS02085,N186_02155,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
1365176,16573078,N186_RS02090,N186_RS02090,N186_02160,-,-,-,HIT domain-containing protein,protein-coding,-,-,-,HIT domain-containing protein,20200829,-
1365176,16573079,N186_RS02095,N186_RS02095,N186_02165,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
1365176,16573080,N186_RS02100,N186_RS02100,N186_02170,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
1365176,16573081,N186_RS02105,N186_RS02105,N186_02175,-,-,-,ATP/GTP-binding protein,protein-coding,-,-,-,ATP/GTP-binding protein,20200829,-
1365176,16573082,N186_RS02110,N186_RS02110,N186_02180,-,-,-,roadblock/LC7 domain-containing protein,protein-coding,-,-,-,roadblock/LC7 domain-containing protein,20210529,-
1365176,16573083,N186_RS02115,N186_RS02115,N186_02185,-,-,-,pyridoxal phosphate-dependent aminotransferase,protein-coding,-,-,-,pyridoxal phosphate-dependent aminotransferase,20201026,-
1365176,16573084,N186_RS02120,N186_RS02120,N186_02190,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
1365176,16573085,N186_RS02125,N186_RS02125,N186_02195,-,-,-,30S ribosomal protein S11,protein-coding,-,-,-,30S ribosomal protein S11,20200829,-
1365176,16573086,N186_RS02130,N186_RS02130,N186_02200,-,-,-,30S ribosomal protein S4,protein-coding,-,-,-,30S ribosomal protein S4,20201026,-
1365176,16573087,N186_RS02135,N186_RS02135,N186_02205,-,-,-,30S ribosomal protein S13,protein-coding,-,-,-,30S ribosomal protein S13,20200829,-
1365176,16573088,N186_RS02140,N186_RS02140,N186_02210,-,-,-,-,tRNA,-,-,-,-,20200829,-
1365176,16573089,N186_RS02145,N186_RS02145,N186_02215,-,-,-,GNAT family N-acetyltransferase,protein-coding,-,-,-,GNAT family N-acetyltransferase,20200829,-
1365176,16573090,menC,N186_RS02150,N186_02220,-,-,-,o-succinylbenzoate synthase,protein-coding,-,-,-,o-succinylbenzoate synthase,20200829,-
1365176,16573091,N186_RS02155,N186_RS02155,N186_02225,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
1365176,16573092,N186_RS02160,N186_RS02160,N186_02230,-,-,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20201026,-
1365176,16573093,N186_RS02165,N186_RS02165,N186_02235,-,-,-,replication factor C large subunit,protein-coding,-,-,-,replication factor C large subunit,20201026,-
1365176,16573094,N186_RS02170,N186_RS02170,N186_02240,-,-,-,replication factor C small subunit,protein-coding,-,-,-,replication factor C small subunit,20200829,-
1365176,16573095,N186_RS02175,N186_RS02175,N186_02245,-,-,-,30S ribosomal protein S7,protein-coding,-,-,-,30S ribosomal protein S7,20200829,-
1365176,16573096,N186_RS02180,N186_RS02180,N186_02250,-,-,-,RtcB family protein,protein-coding,-,-,-,RtcB family protein,20201026,-
1365176,16573097,N186_RS02185,N186_RS02185,N186_02255,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20200829,-
1365176,16573098,N186_RS02190,N186_RS02190,N186_02260,-,-,-,archease,protein-coding,-,-,-,archease,20200829,-
1365176,16573099,N186_RS02195,N186_RS02195,N186_02265,-,-,-,type 2 isopentenyl-diphosphate Delta-isomerase,protein-coding,-,-,-,type 2 isopentenyl-diphosphate Delta-isomerase,20200829,-
1365176,16573100,amrB,N186_RS02200,N186_02270,-,-,-,AmmeMemoRadiSam system protein B,protein-coding,-,-,-,AmmeMemoRadiSam system protein B,20200829,-
1365176,16573101,N186_RS02205,N186_RS02205,N186_02275,-,-,-,30S ribosomal protein S2,protein-coding,-,-,-,30S ribosomal protein S2,20200919,-
1365176,16573102,N186_RS02210,N186_RS02210,N186_02280,-,-,-,-,tRNA,-,-,-,-,20200829,-
1365176,16573103,N186_RS02215,N186_RS02215,N186_02285,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
1365176,16573104,N186_RS02220,N186_RS02220,N186_02290,-,-,-,DNA-directed RNA polymerase subunit N,protein-coding,-,-,-,DNA-directed RNA polymerase subunit N,20200829,-
1365176,16573105,N186_RS02225,N186_RS02225,N186_02295,-,-,-,30S ribosomal protein S9,protein-coding,-,-,-,30S ribosomal protein S9,20200829,-
1365176,16573106,N186_RS02230,N186_RS02230,N186_02300,-,-,-,50S ribosomal protein L13,protein-coding,-,-,-,50S ribosomal protein L13,20201026,-
1365176,16573107,N186_RS02235,N186_RS02235,N186_02305,-,-,-,50S ribosomal protein L18e,protein-coding,-,-,-,50S ribosomal protein L18e,20200829,-
1365176,16573108,N186_RS02240,N186_RS02240,N186_02310,-,-,-,DNA-directed RNA polymerase subunit D,protein-coding,-,-,-,DNA-directed RNA polymerase subunit D,20201026,-
1365176,16573109,N186_RS02245,N186_RS02245,N186_02315,-,-,-,30S ribosomal protein S12,protein-coding,-,-,-,30S ribosomal protein S12,20200829,-
1365176,16573110,N186_RS02250,N186_RS02250,N186_02320,-,-,-,NusA-like transcription termination signal-binding factor,protein-coding,-,-,-,NusA-like transcription termination signal-binding factor,20201026,-
1365176,16573111,N186_RS02255,N186_RS02255,N186_02325,-,-,-,50S ribosomal protein L30e,protein-coding,-,-,-,50S ribosomal protein L30e,20200829,-
1365176,16573112,rpoA2,N186_RS02260,N186_02330,-,-,-,DNA-directed RNA polymerase subunit A'',protein-coding,-,-,-,DNA-directed RNA polymerase subunit A'',20201026,-
1365176,16573113,N186_RS02265,N186_RS02265,N186_02335,-,-,-,DNA-directed RNA polymerase subunit A',protein-coding,-,-,-,DNA-directed RNA polymerase subunit A',20200829,-
1365176,16573114,N186_RS02270,N186_RS02270,N186_02340,-,-,-,DNA-directed RNA polymerase subunit B,protein-coding,-,-,-,DNA-directed RNA polymerase subunit B,20201026,-
1365176,16573115,N186_RS02275,N186_RS02275,N186_02345,-,-,-,DNA-directed RNA polymerase subunit H,protein-coding,-,-,-,DNA-directed RNA polymerase subunit H,20200829,-
1365176,16573116,N186_RS02280,N186_RS02280,N186_02350,-,-,-,-,tRNA,-,-,-,-,20200829,-
1365176,16573118,N186_RS02290,N186_RS02290,N186_02360,-,-,-,-,tRNA,-,-,-,-,20200829,-
1365176,16573119,N186_RS02295,N186_RS02295,N186_02365,-,-,-,glycine--tRNA ligase,protein-coding,-,-,-,glycine--tRNA ligase,20210529,-
1365176,16573120,N186_RS02300,N186_RS02300,N186_02370,-,-,-,-,tRNA,-,-,-,-,20200829,-
1365176,16573121,N186_RS02305,N186_RS02305,N186_02375,-,-,-,PIN domain-containing protein,protein-coding,-,-,-,PIN domain-containing protein,20201217,-
1365176,16573122,N186_RS02310,N186_RS02310,N186_02380,-,-,-,"ribbon-helix-helix protein, CopG family",protein-coding,-,-,-,"ribbon-helix-helix protein, CopG family",20200919,-
1365176,16573123,N186_RS02315,N186_RS02315,N186_02385,-,-,-,arcadin 1,protein-coding,-,-,-,arcadin 1,20201217,-
1365176,16573124,N186_RS02320,N186_RS02320,N186_02390,-,-,-,DNA-directed RNA polymerase subunit K,protein-coding,-,-,-,DNA-directed RNA polymerase subunit K,20200829,-
1365176,16573125,N186_RS02325,N186_RS02325,N186_02395,-,-,-,TCP-1/cpn60 chaperonin family protein,protein-coding,-,-,-,TCP-1/cpn60 chaperonin family protein,20201026,-
1365176,16573126,N186_RS02330,N186_RS02330,N186_02400,-,-,-,signal peptidase I,protein-coding,-,-,-,signal peptidase I,20201026,-
1365176,16573127,N186_RS02335,N186_RS02335,N186_02405,-,-,-,TATA-box-binding protein,protein-coding,-,-,-,TATA-box-binding protein,20200919,-
1365176,16573128,rimI,N186_RS02340,N186_02410,-,-,-,ribosomal protein S18-alanine N-acetyltransferase,protein-coding,-,-,-,ribosomal protein S18-alanine N-acetyltransferase,20210529,-
1365176,16573129,N186_RS02345,N186_RS02345,N186_02415,-,-,-,ABC transporter substrate-binding protein,protein-coding,-,-,-,ABC transporter substrate-binding protein,20201026,-
1365176,16573131,N186_RS02355,N186_RS02355,N186_02425,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
1365176,16573132,N186_RS02360,N186_RS02360,N186_02430,-,-,-,DNA-directed DNA polymerase I,protein-coding,-,-,-,DNA-directed DNA polymerase I,20200829,-
1365176,16573133,N186_RS02365,N186_RS02365,N186_02435,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
1365176,16573134,N186_RS02370,N186_RS02370,N186_02440,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
1365176,16573135,N186_RS02375,N186_RS02375,N186_02445,-,-,-,-,tRNA,-,-,-,-,20200829,-
1365176,16573136,N186_RS02380,N186_RS02380,N186_02450,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
1365176,16573138,N186_RS02385,N186_RS02385,N186_02460,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
1365176,16573139,N186_RS02390,N186_RS02390,N186_02465,-,-,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20201217,-
1365176,16573141,N186_RS02395,N186_RS02395,N186_02475,-,-,-,-,tRNA,-,-,-,-,20200829,-
1365176,16573142,N186_RS02400,N186_RS02400,N186_02480,-,-,-,-,tRNA,-,-,-,-,20200829,-
1365176,16573144,N186_RS02405,N186_RS02405,N186_02490,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
1365176,16573145,N186_RS02410,N186_RS02410,N186_02495,-,-,-,DUF433 domain-containing protein,protein-coding,-,-,-,DUF433 domain-containing protein,20201026,-
1365176,16573146,N186_RS02415,N186_RS02415,N186_02500,-,-,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20200829,-
1365176,16573147,N186_RS02420,N186_RS02420,N186_02505,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
1365176,16573148,N186_RS02425,N186_RS02425,N186_02510,-,-,-,DUF371 domain-containing protein,protein-coding,-,-,-,DUF371 domain-containing protein,20200829,-
1365176,16573149,N186_RS02430,N186_RS02430,N186_02515,-,-,-,flap endonuclease-1,protein-coding,-,-,-,flap endonuclease-1,20201026,-
1365176,16573150,N186_RS02435,N186_RS02435,N186_02520,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
1365176,16573151,N186_RS02440,N186_RS02440,N186_02525,-,-,-,CDC48 family AAA ATPase,protein-coding,-,-,-,CDC48 family AAA ATPase,20201217,-
1365176,16573152,N186_RS02445,N186_RS02445,N186_02530,-,-,-,peptidylprolyl isomerase,protein-coding,-,-,-,peptidylprolyl isomerase,20200829,-
1365176,16573153,N186_RS02450,N186_RS02450,N186_02535,-,-,-,UPF0179 family protein,protein-coding,-,-,-,UPF0179 family protein,20200829,-
1365176,16573154,N186_RS02455,N186_RS02455,N186_02540,-,-,-,translation initiation factor IF-2 subunit gamma,protein-coding,-,-,-,translation initiation factor IF-2 subunit gamma,20201026,-
1365176,16573155,psmB,N186_RS02460,N186_02545,-,-,-,archaeal proteasome endopeptidase complex subunit beta,protein-coding,-,-,-,archaeal proteasome endopeptidase complex subunit beta,20201026,-
1365176,16573156,N186_RS02465,N186_RS02465,N186_02550,-,-,-,beta-CASP ribonuclease aCPSF1,protein-coding,-,-,-,beta-CASP ribonuclease aCPSF1,20200829,-
1365176,16573157,N186_RS02470,N186_RS02470,N186_02555,-,-,-,DUF1947 domain-containing protein,protein-coding,-,-,-,DUF1947 domain-containing protein,20201026,-
1365176,16573158,N186_RS02475,N186_RS02475,N186_02560,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
1365176,16573159,N186_RS02480,N186_RS02480,N186_02565,-,-,-,molybdenum cofactor biosynthesis protein MoaB,protein-coding,-,-,-,molybdenum cofactor biosynthesis protein MoaB,20200829,-
1365176,16573160,moaC,N186_RS02485,N186_02570,-,-,-,cyclic pyranopterin monophosphate synthase MoaC,protein-coding,-,-,-,cyclic pyranopterin monophosphate synthase MoaC,20201026,-
