#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1324617,52325162,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Burkholderia aspalathi.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20200408,-
1324617,64448054,BM438_RS09540,BM438_RS09540,SAMN05192563_1004428,-,-,-,response regulator transcription factor,protein-coding,-,-,-,response regulator transcription factor,20210430,-
1324617,64448055,BM438_RS09545,BM438_RS09545,SAMN05192563_1004429,-,-,-,MipA/OmpV family protein,protein-coding,-,-,-,MipA/OmpV family protein,20210430,-
1324617,64448056,BM438_RS09550,BM438_RS09550,SAMN05192563_1004430,-,-,-,TetR/AcrR family transcriptional regulator,protein-coding,-,-,-,TetR/AcrR family transcriptional regulator,20210430,-
1324617,64448057,BM438_RS09555,BM438_RS09555,SAMN05192563_1004431,-,-,-,succinate-semialdehyde dehydrogenase,protein-coding,-,-,-,succinate-semialdehyde dehydrogenase,20210429,-
1324617,64448058,BM438_RS09560,BM438_RS09560,SAMN05192563_1004432,-,-,-,dihydrodipicolinate synthase family protein,protein-coding,-,-,-,dihydrodipicolinate synthase family protein,20210430,-
1324617,64448059,BM438_RS09565,BM438_RS09565,SAMN05192563_1004433,-,-,-,ornithine cyclodeaminase family protein,protein-coding,-,-,-,ornithine cyclodeaminase family protein,20210430,-
1324617,64448060,BM438_RS09570,BM438_RS09570,SAMN05192563_1004434,-,-,-,FAD-dependent monooxygenase,protein-coding,-,-,-,FAD-dependent monooxygenase,20210430,-
1324617,64448061,BM438_RS09575,BM438_RS09575,SAMN05192563_1004435,-,-,-,fumarylacetoacetate hydrolase family protein,protein-coding,-,-,-,fumarylacetoacetate hydrolase family protein,20210430,-
1324617,64448062,BM438_RS09580,BM438_RS09580,SAMN05192563_1004436,-,-,-,VOC family protein,protein-coding,-,-,-,VOC family protein,20210430,-
1324617,64448063,BM438_RS09585,BM438_RS09585,SAMN05192563_1004437,-,-,-,Rieske 2Fe-2S domain-containing protein,protein-coding,-,-,-,Rieske 2Fe-2S domain-containing protein,20210430,-
1324617,64448064,BM438_RS09590,BM438_RS09590,SAMN05192563_1004438,-,-,-,transporter,protein-coding,-,-,-,transporter,20210430,-
1324617,64448065,BM438_RS09595,BM438_RS09595,SAMN05192563_1004439,-,-,-,MFS transporter,protein-coding,-,-,-,MFS transporter,20210430,-
1324617,64448066,BM438_RS09600,BM438_RS09600,SAMN05192563_1004440,-,-,-,PaaI family thioesterase,protein-coding,-,-,-,PaaI family thioesterase,20210430,-
1324617,64448067,BM438_RS09605,BM438_RS09605,SAMN05192563_1004441,-,-,-,fumarylacetoacetate hydrolase family protein,protein-coding,-,-,-,fumarylacetoacetate hydrolase family protein,20210430,-
1324617,64448068,BM438_RS09610,BM438_RS09610,SAMN05192563_1004442,-,-,-,ABC transporter substrate-binding protein,protein-coding,-,-,-,ABC transporter substrate-binding protein,20210430,-
1324617,64448069,BM438_RS09615,BM438_RS09615,SAMN05192563_1004443,-,-,-,cupin domain-containing protein,protein-coding,-,-,-,cupin domain-containing protein,20210430,-
1324617,64448070,BM438_RS09620,BM438_RS09620,SAMN05192563_1004444,-,-,-,3-keto-5-aminohexanoate cleavage protein,protein-coding,-,-,-,3-keto-5-aminohexanoate cleavage protein,20210430,-
1324617,64448071,BM438_RS09625,BM438_RS09625,SAMN05192563_1004445,-,-,-,MFS transporter,protein-coding,-,-,-,MFS transporter,20210430,-
1324617,64448072,BM438_RS09630,BM438_RS09630,-,-,-,-,pseudo,pseudo,-,-,-,-,20210429,-
1324617,64448073,BM438_RS09635,BM438_RS09635,SAMN05192563_1004446,-,-,-,DoxX family protein,protein-coding,-,-,-,DoxX family protein,20210430,-
1324617,64448074,BM438_RS09640,BM438_RS09640,SAMN05192563_1004447,-,-,-,porin,protein-coding,-,-,-,porin,20210430,-
1324617,64448075,BM438_RS09645,BM438_RS09645,SAMN05192563_1004448,-,-,-,TetR/AcrR family transcriptional regulator,protein-coding,-,-,-,TetR/AcrR family transcriptional regulator,20210430,-
1324617,64448076,purU,BM438_RS09650,SAMN05192563_1004449,-,-,-,formyltetrahydrofolate deformylase,protein-coding,-,-,-,formyltetrahydrofolate deformylase,20210430,-
1324617,64448077,BM438_RS09655,BM438_RS09655,SAMN05192563_1004450,-,-,-,sarcosine oxidase subunit beta family protein,protein-coding,-,-,-,sarcosine oxidase subunit beta family protein,20210430,-
1324617,64448078,BM438_RS09660,BM438_RS09660,SAMN05192563_1004451,-,-,-,sarcosine oxidase subunit delta,protein-coding,-,-,-,sarcosine oxidase subunit delta,20210430,-
1324617,64448079,BM438_RS09665,BM438_RS09665,SAMN05192563_1004452,-,-,-,sarcosine oxidase subunit alpha family protein,protein-coding,-,-,-,sarcosine oxidase subunit alpha family protein,20210430,-
1324617,64448080,BM438_RS09670,BM438_RS09670,SAMN05192563_1004453,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210430,-
1324617,64448081,folD,BM438_RS09675,SAMN05192563_1004454,-,-,-,bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase FolD,protein-coding,-,-,-,bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase FolD,20210430,-
1324617,64448082,BM438_RS09680,BM438_RS09680,SAMN05192563_1004455,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210430,-
1324617,64448083,BM438_RS09685,BM438_RS09685,SAMN05192563_1004456,-,-,-,betaine/proline/choline family ABC transporter ATP-binding protein,protein-coding,-,-,-,betaine/proline/choline family ABC transporter ATP-binding protein,20210430,-
1324617,64448084,BM438_RS09690,BM438_RS09690,SAMN05192563_1004457,-,-,-,ABC transporter permease subunit,protein-coding,-,-,-,ABC transporter permease subunit,20210429,-
1324617,64448085,BM438_RS09695,BM438_RS09695,SAMN05192563_1004458,-,-,-,ABC transporter substrate-binding protein,protein-coding,-,-,-,ABC transporter substrate-binding protein,20210430,-
1324617,64448086,BM438_RS09700,BM438_RS09700,SAMN05192563_1004459,-,-,-,FAD-binding protein,protein-coding,-,-,-,FAD-binding protein,20210430,-
1324617,64448087,BM438_RS09705,BM438_RS09705,SAMN05192563_1004460,-,-,-,electron transfer flavoprotein subunit beta/FixA family protein,protein-coding,-,-,-,electron transfer flavoprotein subunit beta/FixA family protein,20210430,-
1324617,64448088,BM438_RS09710,BM438_RS09710,SAMN05192563_1004461,-,-,-,FAD-dependent oxidoreductase,protein-coding,-,-,-,FAD-dependent oxidoreductase,20210430,-
1324617,64448089,BM438_RS09715,BM438_RS09715,SAMN05192563_1004462,-,-,-,2Fe-2S iron-sulfur cluster binding domain-containing protein,protein-coding,-,-,-,2Fe-2S iron-sulfur cluster binding domain-containing protein,20210430,-
1324617,64448090,BM438_RS09720,BM438_RS09720,SAMN05192563_1004463,-,-,-,aromatic ring-hydroxylating dioxygenase subunit alpha,protein-coding,-,-,-,aromatic ring-hydroxylating dioxygenase subunit alpha,20210430,-
1324617,64448091,BM438_RS09725,BM438_RS09725,SAMN05192563_1004464,-,-,-,LysR family transcriptional regulator,protein-coding,-,-,-,LysR family transcriptional regulator,20210430,-
1324617,64448092,BM438_RS09730,BM438_RS09730,SAMN05192563_1004465,-,-,-,glucose 1-dehydrogenase,protein-coding,-,-,-,glucose 1-dehydrogenase,20210430,-
1324617,64448093,BM438_RS09735,BM438_RS09735,SAMN05192563_1004466,-,-,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20210430,-
1324617,64448094,BM438_RS09740,BM438_RS09740,SAMN05192563_1004467,-,-,-,transporter substrate-binding domain-containing protein,protein-coding,-,-,-,transporter substrate-binding domain-containing protein,20210430,-
1324617,64448095,BM438_RS09745,BM438_RS09745,SAMN05192563_1004468,-,-,-,amino acid ABC transporter ATP-binding protein,protein-coding,-,-,-,amino acid ABC transporter ATP-binding protein,20210430,-
1324617,64448096,BM438_RS09750,BM438_RS09750,SAMN05192563_10051,-,-,-,DMT family transporter,protein-coding,-,-,-,DMT family transporter,20210430,-
1324617,64448097,BM438_RS09755,BM438_RS09755,SAMN05192563_10052,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20210430,-
1324617,64448098,BM438_RS09760,BM438_RS09760,SAMN05192563_10053,-,-,-,LysR family transcriptional regulator,protein-coding,-,-,-,LysR family transcriptional regulator,20210430,-
1324617,64448099,BM438_RS09765,BM438_RS09765,SAMN05192563_10054,-,-,-,alpha/beta hydrolase,protein-coding,-,-,-,alpha/beta hydrolase,20210430,-
1324617,64448100,BM438_RS09770,BM438_RS09770,SAMN05192563_10055,-,-,-,Ldh family oxidoreductase,protein-coding,-,-,-,Ldh family oxidoreductase,20210430,-
1324617,64448101,BM438_RS09775,BM438_RS09775,SAMN05192563_10056,-,-,-,FadR family transcriptional regulator,protein-coding,-,-,-,FadR family transcriptional regulator,20210430,-
1324617,64448102,BM438_RS09780,BM438_RS09780,SAMN05192563_10057,-,-,-,proline racemase family protein,protein-coding,-,-,-,proline racemase family protein,20210430,-
1324617,64448103,BM438_RS09785,BM438_RS09785,SAMN05192563_10058,-,-,-,branched-chain amino acid ABC transporter substrate-binding protein,protein-coding,-,-,-,branched-chain amino acid ABC transporter substrate-binding protein,20210430,-
1324617,64448104,BM438_RS09790,BM438_RS09790,SAMN05192563_10059,-,-,-,"N,N-dimethylformamidase large subunit",protein-coding,-,-,-,"N,N-dimethylformamidase large subunit",20210429,-
1324617,64448105,BM438_RS09800,BM438_RS09800,SAMN05192563_100513,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
1324617,64448106,BM438_RS09810,BM438_RS09810,SAMN05192563_100515,-,-,-,transposase,protein-coding,-,-,-,transposase,20210430,-
1324617,64448107,BM438_RS09815,BM438_RS09815,SAMN05192563_100516,-,-,-,carboxymuconolactone decarboxylase family protein,protein-coding,-,-,-,carboxymuconolactone decarboxylase family protein,20210430,-
1324617,64448108,BM438_RS09820,BM438_RS09820,SAMN05192563_100517,-,-,-,LysR family transcriptional regulator,protein-coding,-,-,-,LysR family transcriptional regulator,20210430,-
1324617,64448109,BM438_RS09825,BM438_RS09825,SAMN05192563_100518,-,-,-,aldo/keto reductase,protein-coding,-,-,-,aldo/keto reductase,20210430,-
1324617,64448110,BM438_RS09830,BM438_RS09830,SAMN05192563_100519,-,-,-,glucose 1-dehydrogenase,protein-coding,-,-,-,glucose 1-dehydrogenase,20210430,-
1324617,64448111,BM438_RS09835,BM438_RS09835,SAMN05192563_100520,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210430,-
1324617,64448112,BM438_RS09840,BM438_RS09840,SAMN05192563_100521,-,-,-,proline racemase family protein,protein-coding,-,-,-,proline racemase family protein,20210430,-
1324617,64448113,BM438_RS09845,BM438_RS09845,SAMN05192563_100523,-,-,-,oxidoreductase,protein-coding,-,-,-,oxidoreductase,20210430,-
1324617,64448114,BM438_RS09850,BM438_RS09850,SAMN05192563_100524,-,-,-,aromatic ring-hydroxylating dioxygenase subunit alpha,protein-coding,-,-,-,aromatic ring-hydroxylating dioxygenase subunit alpha,20210430,-
1324617,64448115,BM438_RS09855,BM438_RS09855,SAMN05192563_100525,-,-,-,LysR family transcriptional regulator,protein-coding,-,-,-,LysR family transcriptional regulator,20210430,-
1324617,64448116,BM438_RS09860,BM438_RS09860,SAMN05192563_100526,-,-,-,ABC transporter substrate-binding protein,protein-coding,-,-,-,ABC transporter substrate-binding protein,20210430,-
1324617,64448117,BM438_RS09865,BM438_RS09865,SAMN05192563_100527,-,-,-,2-hydroxycarboxylate transporter family protein,protein-coding,-,-,-,2-hydroxycarboxylate transporter family protein,20210430,-
1324617,64448118,prpF,BM438_RS09870,SAMN05192563_100528,-,-,-,2-methylaconitate cis-trans isomerase PrpF,protein-coding,-,-,-,2-methylaconitate cis-trans isomerase PrpF,20210430,-
1324617,64448119,BM438_RS09875,BM438_RS09875,SAMN05192563_100529,-,-,-,lactonase family protein,protein-coding,-,-,-,lactonase family protein,20210430,-
1324617,64448120,acnA,BM438_RS09880,SAMN05192563_100530,-,-,-,aconitate hydratase AcnA,protein-coding,-,-,-,aconitate hydratase AcnA,20210430,-
1324617,64448121,BM438_RS09885,BM438_RS09885,SAMN05192563_100531,-,-,-,GntR family transcriptional regulator,protein-coding,-,-,-,GntR family transcriptional regulator,20210430,-
1324617,64448122,BM438_RS09890,BM438_RS09890,SAMN05192563_100532,-,-,-,MFS transporter,protein-coding,-,-,-,MFS transporter,20210430,-
1324617,64448123,BM438_RS09895,BM438_RS09895,SAMN05192563_100533,-,-,-,MFS transporter,protein-coding,-,-,-,MFS transporter,20210429,-
1324617,64448124,BM438_RS09900,BM438_RS09900,SAMN05192563_100534,-,-,-,MFS transporter,protein-coding,-,-,-,MFS transporter,20210430,-
1324617,64448125,BM438_RS09905,BM438_RS09905,SAMN05192563_100535,-,-,-,SRPBCC family protein,protein-coding,-,-,-,SRPBCC family protein,20210430,-
1324617,64448126,BM438_RS09910,BM438_RS09910,SAMN05192563_100536,-,-,-,DUF1311 domain-containing protein,protein-coding,-,-,-,DUF1311 domain-containing protein,20210430,-
1324617,64448127,BM438_RS09915,BM438_RS09915,SAMN05192563_100537,-,-,-,GlsB/YeaQ/YmgE family stress response membrane protein,protein-coding,-,-,-,GlsB/YeaQ/YmgE family stress response membrane protein,20210430,-
1324617,64448128,BM438_RS09920,BM438_RS09920,SAMN05192563_100538,-,-,-,FAD-dependent oxidoreductase,protein-coding,-,-,-,FAD-dependent oxidoreductase,20210430,-
1324617,64448129,BM438_RS09925,BM438_RS09925,SAMN05192563_100539,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
1324617,64448130,BM438_RS09930,BM438_RS09930,SAMN05192563_100540,-,-,-,xanthine dehydrogenase family protein molybdopterin-binding subunit,protein-coding,-,-,-,xanthine dehydrogenase family protein molybdopterin-binding subunit,20210430,-
1324617,64448131,BM438_RS09935,BM438_RS09935,SAMN05192563_100541,-,-,-,(2Fe-2S)-binding protein,protein-coding,-,-,-,(2Fe-2S)-binding protein,20210430,-
1324617,64448132,hutH,BM438_RS09940,SAMN05192563_100542,-,-,-,histidine ammonia-lyase,protein-coding,-,-,-,histidine ammonia-lyase,20210430,-
1324617,64448133,BM438_RS09945,BM438_RS09945,SAMN05192563_100543,-,-,-,transporter substrate-binding domain-containing protein,protein-coding,-,-,-,transporter substrate-binding domain-containing protein,20210430,-
1324617,64448134,BM438_RS09950,BM438_RS09950,SAMN05192563_100544,-,-,-,LysR family transcriptional regulator,protein-coding,-,-,-,LysR family transcriptional regulator,20210430,-
1324617,64448135,BM438_RS09955,BM438_RS09955,SAMN05192563_100545,-,-,-,TetR/AcrR family transcriptional regulator,protein-coding,-,-,-,TetR/AcrR family transcriptional regulator,20210430,-
1324617,64448136,BM438_RS09960,BM438_RS09960,SAMN05192563_100546,-,-,-,SDR family oxidoreductase,protein-coding,-,-,-,SDR family oxidoreductase,20210430,-
1324617,64448137,BM438_RS09965,BM438_RS09965,SAMN05192563_100547,-,-,-,maleylacetate reductase,protein-coding,-,-,-,maleylacetate reductase,20210430,-
1324617,64448138,BM438_RS09970,BM438_RS09970,SAMN05192563_100548,-,-,-,Dabb family protein,protein-coding,-,-,-,Dabb family protein,20210430,-
1324617,64448139,BM438_RS09975,BM438_RS09975,SAMN05192563_100549,-,-,-,sugar ABC transporter permease,protein-coding,-,-,-,sugar ABC transporter permease,20210430,-
1324617,64448140,BM438_RS09980,BM438_RS09980,SAMN05192563_100550,-,-,-,ATP-binding cassette domain-containing protein,protein-coding,-,-,-,ATP-binding cassette domain-containing protein,20210430,-
1324617,64448141,BM438_RS09985,BM438_RS09985,SAMN05192563_100551,-,-,-,substrate-binding domain-containing protein,protein-coding,-,-,-,substrate-binding domain-containing protein,20210605,-
1324617,64448142,BM438_RS09990,BM438_RS09990,SAMN05192563_100552,-,-,-,Gfo/Idh/MocA family oxidoreductase,protein-coding,-,-,-,Gfo/Idh/MocA family oxidoreductase,20210430,-
1324617,64448143,iolG,BM438_RS09995,SAMN05192563_100553,-,-,-,inositol 2-dehydrogenase,protein-coding,-,-,-,inositol 2-dehydrogenase,20210430,-
1324617,64448144,BM438_RS10000,BM438_RS10000,SAMN05192563_100554,-,-,-,sugar phosphate isomerase/epimerase,protein-coding,-,-,-,sugar phosphate isomerase/epimerase,20210430,-
1324617,64448145,BM438_RS10005,BM438_RS10005,SAMN05192563_100555,-,-,-,intradiol ring-cleavage dioxygenase,protein-coding,-,-,-,intradiol ring-cleavage dioxygenase,20210430,-
1324617,64448146,BM438_RS10010,BM438_RS10010,SAMN05192563_100556,-,-,-,LysR family transcriptional regulator,protein-coding,-,-,-,LysR family transcriptional regulator,20210430,-
1324617,64448147,BM438_RS10015,BM438_RS10015,SAMN05192563_100557,-,-,-,phytanoyl-CoA dioxygenase family protein,protein-coding,-,-,-,phytanoyl-CoA dioxygenase family protein,20210430,-
1324617,64448148,BM438_RS10020,BM438_RS10020,SAMN05192563_100558,-,-,-,LacI family DNA-binding transcriptional regulator,protein-coding,-,-,-,LacI family DNA-binding transcriptional regulator,20210430,-
1324617,64448149,BM438_RS10025,BM438_RS10025,SAMN05192563_100559,-,-,-,porin,protein-coding,-,-,-,porin,20210430,-
1324617,64448150,BM438_RS10030,BM438_RS10030,SAMN05192563_100560,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
1324617,64448151,BM438_RS10035,BM438_RS10035,SAMN05192563_100561,-,-,-,thioesterase family protein,protein-coding,-,-,-,thioesterase family protein,20210430,-
1324617,64448152,BM438_RS10040,BM438_RS10040,SAMN05192563_100562,-,-,-,ABC transporter substrate-binding protein,protein-coding,-,-,-,ABC transporter substrate-binding protein,20210430,-
1324617,64448153,BM438_RS10045,BM438_RS10045,SAMN05192563_100563,-,-,-,tautomerase family protein,protein-coding,-,-,-,tautomerase family protein,20210430,-
1324617,64448154,BM438_RS10050,BM438_RS10050,SAMN05192563_100564,-,-,-,acetoacetate decarboxylase family protein,protein-coding,-,-,-,acetoacetate decarboxylase family protein,20210430,-
1324617,64448155,BM438_RS10055,BM438_RS10055,SAMN05192563_100565,-,-,-,methyl-accepting chemotaxis protein,protein-coding,-,-,-,methyl-accepting chemotaxis protein,20210430,-
1324617,64448156,BM438_RS10060,BM438_RS10060,SAMN05192563_100566,-,-,-,DUF1571 domain-containing protein,protein-coding,-,-,-,DUF1571 domain-containing protein,20210430,-
1324617,64448157,BM438_RS10065,BM438_RS10065,SAMN05192563_100567,-,-,-,anti-sigma factor,protein-coding,-,-,-,anti-sigma factor,20210430,-
1324617,64448158,BM438_RS10070,BM438_RS10070,SAMN05192563_100568,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
1324617,64448159,BM438_RS10075,BM438_RS10075,SAMN05192563_100569,-,-,-,EAL domain-containing protein,protein-coding,-,-,-,EAL domain-containing protein,20210430,-
1324617,64448160,BM438_RS10080,BM438_RS10080,SAMN05192563_100570,-,-,-,TMEM165/GDT1 family protein,protein-coding,-,-,-,TMEM165/GDT1 family protein,20210430,-
1324617,64448161,BM438_RS10085,BM438_RS10085,SAMN05192563_100571,-,-,-,NADPH-dependent F420 reductase,protein-coding,-,-,-,NADPH-dependent F420 reductase,20210430,-
1324617,64448162,BM438_RS10090,BM438_RS10090,SAMN05192563_100572,-,-,-,SDR family oxidoreductase,protein-coding,-,-,-,SDR family oxidoreductase,20210430,-
1324617,64448163,BM438_RS10095,BM438_RS10095,SAMN05192563_100573,-,-,-,TetR/AcrR family transcriptional regulator,protein-coding,-,-,-,TetR/AcrR family transcriptional regulator,20210430,-
1324617,64448164,BM438_RS10100,BM438_RS10100,SAMN05192563_100574,-,-,-,porin,protein-coding,-,-,-,porin,20210430,-
1324617,64448165,BM438_RS10105,BM438_RS10105,SAMN05192563_100575,-,-,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20210430,-
1324617,64448166,BM438_RS10110,BM438_RS10110,SAMN05192563_100576,-,-,-,ABC transporter substrate-binding protein,protein-coding,-,-,-,ABC transporter substrate-binding protein,20210430,-
1324617,64448167,BM438_RS10115,BM438_RS10115,SAMN05192563_100577,-,-,-,iron ABC transporter permease,protein-coding,-,-,-,iron ABC transporter permease,20210430,-
1324617,64448168,BM438_RS10120,BM438_RS10120,SAMN05192563_100578,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
1324617,64448169,BM438_RS10125,BM438_RS10125,SAMN05192563_100579,-,-,-,patatin-like phospholipase family protein,protein-coding,-,-,-,patatin-like phospholipase family protein,20210430,-
1324617,64448170,BM438_RS10130,BM438_RS10130,SAMN05192563_100580,-,-,-,3-hydroxybutyrate dehydrogenase,protein-coding,-,-,-,3-hydroxybutyrate dehydrogenase,20210430,-
1324617,64448171,BM438_RS10135,BM438_RS10135,SAMN05192563_100581,-,-,-,acetoacetate decarboxylase,protein-coding,-,-,-,acetoacetate decarboxylase,20210430,-
1324617,64448172,BM438_RS10140,BM438_RS10140,SAMN05192563_100582,-,-,-,AraC family transcriptional regulator N-terminal domain-containing protein,protein-coding,-,-,-,AraC family transcriptional regulator N-terminal domain-containing protein,20210605,-
1324617,64448173,BM438_RS10145,BM438_RS10145,SAMN05192563_100583,-,-,-,SDR family oxidoreductase,protein-coding,-,-,-,SDR family oxidoreductase,20210430,-
1324617,64448174,BM438_RS10150,BM438_RS10150,SAMN05192563_100584,-,-,-,SDR family oxidoreductase,protein-coding,-,-,-,SDR family oxidoreductase,20210430,-
1324617,64448175,BM438_RS10155,BM438_RS10155,SAMN05192563_100585,-,-,-,SDR family oxidoreductase,protein-coding,-,-,-,SDR family oxidoreductase,20210430,-
1324617,64448176,BM438_RS10160,BM438_RS10160,SAMN05192563_100586,-,-,-,DNA-binding transcriptional regulator,protein-coding,-,-,-,DNA-binding transcriptional regulator,20210430,-
1324617,64448177,BM438_RS10165,BM438_RS10165,SAMN05192563_100587,-,-,-,UPF0182 family protein,protein-coding,-,-,-,UPF0182 family protein,20210430,-
1324617,64448178,BM438_RS10170,BM438_RS10170,SAMN05192563_100588,-,-,-,porin,protein-coding,-,-,-,porin,20210430,-
1324617,64448179,BM438_RS10175,BM438_RS10175,SAMN05192563_100589,-,-,-,glucose/quinate/shikimate family membrane-bound PQQ-dependent dehydrogenase,protein-coding,-,-,-,glucose/quinate/shikimate family membrane-bound PQQ-dependent dehydrogenase,20210430,-
1324617,64448180,BM438_RS10180,BM438_RS10180,SAMN05192563_100590,-,-,-,two pore domain potassium channel family protein,protein-coding,-,-,-,two pore domain potassium channel family protein,20210430,-
1324617,64448181,BM438_RS10185,BM438_RS10185,SAMN05192563_100591,-,-,-,organic hydroperoxide resistance protein,protein-coding,-,-,-,organic hydroperoxide resistance protein,20210430,-
1324617,64448182,BM438_RS10190,BM438_RS10190,SAMN05192563_100592,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
1324617,64448183,BM438_RS10195,BM438_RS10195,SAMN05192563_100594,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
1324617,64448184,BM438_RS10205,BM438_RS10205,SAMN05192563_100595,-,-,-,GNAT family N-acetyltransferase,protein-coding,-,-,-,GNAT family N-acetyltransferase,20210430,-
1324617,64448185,BM438_RS10210,BM438_RS10210,SAMN05192563_100597,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
1324617,64448186,BM438_RS10215,BM438_RS10215,SAMN05192563_100598,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
1324617,64448187,BM438_RS10220,BM438_RS10220,SAMN05192563_100599,-,-,-,alpha-galactosidase,protein-coding,-,-,-,alpha-galactosidase,20210429,-
1324617,64448188,BM438_RS10225,BM438_RS10225,SAMN05192563_1005100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
1324617,64448189,BM438_RS10230,BM438_RS10230,SAMN05192563_1005101,-,-,-,CHASE2 domain-containing protein,protein-coding,-,-,-,CHASE2 domain-containing protein,20210430,-
1324617,64448190,BM438_RS10235,BM438_RS10235,SAMN05192563_1005102,-,-,-,OmpA family protein,protein-coding,-,-,-,OmpA family protein,20210430,-
1324617,64448191,BM438_RS10240,BM438_RS10240,SAMN05192563_1005103,-,-,-,FecR domain-containing protein,protein-coding,-,-,-,FecR domain-containing protein,20210430,-
1324617,64448192,BM438_RS10245,BM438_RS10245,SAMN05192563_1005104,-,-,-,cytochrome c,protein-coding,-,-,-,cytochrome c,20210430,-
1324617,64448193,BM438_RS10250,BM438_RS10250,SAMN05192563_1005105,-,-,-,flavin monoamine oxidase family protein,protein-coding,-,-,-,flavin monoamine oxidase family protein,20210430,-
1324617,64448194,BM438_RS10255,BM438_RS10255,SAMN05192563_1005106,-,-,-,isoprenylcysteine carboxylmethyltransferase family protein,protein-coding,-,-,-,isoprenylcysteine carboxylmethyltransferase family protein,20210430,-
1324617,64448195,BM438_RS10260,BM438_RS10260,SAMN05192563_1005107,-,-,-,glycoside hydrolase family 3 C-terminal domain-containing protein,protein-coding,-,-,-,glycoside hydrolase family 3 C-terminal domain-containing protein,20210430,-
1324617,64448196,BM438_RS10265,BM438_RS10265,SAMN05192563_1005108,-,-,-,phosphatase PAP2 family protein,protein-coding,-,-,-,phosphatase PAP2 family protein,20210430,-
1324617,64448197,BM438_RS10270,BM438_RS10270,SAMN05192563_1005109,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
1324617,64448198,BM438_RS10275,BM438_RS10275,SAMN05192563_1005110,-,-,-,response regulator,protein-coding,-,-,-,response regulator,20210430,-
1324617,64448199,BM438_RS10280,BM438_RS10280,SAMN05192563_1005111,-,-,-,response regulator transcription factor,protein-coding,-,-,-,response regulator transcription factor,20210430,-
1324617,64448200,BM438_RS10285,BM438_RS10285,SAMN05192563_1005112,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
1324617,64448201,BM438_RS10290,BM438_RS10290,SAMN05192563_1005114,-,-,-,xanthine dehydrogenase family protein molybdopterin-binding subunit,protein-coding,-,-,-,xanthine dehydrogenase family protein molybdopterin-binding subunit,20210430,-
1324617,64448202,BM438_RS10295,BM438_RS10295,SAMN05192563_1005115,-,-,-,(2Fe-2S)-binding protein,protein-coding,-,-,-,(2Fe-2S)-binding protein,20210430,-
1324617,64448203,BM438_RS10300,BM438_RS10300,SAMN05192563_1005116,-,-,-,LysR family transcriptional regulator,protein-coding,-,-,-,LysR family transcriptional regulator,20210430,-
1324617,64448204,BM438_RS10305,BM438_RS10305,SAMN05192563_1005117,-,-,-,LysR family transcriptional regulator,protein-coding,-,-,-,LysR family transcriptional regulator,20210430,-
1324617,64448205,BM438_RS10310,BM438_RS10310,SAMN05192563_1005118,-,-,-,amidohydrolase,protein-coding,-,-,-,amidohydrolase,20210430,-
1324617,64448206,BM438_RS10315,BM438_RS10315,SAMN05192563_1005119,-,-,-,amidohydrolase,protein-coding,-,-,-,amidohydrolase,20210430,-
1324617,64448207,BM438_RS10320,BM438_RS10320,SAMN05192563_1005120,-,-,-,UbiD family decarboxylase,protein-coding,-,-,-,UbiD family decarboxylase,20210430,-
1324617,64448208,BM438_RS10325,BM438_RS10325,SAMN05192563_1005121,-,-,-,UbiX family flavin prenyltransferase,protein-coding,-,-,-,UbiX family flavin prenyltransferase,20210430,-
