#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2713310,55818422,HYQ37_gp002,HYQ37_gp002,pertopsoe_2,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210129,-
2713310,55818591,HYQ37_gp171,HYQ37_gp171,pertopsoe_171,-,-,-,RIIB protein,protein-coding,-,-,-,RIIB protein,20210116,-
2713310,55818592,HYQ37_gp172,HYQ37_gp172,pertopsoe_172,-,-,-,RIIA protein,protein-coding,-,-,-,RIIA protein,20200910,-
2713310,55818593,HYQ37_gp173,HYQ37_gp173,pertopsoe_173,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818594,HYQ37_gp174,HYQ37_gp174,pertopsoe_174,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818595,HYQ37_gp175,HYQ37_gp175,pertopsoe_175,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818596,HYQ37_gp176,HYQ37_gp176,pertopsoe_176,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2713310,55818597,HYQ37_gp177,HYQ37_gp177,pertopsoe_177,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818598,HYQ37_gp178,HYQ37_gp178,pertopsoe_178,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818599,HYQ37_gp179,HYQ37_gp179,pertopsoe_179,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818600,HYQ37_gp180,HYQ37_gp180,pertopsoe_180,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818601,HYQ37_gp181,HYQ37_gp181,pertopsoe_181,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818602,HYQ37_gp182,HYQ37_gp182,pertopsoe_182,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818603,HYQ37_gp183,HYQ37_gp183,pertopsoe_183,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818604,HYQ37_gp184,HYQ37_gp184,pertopsoe_184,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
2713310,55818605,HYQ37_gp185,HYQ37_gp185,pertopsoe_185,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818606,HYQ37_gp186,HYQ37_gp186,pertopsoe_186,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818607,HYQ37_gp187,HYQ37_gp187,pertopsoe_187,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818608,HYQ37_gp188,HYQ37_gp188,pertopsoe_188,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2713310,55818609,HYQ37_gp189,HYQ37_gp189,pertopsoe_189,-,-,-,SegD-like protein,protein-coding,-,-,-,SegD-like protein,20210129,-
2713310,55818610,HYQ37_gp190,HYQ37_gp190,pertopsoe_190,-,-,-,putative thioredoxin,protein-coding,-,-,-,putative thioredoxin,20210306,-
2713310,55818611,HYQ37_gp191,HYQ37_gp191,pertopsoe_191,-,-,-,putative 5'(3') deoxyribonucleotidase,protein-coding,-,-,-,putative 5'(3') deoxyribonucleotidase,20210129,-
2713310,55818612,HYQ37_gp192,HYQ37_gp192,pertopsoe_192,-,-,-,putative lipoprotein,protein-coding,-,-,-,putative lipoprotein,20200910,-
2713310,55818613,HYQ37_gp193,HYQ37_gp193,pertopsoe_193,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210129,-
2713310,55818614,HYQ37_gp194,HYQ37_gp194,pertopsoe_194,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818615,HYQ37_gp195,HYQ37_gp195,pertopsoe_195,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818616,HYQ37_gp196,HYQ37_gp196,pertopsoe_196,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818617,HYQ37_gp197,HYQ37_gp197,pertopsoe_197,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200910,-
2713310,55818618,HYQ37_gp198,HYQ37_gp198,pertopsoe_198,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20210123,-
2713310,55818619,HYQ37_gp199,HYQ37_gp199,pertopsoe_199,-,-,-,putative threonine ammonia lyase,protein-coding,-,-,-,putative threonine ammonia lyase,20210313,-
2713310,55818620,HYQ37_gp200,HYQ37_gp200,pertopsoe_200,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818621,HYQ37_gp201,HYQ37_gp201,pertopsoe_201,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200910,-
2713310,55818622,HYQ37_gp202,HYQ37_gp202,pertopsoe_202,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818623,HYQ37_gt001,HYQ37_gt001,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2713310,55818624,HYQ37_gt002,HYQ37_gt002,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2713310,55818625,HYQ37_gt003,HYQ37_gt003,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2713310,55818626,HYQ37_gp001,HYQ37_gp001,pertopsoe_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55863696,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200909,-
