#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1485682,25257867,DI09_100p10,DI09_100p10,-,-,Unknown,-,tectonin beta-propeller repeat-containing protein 1,protein-coding,-,-,-,tectonin beta-propeller repeat-containing protein 1,20200318,-
1485682,25258498,DI09_150p20,DI09_150p20,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258499,DI09_150p30,DI09_150p30,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258500,DI09_150p40,DI09_150p40,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258501,DI09_151p10,DI09_151p10,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258502,DI09_151p20,DI09_151p20,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258503,DI09_151p30,DI09_151p30,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258504,DI09_151p40,DI09_151p40,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258505,DI09_151p50,DI09_151p50,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258506,DI09_151p60,DI09_151p60,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258507,DI09_152p10,DI09_152p10,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258508,DI09_152p20,DI09_152p20,-,-,Unknown,-,killer toxin insensitive protein 3-like protein,protein-coding,-,-,-,killer toxin insensitive protein 3-like protein,20200318,-
1485682,25258509,DI09_152p30,DI09_152p30,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258510,DI09_153p10,DI09_153p10,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258511,DI09_153p20,DI09_153p20,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258512,DI09_153p30,DI09_153p30,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258513,DI09_153p40,DI09_153p40,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258514,DI09_153p50,DI09_153p50,-,-,Unknown,-,Gup1-like protein,protein-coding,-,-,-,Gup1-like protein,20200318,-
1485682,25258515,DI09_154p10,DI09_154p10,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258516,DI09_154p20,DI09_154p20,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258517,DI09_154p30,DI09_154p30,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258518,DI09_154p40,DI09_154p40,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258519,DI09_154p50,DI09_154p50,-,-,Unknown,-,subunit of Snf5,protein-coding,-,-,-,subunit of Snf5,20200318,-
1485682,25258520,DI09_154p60,DI09_154p60,-,-,Unknown,-,synovial apoptosis inhibitor 1,protein-coding,-,-,-,synovial apoptosis inhibitor 1,20200318,-
1485682,25258521,DI09_154p70,DI09_154p70,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258522,DI09_154p80,DI09_154p80,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258523,DI09_154p90,DI09_154p90,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258524,DI09_155p10,DI09_155p10,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258525,DI09_155p20,DI09_155p20,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258526,DI09_155p30,DI09_155p30,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258527,DI09_156p10,DI09_156p10,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258528,DI09_157p10,DI09_157p10,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258529,DI09_157p20,DI09_157p20,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258530,DI09_158p10,DI09_158p10,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258531,DI09_159p10,DI09_159p10,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258532,DI09_159p20,DI09_159p20,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258533,DI09_159p30,DI09_159p30,-,-,Unknown,-,subunit beta (Wbp1) of oligosaccharyltransferase complex,protein-coding,-,-,-,subunit beta (Wbp1) of oligosaccharyltransferase complex,20200318,-
1485682,25258534,DI09_159p40,DI09_159p40,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258535,DI09_15p10,DI09_15p10,-,-,Unknown,-,sulfate adenylyltransferase,protein-coding,-,-,-,sulfate adenylyltransferase,20200318,-
1485682,25258536,DI09_15p100,DI09_15p100,-,-,Unknown,-,catalase,protein-coding,-,-,-,catalase,20200318,-
1485682,25258537,DI09_15p110,DI09_15p110,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258538,DI09_15p120,DI09_15p120,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258539,DI09_15p130,DI09_15p130,-,-,Unknown,-,NADPH-dependent diflavin oxidoreductase 1,protein-coding,-,-,-,NADPH-dependent diflavin oxidoreductase 1,20200318,-
1485682,25258540,DI09_15p140,DI09_15p140,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258541,DI09_15p150,DI09_15p150,-,-,Unknown,-,lysine-tRNA ligase,protein-coding,-,-,-,lysine-tRNA ligase,20200318,-
1485682,25258542,DI09_15p160,DI09_15p160,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258543,DI09_15p170,DI09_15p170,-,-,Unknown,-,ATPase,protein-coding,-,-,-,ATPase,20200318,-
1485682,25258544,DI09_15p180,DI09_15p180,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258545,DI09_15p190,DI09_15p190,-,-,Unknown,-,serine/threonine-protein kinase 12,protein-coding,-,-,-,serine/threonine-protein kinase 12,20200318,-
1485682,25258546,DI09_15p20,DI09_15p20,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258547,DI09_15p200,DI09_15p200,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258548,DI09_15p210,DI09_15p210,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258549,DI09_15p220,DI09_15p220,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258550,DI09_15p230,DI09_15p230,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258551,DI09_15p240,DI09_15p240,-,-,Unknown,-,mannose-1-phosphate guanyltransferase,protein-coding,-,-,-,mannose-1-phosphate guanyltransferase,20200318,-
1485682,25258552,DI09_15p250,DI09_15p250,-,-,Unknown,-,putative gpi-alpha-mannosyltransfer,protein-coding,-,-,-,putative gpi-alpha-mannosyltransfer,20200318,-
1485682,25258553,DI09_15p260,DI09_15p260,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258554,DI09_15p270,DI09_15p270,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258555,DI09_15p280,DI09_15p280,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258556,DI09_15p290,DI09_15p290,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258557,DI09_15p30,DI09_15p30,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258558,DI09_15p300,DI09_15p300,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258559,DI09_15p310,DI09_15p310,-,-,Unknown,-,histone H3,protein-coding,-,-,-,histone H3,20200318,-
1485682,25258560,DI09_15p320,DI09_15p320,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258561,DI09_15p330,DI09_15p330,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258562,DI09_15p340,DI09_15p340,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258563,DI09_15p350,DI09_15p350,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258564,DI09_15p360,DI09_15p360,-,-,Unknown,-,U3 snoRNP-associated protein Utp5,protein-coding,-,-,-,U3 snoRNP-associated protein Utp5,20200318,-
1485682,25258565,DI09_15p370,DI09_15p370,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258566,DI09_15p380,DI09_15p380,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258567,DI09_15p390,DI09_15p390,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258568,DI09_15p40,DI09_15p40,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258569,DI09_15p400,DI09_15p400,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258570,DI09_15p410,DI09_15p410,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258571,DI09_15p420,DI09_15p420,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258572,DI09_15p430,DI09_15p430,-,-,Unknown,-,DNA-directed RNA polymerase,protein-coding,-,-,-,DNA-directed RNA polymerase,20200318,-
1485682,25258573,DI09_15p440,DI09_15p440,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258574,DI09_15p450,DI09_15p450,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258575,DI09_15p460,DI09_15p460,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258576,DI09_15p50,DI09_15p50,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258577,DI09_15p60,DI09_15p60,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258578,DI09_15p70,DI09_15p70,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258579,DI09_15p80,DI09_15p80,-,-,Unknown,-,cofactor-APC complex of cell division cycle 20-like protein 1,protein-coding,-,-,-,cofactor-APC complex of cell division cycle 20-like protein 1,20200318,-
1485682,25258580,DI09_15p90,DI09_15p90,-,-,Unknown,-,"indoleamine 2,3-dioxygenase 1",protein-coding,-,-,-,"indoleamine 2,3-dioxygenase 1",20200318,-
1485682,25258581,DI09_160p10,DI09_160p10,-,-,Unknown,-,putative ubiquitin-protein ligase Tom1,protein-coding,-,-,-,putative ubiquitin-protein ligase Tom1,20200318,-
1485682,25258582,DI09_160p20,DI09_160p20,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258583,DI09_160p30,DI09_160p30,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258584,DI09_160p40,DI09_160p40,-,-,Unknown,-,bromodomain and WD repeat-containing protein 3,protein-coding,-,-,-,bromodomain and WD repeat-containing protein 3,20200318,-
1485682,25258585,DI09_161p10,DI09_161p10,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258586,DI09_161p20,DI09_161p20,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258587,DI09_161p30,DI09_161p30,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258588,DI09_161p40,DI09_161p40,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258589,DI09_162p10,DI09_162p10,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258590,DI09_162p20,DI09_162p20,-,-,Unknown,-,subunit 7 of cytochrome b-c1 complex,protein-coding,-,-,-,subunit 7 of cytochrome b-c1 complex,20200318,-
1485682,25258591,DI09_162p30,DI09_162p30,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258592,DI09_163p10,DI09_163p10,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258593,DI09_163p20,DI09_163p20,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258594,DI09_163p30,DI09_163p30,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258595,DI09_163p40,DI09_163p40,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258596,DI09_163p50,DI09_163p50,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258597,DI09_163p60,DI09_163p60,-,-,Unknown,-,actin-related protein 3,protein-coding,-,-,-,actin-related protein 3,20200318,-
1485682,25258598,DI09_163p70,DI09_163p70,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258599,DI09_164p10,DI09_164p10,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258600,DI09_164p20,DI09_164p20,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258601,DI09_164p30,DI09_164p30,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258602,DI09_164p40,DI09_164p40,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258603,DI09_164p50,DI09_164p50,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258604,DI09_164p60,DI09_164p60,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258605,DI09_165p10,DI09_165p10,-,-,Unknown,-,ribose-phosphate pyrophosphokinase 2,protein-coding,-,-,-,ribose-phosphate pyrophosphokinase 2,20200318,-
1485682,25258606,DI09_165p20,DI09_165p20,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258607,DI09_165p30,DI09_165p30,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258608,DI09_166p10,DI09_166p10,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258609,DI09_166p20,DI09_166p20,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258610,DI09_166p30,DI09_166p30,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258611,DI09_166p40,DI09_166p40,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258612,DI09_167p10,DI09_167p10,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258613,DI09_167p20,DI09_167p20,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258614,DI09_167p30,DI09_167p30,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258615,DI09_167p40,DI09_167p40,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258616,DI09_167p50,DI09_167p50,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258617,DI09_167p60,DI09_167p60,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258618,DI09_168p10,DI09_168p10,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258619,DI09_168p20,DI09_168p20,-,-,Unknown,-,heat shock protein Hsp20,protein-coding,-,-,-,heat shock protein Hsp20,20200318,-
1485682,25258620,DI09_168p30,DI09_168p30,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258621,DI09_168p40,DI09_168p40,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258622,DI09_168p50,DI09_168p50,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258623,DI09_169p10,DI09_169p10,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258624,DI09_169p20,DI09_169p20,-,-,Unknown,-,rRNA-processing protein Efg1-related protein,protein-coding,-,-,-,rRNA-processing protein Efg1-related protein,20200318,-
1485682,25258625,DI09_169p30,DI09_169p30,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258626,DI09_169p40,DI09_169p40,-,-,Unknown,-,histone H2A,protein-coding,-,-,-,histone H2A,20200318,-
1485682,25258627,DI09_169p50,DI09_169p50,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258628,DI09_16p10,DI09_16p10,-,-,Unknown,-,puromycin-sensitive aminopeptidase,protein-coding,-,-,-,puromycin-sensitive aminopeptidase,20200318,-
1485682,25258629,DI09_16p100,DI09_16p100,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258630,DI09_16p110,DI09_16p110,-,-,Unknown,-,Ras-related protein Rab-1A,protein-coding,-,-,-,Ras-related protein Rab-1A,20200318,-
1485682,25258631,DI09_16p120,DI09_16p120,-,-,Unknown,-,polysaccharide deacetylase,protein-coding,-,-,-,polysaccharide deacetylase,20200318,-
1485682,25258632,DI09_16p130,DI09_16p130,-,-,Unknown,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20200318,-
1485682,25258633,DI09_16p140,DI09_16p140,-,-,Unknown,-,chitin synthase,protein-coding,-,-,-,chitin synthase,20200318,-
1485682,25258634,DI09_16p150,DI09_16p150,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258635,DI09_16p160,DI09_16p160,-,-,Unknown,-,18S rRNA biogenesis protein Rcl1,protein-coding,-,-,-,18S rRNA biogenesis protein Rcl1,20200318,-
1485682,25258636,DI09_16p170,DI09_16p170,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258637,DI09_16p180,DI09_16p180,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258638,DI09_16p190,DI09_16p190,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258639,DI09_16p20,DI09_16p20,-,-,Unknown,-,methionyl-tRNA formyltransferase,protein-coding,-,-,-,methionyl-tRNA formyltransferase,20200318,-
1485682,25258640,DI09_16p200,DI09_16p200,-,-,Unknown,-,mitochondrial 3-oxoacyl-(Acyl-carrier-protein) synthase,protein-coding,-,-,-,mitochondrial 3-oxoacyl-(Acyl-carrier-protein) synthase,20200318,-
1485682,25258641,DI09_16p210,DI09_16p210,-,-,Unknown,-,profilin,protein-coding,-,-,-,profilin,20200318,-
1485682,25258642,DI09_16p220,DI09_16p220,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258643,DI09_16p230,DI09_16p230,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258644,DI09_16p240,DI09_16p240,-,-,Unknown,-,importin alpha re-exporter,protein-coding,-,-,-,importin alpha re-exporter,20200318,-
1485682,25258645,DI09_16p250,DI09_16p250,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258646,DI09_16p260,DI09_16p260,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258647,DI09_16p270,DI09_16p270,-,-,Unknown,-,DNA-directed RNA polymerase,protein-coding,-,-,-,DNA-directed RNA polymerase,20200318,-
1485682,25258648,DI09_16p280,DI09_16p280,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258649,DI09_16p290,DI09_16p290,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258650,DI09_16p30,DI09_16p30,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258651,DI09_16p300,DI09_16p300,-,-,Unknown,-,chromatin remodeling complex / DNA-dep ATPase,protein-coding,-,-,-,chromatin remodeling complex / DNA-dep ATPase,20200318,-
1485682,25258652,DI09_16p310,DI09_16p310,-,-,Unknown,-,uracil-DNA glycosylase,protein-coding,-,-,-,uracil-DNA glycosylase,20200318,-
1485682,25258653,DI09_16p320,DI09_16p320,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258654,DI09_16p330,DI09_16p330,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258655,DI09_16p340,DI09_16p340,-,-,Unknown,-,40S ribosomal protein S8,protein-coding,-,-,-,40S ribosomal protein S8,20200318,-
1485682,25258656,DI09_16p350,DI09_16p350,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258657,DI09_16p360,DI09_16p360,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258658,DI09_16p370,DI09_16p370,-,-,Unknown,-,programmed cell death protein 5,protein-coding,-,-,-,programmed cell death protein 5,20200318,-
1485682,25258659,DI09_16p380,DI09_16p380,-,-,Unknown,-,haperone protein DnaJ-related protein,protein-coding,-,-,-,haperone protein DnaJ-related protein,20200318,-
1485682,25258660,DI09_16p390,DI09_16p390,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258661,DI09_16p40,DI09_16p40,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258662,DI09_16p400,DI09_16p400,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258663,DI09_16p50,DI09_16p50,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258664,DI09_16p60,DI09_16p60,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258665,DI09_16p70,DI09_16p70,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258666,DI09_16p80,DI09_16p80,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258667,DI09_16p90,DI09_16p90,-,-,Unknown,-,transformer-2 alpha,protein-coding,-,-,-,transformer-2 alpha,20200318,-
1485682,25258668,DI09_170p10,DI09_170p10,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258669,DI09_170p20,DI09_170p20,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258670,DI09_170p30,DI09_170p30,-,-,Unknown,-,beta subunit of translation initiation factor eIF2B,protein-coding,-,-,-,beta subunit of translation initiation factor eIF2B,20200318,-
1485682,25258671,DI09_170p40,DI09_170p40,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258672,DI09_170p50,DI09_170p50,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258673,DI09_171p10,DI09_171p10,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258674,DI09_171p20,DI09_171p20,-,-,Unknown,-,inosine triphosphate pyrophosphatase,protein-coding,-,-,-,inosine triphosphate pyrophosphatase,20200318,-
1485682,25258675,DI09_171p30,DI09_171p30,-,-,Unknown,-,Maf/Ham1,protein-coding,-,-,-,Maf/Ham1,20200318,-
1485682,25258676,DI09_171p40,DI09_171p40,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258677,DI09_171p50,DI09_171p50,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258678,DI09_171p60,DI09_171p60,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258679,DI09_171p70,DI09_171p70,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258680,DI09_172p10,DI09_172p10,-,-,Unknown,-,mRNA cleavage and polyadenylation factor Clp1,protein-coding,-,-,-,mRNA cleavage and polyadenylation factor Clp1,20200318,-
1485682,25258681,DI09_172p20,DI09_172p20,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258682,DI09_172p30,DI09_172p30,-,-,Unknown,-,peroxiredoxin-2,protein-coding,-,-,-,peroxiredoxin-2,20200318,-
1485682,25258683,DI09_172p40,DI09_172p40,-,-,Unknown,-,elongation factor 1-alpha,protein-coding,-,-,-,elongation factor 1-alpha,20200318,-
1485682,25258684,DI09_173p10,DI09_173p10,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200318,-
1485682,25258685,DI09_173p20,DI09_173p20,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200318,-
1485682,25258686,DI09_173p30,DI09_173p30,-,-,Unknown,-,putative pre-mRNA splicing factor,protein-coding,-,-,-,putative pre-mRNA splicing factor,20200318,-
