#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
5661,13385311,LDBPK_291900,LDBPK_291900,-,-,29,-,"diphthamide synthesis protein, putative",protein-coding,-,-,-,"diphthamide synthesis protein, putative",20210424,-
5661,13385669,LDBPK_302490,LDBPK_302490,-,-,30,-,pseudo,pseudo,-,-,-,-,20200918,-
5661,13385670,LDBPK_302500,LDBPK_302500,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
5661,13385671,LDBPK_302510,LDBPK_302510,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385672,LDBPK_302520,LDBPK_302520,-,-,30,-,AAA family ATPase-like protein,protein-coding,-,-,-,AAA family ATPase-like protein,20200918,-
5661,13385673,LDBPK_302530,LDBPK_302530,-,-,30,-,"heat shock 70-related protein 1, mitochondrial precursor, putative",protein-coding,-,-,-,"heat shock 70-related protein 1, mitochondrial precursor, putative",20200918,-
5661,13385674,LDBPK_302540,LDBPK_302540,-,-,30,-,"heat shock 70-related protein 1, mitochondrial precursor, putative",protein-coding,-,-,-,"heat shock 70-related protein 1, mitochondrial precursor, putative",20200918,-
5661,13385675,LDBPK_302550,LDBPK_302550,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385676,LDBPK_302560,LDBPK_302560,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
5661,13385677,LDBPK_302570,LDBPK_302570,-,-,30,-,"reticulon domain protein, 22 kDa potentially aggravating protein (paple22)",protein-coding,-,-,-,"reticulon domain protein, 22 kDa potentially aggravating protein (paple22)",20210417,-
5661,13385678,LDBPK_302580,LDBPK_302580,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385679,LDBPK_302590,LDBPK_302590,-,-,30,-,formate--tetrahydrofolate ligase,protein-coding,-,-,-,formate--tetrahydrofolate ligase,20200918,-
5661,13385680,LDBPK_302600,LDBPK_302600,-,-,30,-,"RNA-binding protein, putative",protein-coding,-,-,-,"RNA-binding protein, putative",20200918,-
5661,13385681,LDBPK_302610,LDBPK_302610,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385682,LDBPK_302620,LDBPK_302620,-,-,30,-,"replication factor C, subunit 2, putative",protein-coding,-,-,-,"replication factor C, subunit 2, putative",20200918,-
5661,13385683,LDBPK_302630,LDBPK_302630,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385684,LDBPK_302640,LDBPK_302640,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385685,LDBPK_302650,LDBPK_302650,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
5661,13385686,LDBPK_302660,LDBPK_302660,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385687,LDBPK_302670,LDBPK_302670,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385688,LDBPK_302680,LDBPK_302680,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385689,LDBPK_302690,LDBPK_302690,-,-,30,-,SH3 domain protein-like protein,protein-coding,-,-,-,SH3 domain protein-like protein,20200918,-
5661,13385690,LDBPK_302700,LDBPK_302700,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
5661,13385691,LDBPK_302710,LDBPK_302710,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385692,LDBPK_302720,LDBPK_302720,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385693,LDBPK_302730,LDBPK_302730,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385694,LDBPK_302740,LDBPK_302740,-,-,30,-,"TPR domain protein, conserved",protein-coding,-,-,-,"TPR domain protein, conserved",20210424,-
5661,13385695,LDBPK_302750,LDBPK_302750,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385696,LDBPK_302760,LDBPK_302760,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385697,LDBPK_302770,LDBPK_302770,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385698,LDBPK_302780,LDBPK_302780,-,-,30,-,"superoxide dismutase, putative",protein-coding,-,-,-,"superoxide dismutase, putative",20210424,-
5661,13385699,LDBPK_302790,LDBPK_302790,-,-,30,-,"hypothetical protein, unknown function",protein-coding,-,-,-,"hypothetical protein, unknown function",20200918,-
5661,13385700,LDBPK_302800,LDBPK_302800,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385701,LDBPK_302810,LDBPK_302810,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385702,LDBPK_302820,LDBPK_302820,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385703,LDBPK_302830,LDBPK_302830,-,-,30,-,"chaperonin HSP60/CNP60, putative",protein-coding,-,-,-,"chaperonin HSP60/CNP60, putative",20200918,-
5661,13385704,LDBPK_302840,LDBPK_302840,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385705,LDBPK_302850,LDBPK_302850,-,-,30,-,GTPase activator-like protein,protein-coding,-,-,-,GTPase activator-like protein,20200918,-
5661,13385706,LDBPK_302860,LDBPK_302860,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385707,LDBPK_302870,LDBPK_302870,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385708,LDBPK_302880,LDBPK_302880,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385709,LDBPK_302890,LDBPK_302890,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385710,LDBPK_302900,LDBPK_302900,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385711,LDBPK_302910,LDBPK_302910,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385712,LDBPK_302920,LDBPK_302920,-,-,30,-,"aldehyde dehydrogenase, putative",protein-coding,-,-,-,"aldehyde dehydrogenase, putative",20210424,-
5661,13385713,LDBPK_302930,LDBPK_302930,-,-,30,-,"mitogen-activated protein kinase 5, putative",protein-coding,-,-,-,"mitogen-activated protein kinase 5, putative",20200918,-
5661,13385714,LDBPK_302940,LDBPK_302940,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385715,LDBPK_302950,LDBPK_302950,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385716,LDBPK_302960,LDBPK_302960,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385717,LDBPK_302970,LDBPK_302970,-,-,30,-,phospholipase c-like protein,protein-coding,-,-,-,phospholipase c-like protein,20200918,-
5661,13385718,LDBPK_302980,LDBPK_302980,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
5661,13385719,LDBPK_302990,LDBPK_302990,LDBPK_303000,-,30,-,"glyceraldehyde 3-phosphate dehydrogenase, glycosomal",protein-coding,-,-,-,"glyceraldehyde 3-phosphate dehydrogenase, glycosomal",20200918,-
5661,13385720,LDBPK_303010,LDBPK_303010,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385722,LDBPK_303020,LDBPK_303020,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385723,LDBPK_303030,LDBPK_303030,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385724,LDBPK_303040,LDBPK_303040,-,-,30,-,"Lsm5p, putative",protein-coding,-,-,-,"Lsm5p, putative",20200918,-
5661,13385725,LDBPK_303050,LDBPK_303050,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385726,LDBPK_303060,LDBPK_303060,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385727,LDBPK_303070,LDBPK_303070,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385728,LDBPK_303080,LDBPK_303080,-,-,30,-,eukaryotic translation initiation factor 3 subunit 7-like protein,protein-coding,-,-,-,eukaryotic translation initiation factor 3 subunit 7-like protein,20210406,-
5661,13385729,LDBPK_303090,LDBPK_303090,-,-,30,-,protein kinase-like protein,protein-coding,-,-,-,protein kinase-like protein,20200918,-
5661,13385730,LDBPK_303100,LDBPK_303100,-,-,30,-,"kinesin, putative",protein-coding,-,-,-,"kinesin, putative",20200918,-
5661,13385731,LDBPK_303110,LDBPK_303110,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385732,LDBPK_303120,LDBPK_303120,-,-,30,-,"homoserine kinase, putative",protein-coding,-,-,-,"homoserine kinase, putative",20200918,-
5661,13385733,LDBPK_303130,LDBPK_303130,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385734,LDBPK_303140,LDBPK_303140,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385735,LDBPK_303150,LDBPK_303150,-,-,30,-,S-adenosylmethionine decarboxylase,protein-coding,-,-,-,S-adenosylmethionine decarboxylase,20200918,-
5661,13385736,LDBPK_303160,LDBPK_303160,-,-,30,-,"S-adenosylmethionine decarboxylase proenzyme-like, putative",protein-coding,-,-,-,"S-adenosylmethionine decarboxylase proenzyme-like, putative",20200918,-
5661,13385737,LDBPK_303170,LDBPK_303170,-,-,30,-,"valyl-tRNA synthetase, putative",protein-coding,-,-,-,"valyl-tRNA synthetase, putative",20200918,-
5661,13385738,LDBPK_303180,LDBPK_303180,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385739,LDBPK_303190,LDBPK_303190,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
5661,13385740,LDBPK_303200,LDBPK_303200,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385741,LDBPK_303210,LDBPK_303210,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385742,LDBPK_303220,LDBPK_303220,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
5661,13385743,LDBPK_303230,LDBPK_303230,-,-,30,-,"3-hydroxy-3-methylglutaryl-CoA reductase, putative",protein-coding,-,-,-,"3-hydroxy-3-methylglutaryl-CoA reductase, putative",20200918,-
5661,13385744,LDBPK_303240,LDBPK_303240,-,-,30,-,"ribosomal protein S26, putative",protein-coding,-,-,-,"ribosomal protein S26, putative",20200918,-
5661,13385745,LDBPK_303250,LDBPK_303250,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385746,LDBPK_303260,LDBPK_303260,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385747,LDBPK_303270,LDBPK_303270,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385748,LDBPK_303280,LDBPK_303280,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385749,LDBPK_303290,LDBPK_303290,-,-,30,-,"glutamyl-tRNA synthetase, putative",protein-coding,-,-,-,"glutamyl-tRNA synthetase, putative",20200918,-
5661,13385750,LDBPK_303300,LDBPK_303300,-,-,30,-,"ATP-dependent RNA helicase, putative",protein-coding,-,-,-,"ATP-dependent RNA helicase, putative",20200918,-
5661,13385751,LDBPK_303310,LDBPK_303310,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385752,LDBPK_303320,LDBPK_303320,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385753,LDBPK_303330,LDBPK_303330,-,-,30,-,"serine/threonine phosphatase, putative",protein-coding,-,-,-,"serine/threonine phosphatase, putative",20200918,-
5661,13385754,LDBPK_303340,LDBPK_303340,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385755,LDBPK_303350,LDBPK_303350,-,-,30,-,UV excision repair RAD23-like protein,protein-coding,-,-,-,UV excision repair RAD23-like protein,20200918,-
5661,13385756,LDBPK_303360,LDBPK_303360,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
5661,13385757,LDBPK_303370,LDBPK_303370,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385758,LDBPK_303380,LDBPK_303380,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385759,LDBPK_303390,LDBPK_303390,-,-,30,-,"60S ribosomal protein L9, putative",protein-coding,-,-,-,"60S ribosomal protein L9, putative",20200918,-
5661,13385760,LDBPK_303400,LDBPK_303400,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385761,LDBPK_303410,LDBPK_303410,-,-,30,-,"calmodulin-related protein, putative",protein-coding,-,-,-,"calmodulin-related protein, putative",20200918,-
5661,13385762,LDBPK_303420,LDBPK_303420,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385763,LDBPK_303430,LDBPK_303430,-,-,30,-,"PAS-domain containing phosphoglycerate kinase, putative",protein-coding,-,-,-,"PAS-domain containing phosphoglycerate kinase, putative",20200918,-
5661,13385764,LDBPK_303440,LDBPK_303440,-,-,30,-,"CAS/CSE/importin domain protein, putative",protein-coding,-,-,-,"CAS/CSE/importin domain protein, putative",20200918,-
5661,13385765,LDBPK_303450,LDBPK_303450,-,-,30,-,"hypothetical protein, unknown function",protein-coding,-,-,-,"hypothetical protein, unknown function",20200918,-
5661,13385766,LDBPK_303460,LDBPK_303460,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
5661,13385767,LDBPK_303470,LDBPK_303470,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385768,LDBPK_303480,LDBPK_303480,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
5661,13385769,LDBPK_303490,LDBPK_303490,-,-,30,-,"DNA ligase I, putative",protein-coding,-,-,-,"DNA ligase I, putative",20200918,-
5661,13385770,LDBPK_303500,LDBPK_303500,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385771,LDBPK_303510,LDBPK_303510,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
5661,13385772,LDBPK_303520,LDBPK_303520,-,-,30,-,"zinc-binding protein (Yippee), putative",protein-coding,-,-,-,"zinc-binding protein (Yippee), putative",20200918,-
5661,13385773,LDBPK_303530,LDBPK_303530,-,-,30,-,casein kinase 1 ,protein-coding,-,-,-,casein kinase 1 ,20200918,-
5661,13385774,LDBPK_303540,LDBPK_303540,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
5661,13385775,LDBPK_303550,LDBPK_303550,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385776,LDBPK_303560,LDBPK_303560,-,-,30,-,S-adenosylmethionine synthetase,protein-coding,-,-,-,S-adenosylmethionine synthetase,20200918,-
5661,13385777,LDBPK_303570,LDBPK_303570,LDBPK_303580|LDBPK_303590,-,30,-,S-adenosylmethionine synthetase;hypothetical protein,protein-coding,-,-,-,S-adenosylmethionine synthetase;hypothetical protein,20200918,-
5661,13385780,LDBPK_303600,LDBPK_303600,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385781,LDBPK_303610,LDBPK_303610,-,-,30,-,cytochrome p450-like protein,protein-coding,-,-,-,cytochrome p450-like protein,20200918,-
5661,13385782,LDBPK_303620,LDBPK_303620,-,-,30,-,"mago nashi-like protein,putative",protein-coding,-,-,-,"mago nashi-like protein,putative",20210424,-
5661,13385783,LDBPK_303630,LDBPK_303630,-,-,30,-,"zinc finger-domain protein, putative",protein-coding,-,-,-,"zinc finger-domain protein, putative",20200918,-
5661,13385784,LDBPK_303640,LDBPK_303640,-,-,30,-,"serine/threonine-protein kinase, putative",protein-coding,-,-,-,"serine/threonine-protein kinase, putative",20200918,-
5661,13385785,LDBPK_303650,LDBPK_303650,-,-,30,-,40S ribosomal protein S14,protein-coding,-,-,-,40S ribosomal protein S14,20200918,-
5661,13385786,LDBPK_303660,LDBPK_303660,-,-,30,-,"ATP synthase, epsilon chain, putative",protein-coding,-,-,-,"ATP synthase, epsilon chain, putative",20200918,-
5661,13385787,LDBPK_303670,LDBPK_303670,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385788,LDBPK_303680,LDBPK_303680,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
5661,13385789,LDBPK_303690,LDBPK_303690,-,-,30,-,"CYC2-like protein, putative",protein-coding,-,-,-,"CYC2-like protein, putative",20200918,-
5661,13385790,LDBPK_303700,LDBPK_303700,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385791,LDBPK_303710,LDBPK_303710,-,-,30,-,"ribosomal protein L15, putative",protein-coding,-,-,-,"ribosomal protein L15, putative",20200918,-
5661,13385792,LDBPK_303720,LDBPK_303720,-,-,30,-,"V-type ATPase, C subunit, putative",protein-coding,-,-,-,"V-type ATPase, C subunit, putative",20200926,-
5661,13385793,LDBPK_303730,LDBPK_303730,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385794,LDBPK_303740,LDBPK_303740,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385795,LDBPK_303750,LDBPK_303750,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385796,LDBPK_303760,LDBPK_303760,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385797,LDBPK_303770,LDBPK_303770,-,-,30,-,"CPSF-domain protein, putative",protein-coding,-,-,-,"CPSF-domain protein, putative",20200918,-
5661,13385798,LDBPK_303780,LDBPK_303780,LDBPK_303790,-,30,-,"60S acidic ribosomal protein P2, putative",protein-coding,-,-,-,"60S acidic ribosomal protein P2, putative",20200918,-
5661,13385800,LDBPK_303800,LDBPK_303800,-,-,30,-,"ribosomal P protein AGP2beta-1, putative",protein-coding,-,-,-,"ribosomal P protein AGP2beta-1, putative",20200918,-
5661,13385801,LDBPK_30snoRNA2,LDBPK_30snoRNA2,-,-,30,-,ncRNA,ncRNA,-,-,-,-,20200918,-
5661,13385802,LDBPK_30snoRNA3,LDBPK_30snoRNA3,-,-,30,-,ncRNA,ncRNA,-,-,-,-,20200918,-
5661,13385803,LDBPK_300450,LDBPK_300450,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385804,LDBPK_30snoRNA5,LDBPK_30snoRNA5,-,-,30,-,ncRNA,ncRNA,-,-,-,-,20200918,-
5661,13385805,LDBPK_301610,LDBPK_301610,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385806,LDBPK_302110,LDBPK_302110,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385807,LDBPK_300010,LDBPK_300010,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385808,LDBPK_013350,LDBPK_013350,-,-,31,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385809,LDBPK_073400,LDBPK_073400,-,-,31,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385810,LDBPK_310900,LDBPK_310900,-,-,31,-,amino acid permease 3,protein-coding,-,-,-,amino acid permease 3,20200918,-
5661,13385811,LDBPK_310980,LDBPK_310980,-,-,31,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385812,LDBPK_013340,LDBPK_013340,-,-,31,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385813,LDBPK_272680,LDBPK_272680,LDBPK_310350,-,31,-,"amino acid permease, putative;amino acid transporter aATP11, putative",protein-coding,-,-,-,"amino acid permease, putative;amino acid transporter aATP11, putative",20200918,-
5661,13385815,LDBPK_310030,LDBPK_310030,-,-,31,-,aquaglyceroporin,protein-coding,-,-,-,aquaglyceroporin,20200918,-
5661,13385816,LDBPK_310040,LDBPK_310040,-,-,31,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385817,LDBPK_310050,LDBPK_310050,-,-,31,-,"hypothetical protein, unknown function",protein-coding,-,-,-,"hypothetical protein, unknown function",20210406,-
5661,13385818,LDBPK_310060,LDBPK_310060,-,-,31,-,"cyclophilin, putative",protein-coding,-,-,-,"cyclophilin, putative",20210424,-
5661,13385819,LDBPK_310070,LDBPK_310070,-,-,31,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385820,LDBPK_310080,LDBPK_310080,-,-,31,-,helicase-like protein,protein-coding,-,-,-,helicase-like protein,20200918,-
5661,13385821,LDBPK_310090,LDBPK_310090,-,-,31,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385822,LDBPK_310100,LDBPK_310100,-,-,31,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385823,LDBPK_310110,LDBPK_310110,-,-,31,-,"O-sialoglycoprotein endopeptidase, putative",protein-coding,-,-,-,"O-sialoglycoprotein endopeptidase, putative",20200918,-
5661,13385824,LDBPK_310120,LDBPK_310120,-,-,31,-,"FG-GAP repeat protein, putative",protein-coding,-,-,-,"FG-GAP repeat protein, putative",20200918,-
5661,13385825,LDBPK_310130,LDBPK_310130,-,-,31,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385826,LDBPK_310140,LDBPK_310140,-,-,31,-,"hypothetical protein, unknown function",protein-coding,-,-,-,"hypothetical protein, unknown function",20200918,-
5661,13385827,LDBPK_310150,LDBPK_310150,-,-,31,-,"ubiquitin hydrolase, putative",protein-coding,-,-,-,"ubiquitin hydrolase, putative",20200918,-
5661,13385828,LDBPK_310160,LDBPK_310160,-,-,31,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385829,LDBPK_310170,LDBPK_310170,-,-,31,-,"DNA-directed RNA polymerase II subunit 2, putative",protein-coding,-,-,-,"DNA-directed RNA polymerase II subunit 2, putative",20200926,-
5661,13385830,LDBPK_310180,LDBPK_310180,-,-,31,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385831,LDBPK_310190,LDBPK_310190,-,-,31,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385832,LDBPK_310200,LDBPK_310200,-,-,31,-,"nucleolar protein, putative",protein-coding,-,-,-,"nucleolar protein, putative",20200918,-
5661,13385833,LDBPK_310210,LDBPK_310210,-,-,31,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385834,LDBPK_310220,LDBPK_310220,-,-,31,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385835,LDBPK_310230,LDBPK_310230,-,-,31,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385836,LDBPK_310240,LDBPK_310240,-,-,31,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385837,LDBPK_310250,LDBPK_310250,-,-,31,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385838,LDBPK_310260,LDBPK_310260,-,-,31,-,"ATP-dependent RNA helicase, putative",protein-coding,-,-,-,"ATP-dependent RNA helicase, putative",20210424,-
5661,13385839,LDBPK_310270,LDBPK_310270,-,-,31,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385840,LDBPK_310280,LDBPK_310280,-,-,31,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385841,LDBPK_310290,LDBPK_310290,-,-,31,-,"hypothetical protein, unknown function",protein-coding,-,-,-,"hypothetical protein, unknown function",20200918,-
5661,13385842,LDBPK_310300,LDBPK_310300,-,-,31,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
5661,13385843,LDBPK_310310,LDBPK_310310,-,-,31,-,"mitotic centromere-associated kinesin (MCAK), putative",protein-coding,-,-,-,"mitotic centromere-associated kinesin (MCAK), putative",20200918,-
5661,13385844,LDBPK_310320,LDBPK_310320,-,-,31,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385845,LDBPK_310330,LDBPK_310330,-,-,31,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385846,LDBPK_270530,LDBPK_270530,LDBPK_310340,-,31,-,"amino acid permease, putative;hypothetical protein",protein-coding,-,-,-,"amino acid permease, putative;hypothetical protein",20200918,-
5661,13385848,LDBPK_310360,LDBPK_310360,-,-,31,-,"amino acid transporter aATP11, putative",protein-coding,-,-,-,"amino acid transporter aATP11, putative",20200918,-
5661,13385849,LDBPK_310370,LDBPK_310370,-,-,31,-,"amino acid transporter aATP11, putative",protein-coding,-,-,-,"amino acid transporter aATP11, putative",20200918,-
5661,13385850,LDBPK_310380,LDBPK_310380,-,-,31,-,"hypothetical protein, unknown function",protein-coding,-,-,-,"hypothetical protein, unknown function",20200918,-
5661,13385851,LDBPK_310390,LDBPK_310390,-,-,31,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385852,LDBPK_310400,LDBPK_310400,-,-,31,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385853,LDBPK_310410,LDBPK_310410,-,-,31,-,"calpain-like cysteine peptidase, putative",protein-coding,-,-,-,"calpain-like cysteine peptidase, putative",20200918,-
5661,13385854,LDBPK_310420,LDBPK_310420,-,-,31,-,"calpain-like protein, putative",protein-coding,-,-,-,"calpain-like protein, putative",20200918,-
5661,13385855,LDBPK_310430,LDBPK_310430,-,-,31,-,"calpain-like cysteine peptidase, putative",protein-coding,-,-,-,"calpain-like cysteine peptidase, putative",20200918,-
5661,13385856,LDBPK_310440,LDBPK_310440,-,-,31,-,"calpain-like cysteine peptidase, putative",protein-coding,-,-,-,"calpain-like cysteine peptidase, putative",20200918,-
5661,13385857,LDBPK_310450,LDBPK_310450,-,-,31,-,"cytoskeleton-associated protein CAP5.5, putative",protein-coding,-,-,-,"cytoskeleton-associated protein CAP5.5, putative",20200918,-
5661,13385858,LDBPK_310470,LDBPK_310470,-,-,31,-,pseudo,pseudo,-,-,-,-,20200918,-
5661,13385859,LDBPK_310480,LDBPK_310480,-,-,31,-,"calpain-like cysteine peptidase, putative",protein-coding,-,-,-,"calpain-like cysteine peptidase, putative",20200918,-
