#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2713278,55818006,HYQ35_gp002,HYQ35_gp002,barely_2,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210403,-
2713278,55818185,HYQ35_gp181,HYQ35_gp181,barely_181,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2713278,55818186,HYQ35_gp182,HYQ35_gp182,barely_182,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713278,55818187,HYQ35_gp183,HYQ35_gp183,barely_183,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713278,55818188,HYQ35_gp184,HYQ35_gp184,barely_184,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2713278,55818189,HYQ35_gp185,HYQ35_gp185,barely_185,-,-,-,putative thioredoxin,protein-coding,-,-,-,putative thioredoxin,20200910,-
2713278,55818190,HYQ35_gp186,HYQ35_gp186,barely_186,-,-,-,putative 5'(3') deoxyribonucleotidase,protein-coding,-,-,-,putative 5'(3') deoxyribonucleotidase,20210313,-
2713278,55818191,HYQ35_gp187,HYQ35_gp187,barely_187,-,-,-,putative lipoprotein,protein-coding,-,-,-,putative lipoprotein,20200910,-
2713278,55818192,HYQ35_gp188,HYQ35_gp188,barely_188,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20200910,-
2713278,55818193,HYQ35_gp189,HYQ35_gp189,barely_189,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713278,55818194,HYQ35_gp190,HYQ35_gp190,barely_190,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713278,55818195,HYQ35_gp191,HYQ35_gp191,barely_191,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713278,55818196,HYQ35_gp192,HYQ35_gp192,barely_192,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200910,-
2713278,55818197,HYQ35_gp193,HYQ35_gp193,barely_193,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20210123,-
2713278,55818198,HYQ35_gp194,HYQ35_gp194,barely_194,-,-,-,putative threonine ammonia lyase,protein-coding,-,-,-,putative threonine ammonia lyase,20210129,-
2713278,55818199,HYQ35_gp195,HYQ35_gp195,barely_195,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713278,55818200,HYQ35_gp196,HYQ35_gp196,barely_196,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20210313,-
2713278,55818201,HYQ35_gp197,HYQ35_gp197,barely_197,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713278,55818202,HYQ35_gt001,HYQ35_gt001,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2713278,55818203,HYQ35_gt002,HYQ35_gt002,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2713278,55818204,HYQ35_gt003,HYQ35_gt003,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2713278,55818205,HYQ35_gp001,HYQ35_gp001,barely_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713278,55863684,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200909,-
