#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1028375,54969966,HOQ69_gp001,HOQ69_gp001,-,-,-,-,terminase large subunit family protein,protein-coding,-,-,-,terminase large subunit family protein,20210130,-
1028375,54970158,HOQ69_gp193,HOQ69_gp193,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970159,HOQ69_gp192,HOQ69_gp192,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970160,HOQ69_gp191,HOQ69_gp191,-,-,-,-,RNA ligase family protein,protein-coding,-,-,-,RNA ligase family protein,20210130,-
1028375,54970161,HOQ69_gp190,HOQ69_gp190,-,-,-,-,PhoH family protein,protein-coding,-,-,-,PhoH family protein,20210130,-
1028375,54970162,HOQ69_gp189,HOQ69_gp189,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970163,HOQ69_gp188,HOQ69_gp188,-,-,-,-,reverse transcriptase-like protein,protein-coding,-,-,-,reverse transcriptase-like protein,20210130,-
1028375,54970164,HOQ69_gp187,HOQ69_gp187,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970165,HOQ69_gp186,HOQ69_gp186,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970166,HOQ69_gp185,HOQ69_gp185,-,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201220,-
1028375,54970167,HOQ69_gp184,HOQ69_gp184,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970168,HOQ69_gp183,HOQ69_gp183,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210130,-
1028375,54970169,HOQ69_gp182,HOQ69_gp182,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970170,HOQ69_gp181,HOQ69_gp181,-,-,-,-,prohibitin family protein,protein-coding,-,-,-,prohibitin family protein,20201220,-
1028375,54970171,HOQ69_gp180,HOQ69_gp180,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970172,HOQ69_gp179,HOQ69_gp179,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970173,HOQ69_gp178,HOQ69_gp178,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210130,-
1028375,54970174,HOQ69_gp177,HOQ69_gp177,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210130,-
1028375,54970175,HOQ69_gp176,HOQ69_gp176,-,-,-,-,holin,protein-coding,-,-,-,holin,20210130,-
1028375,54970176,HOQ69_gp175,HOQ69_gp175,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970177,tRNA-Trp,HOQ69_gt002,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1028375,54970178,HOQ69_gp173,HOQ69_gp173,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970179,HOQ69_gp172,HOQ69_gp172,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970180,HOQ69_gp171,HOQ69_gp171,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970181,HOQ69_gp170,HOQ69_gp170,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
1028375,54970182,HOQ69_gp169,HOQ69_gp169,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970183,HOQ69_gp168,HOQ69_gp168,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970184,HOQ69_gp167,HOQ69_gp167,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,55087407,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Staphylococcus aureus phage ISP).,other,-,-,-,-,20200518,-
