#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
48586,64673043,DFJ58DRAFT_100404,DFJ58DRAFT_100404,-,-,Unknown,-,ankyrin repeat-containing domain protein,protein-coding,-,-,-,ankyrin repeat-containing domain protein,20210605,-
48586,64675547,DFJ58DRAFT_625170,DFJ58DRAFT_625170,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
48586,64675548,DFJ58DRAFT_625266,DFJ58DRAFT_625266,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675549,DFJ58DRAFT_625286,DFJ58DRAFT_625286,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
48586,64675550,DFJ58DRAFT_625296,DFJ58DRAFT_625296,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675551,DFJ58DRAFT_625402,DFJ58DRAFT_625402,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
48586,64675552,DFJ58DRAFT_625437,DFJ58DRAFT_625437,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675553,DFJ58DRAFT_625469,DFJ58DRAFT_625469,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675554,DFJ58DRAFT_625490,DFJ58DRAFT_625490,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
48586,64675555,DFJ58DRAFT_625596,DFJ58DRAFT_625596,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675556,DFJ58DRAFT_625718,DFJ58DRAFT_625718,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675557,DFJ58DRAFT_625789,DFJ58DRAFT_625789,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675558,DFJ58DRAFT_625869,DFJ58DRAFT_625869,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675559,DFJ58DRAFT_625890,DFJ58DRAFT_625890,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675560,DFJ58DRAFT_626084,DFJ58DRAFT_626084,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
48586,64675561,DFJ58DRAFT_626196,DFJ58DRAFT_626196,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675562,DFJ58DRAFT_626200,DFJ58DRAFT_626200,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675563,DFJ58DRAFT_626256,DFJ58DRAFT_626256,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
48586,64675564,DFJ58DRAFT_62628,DFJ58DRAFT_62628,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675565,DFJ58DRAFT_626361,DFJ58DRAFT_626361,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
48586,64675566,DFJ58DRAFT_626440,DFJ58DRAFT_626440,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675567,DFJ58DRAFT_626469,DFJ58DRAFT_626469,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675568,DFJ58DRAFT_626597,DFJ58DRAFT_626597,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675569,DFJ58DRAFT_626611,DFJ58DRAFT_626611,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675570,DFJ58DRAFT_626619,DFJ58DRAFT_626619,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675571,DFJ58DRAFT_626668,DFJ58DRAFT_626668,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675572,DFJ58DRAFT_626677,DFJ58DRAFT_626677,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675573,DFJ58DRAFT_626703,DFJ58DRAFT_626703,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675574,DFJ58DRAFT_626879,DFJ58DRAFT_626879,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
48586,64675575,DFJ58DRAFT_626908,DFJ58DRAFT_626908,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675576,DFJ58DRAFT_626943,DFJ58DRAFT_626943,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675577,DFJ58DRAFT_626977,DFJ58DRAFT_626977,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
48586,64675578,DFJ58DRAFT_627075,DFJ58DRAFT_627075,-,-,Unknown,-,CRAL-TRIO domain-containing protein,protein-coding,-,-,-,CRAL-TRIO domain-containing protein,20210605,-
48586,64675579,DFJ58DRAFT_627135,DFJ58DRAFT_627135,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
48586,64675580,DFJ58DRAFT_627143,DFJ58DRAFT_627143,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675581,DFJ58DRAFT_627185,DFJ58DRAFT_627185,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675582,DFJ58DRAFT_627214,DFJ58DRAFT_627214,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675583,DFJ58DRAFT_627243,DFJ58DRAFT_627243,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675584,DFJ58DRAFT_627362,DFJ58DRAFT_627362,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675585,DFJ58DRAFT_627382,DFJ58DRAFT_627382,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
48586,64675586,DFJ58DRAFT_627450,DFJ58DRAFT_627450,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675587,DFJ58DRAFT_627508,DFJ58DRAFT_627508,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675588,DFJ58DRAFT_627515,DFJ58DRAFT_627515,-,-,Unknown,-,cytochrome P450,protein-coding,-,-,-,cytochrome P450,20210605,-
48586,64675589,DFJ58DRAFT_627556,DFJ58DRAFT_627556,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675590,DFJ58DRAFT_627557,DFJ58DRAFT_627557,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675591,DFJ58DRAFT_627565,DFJ58DRAFT_627565,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675592,DFJ58DRAFT_627593,DFJ58DRAFT_627593,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
48586,64675593,DFJ58DRAFT_627618,DFJ58DRAFT_627618,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675594,DFJ58DRAFT_627731,DFJ58DRAFT_627731,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675595,DFJ58DRAFT_627888,DFJ58DRAFT_627888,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675596,DFJ58DRAFT_627889,DFJ58DRAFT_627889,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675597,DFJ58DRAFT_627946,DFJ58DRAFT_627946,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675598,DFJ58DRAFT_627973,DFJ58DRAFT_627973,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
48586,64675599,DFJ58DRAFT_628017,DFJ58DRAFT_628017,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675600,DFJ58DRAFT_628027,DFJ58DRAFT_628027,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675601,DFJ58DRAFT_628057,DFJ58DRAFT_628057,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
48586,64675602,DFJ58DRAFT_628253,DFJ58DRAFT_628253,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675603,DFJ58DRAFT_628305,DFJ58DRAFT_628305,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675604,DFJ58DRAFT_628307,DFJ58DRAFT_628307,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675605,DFJ58DRAFT_628468,DFJ58DRAFT_628468,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675606,DFJ58DRAFT_628499,DFJ58DRAFT_628499,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
48586,64675607,DFJ58DRAFT_628551,DFJ58DRAFT_628551,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675608,DFJ58DRAFT_628616,DFJ58DRAFT_628616,-,-,Unknown,-,cytochrome oxidase complex assembly protein 1-domain-containing protein,protein-coding,-,-,-,cytochrome oxidase complex assembly protein 1-domain-containing protein,20210605,-
48586,64675609,DFJ58DRAFT_628642,DFJ58DRAFT_628642,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675610,DFJ58DRAFT_628712,DFJ58DRAFT_628712,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675611,DFJ58DRAFT_628766,DFJ58DRAFT_628766,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675612,DFJ58DRAFT_628847,DFJ58DRAFT_628847,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
48586,64675613,DFJ58DRAFT_62887,DFJ58DRAFT_62887,-,-,Unknown,-,armadillo-type protein,protein-coding,-,-,-,armadillo-type protein,20210605,-
48586,64675614,DFJ58DRAFT_628946,DFJ58DRAFT_628946,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675615,DFJ58DRAFT_628959,DFJ58DRAFT_628959,-,-,Unknown,-,P-loop containing nucleoside triphosphate hydrolase protein,protein-coding,-,-,-,P-loop containing nucleoside triphosphate hydrolase protein,20210605,-
48586,64675616,DFJ58DRAFT_628962,DFJ58DRAFT_628962,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
48586,64675617,DFJ58DRAFT_629018,DFJ58DRAFT_629018,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675618,DFJ58DRAFT_629026,DFJ58DRAFT_629026,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
48586,64675619,DFJ58DRAFT_629028,DFJ58DRAFT_629028,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675620,DFJ58DRAFT_629050,DFJ58DRAFT_629050,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
48586,64675621,DFJ58DRAFT_629225,DFJ58DRAFT_629225,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675622,DFJ58DRAFT_629263,DFJ58DRAFT_629263,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675623,DFJ58DRAFT_629272,DFJ58DRAFT_629272,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675624,DFJ58DRAFT_629332,DFJ58DRAFT_629332,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
48586,64675625,DFJ58DRAFT_629402,DFJ58DRAFT_629402,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
48586,64675626,DFJ58DRAFT_629410,DFJ58DRAFT_629410,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675627,DFJ58DRAFT_629458,DFJ58DRAFT_629458,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675628,DFJ58DRAFT_629629,DFJ58DRAFT_629629,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675629,DFJ58DRAFT_629656,DFJ58DRAFT_629656,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675630,DFJ58DRAFT_629776,DFJ58DRAFT_629776,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675631,DFJ58DRAFT_629779,DFJ58DRAFT_629779,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675632,DFJ58DRAFT_629846,DFJ58DRAFT_629846,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675633,DFJ58DRAFT_630013,DFJ58DRAFT_630013,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675634,DFJ58DRAFT_630014,DFJ58DRAFT_630014,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675635,DFJ58DRAFT_630082,DFJ58DRAFT_630082,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675636,DFJ58DRAFT_630103,DFJ58DRAFT_630103,-,-,Unknown,-,beta-lactamase-like protein,protein-coding,-,-,-,beta-lactamase-like protein,20210605,-
48586,64675637,DFJ58DRAFT_630141,DFJ58DRAFT_630141,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675638,DFJ58DRAFT_630217,DFJ58DRAFT_630217,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
48586,64675639,DFJ58DRAFT_630219,DFJ58DRAFT_630219,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675640,DFJ58DRAFT_630239,DFJ58DRAFT_630239,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675641,DFJ58DRAFT_630375,DFJ58DRAFT_630375,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675642,DFJ58DRAFT_630401,DFJ58DRAFT_630401,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675643,DFJ58DRAFT_630483,DFJ58DRAFT_630483,-,-,Unknown,-,iron permease FTR1,protein-coding,-,-,-,iron permease FTR1,20210605,-
48586,64675644,DFJ58DRAFT_630580,DFJ58DRAFT_630580,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675645,DFJ58DRAFT_630627,DFJ58DRAFT_630627,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675646,DFJ58DRAFT_630646,DFJ58DRAFT_630646,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675647,DFJ58DRAFT_630787,DFJ58DRAFT_630787,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675648,DFJ58DRAFT_630788,DFJ58DRAFT_630788,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675649,DFJ58DRAFT_630847,DFJ58DRAFT_630847,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675650,DFJ58DRAFT_630881,DFJ58DRAFT_630881,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675651,DFJ58DRAFT_630889,DFJ58DRAFT_630889,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675652,DFJ58DRAFT_630943,DFJ58DRAFT_630943,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
48586,64675653,DFJ58DRAFT_630961,DFJ58DRAFT_630961,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675654,DFJ58DRAFT_631053,DFJ58DRAFT_631053,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675655,DFJ58DRAFT_631103,DFJ58DRAFT_631103,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675656,DFJ58DRAFT_631122,DFJ58DRAFT_631122,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675657,DFJ58DRAFT_631278,DFJ58DRAFT_631278,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675658,DFJ58DRAFT_631456,DFJ58DRAFT_631456,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675659,DFJ58DRAFT_631468,DFJ58DRAFT_631468,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675660,DFJ58DRAFT_631576,DFJ58DRAFT_631576,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675661,DFJ58DRAFT_631646,DFJ58DRAFT_631646,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
48586,64675662,DFJ58DRAFT_63192,DFJ58DRAFT_63192,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675663,DFJ58DRAFT_631955,DFJ58DRAFT_631955,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
48586,64675664,DFJ58DRAFT_63204,DFJ58DRAFT_63204,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675665,DFJ58DRAFT_632052,DFJ58DRAFT_632052,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675666,DFJ58DRAFT_632057,DFJ58DRAFT_632057,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
48586,64675667,DFJ58DRAFT_632119,DFJ58DRAFT_632119,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675668,DFJ58DRAFT_632206,DFJ58DRAFT_632206,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675669,DFJ58DRAFT_632307,DFJ58DRAFT_632307,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675670,DFJ58DRAFT_632338,DFJ58DRAFT_632338,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
48586,64675671,DFJ58DRAFT_632357,DFJ58DRAFT_632357,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675672,DFJ58DRAFT_632431,DFJ58DRAFT_632431,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675673,DFJ58DRAFT_632439,DFJ58DRAFT_632439,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675674,DFJ58DRAFT_632477,DFJ58DRAFT_632477,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675675,DFJ58DRAFT_632493,DFJ58DRAFT_632493,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
48586,64675676,DFJ58DRAFT_632637,DFJ58DRAFT_632637,-,-,Unknown,-,P-loop containing nucleoside triphosphate hydrolase protein,protein-coding,-,-,-,P-loop containing nucleoside triphosphate hydrolase protein,20210605,-
48586,64675677,DFJ58DRAFT_632663,DFJ58DRAFT_632663,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675678,DFJ58DRAFT_632759,DFJ58DRAFT_632759,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
48586,64675679,DFJ58DRAFT_632887,DFJ58DRAFT_632887,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
48586,64675680,DFJ58DRAFT_632917,DFJ58DRAFT_632917,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675681,DFJ58DRAFT_633044,DFJ58DRAFT_633044,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675682,DFJ58DRAFT_633052,DFJ58DRAFT_633052,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675683,DFJ58DRAFT_633133,DFJ58DRAFT_633133,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675684,DFJ58DRAFT_633319,DFJ58DRAFT_633319,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675685,DFJ58DRAFT_633387,DFJ58DRAFT_633387,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675686,DFJ58DRAFT_633473,DFJ58DRAFT_633473,-,-,Unknown,-,eukaryotic rRNA processing,protein-coding,-,-,-,eukaryotic rRNA processing,20210605,-
48586,64675687,DFJ58DRAFT_633529,DFJ58DRAFT_633529,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675688,DFJ58DRAFT_633530,DFJ58DRAFT_633530,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675689,DFJ58DRAFT_633549,DFJ58DRAFT_633549,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675690,DFJ58DRAFT_633552,DFJ58DRAFT_633552,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675691,DFJ58DRAFT_633769,DFJ58DRAFT_633769,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675692,DFJ58DRAFT_633819,DFJ58DRAFT_633819,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675693,DFJ58DRAFT_633901,DFJ58DRAFT_633901,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
48586,64675694,DFJ58DRAFT_633951,DFJ58DRAFT_633951,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675695,DFJ58DRAFT_633971,DFJ58DRAFT_633971,-,-,Unknown,-,Gti1/Pac2 family-domain-containing protein,protein-coding,-,-,-,Gti1/Pac2 family-domain-containing protein,20210605,-
48586,64675696,DFJ58DRAFT_634016,DFJ58DRAFT_634016,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
48586,64675697,DFJ58DRAFT_634050,DFJ58DRAFT_634050,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
48586,64675698,DFJ58DRAFT_634149,DFJ58DRAFT_634149,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675699,DFJ58DRAFT_634162,DFJ58DRAFT_634162,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675700,DFJ58DRAFT_634165,DFJ58DRAFT_634165,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675701,DFJ58DRAFT_634287,DFJ58DRAFT_634287,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
48586,64675702,DFJ58DRAFT_63441,DFJ58DRAFT_63441,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
48586,64675703,DFJ58DRAFT_634426,DFJ58DRAFT_634426,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675704,DFJ58DRAFT_634519,DFJ58DRAFT_634519,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675705,DFJ58DRAFT_634535,DFJ58DRAFT_634535,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675706,DFJ58DRAFT_634548,DFJ58DRAFT_634548,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675707,DFJ58DRAFT_634712,DFJ58DRAFT_634712,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675708,DFJ58DRAFT_634733,DFJ58DRAFT_634733,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
48586,64675709,DFJ58DRAFT_634747,DFJ58DRAFT_634747,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675710,DFJ58DRAFT_634831,DFJ58DRAFT_634831,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64675711,DFJ58DRAFT_634837,DFJ58DRAFT_634837,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
48586,64675712,DFJ58DRAFT_634847,DFJ58DRAFT_634847,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
