#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
445688,10329367,gp33,PSSM7_241,-,-,-,-,late promoter transcription accessory protein,protein-coding,-,-,-,late promoter transcription accessory protein,20200909,-
445688,10329574,PSSM7_031,PSSM7_031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329575,PSSM7_030,PSSM7_030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329576,PSSM7_029,PSSM7_029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329577,PSSM7_028,PSSM7_028,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329578,PSSM7_027,PSSM7_027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329579,PSSM7_026,PSSM7_026,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329580,purL,PSSM7_025,-,-,-,-,"5,5-phosphoribosylformylglycinamide amidotransferase",protein-coding,-,-,-,"5,5-phosphoribosylformylglycinamide amidotransferase",20200909,-
445688,10329581,PSSM7_024,PSSM7_024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329582,PSSM7_023,PSSM7_023,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329583,PSSM7_022,PSSM7_022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329584,PSSM7_021,PSSM7_021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329585,PSSM7_020,PSSM7_020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329586,PSSM7_019,PSSM7_019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329587,PSSM7_018,PSSM7_018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329588,gp5,PSSM7_017,-,-,-,-,baseplate hub + tail lysozyme,protein-coding,-,-,-,baseplate hub + tail lysozyme,20200909,-
445688,10329589,pcyA,PSSM7_016,-,-,-,-,ferredoxin oxidoreductase,protein-coding,-,-,-,ferredoxin oxidoreductase,20200909,-
445688,10329590,cpeT,PSSM7_015,-,-,-,-,antenna protein,protein-coding,-,-,-,antenna protein,20200909,-
445688,10329591,PSSM7_014,PSSM7_014,-,-,-,-,CP12,protein-coding,-,-,-,CP12,20200909,-
445688,10329592,PSSM7_013,PSSM7_013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329593,PSSM7_012,PSSM7_012,-,-,-,-,WLM domain-containing protein,protein-coding,-,-,-,WLM domain-containing protein,20200909,-
445688,10329594,PSSM7_011,PSSM7_011,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329595,gp51,PSSM7_010,-,-,-,-,gp51,protein-coding,-,-,-,gp51,20200909,-
445688,10329596,gp26,PSSM7_009,-,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20200909,-
445688,10329597,PSSM7_008,PSSM7_008,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329598,gp4,PSSM7_007,-,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20200909,-
445688,10329599,gp48,PSSM7_006,-,-,-,-,baseplate tail tube cap,protein-coding,-,-,-,baseplate tail tube cap,20200909,-
445688,10329600,gp53,PSSM7_005,-,-,-,-,base plate wedge component,protein-coding,-,-,-,base plate wedge component,20200909,-
445688,10329601,PSSM7_004,PSSM7_004,-,-,-,-,cAMP phosphodiesterase,protein-coding,-,-,-,cAMP phosphodiesterase,20200909,-
445688,10329602,PSSM7_003,PSSM7_003,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329603,gp32,PSSM7_002,-,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20200909,-
445688,10329604,PSSM7_131,PSSM7_131,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329605,PSSM7_129,PSSM7_129,-,-,-,-,tRNA ligase,protein-coding,-,-,-,tRNA ligase,20200909,-
445688,10329606,PSSM7_128,PSSM7_128,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
445688,10329607,PSSM7_126,PSSM7_126,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10359334,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Cyanophage NATL1A15).,other,-,-,-,-,20200624,-
