#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1448311,37205778,BO88DRAFT_100227,BO88DRAFT_100227,-,-,Unknown,-,prenyltransferase,protein-coding,-,-,-,prenyltransferase,20200919,-
1448311,37207630,BO88DRAFT_339640,BO88DRAFT_339640,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37207631,BO88DRAFT_339688,BO88DRAFT_339688,-,-,Unknown,-,MFS transporter,protein-coding,-,-,-,MFS transporter,20200919,-
1448311,37207632,BO88DRAFT_339698,BO88DRAFT_339698,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37207633,BO88DRAFT_339712,BO88DRAFT_339712,-,-,Unknown,-,PLP-dependent transferase,protein-coding,-,-,-,PLP-dependent transferase,20200919,-
1448311,37207634,BO88DRAFT_339713,BO88DRAFT_339713,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37207635,BO88DRAFT_339756,BO88DRAFT_339756,-,-,Unknown,-,anaphase-promoting complex component Cut20/Apc4,protein-coding,-,-,-,anaphase-promoting complex component Cut20/Apc4,20200919,-
1448311,37207636,BO88DRAFT_339843,BO88DRAFT_339843,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37207637,BO88DRAFT_339874,BO88DRAFT_339874,-,-,Unknown,-,alpha-amylase,protein-coding,-,-,-,alpha-amylase,20200919,-
1448311,37207638,BO88DRAFT_339882,BO88DRAFT_339882,-,-,Unknown,-,amidase signature enzyme,protein-coding,-,-,-,amidase signature enzyme,20200919,-
1448311,37207639,BO88DRAFT_339900,BO88DRAFT_339900,-,-,Unknown,-,C6 transcription factor,protein-coding,-,-,-,C6 transcription factor,20200919,-
1448311,37207640,BO88DRAFT_339926,BO88DRAFT_339926,-,-,Unknown,-,bZIP transcription factor,protein-coding,-,-,-,bZIP transcription factor,20200919,-
1448311,37207641,BO88DRAFT_339990,BO88DRAFT_339990,-,-,Unknown,-,HypA-like protein,protein-coding,-,-,-,HypA-like protein,20200919,-
1448311,37207642,BO88DRAFT_340053,BO88DRAFT_340053,-,-,Unknown,-,arrestin domain-containing protein,protein-coding,-,-,-,arrestin domain-containing protein,20200919,-
1448311,37207643,BO88DRAFT_340079,BO88DRAFT_340079,-,-,Unknown,-,phospholipid-translocating P-type ATPase domain-containing protein,protein-coding,-,-,-,phospholipid-translocating P-type ATPase domain-containing protein,20200919,-
1448311,37207644,BO88DRAFT_340300,BO88DRAFT_340300,-,-,Unknown,-,sulphydryl oxidase Sox,protein-coding,-,-,-,sulphydryl oxidase Sox,20200919,-
1448311,37207645,BO88DRAFT_340325,BO88DRAFT_340325,-,-,Unknown,-,DNA damage repair protein Mus42,protein-coding,-,-,-,DNA damage repair protein Mus42,20200919,-
1448311,37207646,BO88DRAFT_340341,BO88DRAFT_340341,-,-,Unknown,-,pyruvate dehydrogenase kinase,protein-coding,-,-,-,pyruvate dehydrogenase kinase,20210424,-
1448311,37207647,BO88DRAFT_340363,BO88DRAFT_340363,-,-,Unknown,-,LCCL domain protein,protein-coding,-,-,-,LCCL domain protein,20200919,-
1448311,37207648,BO88DRAFT_340387,BO88DRAFT_340387,-,-,Unknown,-,terpene synthase metal binding domain protein,protein-coding,-,-,-,terpene synthase metal binding domain protein,20200919,-
1448311,37207649,BO88DRAFT_340408,BO88DRAFT_340408,-,-,Unknown,-,RmlC-like cupin,protein-coding,-,-,-,RmlC-like cupin,20200919,-
1448311,37207650,BO88DRAFT_340412,BO88DRAFT_340412,-,-,Unknown,-,integral membrane protein,protein-coding,-,-,-,integral membrane protein,20200919,-
1448311,37207651,BO88DRAFT_340449,BO88DRAFT_340449,-,-,Unknown,-,meiotic recombination protein spo11,protein-coding,-,-,-,meiotic recombination protein spo11,20200919,-
1448311,37207652,BO88DRAFT_340530,BO88DRAFT_340530,-,-,Unknown,-,GTP cyclohydrolase I,protein-coding,-,-,-,GTP cyclohydrolase I,20200919,-
1448311,37207653,BO88DRAFT_340550,BO88DRAFT_340550,-,-,Unknown,-,proteasome maturation ans ribosome synthesis protein Nop10,protein-coding,-,-,-,proteasome maturation ans ribosome synthesis protein Nop10,20200919,-
1448311,37207654,BO88DRAFT_340563,BO88DRAFT_340563,-,-,Unknown,-,general substrate transporter,protein-coding,-,-,-,general substrate transporter,20200919,-
1448311,37207655,BO88DRAFT_340622,BO88DRAFT_340622,-,-,Unknown,-,plasma membrane H(+)ATPase,protein-coding,-,-,-,plasma membrane H(+)ATPase,20200919,-
1448311,37207656,BO88DRAFT_340623,BO88DRAFT_340623,-,-,Unknown,-,integral membrane protein,protein-coding,-,-,-,integral membrane protein,20200919,-
1448311,37207657,BO88DRAFT_340639,BO88DRAFT_340639,-,-,Unknown,-,integral membrane protein,protein-coding,-,-,-,integral membrane protein,20200919,-
1448311,37207658,BO88DRAFT_340654,BO88DRAFT_340654,-,-,Unknown,-,cytochrome P450,protein-coding,-,-,-,cytochrome P450,20200919,-
1448311,37207659,BO88DRAFT_340660,BO88DRAFT_340660,-,-,Unknown,-,nitrogen metabolite repression regulator NmrA,protein-coding,-,-,-,nitrogen metabolite repression regulator NmrA,20210424,-
1448311,37207660,BO88DRAFT_340663,BO88DRAFT_340663,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37207661,BO88DRAFT_340713,BO88DRAFT_340713,-,-,Unknown,-,MmgE/PrpD family protein,protein-coding,-,-,-,MmgE/PrpD family protein,20200919,-
1448311,37207662,BO88DRAFT_340746,BO88DRAFT_340746,-,-,Unknown,-,cation transport protein ChaC,protein-coding,-,-,-,cation transport protein ChaC,20210417,-
1448311,37207663,BO88DRAFT_340748,BO88DRAFT_340748,-,-,Unknown,-,plasma membrane ATPase 2,protein-coding,-,-,-,plasma membrane ATPase 2,20200919,-
1448311,37207664,BO88DRAFT_340772,BO88DRAFT_340772,-,-,Unknown,-,putative pre-mRNA branch site protein p14,protein-coding,-,-,-,putative pre-mRNA branch site protein p14,20210129,-
1448311,37207665,BO88DRAFT_340795,BO88DRAFT_340795,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37207666,BO88DRAFT_340807,BO88DRAFT_340807,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37207667,BO88DRAFT_340814,BO88DRAFT_340814,-,-,Unknown,-,ran GTPase activating protein 1,protein-coding,-,-,-,ran GTPase activating protein 1,20200919,-
1448311,37207668,BO88DRAFT_340836,BO88DRAFT_340836,-,-,Unknown,-,TRP-domain-containing protein,protein-coding,-,-,-,TRP-domain-containing protein,20200919,-
1448311,37207669,BO88DRAFT_340999,BO88DRAFT_340999,-,-,Unknown,-,glutaminase GtaA,protein-coding,-,-,-,glutaminase GtaA,20200919,-
1448311,37207670,BO88DRAFT_341002,BO88DRAFT_341002,-,-,Unknown,-,RabGAP/TBC,protein-coding,-,-,-,RabGAP/TBC,20200919,-
1448311,37207671,BO88DRAFT_341046,BO88DRAFT_341046,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37207672,BO88DRAFT_341049,BO88DRAFT_341049,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37207673,BO88DRAFT_341056,BO88DRAFT_341056,-,-,Unknown,-,MFS transporter,protein-coding,-,-,-,MFS transporter,20200919,-
1448311,37207674,BO88DRAFT_341063,BO88DRAFT_341063,-,-,Unknown,-,short-chain dehydrogenase/reductase family protein,protein-coding,-,-,-,short-chain dehydrogenase/reductase family protein,20200919,-
1448311,37207675,BO88DRAFT_341064,BO88DRAFT_341064,-,-,Unknown,-,MFS transporter,protein-coding,-,-,-,MFS transporter,20200919,-
1448311,37207676,BO88DRAFT_341065,BO88DRAFT_341065,-,-,Unknown,-,GNAT family acetyltransferase,protein-coding,-,-,-,GNAT family acetyltransferase,20200919,-
1448311,37207677,BO88DRAFT_341135,BO88DRAFT_341135,-,-,Unknown,-,"exo-beta-1,3-glucanase",protein-coding,-,-,-,"exo-beta-1,3-glucanase",20200919,-
1448311,37207678,BO88DRAFT_341143,BO88DRAFT_341143,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37207679,BO88DRAFT_341145,BO88DRAFT_341145,-,-,Unknown,-,C6 finger domain protein,protein-coding,-,-,-,C6 finger domain protein,20200919,-
1448311,37207680,BO88DRAFT_341149,BO88DRAFT_341149,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37207681,BO88DRAFT_341169,BO88DRAFT_341169,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37207682,BO88DRAFT_341180,BO88DRAFT_341180,-,-,Unknown,-,60S ribosomal protein L21,protein-coding,-,-,-,60S ribosomal protein L21,20200919,-
1448311,37207683,BO88DRAFT_341185,BO88DRAFT_341185,-,-,Unknown,-,MFS drug transporter,protein-coding,-,-,-,MFS drug transporter,20200919,-
1448311,37207684,BO88DRAFT_341249,BO88DRAFT_341249,-,-,Unknown,-,pectin methylesterase,protein-coding,-,-,-,pectin methylesterase,20200919,-
1448311,37207685,BO88DRAFT_341254,BO88DRAFT_341254,-,-,Unknown,-,Rft-1-domain-containing protein,protein-coding,-,-,-,Rft-1-domain-containing protein,20200919,-
1448311,37207686,BO88DRAFT_341282,BO88DRAFT_341282,-,-,Unknown,-,"putative translation initiation factor 2, beta subunit",protein-coding,-,-,-,"putative translation initiation factor 2, beta subunit",20200919,-
1448311,37207687,BO88DRAFT_341286,BO88DRAFT_341286,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37207688,BO88DRAFT_341310,BO88DRAFT_341310,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37207689,BO88DRAFT_341330,BO88DRAFT_341330,-,-,Unknown,-,sucrose transport protein,protein-coding,-,-,-,sucrose transport protein,20200919,-
1448311,37207690,BO88DRAFT_341345,BO88DRAFT_341345,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37207691,BO88DRAFT_341371,BO88DRAFT_341371,-,-,Unknown,-,NUDIX domain protein,protein-coding,-,-,-,NUDIX domain protein,20200919,-
1448311,37207692,BO88DRAFT_341407,BO88DRAFT_341407,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37207693,BO88DRAFT_341435,BO88DRAFT_341435,-,-,Unknown,-,zinc finger protein,protein-coding,-,-,-,zinc finger protein,20200919,-
1448311,37207694,BO88DRAFT_341442,BO88DRAFT_341442,-,-,Unknown,-,exosome complex subunit Rrp46,protein-coding,-,-,-,exosome complex subunit Rrp46,20200919,-
1448311,37207695,BO88DRAFT_341464,BO88DRAFT_341464,-,-,Unknown,-,importin 13,protein-coding,-,-,-,importin 13,20200919,-
1448311,37207696,BO88DRAFT_341476,BO88DRAFT_341476,-,-,Unknown,-,extracellular lipase,protein-coding,-,-,-,extracellular lipase,20200919,-
1448311,37207697,BO88DRAFT_341481,BO88DRAFT_341481,-,-,Unknown,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20200919,-
1448311,37207698,BO88DRAFT_341536,BO88DRAFT_341536,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37207699,BO88DRAFT_341581,BO88DRAFT_341581,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37207700,BO88DRAFT_341590,BO88DRAFT_341590,-,-,Unknown,-,"alpha-actinin, sarcomeric",protein-coding,-,-,-,"alpha-actinin, sarcomeric",20200919,-
1448311,37207701,BO88DRAFT_341682,BO88DRAFT_341682,-,-,Unknown,-,"carboxylesterase, type B",protein-coding,-,-,-,"carboxylesterase, type B",20200919,-
1448311,37207702,BO88DRAFT_341727,BO88DRAFT_341727,-,-,Unknown,-,multidrug transporter,protein-coding,-,-,-,multidrug transporter,20200919,-
1448311,37207703,BO88DRAFT_341736,BO88DRAFT_341736,-,-,Unknown,-,"hydrolase, carbon-nitrogen family protein",protein-coding,-,-,-,"hydrolase, carbon-nitrogen family protein",20200919,-
1448311,37207704,BO88DRAFT_341737,BO88DRAFT_341737,-,-,Unknown,-,barwin-like endoglucanase,protein-coding,-,-,-,barwin-like endoglucanase,20200919,-
1448311,37207705,BO88DRAFT_341794,BO88DRAFT_341794,-,-,Unknown,-,short chain dehydrogenase/oxidoreductase,protein-coding,-,-,-,short chain dehydrogenase/oxidoreductase,20200919,-
1448311,37207706,BO88DRAFT_3418,BO88DRAFT_3418,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37207707,BO88DRAFT_341807,BO88DRAFT_341807,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1448311,37207708,BO88DRAFT_341839,BO88DRAFT_341839,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37207709,BO88DRAFT_341843,BO88DRAFT_341843,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37207710,BO88DRAFT_341847,BO88DRAFT_341847,-,-,Unknown,-,pentalenene synthase,protein-coding,-,-,-,pentalenene synthase,20200919,-
1448311,37207711,BO88DRAFT_341873,BO88DRAFT_341873,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37207712,BO88DRAFT_341874,BO88DRAFT_341874,-,-,Unknown,-,histone acetyltransferase Spt10,protein-coding,-,-,-,histone acetyltransferase Spt10,20200919,-
1448311,37207713,BO88DRAFT_341923,BO88DRAFT_341923,-,-,Unknown,-,TPR domain protein,protein-coding,-,-,-,TPR domain protein,20200919,-
1448311,37207714,BO88DRAFT_341996,BO88DRAFT_341996,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37207715,BO88DRAFT_342024,BO88DRAFT_342024,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37207716,BO88DRAFT_342025,BO88DRAFT_342025,-,-,Unknown,-,FAD binding domain protein,protein-coding,-,-,-,FAD binding domain protein,20200919,-
1448311,37207717,BO88DRAFT_342054,BO88DRAFT_342054,-,-,Unknown,-,O-methyltransferase,protein-coding,-,-,-,O-methyltransferase,20200919,-
1448311,37207718,BO88DRAFT_342099,BO88DRAFT_342099,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37207719,BO88DRAFT_342118,BO88DRAFT_342118,-,-,Unknown,-,MAP kinase,protein-coding,-,-,-,MAP kinase,20200919,-
1448311,37207720,BO88DRAFT_342121,BO88DRAFT_342121,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37207721,BO88DRAFT_342128,BO88DRAFT_342128,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37207722,BO88DRAFT_342158,BO88DRAFT_342158,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37207723,BO88DRAFT_342178,BO88DRAFT_342178,-,-,Unknown,-,mitochondrial import receptor subunit tom22,protein-coding,-,-,-,mitochondrial import receptor subunit tom22,20210424,-
1448311,37207724,BO88DRAFT_342189,BO88DRAFT_342189,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37207725,BO88DRAFT_342196,BO88DRAFT_342196,-,-,Unknown,-,kinase-like protein,protein-coding,-,-,-,kinase-like protein,20200919,-
1448311,37207726,BO88DRAFT_342205,BO88DRAFT_342205,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37207727,BO88DRAFT_342274,BO88DRAFT_342274,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37207728,BO88DRAFT_342288,BO88DRAFT_342288,-,-,Unknown,-,ankyrin,protein-coding,-,-,-,ankyrin,20200919,-
1448311,37207729,BO88DRAFT_342334,BO88DRAFT_342334,-,-,Unknown,-,serine/threonine protein kinase Kin1,protein-coding,-,-,-,serine/threonine protein kinase Kin1,20200919,-
1448311,37207730,BO88DRAFT_342335,BO88DRAFT_342335,-,-,Unknown,-,histone H3 methyltransferase SUV39H1/Clr4,protein-coding,-,-,-,histone H3 methyltransferase SUV39H1/Clr4,20200919,-
1448311,37207731,BO88DRAFT_342359,BO88DRAFT_342359,-,-,Unknown,-,C6 finger domain protein,protein-coding,-,-,-,C6 finger domain protein,20200919,-
1448311,37207732,BO88DRAFT_342371,BO88DRAFT_342371,-,-,Unknown,-,chitin biosynthesis protein,protein-coding,-,-,-,chitin biosynthesis protein,20210424,-
1448311,37207733,BO88DRAFT_342389,BO88DRAFT_342389,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37207734,BO88DRAFT_342394,BO88DRAFT_342394,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37207735,BO88DRAFT_342436,BO88DRAFT_342436,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37207736,BO88DRAFT_342506,BO88DRAFT_342506,-,-,Unknown,-,PLAC8-domain-containing protein,protein-coding,-,-,-,PLAC8-domain-containing protein,20200919,-
1448311,37207737,BO88DRAFT_342511,BO88DRAFT_342511,-,-,Unknown,-,ADP-ribosylation factor,protein-coding,-,-,-,ADP-ribosylation factor,20200919,-
1448311,37207738,BO88DRAFT_342560,BO88DRAFT_342560,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37207739,BO88DRAFT_342612,BO88DRAFT_342612,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37207740,BO88DRAFT_342632,BO88DRAFT_342632,-,-,Unknown,-,acetoacetyl-CoA synthase,protein-coding,-,-,-,acetoacetyl-CoA synthase,20200919,-
1448311,37207741,BO88DRAFT_342645,BO88DRAFT_342645,-,-,Unknown,-,integral membrane protein Pth11-like protein,protein-coding,-,-,-,integral membrane protein Pth11-like protein,20200919,-
1448311,37207742,BO88DRAFT_342670,BO88DRAFT_342670,-,-,Unknown,-,sugar transporter,protein-coding,-,-,-,sugar transporter,20200919,-
1448311,37207743,BO88DRAFT_342721,BO88DRAFT_342721,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37207744,BO88DRAFT_342727,BO88DRAFT_342727,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37207745,BO88DRAFT_342745,BO88DRAFT_342745,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37207746,BO88DRAFT_342776,BO88DRAFT_342776,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37207747,BO88DRAFT_342813,BO88DRAFT_342813,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37207748,BO88DRAFT_342814,BO88DRAFT_342814,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37207749,BO88DRAFT_342855,BO88DRAFT_342855,-,-,Unknown,-,allantoate permease,protein-coding,-,-,-,allantoate permease,20200919,-
1448311,37207750,BO88DRAFT_342869,BO88DRAFT_342869,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37207751,BO88DRAFT_342877,BO88DRAFT_342877,-,-,Unknown,-,MFS general substrate transporter,protein-coding,-,-,-,MFS general substrate transporter,20200919,-
1448311,37207752,BO88DRAFT_34289,BO88DRAFT_34289,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37207753,BO88DRAFT_342891,BO88DRAFT_342891,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37207754,BO88DRAFT_342916,BO88DRAFT_342916,-,-,Unknown,-,oxidoreductase,protein-coding,-,-,-,oxidoreductase,20200919,-
1448311,37207755,BO88DRAFT_342952,BO88DRAFT_342952,-,-,Unknown,-,purine and uridine phosphorylase,protein-coding,-,-,-,purine and uridine phosphorylase,20200919,-
1448311,37207756,BO88DRAFT_342960,BO88DRAFT_342960,-,-,Unknown,-,aldehyde reductase II,protein-coding,-,-,-,aldehyde reductase II,20200919,-
1448311,37207757,BO88DRAFT_342992,BO88DRAFT_342992,-,-,Unknown,-,C6 zinc finger domain protein,protein-coding,-,-,-,C6 zinc finger domain protein,20200919,-
1448311,37207758,BO88DRAFT_343034,BO88DRAFT_343034,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37207759,BO88DRAFT_343047,BO88DRAFT_343047,-,-,Unknown,-,HAD-like protein,protein-coding,-,-,-,HAD-like protein,20200919,-
1448311,37207760,BO88DRAFT_343059,BO88DRAFT_343059,-,-,Unknown,-,general substrate transporter,protein-coding,-,-,-,general substrate transporter,20200919,-
1448311,37207761,BO88DRAFT_343094,BO88DRAFT_343094,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37207762,BO88DRAFT_343104,BO88DRAFT_343104,-,-,Unknown,-,ABC transporter Cdr4,protein-coding,-,-,-,ABC transporter Cdr4,20200919,-
1448311,37207763,BO88DRAFT_343158,BO88DRAFT_343158,-,-,Unknown,-,D-3-phosphoglycerate dehydrogenase,protein-coding,-,-,-,D-3-phosphoglycerate dehydrogenase,20200919,-
1448311,37207764,BO88DRAFT_343165,BO88DRAFT_343165,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37207765,BO88DRAFT_343166,BO88DRAFT_343166,-,-,Unknown,-,acyl-CoA oxidase,protein-coding,-,-,-,acyl-CoA oxidase,20200919,-
1448311,37207766,BO88DRAFT_343208,BO88DRAFT_343208,-,-,Unknown,-,integral membrane protein,protein-coding,-,-,-,integral membrane protein,20200919,-
1448311,37207767,BO88DRAFT_343227,BO88DRAFT_343227,-,-,Unknown,-,GroES-like protein,protein-coding,-,-,-,GroES-like protein,20200919,-
1448311,37207768,BO88DRAFT_343238,BO88DRAFT_343238,-,-,Unknown,-,MFS general substrate transporter,protein-coding,-,-,-,MFS general substrate transporter,20200919,-
1448311,37207769,BO88DRAFT_343265,BO88DRAFT_343265,-,-,Unknown,-,aminotransferase family protein,protein-coding,-,-,-,aminotransferase family protein,20200919,-
1448311,37207770,BO88DRAFT_343271,BO88DRAFT_343271,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37207771,BO88DRAFT_343274,BO88DRAFT_343274,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37207772,BO88DRAFT_343285,BO88DRAFT_343285,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37207773,BO88DRAFT_343291,BO88DRAFT_343291,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37207774,BO88DRAFT_343301,BO88DRAFT_343301,-,-,Unknown,-,monooxygenase,protein-coding,-,-,-,monooxygenase,20200919,-
1448311,37207775,BO88DRAFT_343309,BO88DRAFT_343309,-,-,Unknown,-,sugar transporter,protein-coding,-,-,-,sugar transporter,20200919,-
1448311,37207776,BO88DRAFT_343350,BO88DRAFT_343350,-,-,Unknown,-,"endo-1,4-beta-xylanase 3",protein-coding,-,-,-,"endo-1,4-beta-xylanase 3",20200919,-
1448311,37207777,BO88DRAFT_343363,BO88DRAFT_343363,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37207778,BO88DRAFT_343410,BO88DRAFT_343410,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37207779,BO88DRAFT_343473,BO88DRAFT_343473,-,-,Unknown,-,putative RTA1 domain protein,protein-coding,-,-,-,putative RTA1 domain protein,20200919,-
1448311,37207780,BO88DRAFT_343506,BO88DRAFT_343506,-,-,Unknown,-,FAD/NAD(P)-binding domain-containing protein,protein-coding,-,-,-,FAD/NAD(P)-binding domain-containing protein,20200919,-
1448311,37207781,BO88DRAFT_343511,BO88DRAFT_343511,-,-,Unknown,-,oxidoreductase,protein-coding,-,-,-,oxidoreductase,20200919,-
1448311,37207782,BO88DRAFT_343518,BO88DRAFT_343518,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37207783,BO88DRAFT_343533,BO88DRAFT_343533,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37207784,BO88DRAFT_343537,BO88DRAFT_343537,-,-,Unknown,-,multidrug resistance protein Fnx1,protein-coding,-,-,-,multidrug resistance protein Fnx1,20200919,-
1448311,37207785,BO88DRAFT_343559,BO88DRAFT_343559,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37207786,BO88DRAFT_343573,BO88DRAFT_343573,-,-,Unknown,-,C6 transcription factor,protein-coding,-,-,-,C6 transcription factor,20200919,-
1448311,37207787,BO88DRAFT_343581,BO88DRAFT_343581,-,-,Unknown,-,cytochrome b5,protein-coding,-,-,-,cytochrome b5,20200919,-
1448311,37207788,BO88DRAFT_343584,BO88DRAFT_343584,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37207789,BO88DRAFT_343591,BO88DRAFT_343591,-,-,Unknown,-,cysteine proteinase,protein-coding,-,-,-,cysteine proteinase,20200919,-
1448311,37207790,BO88DRAFT_343621,BO88DRAFT_343621,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37207791,BO88DRAFT_343638,BO88DRAFT_343638,-,-,Unknown,-,WD repeat protein,protein-coding,-,-,-,WD repeat protein,20200919,-
1448311,37207792,BO88DRAFT_343676,BO88DRAFT_343676,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37207793,BO88DRAFT_343680,BO88DRAFT_343680,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37207794,BO88DRAFT_343687,BO88DRAFT_343687,-,-,Unknown,-,DUF455 domain protein,protein-coding,-,-,-,DUF455 domain protein,20200919,-
1448311,37207795,BO88DRAFT_343721,BO88DRAFT_343721,-,-,Unknown,-,oxidoreductase,protein-coding,-,-,-,oxidoreductase,20200919,-
1448311,37207796,BO88DRAFT_343731,BO88DRAFT_343731,-,-,Unknown,-,xylanase D,protein-coding,-,-,-,xylanase D,20200919,-
1448311,37207797,BO88DRAFT_343748,BO88DRAFT_343748,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37207798,BO88DRAFT_343778,BO88DRAFT_343778,-,-,Unknown,-,integral membrane protein,protein-coding,-,-,-,integral membrane protein,20200919,-
