#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1655314,40069037,FDG86_gp001,FDG86_gp001,APCEc02_001,-,-,-,cell wall hydrolase,protein-coding,-,-,-,cell wall hydrolase,20210129,-
1655314,40069218,FDG86_gp188,FDG86_gp188,APCEc02_181,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069219,FDG86_gp187,FDG86_gp187,APCEc02_182,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20200629,-
1655314,40069220,FDG86_gp186,FDG86_gp186,APCEc02_183,-,-,-,putative baseplate component,protein-coding,-,-,-,putative baseplate component,20200912,-
1655314,40069221,FDG86_gp185,FDG86_gp185,APCEc02_184,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069222,FDG86_gp184,FDG86_gp184,APCEc02_185,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069223,FDG86_gp183,FDG86_gp183,APCEc02_186,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20201026,-
1655314,40069224,FDG86_gp182,FDG86_gp182,APCEc02_187,-,-,-,putative tail fiber assembly protein,protein-coding,-,-,-,putative tail fiber assembly protein,20200629,-
1655314,40069225,FDG86_gp181,FDG86_gp181,APCEc02_188,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069226,FDG86_gp180,FDG86_gp180,APCEc02_189,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20201217,-
1655314,40069227,FDG86_gp179,FDG86_gp179,APCEc02_190,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069228,FDG86_gp178,FDG86_gp178,APCEc02_191,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20200629,-
1655314,40069229,FDG86_gp177,FDG86_gp177,APCEc02_192,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069230,FDG86_gp176,FDG86_gp176,APCEc02_193,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069231,FDG86_gp175,FDG86_gp175,APCEc02_194,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069232,FDG86_gp174,FDG86_gp174,APCEc02_195,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069233,FDG86_gp173,FDG86_gp173,APCEc02_196,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069234,FDG86_gp172,FDG86_gp172,APCEc02_197,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069235,FDG86_gp171,FDG86_gp171,APCEc02_198,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069236,FDG86_gp170,FDG86_gp170,APCEc02_199,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069237,FDG86_gp169,FDG86_gp169,APCEc02_200,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069238,FDG86_gp168,FDG86_gp168,APCEc02_201,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069239,FDG86_gp167,FDG86_gp167,APCEc02_202,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069240,FDG86_gp166,FDG86_gp166,APCEc02_203,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069241,FDG86_gp165,FDG86_gp165,APCEc02_204,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069242,FDG86_gp164,FDG86_gp164,APCEc02_205,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069243,FDG86_gp163,FDG86_gp163,APCEc02_206,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069244,FDG86_gp162,FDG86_gp162,APCEc02_207,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069245,FDG86_gp161,FDG86_gp161,APCEc02_208,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069246,FDG86_gp160,FDG86_gp160,APCEc02_209,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069247,FDG86_gp159,FDG86_gp159,APCEc02_210,-,-,-,putative anti-sigma factor,protein-coding,-,-,-,putative anti-sigma factor,20200912,-
1655314,40069248,FDG86_gp158,FDG86_gp158,APCEc02_211,-,-,-,putative alpha 1-3 fucosyltransferase,protein-coding,-,-,-,putative alpha 1-3 fucosyltransferase,20200629,-
1655314,40069249,FDG86_gp157,FDG86_gp157,APCEc02_212,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069250,FDG86_gp156,FDG86_gp156,APCEc02_213,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069251,FDG86_gp155,FDG86_gp155,APCEc02_214,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069252,FDG86_gp154,FDG86_gp154,APCEc02_215,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069253,FDG86_gp153,FDG86_gp153,APCEc02_216,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069254,FDG86_gp152,FDG86_gp152,APCEc02_217,-,-,-,MoxR ATPase,protein-coding,-,-,-,MoxR ATPase,20200629,-
1655314,40069255,FDG86_gp151,FDG86_gp151,APCEc02_218,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069256,FDG86_gp150,FDG86_gp150,APCEc02_219,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069257,FDG86_gt002,FDG86_gt002,-,-,-,-,tRNA-Pseudo,tRNA,-,-,-,-,20200910,-
1655314,40069258,FDG86_gt004,FDG86_gt004,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1655314,40069259,FDG86_gt005,FDG86_gt005,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1655314,40069260,FDG86_gp219,FDG86_gp219,APCEc02_150,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40120198,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Escherichia coli phage APCEc02; Escherichia phage APCEc02).,other,-,-,-,-,20200513,-
