#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1129192,24723248,BCP8-2_002,BCP8-2_002,-,-,-,-,putative minor structural protein II,protein-coding,-,-,-,putative minor structural protein II,20200909,-
1129192,24723446,BCP8-2_182,BCP8-2_182,-,-,-,-,putative DNA-binding protein,protein-coding,-,-,-,putative DNA-binding protein,20200909,-
1129192,24723447,BCP8-2_183,BCP8-2_183,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723448,BCP8-2_184,BCP8-2_184,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723449,BCP8-2_185,BCP8-2_185,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723450,BCP8-2_186,BCP8-2_186,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723451,BCP8-2_187,BCP8-2_187,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723452,BCP8-2_188,BCP8-2_188,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723453,BCP8-2_189,BCP8-2_189,-,-,-,-,putative ribonucleotide reductase beta subunit,protein-coding,-,-,-,putative ribonucleotide reductase beta subunit,20200909,-
1129192,24723454,BCP8-2_190,BCP8-2_190,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723455,BCP8-2_191,BCP8-2_191,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723456,BCP8-2_192,BCP8-2_192,-,-,-,-,putative HNH endonuclease family protein,protein-coding,-,-,-,putative HNH endonuclease family protein,20200909,-
1129192,24723457,BCP8-2_193,BCP8-2_193,-,-,-,-,putative ribonucleoside-diphosphate reductase alpha subunit,protein-coding,-,-,-,putative ribonucleoside-diphosphate reductase alpha subunit,20200909,-
1129192,24723458,BCP8-2_194,BCP8-2_194,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723459,BCP8-2_195,BCP8-2_195,-,-,-,-,putative glycosyltransferase family A protein,protein-coding,-,-,-,putative glycosyltransferase family A protein,20200909,-
1129192,24723460,BCP8-2_196,BCP8-2_196,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723461,BCP8-2_197,BCP8-2_197,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723462,BCP8-2_198,BCP8-2_198,-,-,-,-,putative deoxyuridine 5'-triphosphate nucleotidohydrolase,protein-coding,-,-,-,putative deoxyuridine 5'-triphosphate nucleotidohydrolase,20200909,-
1129192,24723463,BCP8-2_199,BCP8-2_199,-,-,-,-,putative transcriptional regulator,protein-coding,-,-,-,putative transcriptional regulator,20200909,-
1129192,24723464,BCP8-2_200,BCP8-2_200,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20200909,-
1129192,24723465,BCP8-2_201,BCP8-2_201,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723466,BCP8-2_202,BCP8-2_202,-,-,-,-,recombination endonuclease,protein-coding,-,-,-,recombination endonuclease,20200909,-
1129192,24723467,BCP8-2_203,BCP8-2_203,-,-,-,-,recombination exonuclease,protein-coding,-,-,-,recombination exonuclease,20200909,-
1129192,24723468,BCP8-2_204,BCP8-2_204,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723469,BCP8-2_205,BCP8-2_205,-,-,-,-,helicase DnaB-like,protein-coding,-,-,-,helicase DnaB-like,20200909,-
1129192,24723470,BCP8-2_206,BCP8-2_206,-,-,-,-,putative transcriptional regulator,protein-coding,-,-,-,putative transcriptional regulator,20200909,-
1129192,24723471,BCP8-2_207,BCP8-2_207,-,-,-,-,DNA helicase II,protein-coding,-,-,-,DNA helicase II,20200909,-
1129192,24723472,BCP8-2_208,BCP8-2_208,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723473,BCP8-2_209,BCP8-2_209,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723474,BCP8-2_210,BCP8-2_210,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723475,BCP8-2_211,BCP8-2_211,-,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20200909,-
1129192,24723476,BCP8-2_212,BCP8-2_212,-,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200909,-
1129192,24723477,BCP8-2_213,BCP8-2_213,-,-,-,-,baseplate J-like protein,protein-coding,-,-,-,baseplate J-like protein,20200909,-
1129192,24723478,BCP8-2_214,BCP8-2_214,-,-,-,-,putative baseplate protein II,protein-coding,-,-,-,putative baseplate protein II,20200909,-
1129192,24723479,BCP8-2_215,BCP8-2_215,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1129192,24723480,BCP8-2_216,BCP8-2_216,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723481,BCP8-2_217,BCP8-2_217,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723482,BCP8-2_218,BCP8-2_218,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723483,BCP8-2_219,BCP8-2_219,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723484,BCP8-2_220,BCP8-2_220,-,-,-,-,putative minor structural protein I,protein-coding,-,-,-,putative minor structural protein I,20200909,-
1129192,24723485,BCP8-2_001,BCP8-2_001,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24936476,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Bacillus cereus phage BCP8-2).,other,-,-,-,-,20200513,-
