#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
637730,8683579,orf00002,phiSboM-AG3_gp002,-,-,-,-,RIIB protein,protein-coding,-,-,-,RIIB protein,20200909,-
637730,8683765,orf00226,phiSboM-AG3_gp188,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683766,orf00227,phiSboM-AG3_gp189,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683767,orf00229,phiSboM-AG3_gp190,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683768,orf00230,phiSboM-AG3_gp191,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683769,orf00232,phiSboM-AG3_gp192,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683770,orf00233,phiSboM-AG3_gp193,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683771,orf00234,phiSboM-AG3_gp194,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683772,orf00236,phiSboM-AG3_gp195,-,-,-,-,Gp43 DNA polymerase,protein-coding,-,-,-,Gp43 DNA polymerase,20200909,-
637730,8683773,orf00237,phiSboM-AG3_gp196,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683774,orf00239,phiSboM-AG3_gp197,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683775,orf00240,phiSboM-AG3_gp198,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683776,orf00242,phiSboM-AG3_gp199,-,-,-,-,SegD-like protein,protein-coding,-,-,-,SegD-like protein,20200909,-
637730,8683777,orf00243,phiSboM-AG3_gp200,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683778,orf00244,phiSboM-AG3_gp201,-,-,-,-,hypothetical membrane protein,protein-coding,-,-,-,hypothetical membrane protein,20200909,-
637730,8683779,orf00245,phiSboM-AG3_gp202,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683780,orf00246,phiSboM-AG3_gp203,-,-,-,-,hypothetical membrane protein,protein-coding,-,-,-,hypothetical membrane protein,20200909,-
637730,8683781,orf00247,phiSboM-AG3_gp204,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683782,orf00248,phiSboM-AG3_gp205,-,-,-,-,hypothetical membrane protein,protein-coding,-,-,-,hypothetical membrane protein,20200909,-
637730,8683783,orf00249,phiSboM-AG3_gp206,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683784,orf00250,phiSboM-AG3_gp207,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683785,orf00251,phiSboM-AG3_gp208,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683786,orf00252,phiSboM-AG3_gp209,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683787,orf00253,phiSboM-AG3_gp210,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683788,orf00255,phiSboM-AG3_gp211,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683789,orf00256,phiSboM-AG3_gp212,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683790,orf00257,phiSboM-AG3_gp213,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683791,orf00258,phiSboM-AG3_gp214,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683792,orf00259,phiSboM-AG3_gp215,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683793,orf00260,phiSboM-AG3_gp216,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683794,orf00001,phiSboM-AG3_gp001,-,-,-,-,RIIA protein,protein-coding,-,-,-,RIIA protein,20200909,-
637730,8684473,phiSboM-AG3_gt001,phiSboM-AG3_gt001,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
637730,8684474,phiSboM-AG3_gt003,phiSboM-AG3_gt003,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
637730,8684475,phiSboM-AG3_gt004,phiSboM-AG3_gt004,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
637730,8684476,phiSboM-AG3_gt002,phiSboM-AG3_gt002,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
637730,8690644,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Shigella boydii bacteriophage phiSboM-AG3; Shigella phage phiSboM-AG3).,other,-,-,-,-,20200513,-
